gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.356614	6667	1.141450	8192
A1CF	0.000000	16742	0.000000	17239
A2M	0.608558	2728	1.470557	5153
A2ML1	0.000000	16741	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.077838	17074	0.586587	12233
A4GNT	0.000000	16740	0.000000	17237
AAAS	0.303560	7789	1.697530	3226
AACS	0.343726	6990	1.199399	7531
AADAC	0.000000	16739	0.000000	17236
AADACL2	0.000000	16738	0.000000	17235
AADACL3	0.000000	16737	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.524509	3671	1.094122	8614
AAED1	-0.053973	17000	1.117745	8275
AAGAB	0.181240	10194	1.729941	3037
AAK1	0.426676	4756	1.322012	6541
AAMDC	0.525135	3663	1.322012	6540
AAMP	0.256503	8755	2.016156	1548
AANAT	0.033457	13316	0.033457	14494
AAR2	0.213179	9561	1.166846	7873
AARD	0.129330	11225	0.143783	13866
AARS	0.488535	4044	1.876449	2162
AARS2	0.080552	12122	1.291369	6811
AARSD1	0.344268	6974	1.505388	4805
AASDH	0.061166	12543	1.141450	8191
AASDHPPT	0.258208	8713	1.774809	2762
AASS	0.936109	1182	1.833147	2401
AATF	0.238454	9081	1.707315	3199
AATK	2.534305	33	2.534305	355
ABAT	1.045645	943	1.774809	2761
ABCA1	0.275824	8368	1.669224	3454
ABCA10	0.385606	6144	0.385606	13532
ABCA12	0.033457	13315	0.033457	14493
ABCA13	0.000000	16736	0.000000	17233
ABCA2	2.195739	78	2.624014	275
ABCA3	0.853199	1440	1.581153	4183
ABCA4	0.385606	6143	0.385606	13531
ABCA5	0.586587	3071	1.258398	7131
ABCA6	0.724949	1948	1.184123	7815
ABCA7	0.099588	11794	0.676135	11498
ABCA8	1.024735	1003	1.965531	1747
ABCA9	0.083732	12044	0.385606	13530
ABCB1	0.983480	1072	1.581153	4182
ABCB10	0.162890	10528	0.928738	9712
ABCB11	0.000000	16735	0.000000	17232
ABCB4	0.000000	16734	0.116025	13928
ABCB5	0.254916	8799	0.254916	13675
ABCB6	0.275939	8363	0.385606	13529
ABCB7	0.279993	8288	1.529430	4617
ABCB8	0.230639	9206	1.402605	5789
ABCB9	0.331654	7234	0.800708	10816
ABCC1	0.386741	5288	1.643711	3594
ABCC10	0.345563	6942	0.980912	9571
ABCC11	0.000000	16733	0.000000	17231
ABCC12	0.000000	16732	0.000000	17230
ABCC2	0.000000	16731	0.000000	17229
