gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.449083	3799	1.440083	5341
A1CF	0.000000	16931	0.000000	17239
A2M	0.016406	14505	0.166681	13457
A2ML1	1.158523	553	1.158523	7803
A3GALT2	-	19008	-	19008
A4GALT	0.889827	1041	1.585276	4183
A4GNT	0.000000	16930	0.000000	17238
AAAS	0.659108	1939	2.053078	1556
AACS	0.439001	3921	1.479664	5017
AADAC	0.000000	16929	0.000000	17237
AADACL2	0.000000	16928	0.000000	17236
AADACL3	0.000000	16927	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.524581	2945	0.989020	9167
AAED1	0.293776	6544	1.512131	4736
AAGAB	0.235073	7916	1.783774	2822
AAK1	0.184154	9357	0.918044	9659
AAMDC	0.057609	13380	1.219639	7257
AAMP	0.284975	6718	2.089741	1443
AANAT	0.054784	13454	0.054784	14655
AAR2	0.357930	5202	1.479166	5022
AARD	0.202288	8804	0.216741	13218
AARS	0.556924	2661	2.169000	1200
AARS2	0.349064	5360	1.559882	4359
AARSD1	0.168234	9813	1.575300	4260
AASDH	0.041262	13747	1.106445	8236
AASDHPPT	0.214374	8498	1.730975	3149
AASS	0.120928	11317	1.150951	7861
AATF	0.089335	12185	1.558195	4375
AATK	0.115532	11485	0.133225	13707
ABAT	0.267135	7176	0.715720	10926
ABCA1	0.059887	13335	1.372994	5893
ABCA10	0.068186	13034	0.068186	14455
ABCA12	0.280348	6839	0.280348	12911
ABCA13	0.066769	13111	0.066769	14500
ABCA2	0.129130	11029	0.606194	11470
ABCA3	0.339677	5570	1.067631	8553
ABCA4	0.494629	3252	0.494629	11976
ABCA5	0.068186	13033	0.737193	10791
ABCA6	0.114857	11516	0.574031	11635
ABCA7	0.182579	9393	0.972629	9307
ABCA8	0.000000	16926	0.763428	10669
ABCA9	0.000000	16925	0.061926	14602
ABCB1	0.544890	2769	1.142563	7927
ABCB10	0.182127	9404	1.042288	8739
ABCB11	0.000000	16924	0.000000	17234
