gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.159631	4838	0.904497	7345
A1CF	0.000000	14943	0.000000	17239
A2M	0.000000	14942	0.000000	17238
A2ML1	1.402223	157	1.402223	3770
A3GALT2	-	19008	-	19008
A4GALT	-0.022155	15256	0.673294	8837
A4GNT	0.000000	14941	0.000000	17237
AAAS	0.303594	2709	1.697564	2111
AACS	0.273142	3054	1.323806	4274
AADAC	0.000000	14940	0.000000	17236
AADACL2	0.000000	14939	0.000000	17235
AADACL3	0.000000	14938	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.066202	7277	0.347083	10733
AAED1	0.182433	4354	1.218935	5055
AAGAB	0.193470	4178	1.742171	1897
AAK1	0.061234	7389	0.838068	7773
AAMDC	-0.016131	15152	0.947960	7046
AAMP	0.000000	14937	1.779186	1749
AANAT	0.000000	14936	0.000000	17233
AAR2	0.106386	6100	1.140890	5601
AARD	0.000000	14935	0.000000	17232
AARS	0.032744	8064	1.631664	2438
AARS2	-0.001705	14967	1.209113	5109
AARSD1	0.000000	14934	1.384012	3880
AASDH	0.000000	14933	1.004435	6636
AASDHPPT	0.071556	7128	1.459120	3409
AASS	-0.104889	16204	0.687900	8798
AATF	0.214040	3803	1.682900	2186
AATK	0.000000	14932	0.000000	17231
ABAT	0.313132	2604	0.942782	7102
ABCA1	0.056476	7501	1.236023	4921
ABCA10	0.000000	14931	0.000000	17230
ABCA12	0.781571	595	0.781571	8176
ABCA13	0.000000	14930	0.000000	17229
ABCA2	0.000000	14929	0.412144	10305
ABCA3	0.000000	14928	0.000000	17228
ABCA4	0.000000	14927	0.000000	17227
ABCA5	0.000000	14926	0.531479	9710
ABCA6	0.000000	14925	0.000000	17226
ABCA7	0.196981	4122	1.032540	6413
ABCA8	0.000000	14924	0.000000	17225
ABCA9	0.000000	14923	0.000000	17224
ABCB1	0.000000	14922	0.000000	17223
ABCB10	0.280009	2937	0.722498	8530
ABCB11	0.000000	14921	0.000000	17222
ABCB4	0.000000	14920	0.000000	17221
ABCB5	0.000000	14919	0.000000	17220
ABCB6	0.000000	14918	0.278814	11048
ABCB7	0.000000	14917	1.020523	6491
ABCB8	0.197226	4116	1.285472	4547
ABCB9	0.061574	7378	0.398148	10522
ABCC1	0.197580	4112	1.324796	4266
ABCC10	0.004619	8640	0.531479	9709
ABCC11	0.000000	14916	0.000000	17219
ABCC12	0.000000	14915	0.000000	17218
ABCC2	0.000000	14914	0.000000	17217
ABCC3	0.591660	988	1.403989	3757
ABCC4	0.081544	6865	0.779759	8193
ABCC5	0.026622	8197	0.979078	6833
ABCC6	-	19006	-	19006
ABCC8	0.000000	14913	0.000000	17216
ABCC9	0.000000	14912	0.000000	17215
ABCD1	0.000000	14911	0.350352	10630
ABCD2	0.000000	14910	0.000000	17214
ABCD3	-0.206284	16710	0.722498	8529
ABCD4	-0.123365	16327	0.779759	8192
ABCE1	0.100490	6210	1.619554	2489
ABCF1	0.286584	2859	2.136518	758
ABCF2	0.283244	2895	1.710486	2052
ABCF3	-0.020353	15236	1.454425	3434
ABCG1	0.000000	14909	0.804402	8054
ABCG2	0.278814	2972	0.278814	11047
ABCG4	0.108742	6072	0.108742	12196
ABCG5	0.000000	14908	0.000000	17213
ABCG8	0.000000	14907	0.000000	17212
ABHD1	0.000000	14906	0.000000	17211
ABHD10	-0.038442	15508	1.031610	6429
ABHD11	-0.041284	15552	0.866384	7617
ABHD12	0.000000	14905	1.213312	5081
ABHD12B	0.108742	6071	0.108742	12195
ABHD13	-0.092798	16102	0.934416	7162
ABHD14A	-0.156638	16513	0.793637	8083
ABHD14B	0.159299	4844	1.916756	1245
ABHD15	0.000000	14904	0.274961	11202
ABHD16A	0.000000	14903	0.963603	6948
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	14902	0.902046	7375
ABHD17B	-0.081284	16009	0.779759	8191
ABHD17C	0.250586	3312	1.291979	4514
ABHD18	-0.014283	15126	0.669278	8880
ABHD2	0.000000	14901	1.245376	4855
ABHD3	-0.284360	16923	0.666002	8928
ABHD4	0.129882	5373	1.362972	4014
ABHD5	0.000000	14900	1.077151	6098
ABHD6	0.097950	6505	0.709337	8640
ABHD8	0.280328	2933	1.174708	5364
ABI1	0.201849	4050	1.673206	2239
ABI2	-0.046400	15623	1.251352	4807
ABI3	0.000000	14899	0.000000	17210
