gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.164118	10587	0.896526	10005
A1CF	0.000000	16543	0.000000	17239
A2M	0.876781	1216	1.919967	1463
A2ML1	0.155336	11072	0.155336	14819
A3GALT2	-	19008	-	19008
A4GALT	0.563975	2653	1.228400	6857
A4GNT	0.000000	16542	0.000000	17238
AAAS	0.398062	4435	1.537063	3878
AACS	0.712914	1799	1.763578	2192
AADAC	0.190332	9469	0.190332	14179
AADACL2	0.000000	16541	0.000000	17237
AADACL3	0.000000	16540	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.000000	16539	0.434569	12819
AAED1	0.020759	13492	1.078094	8364
AAGAB	0.086380	12618	1.635081	3048
AAK1	0.245800	7795	1.141136	7758
AAMDC	0.300811	6310	1.335458	5744
AAMP	0.179311	9729	1.984077	1261
AANAT	0.000000	16538	0.000000	17235
AAR2	0.249177	7721	1.249932	6674
AARD	0.307767	6160	0.322219	13388
AARS	0.259904	7464	1.871981	1666
AARS2	0.065415	12958	1.276232	6427
AARSD1	0.117716	11988	1.480869	4367
AASDH	0.136937	11523	1.217221	6959
AASDHPPT	0.383872	4641	1.530200	3935
AASS	0.224614	8303	1.286681	6328
AATF	0.053193	13122	1.522053	4004
AATK	0.416876	4203	0.434569	12818
ABAT	0.384552	4636	0.919601	9779
ABCA1	0.000000	16537	1.101059	8111
ABCA10	0.919601	1104	0.919601	9778
ABCA12	0.000000	16536	0.000000	17234
ABCA13	0.155336	11071	0.155336	14818
ABCA2	0.322219	5871	0.921166	9726
ABCA3	0.598791	2399	1.326745	5857
ABCA4	0.000000	16535	0.000000	17233
ABCA5	0.489617	3319	1.522053	4003
ABCA6	0.379577	4701	0.818885	10493
ABCA7	0.499698	3199	1.335257	5790
ABCA8	0.394461	4488	1.335257	5789
ABCA9	0.594652	2424	0.896526	10004
ABCB1	0.164353	10579	0.710117	11271
ABCB10	0.137119	11516	0.896526	10003
ABCB11	0.000000	16534	0.000000	17232
ABCB4	0.155336	11070	0.269513	13834
ABCB5	0.000000	16533	0.000000	17231
ABCB6	0.080664	12726	0.322219	13387
ABCB7	0.155336	11069	1.296884	6226
ABCB8	-0.189695	17144	0.982271	9253
ABCB9	0.416279	4210	0.879669	10064
ABCC1	0.410576	4275	1.667546	2819
ABCC10	0.378402	4724	0.870404	10208
ABCC11	0.000000	16532	0.000000	17230
ABCC12	0.000000	16531	0.000000	17229
ABCC2	0.000000	16530	0.000000	17228
ABCC3	0.164353	10578	0.724276	11156
ABCC4	0.266895	7315	0.870404	10207
ABCC5	0.137980	11480	1.126781	7917
ABCC6	-	19006	-	19006
ABCC8	0.190332	9468	0.190332	14178
ABCC9	0.410115	4280	0.773055	10879
ABCD1	0.000000	16529	0.879669	10063
ABCD2	0.657503	2054	0.818885	10492
ABCD3	0.215320	8528	1.228400	6856
ABCD4	0.297482	6382	1.280351	6389
ABCE1	0.017998	13522	1.537063	3877
ABCF1	0.002423	13688	1.852358	1763
ABCF2	-0.039622	16785	1.349860	5622
ABCF3	0.280488	6895	1.755265	2244
ABCG1	0.257661	7516	1.390582	5218
ABCG2	0.595168	2423	0.710117	11270
ABCG4	0.000000	16528	0.000000	17227
ABCG5	0.000000	16527	0.000000	17226
ABCG8	0.000000	16526	0.000000	17225
ABHD1	1.026832	885	1.086004	8255
ABHD10	0.294107	6443	1.564784	3613
ABHD11	0.552092	2757	1.522053	4002
ABHD12	0.000000	16525	1.453471	4620
ABHD12B	0.000000	16524	0.000000	17224
