gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.586288	5694	1.046495	10667
A1CF	0.000000	17025	0.000000	17239
A2M	0.970432	2461	2.020734	1817
A2ML1	0.854306	3079	0.854306	12004
A3GALT2	-	19008	-	19008
A4GALT	-0.074476	17124	0.589950	13370
A4GNT	0.000000	17024	0.000000	17238
AAAS	0.657359	4806	1.665581	4490
AACS	0.520086	6612	1.443889	6739
AADAC	0.000000	17023	0.000000	17237
AADACL2	0.000000	17022	0.000000	17236
AADACL3	0.133539	14422	0.133539	15479
AADACL4	-	19007	-	19007
AADAT	0.744044	3925	1.313656	8179
AAED1	0.147847	13683	1.059942	10572
AAGAB	0.187434	13144	1.736135	3831
AAK1	1.185340	1624	2.003485	1918
AAMDC	0.185516	13177	1.208979	9265
AAMP	0.318063	10635	1.914176	2414
AANAT	0.000000	17021	0.000000	17235
AAR2	0.229594	12480	1.350829	7765
AARD	0.486607	7159	0.501059	13738
AARS	0.494041	7036	1.923814	2350
AARS2	0.305454	10882	1.516271	6001
AARSD1	0.327229	10299	1.638888	4764
AASDH	0.595031	5540	1.675315	4371
AASDHPPT	0.998482	2324	2.081779	1547
AASS	0.364500	9563	1.426567	6953
AATF	0.013728	15522	1.482588	6328
AATK	2.024937	273	2.024937	1798
ABAT	1.801266	469	1.801266	3276
ABCA1	0.183262	13200	1.543696	5707
ABCA10	0.235528	12399	0.235528	14829
ABCA12	0.035374	15268	0.035374	15662
ABCA13	0.029384	15392	0.029384	15751
ABCA2	1.627425	698	2.104692	1435
ABCA3	1.346716	1186	2.074670	1585
ABCA4	0.472756	7392	0.472756	13791
ABCA5	0.727713	4057	1.760149	3624
ABCA6	0.292852	11122	0.752026	12587
ABCA7	0.797789	3489	1.112102	10102
ABCA8	0.962419	2503	1.903215	2497
ABCA9	0.299467	11018	0.589950	13369
ABCB1	1.157246	1696	1.754919	3667
ABCB10	0.168455	13396	0.697229	12882
ABCB11	0.000000	17020	0.000000	17234
ABCB4	0.240173	12036	0.389166	14187
ABCB5	0.000000	17019	0.000000	17233
ABCB6	0.484473	7199	0.915400	11632
ABCB7	0.161900	13465	1.411337	7122
ABCB8	0.382814	9212	1.473216	6444
ABCB9	1.053326	2087	1.246006	8892
ABCC1	0.163031	13452	1.017033	10918
ABCC10	0.456309	7641	1.123852	10017
ABCC11	0.000000	17018	0.000000	17232
ABCC12	0.728422	4053	0.728422	12655
ABCC2	0.000000	17017	0.000000	17231
ABCC3	0.133539	14421	0.448706	13952
ABCC4	0.414478	8475	0.813581	12249
ABCC5	0.842295	3149	1.831095	3020
ABCC6	-	19006	-	19006
ABCC8	1.314920	1262	1.314920	8163
ABCC9	0.605725	5398	0.759537	12503
ABCD1	0.389166	9111	0.895975	11761
ABCD2	1.385001	1101	1.546384	5679
ABCD3	0.295823	11068	1.460463	6567
ABCD4	0.368935	9478	1.426674	6951
ABCE1	0.335643	10147	1.854708	2841
ABCF1	0.432406	8178	2.282340	869
ABCF2	0.588767	5658	1.574837	5402
ABCF3	0.291487	11158	1.766264	3578
ABCG1	0.435750	8120	1.568671	5481
ABCG2	0.872229	2967	0.965202	11282
ABCG4	0.841084	3158	0.856729	11968
ABCG5	0.000000	17016	0.000000	17230
ABCG8	0.000000	17015	0.000000	17229
ABHD1	0.404557	8665	0.463729	13798
ABHD10	0.470473	7426	1.741151	3783
ABHD11	0.293912	11100	1.263873	8685
ABHD12	0.511592	6728	2.030478	1778
ABHD12B	0.462398	7548	0.462398	13803
ABHD13	0.298660	11029	1.340840	7877
ABHD14A	0.837488	3187	1.775319	3490
ABHD14B	-0.340742	17231	1.416716	7053
ABHD15	0.160496	13487	0.501059	13737
ABHD16A	0.436866	8100	1.431685	6913
ABHD16B	-	19005	-	19005
ABHD17A	0.507704	6783	1.347915	7800
