gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.509620	6358	0.936011	11286
A1CF	0.000000	16965	0.000000	17239
A2M	0.883084	2746	1.933386	2099
A2ML1	0.895975	2665	0.895975	11561
A3GALT2	-	19008	-	19008
A4GALT	-0.035016	17047	0.629410	13076
A4GNT	0.000000	16964	0.000000	17238
AAAS	0.394252	8348	1.408410	6904
AACS	0.514518	6286	1.356217	7470
AADAC	0.000000	16963	0.000000	17237
AADACL2	0.000000	16962	0.000000	17236
AADACL3	0.000000	16961	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.848025	2959	1.417638	6811
AAED1	0.084293	14470	0.877753	11701
AAGAB	0.129179	14014	1.677881	4043
AAK1	0.826252	3090	1.514720	5779
AAMDC	0.306292	10251	1.168792	9391
AAMP	0.287955	10610	2.092721	1321
AANAT	0.000000	16960	0.000000	17234
AAR2	0.063101	14654	1.147058	9660
AARD	0.486607	6721	0.501059	13587
AARS	0.520088	6197	2.005009	1697
AARS2	0.418286	7940	1.629104	4521
AARSD1	0.273509	10869	1.645619	4365
AASDH	0.305207	10269	1.385491	7135
AASDHPPT	1.010206	2148	2.121461	1227
AASS	0.269860	10934	1.272538	8390
AATF	-0.042700	17057	1.426160	6723
AATK	1.884455	337	1.884455	2363
ABAT	1.836704	391	1.836704	2733
ABCA1	0.485721	6778	1.496791	5964
ABCA10	0.235528	11670	0.235528	14579
ABCA12	0.029384	15071	0.029384	15606
ABCA13	0.083473	14486	0.083473	15377
ABCA2	1.497817	841	2.016741	1637
ABCA3	1.260426	1370	1.988381	1780
ABCA4	0.227887	12038	0.227887	14791
ABCA5	0.664242	4445	1.696677	3873
ABCA6	0.250096	11246	0.709270	12653
ABCA7	0.514334	6293	1.091611	10138
ABCA8	0.763428	3571	1.638488	4449
ABCA9	0.407395	8124	0.709270	12652
ABCB1	0.866667	2844	1.464340	6310
ABCB10	0.097430	14353	0.772322	12321
ABCB11	0.000000	16959	0.000000	17233
ABCB4	0.272611	10880	0.421604	13888
ABCB5	0.000000	16958	0.000000	17232
ABCB6	0.341395	9430	0.772322	12320
ABCB7	0.306986	10239	1.556423	5306
ABCB8	0.290363	10567	1.388811	7112
ABCB9	1.106059	1794	1.255514	8562
ABCC1	0.354778	9185	1.012837	10790
ABCC10	0.545177	5865	1.212720	8993
ABCC11	0.000000	16957	0.000000	17231
ABCC12	0.831870	3057	0.831870	11977
ABCC2	0.000000	16956	0.000000	17230
ABCC3	0.133539	13963	0.448706	13788
ABCC4	0.233775	11701	0.699838	12676
ABCC5	0.688998	4182	1.677798	4044
ABCC6	-	19006	-	19006
ABCC8	1.347135	1169	1.347135	7577
ABCC9	0.480392	6847	0.670580	12796
ABCD1	0.008435	15321	0.783189	12250
ABCD2	1.270785	1344	1.432167	6664
ABCD3	0.366588	8978	1.338257	7685
ABCD4	0.449506	7324	1.536180	5538
ABCE1	0.121019	14097	1.640084	4435
ABCF1	0.278012	10782	1.981366	1804
ABCF2	0.625020	4858	1.617734	4640
ABCF3	0.223584	12107	1.698362	3862
ABCG1	0.537212	5974	1.503382	5893
ABCG2	0.899572	2642	1.014521	10739
ABCG4	0.871410	2823	0.887054	11624
ABCG5	0.133539	13962	0.133539	15311
ABCG8	0.133539	13961	0.133539	15310
ABHD1	0.306316	10248	0.365488	14120
ABHD10	0.492301	6633	1.762978	3330
ABHD11	0.260365	11084	1.060320	10392
ABHD12	0.490097	6665	2.008983	1676
ABHD12B	0.895423	2679	0.895423	11608
ABHD13	0.248300	11274	1.290480	8196
ABHD14A	0.768196	3512	1.747023	3474
ABHD14B	-0.387685	17230	1.369772	7347
ABHD15	0.027595	15123	0.322669	14151
ABHD16A	0.245477	11321	1.536180	5537
ABHD16B	-	19005	-	19005
ABHD17A	0.430615	7707	1.344589	7585
ABHD17B	0.596704	5151	1.488551	6037
ABHD17C	0.668382	4384	1.052694	10486
ABHD18	0.771045	3489	1.077004	10303
ABHD2	0.965202	2351	2.000599	1719
ABHD3	0.278038	10781	1.228400	8811
ABHD4	0.241194	11395	1.206556	9051
ABHD5	0.448740	7336	1.645619	4364
ABHD6	0.825295	3097	1.517196	5731
ABHD8	0.819601	3130	1.729327	3611
ABI1	0.311063	10158	1.690201	3946
ABI2	1.312743	1232	2.397818	545
ABI3	0.417976	7942	0.923124	11390
ABI3BP	0.447511	7429	1.158061	9522
ABL1	0.388373	8520	0.898176	11529
ABL2	0.674033	4325	1.369772	7346
ABLIM1	1.166129	1603	1.727704	3634
ABLIM2	1.383218	1086	1.651278	4309
ABLIM3	0.388917	8513	1.575765	5092
ABO	0.374748	8856	0.374748	14115
ABR	1.965390	271	2.177161	1054
ABRA	0.448706	7403	0.448706	13787
ABRACL	0.157158	13251	1.575765	5091
ABT1	-0.092721	17121	1.104146	10008
ABTB1	0.449834	7317	1.637690	4453
ABTB2	0.537579	5966	1.199481	9092
ACAA1	0.164628	13145	1.528274	5626
ACAA2	0.638638	4703	1.280806	8273
ACACA	1.019945	2107	1.444045	6519
ACACB	0.676365	4293	0.996512	10884
ACAD10	0.251221	11233	1.240799	8730
ACAD11	0.398232	8281	0.697229	12729
ACAD8	0.413359	8021	1.622110	4589
ACAD9	0.133539	13960	1.530584	5590
ACADL	0.374748	8855	0.374748	14114
ACADM	0.662356	4463	1.502253	5900
ACADS	0.227887	12037	0.939519	11233
ACADSB	0.467142	7062	1.432488	6644
ACADVL	0.330545	9646	2.000608	1718
ACAN	0.679693	4261	0.755875	12448
ACAP1	0.000000	16955	0.074922	15407
ACAP2	0.711055	3965	1.581950	5026
ACAP3	0.701680	4064	1.209247	9028
ACAT1	0.288361	10599	1.857995	2564
ACAT2	0.904255	2624	1.640084	4434
ACBD3	-0.024123	17022	1.829818	2776
ACBD4	0.619938	4919	1.032216	10648
ACBD5	0.636332	4727	1.160984	9486
ACBD6	0.315139	10080	1.444045	6518
ACBD7	1.737194	510	1.974512	1846
ACCS	0.437792	7592	0.846337	11902
ACCSL	-	19004	-	19004
ACD	0.735410	3759	1.035430	10609
ACE	0.795526	3319	1.242044	8676
ACE2	0.027595	15122	0.027595	15644
ACER1	0.000000	16954	0.000000	17229
ACER2	0.729958	3810	1.046495	10530
ACER3	0.260711	11077	1.379306	7221
ACHE	1.125481	1724	1.304921	8019
ACIN1	0.640747	4686	2.155336	1122
ACKR1	1.395850	1059	1.395850	7031
ACKR2	0.530777	6051	0.763428	12383
ACKR3	0.531947	6034	1.876045	2426
ACKR4	0.000000	16953	0.029384	15605
ACLY	0.274797	10839	1.617839	4627
ACMSD	0.000000	16952	0.000000	17228
ACO1	-0.127156	17148	1.396786	7012
ACO2	0.851971	2936	2.613366	298
ACOD1	0.000000	16951	0.000000	17227
ACOT1	0.176250	12988	0.227887	14790
ACOT11	0.799391	3288	0.890421	11618
ACOT12	0.133539	13959	0.133539	15309
ACOT13	0.263736	11035	1.580241	5044
