gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.229647	7011	0.791494	10610
A1CF	0.000000	16013	0.000000	17239
A2M	0.653055	2333	1.703357	2201
A2ML1	0.524741	3150	0.524741	12223
A3GALT2	-	19008	-	19008
A4GALT	-0.198294	17013	0.497156	12374
A4GNT	0.000000	16012	0.000000	17238
AAAS	0.106421	10083	1.128624	7552
AACS	0.163630	8521	0.731665	11064
AADAC	0.000000	16011	0.000000	17237
AADACL2	0.000000	16010	0.000000	17236
AADACL3	0.000000	16009	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.297815	5705	0.867428	10016
AAED1	0.023145	12730	1.014287	8708
AAGAB	-0.039158	16430	1.509544	3693
AAK1	0.535363	3066	1.194953	6838
AAMDC	0.052863	11733	1.064814	8204
AAMP	0.342900	5006	1.837157	1472
AANAT	0.000000	16008	0.000000	17234
AAR2	0.051510	11761	1.020569	8652
AARD	0.143425	9062	0.157878	13957
AARS	0.202135	7594	1.814211	1578
AARS2	0.076395	11110	1.287212	5875
AARSD1	0.364572	4732	1.446244	4264
AASDH	0.353006	4871	1.433290	4374
AASDHPPT	0.586729	2730	1.808968	1608
AASS	0.267894	6250	1.308464	5637
AATF	-0.131923	16861	1.336937	5350
AATK	1.509635	374	1.509635	3691
ABAT	1.625026	290	1.916830	1158
ABCA1	0.284295	5937	1.677694	2385
ABCA10	0.111485	9917	0.111485	14221
ABCA12	0.000000	16007	0.000000	17233
ABCA13	0.163899	8515	0.163899	13915
ABCA2	1.019358	1071	1.604642	2960
ABCA3	0.674015	2230	1.401969	4693
ABCA4	0.092154	10617	0.092154	14433
ABCA5	0.394446	4339	1.426882	4443
ABCA6	0.095104	10400	0.418086	12736
ABCA7	0.145413	9018	0.814489	10449
ABCA8	0.617161	2543	1.346536	5230
ABCA9	0.122190	9632	0.332716	13140
ABCB1	0.842967	1566	1.440640	4314
ABCB10	-0.023629	16263	0.526436	12215
ABCB11	0.043445	12316	0.043445	14950
ABCB4	0.134119	9293	0.283111	13350
ABCB5	0.000000	16006	0.000000	17232
ABCB6	0.161759	8579	0.592686	11878
ABCB7	0.158712	8650	1.408150	4633
ABCB8	0.122382	9628	1.186407	6929
ABCB9	0.520898	3191	0.713951	11173
ABCC1	0.000000	16005	0.941483	9380
ABCC10	0.056881	11636	0.724424	11106
ABCC11	0.000000	16004	0.000000	17231
ABCC12	0.074585	11180	0.074585	14591
ABCC2	0.000000	16003	0.000000	17230
