gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.297458	8993	1.171086	8452
A1CF	0.000000	16750	0.000000	17239
A2M	0.965574	1867	1.804616	2666
A2ML1	1.267641	1020	1.267641	7538
A3GALT2	-	19008	-	19008
A4GALT	-0.158480	17096	0.536969	12787
A4GNT	0.000000	16749	0.000000	17238
AAAS	0.378775	7503	1.212986	8063
AACS	0.391015	7080	0.911927	10719
AADAC	0.000000	16748	0.000000	17237
AADACL2	0.000000	16747	0.000000	17236
AADACL3	0.000000	16746	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.380674	7469	0.864947	11077
AAED1	0.036838	13794	1.031232	9710
AAGAB	0.142999	12382	1.691700	3500
AAK1	0.906829	2082	1.250176	7706
AAMDC	0.083846	13309	1.267641	7537
AAMP	0.555515	4692	1.799027	2697
AANAT	0.000000	16745	0.000000	17234
AAR2	0.331363	8393	1.212986	8062
AARD	0.489338	5540	0.503791	13057
AARS	0.331525	8390	1.913019	2020
AARS2	0.111576	12827	1.322394	6962
AARSD1	0.730782	3071	1.671913	3672
AASDH	0.493631	5475	1.573915	4527
AASDHPPT	0.945577	1933	2.089481	1217
AASS	0.438307	6310	1.500374	5221
AATF	0.045688	13727	1.514548	5055
AATK	1.698199	429	1.698199	3430
ABAT	1.751818	379	1.936715	1871
ABCA1	0.188777	11666	1.582177	4452
ABCA10	0.667453	3569	0.667453	12295
ABCA12	0.000000	16744	0.000000	17233
ABCA13	0.238046	10648	0.238046	14385
ABCA2	1.350837	865	1.748051	3068
ABCA3	0.667005	3579	1.394959	6242
ABCA4	0.089905	13253	0.089905	14796
ABCA5	0.423323	6547	1.455758	5647
ABCA6	0.292819	9103	0.526434	12793
ABCA7	0.697342	3274	1.023235	9766
ABCA8	1.231979	1094	1.660522	3761
ABCA9	0.338890	8213	0.593286	12648
ABCB1	1.275706	993	1.873379	2220
ABCB10	0.230602	10767	0.648360	12348
ABCB11	0.000000	16743	0.000000	17232
ABCB4	0.089054	13264	0.238046	14384
ABCB5	0.000000	16742	0.000000	17231
ABCB6	0.355272	7933	0.786199	11507
ABCB7	0.332853	8351	1.582291	4439
ABCB8	0.293215	9092	1.399328	6210
ABCB9	0.790807	2651	1.036629	9694
