gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.228373	9079	0.963282	10067
A1CF	0.000000	16621	0.000000	17239
A2M	0.735964	2366	1.786266	2226
A2ML1	0.797268	2085	0.797268	11339
A3GALT2	-	19008	-	19008
A4GALT	0.239554	8868	0.935003	10321
A4GNT	0.000000	16620	0.000000	17238
AAAS	0.467822	4525	1.207312	7671
AACS	-0.041880	16838	0.935003	10320
AADAC	0.000000	16619	0.000000	17237
AADACL2	0.000000	16618	0.000000	17236
AADACL3	0.000000	16617	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.401182	5514	0.970795	9929
AAED1	0.000189	14290	1.104146	8766
AAGAB	0.016320	14143	1.565021	3946
AAK1	0.461615	4599	1.328304	6328
AAMDC	0.326247	6964	1.194237	7802
AAMP	0.465290	4551	1.919178	1541
AANAT	0.000000	16616	0.000000	17234
AAR2	0.164032	11177	1.142702	8355
AARD	0.322007	7038	0.336460	13622
AARS	0.459294	4619	1.883945	1711
AARS2	0.133182	11782	1.343999	6186
AARSD1	0.336460	6798	1.398114	5581
AASDH	0.332923	6839	1.413207	5379
AASDHPPT	0.797864	2054	1.811843	2073
AASS	0.623137	3020	1.685204	2945
AATF	0.055189	13467	1.524049	4335
AATK	2.236430	62	2.236430	586
ABAT	1.437116	535	1.957176	1401
ABCA1	0.418454	5259	1.811854	2059
ABCA10	0.133109	11788	0.133109	14489
ABCA12	0.000000	16615	0.000000	17233
ABCA13	0.201397	10365	0.201397	14398
ABCA2	1.928502	158	2.386877	387
ABCA3	0.739094	2348	1.467048	4839
ABCA4	0.000000	16614	0.000000	17232
ABCA5	0.510487	4014	1.354065	6060
ABCA6	0.600649	3173	1.059823	9208
ABCA7	0.186289	10641	0.935003	10319
ABCA8	1.104086	1098	2.044882	1072
ABCA9	0.149352	11470	0.440909	13159
ABCB1	1.132382	1018	1.730055	2609
ABCB10	-0.048106	16869	0.707570	11873
ABCB11	0.000000	16613	0.000000	17231
ABCB4	0.158368	11293	0.307361	13659
ABCB5	0.000000	16612	0.000000	17230
ABCB6	0.276643	8073	0.707570	11872
ABCB7	0.015483	14151	1.264920	7029
ABCB8	0.214744	9398	1.347040	6105
ABCB9	0.328214	6934	0.797268	11338
ABCC1	0.132723	11796	1.177825	7981
ABCC10	0.242998	8804	0.904716	10562
ABCC11	0.000000	16611	0.000000	17229
ABCC12	0.113481	12499	0.113481	14825
ABCC2	0.000000	16610	0.000000	17228
ABCC3	0.040445	13657	0.131484	14522
ABCC4	0.318696	7124	1.083861	8974
ABCC5	0.576335	3411	1.565135	3918
ABCC6	-	19006	-	19006
ABCC8	0.785828	2129	0.785828	11360
ABCC9	0.602489	3162	0.756302	11446
ABCD1	0.000000	16609	0.836324	11091
ABCD2	1.171056	946	1.332438	6313
ABCD3	0.292546	7702	1.349037	6090
ABCD4	0.316361	7179	1.448784	5005
ABCE1	0.052761	13498	1.571825	3885
ABCF1	0.139384	11655	1.989319	1274
ABCF2	0.161776	11230	1.374387	5836
ABCF3	0.071911	13153	1.546689	4096
ABCG1	0.577342	3404	1.710263	2764
ABCG2	0.963788	1485	0.963788	10062
ABCG4	0.523746	3909	0.523746	12792
ABCG5	0.000000	16608	0.000000	17227
ABCG8	0.000000	16607	0.000000	17226
ABHD1	0.394320	5608	0.453491	12900
ABHD10	0.307758	7355	1.578435	3802
ABHD11	0.160113	11268	1.015779	9626
ABHD12	0.336460	6797	1.781295	2257
ABHD12B	0.549478	3609	0.549478	12521
ABHD13	0.135645	11723	1.177825	7980
ABHD14A	0.454658	4671	1.571825	3884
ABHD14B	-0.455183	17231	1.302275	6605
ABHD15	0.018968	14112	0.201265	14400
ABHD16A	0.272267	8162	1.399074	5522
ABHD16B	-	19005	-	19005
ABHD17A	0.310221	7306	1.177825	7979
ABHD17B	0.632612	2963	1.633255	3375
ABHD17C	0.410657	5391	1.123852	8546
ABHD18	0.391504	5661	0.836324	11090
ABHD2	0.205530	9608	1.860038	1824
ABHD3	0.259956	8419	1.210319	7655
ABHD4	0.035708	13713	1.309812	6513
ABHD5	0.582357	3365	1.779236	2272
ABHD6	0.646197	2878	1.338098	6217
ABHD8	0.164563	11164	1.074289	9023
ABI1	0.282649	7947	1.656434	3178
ABI2	0.762391	2216	1.824353	1994
ABI3	0.537685	3712	1.042833	9282
ABI3BP	0.225023	9158	0.940575	10138
ABL1	0.158957	11284	1.160469	8164
ABL2	0.432926	5054	1.002653	9679
ABLIM1	1.102695	1101	1.664270	3107
ABLIM2	0.835997	1922	0.986731	9860
ABLIM3	0.483555	4310	1.803935	2129
ABO	0.332725	6844	0.458571	12886
ABR	1.104146	1097	1.676471	3002
ABRA	0.000000	16606	0.000000	17225
ABRACL	0.155527	11342	1.194237	7801
ABT1	-0.181087	17142	1.015779	9625
ABTB1	0.336460	6796	1.396406	5593
ABTB2	0.769178	2190	1.355452	6057
ACAA1	0.164780	11156	1.646796	3269
ACAA2	0.543519	3660	1.177825	7978
ACACA	0.638106	2936	1.240549	7332
ACACB	0.763929	2209	1.084076	8870
ACAD10	0.035675	13715	1.025253	9466
ACAD11	0.620245	3040	0.953691	10099
ACAD8	0.327554	6942	1.536306	4226
ACAD9	0.201397	10364	1.455302	4975
ACADL	0.201397	10363	0.201397	14397
ACADM	0.322662	7028	1.573698	3832
ACADS	0.252239	8596	1.139874	8366
ACADSB	0.458289	4635	1.467535	4836
ACADVL	0.379360	5849	2.093387	923
ACAN	1.379120	602	1.455302	4974
ACAP1	0.224547	9169	0.336649	13333
ACAP2	0.554327	3571	1.658107	3167
ACAP3	0.469552	4498	1.053176	9241
ACAT1	0.234491	8977	1.825661	1989
ACAT2	0.328268	6931	1.464042	4887
ACBD3	0.023315	13875	1.877256	1744
ACBD4	0.384989	5759	0.797268	11337
ACBD5	0.879322	1723	1.306150	6587
ACBD6	0.162064	11221	1.343999	6185
ACBD7	1.642408	339	1.879726	1730
ACCS	0.247258	8704	0.594393	12447
ACCSL	-	19004	-	19004
ACD	0.315995	7188	0.836745	10943
ACE	0.080747	13014	0.527265	12559
ACE2	0.034601	13782	0.034601	15027
ACER1	0.000000	16605	0.000000	17224
ACER2	0.617672	3062	0.934209	10327
ACER3	0.645609	2880	1.764204	2357
ACHE	1.166179	955	1.557988	4015
ACIN1	0.277194	8060	2.093010	924
ACKR1	1.819610	206	1.819610	2029
ACKR2	0.402910	5488	0.635560	12194
ACKR3	0.404478	5461	1.748576	2477
ACKR4	0.096762	12752	0.201397	14396
ACLY	0.113541	12162	1.408240	5459
ACMSD	0.000000	16604	0.000000	17223
ACO1	-0.125828	17076	1.398114	5580
ACO2	0.367175	6055	2.128571	824
ACOD1	0.000000	16603	0.000000	17222
ACOT1	0.175877	10908	0.219655	13794
ACOT11	0.807815	2020	0.898845	10582
ACOT12	0.201397	10362	0.201397	14395
ACOT13	0.105076	12628	1.503268	4519
ACOT2	0.201397	10361	1.142702	8354
ACOT4	0.062209	13352	0.201397	14394
ACOT6	-	19003	-	19003
ACOT7	0.746798	2316	1.598353	3651
ACOT8	0.184465	10674	1.585235	3752
ACOT9	0.000000	16602	1.332438	6312
ACOX1	0.395564	5594	1.464042	4886
ACOX2	0.092900	12811	0.577312	12478
ACOX3	0.146059	11548	1.083861	8973
ACOXL	0.113481	12498	0.113481	14824
ACP1	0.124242	11967	1.723656	2655
ACP2	0.284060	7901	1.557988	4014
ACP5	0.035540	13719	0.132450	14515
ACP6	0.057094	13432	0.680147	11930
ACP7	-	19002	-	19002
ACPP	0.411940	5373	0.592351	12450
ACPT	-	19001	-	19001
ACR	0.000000	16601	0.000000	17221
ACRBP	0.245107	8752	0.491689	12828
ACRC	0.000000	16600	0.000000	17220
ACRV1	0.000000	16599	0.000000	17219
ACSBG1	2.143846	83	2.143846	783
ACSBG2	0.201397	10360	0.201397	14393
ACSF2	0.000000	16598	0.654177	12149
ACSF3	0.150760	11447	0.963788	10061
ACSL1	1.366472	616	1.453795	4985
ACSL3	0.546371	3635	2.507788	265
ACSL4	0.301778	7502	1.635182	3369
ACSL5	0.627784	2992	1.505693	4508
ACSL6	1.225568	866	1.225568	7497
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16597	0.000000	17218
ACSM2B	0.000000	16596	0.000000	17217
ACSM3	0.000000	16595	0.034601	15026
ACSM4	-	18999	-	18999
ACSM5	0.360377	6164	0.360377	13292
ACSM6	0.000000	16594	0.000000	17216
ACSS1	0.785011	2130	1.872807	1760
ACSS2	0.361514	6145	1.201933	7694
ACSS3	0.459579	4611	1.033629	9431
ACTA1	0.336460	6795	0.336460	13621
ACTA2	0.320979	7067	0.940485	10139
ACTB	0.236251	8941	3.447880	8
ACTBL2	0.201397	10359	0.201397	14392
ACTC1	0.093892	12799	0.201397	14391
ACTG1	0.440909	4944	3.383792	10
ACTG2	0.000000	16593	0.594393	12446
ACTL10	0.084338	12968	0.201397	14390
ACTL6A	0.222499	9223	1.424433	5286
ACTL6B	1.177825	933	1.177825	7977
ACTL7A	0.000000	16592	0.000000	17215
ACTL7B	0.000000	16591	0.000000	17214
ACTL8	0.000000	16590	0.000000	17213
ACTL9	0.000000	16589	0.000000	17212
ACTN1	0.000000	16588	1.783475	2250
