gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.329524	7520	0.895975	10731
A1CF	0.000000	16589	0.000000	17239
A2M	0.668614	3167	1.718916	2694
A2ML1	0.853698	2131	0.853698	11091
A3GALT2	-	19008	-	19008
A4GALT	-0.074476	16913	0.589950	12723
A4GNT	0.000000	16588	0.000000	17238
AAAS	0.209061	10403	1.120344	8616
AACS	0.332787	7473	1.246006	7271
AADAC	0.000000	16587	0.000000	17237
AADACL2	0.000000	16586	0.000000	17236
AADACL3	0.133539	12578	0.133539	15053
AADACL4	-	19007	-	19007
AADAT	0.291441	8416	0.831230	11253
AAED1	0.147847	11717	1.059942	9248
AAGAB	-0.019221	16692	1.529480	4323
AAK1	0.788300	2419	1.355643	6105
AAMDC	0.025183	14188	1.208979	7672
AAMP	0.318063	7927	1.899141	1621
AANAT	0.000000	16585	0.000000	17235
AAR2	0.108233	12960	1.123525	8599
AARD	0.221076	10154	0.235528	14405
AARS	0.298289	8274	1.847511	1872
AARS2	0.215043	10285	1.425860	5338
AARSD1	0.102789	13058	1.486147	4730
AASDH	0.246663	9332	1.326947	6413
AASDHPPT	0.781275	2466	2.024486	1135
AASS	0.286627	8519	1.348694	6179
AATF	-0.094804	16972	1.374057	5893
AATK	1.555498	504	1.555498	4042
ABAT	1.582291	479	1.671173	3075
ABCA1	0.183262	10955	1.543696	4183
ABCA10	0.203032	10557	0.203032	14452
ABCA12	0.000000	16584	0.000000	17234
ABCA13	0.000000	16583	0.000000	17233
ABCA2	1.336863	800	1.760567	2405
ABCA3	0.959163	1710	1.687117	2931
ABCA4	0.133539	12577	0.133539	15052
ABCA5	0.527481	4460	1.559917	4008
ABCA6	0.203123	10531	0.662298	12323
ABCA7	0.797789	2389	1.112102	8664
ABCA8	0.633721	3435	1.574517	3865
ABCA9	0.288075	8487	0.589950	12722
ABCB1	0.883339	1992	1.481012	4786
ABCB10	-0.067074	16891	0.643929	12367
ABCB11	0.000000	16582	0.000000	17232
ABCB4	0.240173	9447	0.389166	13679
ABCB5	0.000000	16581	0.000000	17231
ABCB6	0.484473	4966	0.915400	10580
ABCB7	0.014199	14274	1.263636	7084
ABCB8	0.382814	6620	1.213068	7585
ABCB9	0.821978	2270	1.246006	7270
ABCC1	0.136206	11927	1.017033	9653
ABCC10	0.396937	6242	0.875640	10920
ABCC11	0.000000	16580	0.000000	17230
ABCC12	0.415166	5972	0.415166	13469
ABCC2	0.000000	16579	0.000000	17229
ABCC3	0.133539	12576	0.133539	15051
ABCC4	0.233775	9915	0.793266	11448
ABCC5	0.642044	3370	1.630844	3383
ABCC6	-	19006	-	19006
ABCC8	0.885107	1985	0.885107	10779
ABCC9	0.493367	4860	0.620679	12536
ABCD1	0.235528	9881	0.782473	11577
ABCD2	1.240914	967	1.402297	5565
ABCD3	0.152570	11553	1.317210	6517
ABCD4	0.368935	6846	1.304275	6654
ABCE1	0.040132	13888	1.559197	4014
ABCF1	0.194704	10741	1.983276	1266
ABCF2	0.588767	3846	1.502124	4558
ABCF3	0.159100	11435	1.633878	3360
ABCG1	0.342895	7293	1.475816	4826
ABCG2	0.872229	2045	0.872229	10935
ABCG4	0.608721	3653	0.624365	12530
ABCG5	0.000000	16578	0.000000	17228
ABCG8	0.000000	16577	0.000000	17227
ABHD1	0.404557	6135	0.463729	13230
