gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.586288	8825	1.171086	11597
A1CF	0.000000	17218	0.000000	17239
A2M	1.166075	2824	2.216377	1742
A2ML1	1.509874	1504	1.509874	8120
A3GALT2	-	19008	-	19008
A4GALT	0.239554	14789	0.935003	13127
A4GNT	0.029384	16611	0.029384	16649
AAAS	0.681334	7254	1.665581	6349
AACS	0.589678	8753	1.579441	7340
AADAC	0.426511	11854	0.426511	14896
AADACL2	0.000000	17217	0.000000	17238
AADACL3	0.133539	16016	0.133539	16190
AADACL4	-	19007	-	19007
AADAT	0.848025	5207	1.417638	9186
AAED1	0.229318	15084	1.104146	12120
AAGAB	0.326997	13713	1.875698	4127
AAK1	1.185340	2713	2.003485	3038
AAMDC	0.557695	9332	1.442837	8896
AAMP	0.555515	9369	2.092721	2390
AANAT	2.596552	117	2.596552	623
AAR2	0.406212	12213	1.350829	9893
AARD	0.489338	10652	0.503791	14674
AARS	0.579493	8946	2.060414	2596
AARS2	0.418286	12002	1.629104	6780
AARSD1	0.730782	6589	1.671913	6286
AASDH	0.595031	8628	1.675315	6238
AASDHPPT	1.102112	3173	2.171609	1974
AASS	0.759577	6233	1.821645	4668
AATF	0.126856	16124	1.595717	7158
AATK	2.512418	155	2.512418	800
ABAT	1.964475	599	1.964475	3360
ABCA1	0.485721	10730	1.836007	4526
ABCA10	0.841359	5269	0.841359	13557
ABCA12	0.283755	14289	0.283755	15339
ABCA13	0.458881	11192	0.458881	14793
ABCA2	2.174494	381	2.539866	743
ABCA3	1.354795	2000	2.082749	2447
ABCA4	0.968016	4090	0.968016	12952
ABCA5	1.064611	3392	2.097047	2371
ABCA6	0.860351	5067	1.319526	10223
ABCA7	1.545931	1413	2.189133	1877
ABCA8	1.306211	2174	2.044882	2711
ABCA9	0.833316	5366	1.109916	12076
ABCB1	1.275706	2281	1.873379	4149
ABCB10	0.267242	14448	1.071034	12356
ABCB11	0.043445	16480	0.043445	16531
ABCB4	0.390084	12534	0.539076	14552
ABCB5	0.240549	14780	0.240549	15506
ABCB6	0.646441	7767	1.077368	12312
ABCB7	0.332853	13620	1.582291	7313
ABCB8	0.382814	12733	1.485474	8406
ABCB9	1.164017	2835	1.257439	10811
ABCC1	0.521312	9999	1.177825	11542
ABCC10	0.545177	9567	1.212720	11209
ABCC11	0.130334	16063	0.130334	16221
ABCC12	0.831870	5381	0.831870	13607
ABCC2	0.127105	16123	0.127105	16266
ABCC3	0.509639	10216	1.280641	10598
ABCC4	0.458089	11202	1.202792	11300
ABCC5	0.853809	5142	1.842609	4450
ABCC6	-	19006	-	19006
