gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.586288	8252	1.171086	11229
A1CF	0.000000	17212	0.000000	17239
A2M	1.166075	2511	2.216377	1625
A2ML1	1.322012	1863	1.322012	9820
A3GALT2	-	19008	-	19008
A4GALT	0.239554	14456	0.935003	12792
A4GNT	0.029384	16493	0.029384	16538
AAAS	0.657359	7062	1.665581	6038
AACS	0.589678	8183	1.579441	6997
AADAC	0.426511	11291	0.426511	14667
AADACL2	0.000000	17211	0.000000	17238
AADACL3	0.133539	15833	0.133539	16050
AADACL4	-	19007	-	19007
AADAT	0.848025	4734	1.417638	8812
AAED1	0.229318	14740	1.104146	11736
AAGAB	0.224207	14883	1.772908	4883
AAK1	1.185340	2414	2.003485	2836
AAMDC	0.557695	8746	1.442837	8533
AAMP	0.555515	8781	2.092721	2239
AANAT	0.240549	14446	0.240549	15310
AAR2	0.406212	11665	1.350829	9521
AARD	0.489338	10066	0.503791	14439
AARS	0.579493	8362	2.060414	2430
AARS2	0.418286	11438	1.629104	6447
AARSD1	0.730782	6079	1.671913	5976
AASDH	0.595031	8055	1.675315	5928
AASDHPPT	1.102112	2826	2.171609	1832
AASS	0.759577	5706	1.821645	4401
AATF	0.126856	15960	1.595717	6814
AATK	2.512418	118	2.512418	736
ABAT	1.864926	633	1.957176	3189
ABCA1	0.485721	10148	1.836007	4254
ABCA10	0.841359	4791	0.841359	13246
ABCA12	0.127105	15958	0.127105	16145
ABCA13	0.262071	14134	0.262071	15179
ABCA2	2.174494	313	2.539866	682
ABCA3	1.354795	1765	2.082749	2293
ABCA4	0.968016	3675	0.968016	12610
ABCA5	0.736208	6001	1.760149	5012
ABCA6	0.860351	4596	1.319526	9849
ABCA7	0.797789	5259	1.252939	10503
ABCA8	1.231979	2204	2.044882	2539
ABCA9	0.833316	4886	1.109916	11691
ABCB1	1.275706	2008	1.873379	3902
ABCB10	0.267242	14054	1.071034	11989
ABCB11	0.043445	16360	0.043445	16418
ABCB4	0.390084	12017	0.539076	14303
ABCB5	0.240549	14445	0.240549	15309
ABCB6	0.646441	7222	1.077368	11946
ABCB7	0.332853	13128	1.582291	6969
ABCB8	0.382814	12201	1.485474	8047
ABCB9	1.164017	2523	1.257439	10440
ABCC1	0.521312	9398	1.177825	11176
ABCC10	0.545177	8974	1.212720	10854
ABCC11	0.130334	15884	0.130334	16088
ABCC12	0.831870	4899	0.831870	13302
ABCC2	0.127105	15957	0.127105	16144
ABCC3	0.509639	9615	1.280641	10219
ABCC4	0.458089	10633	1.202792	10942
ABCC5	0.853809	4673	1.842609	4180
ABCC6	-	19006	-	19006
ABCC8	1.358886	1752	1.358886	9442
ABCC9	0.751784	5818	0.879096	13088
ABCD1	0.389166	12099	0.895975	13009
ABCD2	1.437189	1520	1.598572	6770
ABCD3	0.394678	11868	1.502304	7851
ABCD4	0.449506	10798	1.536180	7476
ABCE1	0.409996	11596	1.929061	3417
ABCF1	0.625084	7582	2.282340	1384
ABCF2	0.665386	6931	1.648360	6236
ABCF3	0.291487	13808	1.766264	4956
ABCG1	0.695163	6529	1.828084	4337
ABCG2	1.077368	2968	1.143327	11416
ABCG4	0.974694	3624	0.990339	12474
ABCG5	0.133539	15832	0.133539	16049
ABCG8	0.133539	15831	0.133539	16048
ABHD1	0.458024	10636	0.517196	14361
ABHD10	0.492301	10000	1.762978	4984
ABHD11	0.323061	13259	1.263873	10381
ABHD12	0.511592	9577	2.030478	2638
ABHD12B	1.176381	2462	1.176381	11186
ABHD13	0.317111	13425	1.359291	9439
ABHD14A	0.837488	4833	1.801952	4597
ABHD14B	-0.340742	17239	1.416716	8818
ABHD15	0.224184	14884	0.564747	14238
ABHD16A	0.576341	8411	1.547529	7339
ABHD16B	-	19005	-	19005
ABHD17A	0.507704	9697	1.403807	8950
ABHD17B	0.924515	4024	1.925157	3450
ABHD17C	0.960036	3754	1.304491	9985
ABHD18	0.771045	5564	1.077004	11954
ABHD2	0.965202	3700	2.060358	2431
ABHD3	0.514872	9520	1.465234	8279
ABHD4	0.339953	12990	1.621903	6514
ABHD5	0.582357	8318	1.779236	4816
ABHD6	1.018640	3313	1.710540	5543
ABHD8	0.851525	4692	1.761251	5007
ABI1	0.611708	7769	1.908270	3599
ABI2	1.312743	1890	2.397818	1000
ABI3	0.768779	5593	1.273927	10293
ABI3BP	0.784558	5412	1.476397	8160
ABL1	0.388373	12116	1.363800	9381
ABL2	0.728413	6110	1.369772	9329
ABLIM1	1.230256	2215	1.791831	4687
ABLIM2	1.653446	1007	1.752279	5099
ABLIM3	0.798701	5250	1.986682	2963
ABO	0.654606	7111	0.654606	13940
ABR	2.011232	466	2.291058	1363
ABRA	0.629410	7514	0.629410	14033
ABRACL	0.433061	11152	1.722221	5427
ABT1	0.047163	16347	1.244030	10587
ABTB1	0.831870	4898	1.740126	5221
ABTB2	0.769178	5591	1.380392	9201
ACAA1	0.282263	13912	1.646796	6248
ACAA2	0.638638	7373	1.474330	8175
ACACA	1.063604	3042	1.487704	8018
ACACB	0.960710	3747	1.174594	11196
ACAD10	0.285964	13864	1.275542	10274
ACAD11	0.622547	7610	0.953691	12703
ACAD8	0.477616	10308	1.686368	5793
ACAD9	0.225309	14875	1.545925	7356
ACADL	0.574031	8462	0.574031	14200
ACADM	0.818469	5030	1.773071	4879
ACADS	0.252239	14215	1.139874	11441
ACADSB	0.641683	7324	1.612503	6623
ACADVL	0.507761	9696	2.181014	1792
ACAN	1.379120	1687	1.455302	8389
ACAP1	0.224547	14879	0.336649	14947
ACAP2	0.733935	6023	1.717837	5471
ACAP3	0.786539	5385	1.442793	8545
ACAT1	0.368953	12492	1.857995	4050
ACAT2	0.909955	4152	2.311399	1289
ACBD3	0.112871	16095	1.966813	3117
ACBD4	0.685543	6642	1.097821	11788
ACBD5	0.900599	4231	1.377656	9229
ACBD6	0.413081	11531	1.494850	7944
ACBD7	1.939206	533	2.176524	1818
ACCS	0.437792	11059	0.846337	13221
ACCSL	-	19004	-	19004
ACD	0.981269	3583	1.313656	9906
ACE	0.840612	4803	1.287130	10154
ACE2	0.053078	16339	0.053078	16407
ACER1	0.000000	17210	0.000000	17237
ACER2	0.955769	3787	1.272306	10301
ACER3	0.767276	5611	1.885870	3788
ACHE	1.220631	2251	1.576917	7008
ACIN1	0.641675	7325	2.155336	1912
ACKR1	1.819610	725	1.819610	4418
ACKR2	0.578254	8379	0.810904	13375
ACKR3	1.022064	3286	2.366161	1101
ACKR4	0.413879	11511	0.518514	14358
ACLY	0.489544	10064	1.784243	4760
ACMSD	0.000000	17209	0.000000	17236
ACO1	-0.033851	17222	1.490090	7996
ACO2	0.851971	4686	2.613366	542
ACOD1	0.000000	17208	0.000000	17235
ACOT1	0.369967	12482	0.421604	14678
ACOT11	0.874172	4476	0.965202	12630
ACOT12	0.318063	13419	0.318063	15067
ACOT13	0.263736	14115	1.683612	5841
ACOT2	0.727541	6143	1.246499	10575
ACOT4	0.603537	7904	0.742725	13641
ACOT6	-	19003	-	19003
ACOT7	1.114769	2761	1.945419	3284
ACOT8	0.406292	11664	1.807061	4544
ACOT9	0.130334	15883	1.579667	6995
ACOX1	0.586805	8243	1.590507	6867
ACOX2	1.125318	2700	1.156417	11345
ACOX3	0.475716	10345	1.141858	11429
ACOXL	0.230449	14725	0.230449	15495
ACP1	0.244438	14299	2.051770	2490
ACP2	0.284060	13881	1.752586	5097
ACP5	0.143639	15561	0.283301	15135
ACP6	0.892905	4307	1.275834	10270
ACP7	-	19002	-	19002
ACPP	0.744902	5889	0.925312	12866
ACPT	-	19001	-	19001
ACR	0.130334	15882	0.130334	16087
ACRBP	0.245107	14291	0.491689	14483
ACRC	0.320146	13374	0.320146	15042
ACRV1	0.000000	17207	0.000000	17234
ACSBG1	2.143846	338	2.143846	1975
ACSBG2	0.201397	15128	0.201397	15664
ACSF2	0.129709	15887	0.912322	12924
ACSF3	0.371592	12459	1.091315	11830
ACSL1	1.566555	1185	1.566555	7125
ACSL3	0.778328	5491	2.507788	743
ACSL4	0.873947	4477	2.110825	2142
ACSL5	0.627784	7548	1.505693	7821
ACSL6	1.630631	1051	1.630631	6418
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17206	0.000000	17233
ACSM2B	0.000000	17205	0.000000	17232
ACSM3	0.240549	14444	0.240549	15308
ACSM4	-	18999	-	18999
