gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.368322	8777	1.143434	9648
A1CF	0.000000	16924	0.000000	17239
A2M	0.951864	2465	2.002166	1856
A2ML1	1.509874	870	1.509874	5789
A3GALT2	-	19008	-	19008
A4GALT	0.074744	14487	0.770193	12440
A4GNT	0.000000	16923	0.000000	17238
AAAS	0.681334	4195	1.322933	7806
AACS	0.191116	12625	1.140822	9706
AADAC	0.000000	16922	0.000000	17237
AADACL2	0.000000	16921	0.000000	17236
AADACL3	0.000000	16920	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.461530	7045	1.031143	10720
AAED1	0.184398	12738	0.976556	11170
AAGAB	0.326997	9651	1.875698	2552
AAK1	1.032145	2134	1.927481	2245
AAMDC	0.387962	8249	1.142389	9655
AAMP	0.496930	6497	1.983852	1943
AANAT	2.596552	64	2.596552	322
AAR2	0.324502	9697	1.096215	10109
AARD	0.000000	16919	0.013798	15861
AARS	0.409237	7905	2.021313	1742
AARS2	0.138060	13532	1.348877	7534
AARSD1	0.287802	10433	1.528660	5598
AASDH	0.536959	5839	1.617243	4681
AASDHPPT	1.009413	2232	2.066065	1544
AASS	0.391477	8179	1.451061	6411
AATF	0.126856	13678	1.595717	4932
AATK	2.143017	210	2.143017	1236
ABAT	1.964475	326	1.964475	2048
ABCA1	0.325102	9686	1.718502	3750
ABCA10	0.786403	3434	0.786403	12309
ABCA12	0.283755	10500	0.283755	14413
ABCA13	0.458881	7089	0.458881	13787
ABCA2	1.840760	432	2.281209	854
ABCA3	1.007964	2237	1.735918	3599
ABCA4	0.300404	10169	0.300404	14352
ABCA5	1.064611	2002	2.097047	1399
ABCA6	0.622945	4759	1.082119	10258
ABCA7	1.545931	813	2.189133	1084
ABCA8	1.306211	1301	1.942774	2154
ABCA9	0.482149	6725	0.784024	12317
ABCB1	0.982682	2323	1.580355	5081
ABCB10	0.165922	13111	0.728002	12587
ABCB11	0.000000	16918	0.000000	17234
ABCB4	0.313245	9921	0.462238	13779
ABCB5	0.232996	11861	0.232996	14814
ABCB6	0.316867	9850	0.676694	12874
ABCB7	0.246993	11204	1.496430	5925
ABCB8	0.376992	8619	1.374981	7265
ABCB9	0.510950	6220	0.980003	11137
ABCC1	0.164322	13140	1.056219	10488
ABCC10	0.392807	8153	1.040602	10651
ABCC11	0.054784	14846	0.054784	15614
ABCC12	0.167317	13094	0.167317	15035
ABCC2	0.000000	16917	0.000000	17233
ABCC3	0.232996	11860	0.372289	14183
ABCC4	0.444033	7310	0.871889	11820
ABCC5	0.510721	6223	1.499521	5890
ABCC6	-	19006	-	19006
ABCC8	1.662763	631	1.662763	4224
ABCC9	0.531653	5898	0.707614	12753
ABCD1	0.062507	14755	0.869818	11874
ABCD2	1.385160	1111	1.546543	5429
ABCD3	0.561502	5500	1.428347	6696
ABCD4	0.537262	5835	1.383687	7157
ABCE1	0.168821	13016	1.687886	4005
ABCF1	0.288870	10389	2.035830	1675
ABCF2	0.345985	9250	1.595717	4931
ABCF3	0.214806	12185	1.689584	3988
ABCG1	0.520677	6062	1.653598	4322
ABCG2	0.870478	2889	0.985426	11071
ABCG4	0.810430	3257	0.826075	12121
ABCG5	0.089905	14325	0.089905	15385
ABCG8	0.000000	16916	0.000000	17232
ABHD1	0.461405	7049	0.520576	13522
ABHD10	0.549613	5667	1.820290	2924
ABHD11	0.362508	8903	1.240300	8688
ABHD12	0.377530	8608	1.896416	2414
ABHD12B	0.916980	2647	0.916980	11548
ABHD13	0.304632	10079	1.331846	7735
ABHD14A	0.796201	3359	1.534914	5533
ABHD14B	0.023278	15275	1.780735	3223
ABHD15	0.305853	10052	0.646417	13049
ABHD16A	0.319335	9814	1.610038	4769
ABHD16B	-	19005	-	19005
ABHD17A	0.308959	9988	1.184407	9235
ABHD17B	0.708033	3994	1.708676	3835
ABHD17C	0.560261	5515	1.156852	9556
ABHD18	0.718633	3909	1.024592	10774
ABHD2	0.357155	9018	2.051345	1605
ABHD3	0.304201	10085	1.254563	8519
ABHD4	0.178855	12841	1.413970	6896
ABHD5	0.375295	8649	1.572174	5174
ABHD6	0.972624	2380	1.648397	4358
ABHD8	0.663355	4340	1.467608	6247
ABI1	0.360155	8949	1.875698	2551
ABI2	0.745055	3709	1.959947	2069
ABI3	0.660212	4369	1.165360	9415
ABI3BP	0.241136	11313	1.137687	9727
ABL1	0.149012	13360	1.081209	10268
ABL2	0.404701	7977	1.100440	10058
ABLIM1	1.166211	1677	1.743596	3534
ABLIM2	1.216430	1526	1.216430	8935
ABLIM3	0.283738	10501	1.604118	4841
ABO	0.271727	10740	0.350991	14220
ABR	1.669280	619	1.879268	2527
ABRA	0.385606	8441	0.385606	14122
ABRACL	0.287444	10440	1.490380	6002
ABT1	-0.069627	17086	1.127239	9801
ABTB1	0.385606	8440	1.480151	6121
ABTB2	0.612955	4873	1.240549	8639
ACAA1	0.157423	13245	1.608419	4793
ACAA2	0.593764	5092	1.290702	8151
ACACA	0.296106	10251	1.274389	8322
ACACB	1.201622	1562	1.201622	9090
ACAD10	0.205669	12375	1.195247	9143
ACAD11	0.551588	5639	1.094602	10120
ACAD8	0.310551	9963	1.519303	5692
ACAD9	0.119165	13774	1.519303	5691
ACADL	0.508231	6259	0.529242	13479
ACADM	0.535477	5853	1.687456	4009
ACADS	0.232280	11870	1.119915	9862
