gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.225210	12889	1.214443	9810
A1CF	0.000000	17176	0.000000	17239
A2M	1.065708	2081	2.116010	1611
A2ML1	1.090611	1970	1.090611	10885
A3GALT2	-	19008	-	19008
A4GALT	0.071971	15017	0.736397	12918
A4GNT	0.000000	17175	0.000000	17238
AAAS	0.461729	7821	1.855699	3251
AACS	0.190896	13406	1.206381	9862
AADAC	0.000000	17174	0.000000	17237
AADACL2	0.000000	17173	0.000000	17236
AADACL3	0.000000	17172	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.271044	11889	0.840657	12437
AAED1	-0.012836	17191	1.205519	9863
AAGAB	0.235774	12685	1.784475	3834
AAK1	0.720251	4223	1.615587	5587
AAMDC	0.209041	13127	1.260208	9336
AAMP	0.537415	6466	2.051736	1931
AANAT	0.146128	14425	0.146128	15119
AAR2	0.313471	10922	1.434707	7586
AARD	0.276077	11758	0.290530	14356
AARS	0.368329	9713	1.870053	3131
AARS2	0.523743	6706	1.734560	4324
AARSD1	0.257679	12283	1.563992	6118
AASDH	0.760261	3868	1.840545	3370
AASDHPPT	0.736352	4073	1.892929	2930
AASS	0.491452	7216	1.553519	6229
AATF	0.094858	14865	1.563718	6122
AATK	1.992995	256	1.992995	2240
ABAT	1.639851	620	1.925673	2704
ABCA1	0.256537	12308	1.649937	5179
ABCA10	0.181844	13708	0.181844	14819
ABCA12	0.037981	15401	0.037981	15554
ABCA13	0.134374	14519	0.134374	15140
ABCA2	1.720671	507	2.187844	1319
ABCA3	1.176491	1661	1.904445	2858
ABCA4	0.257679	12282	0.257679	14520
ABCA5	1.122049	1856	2.154485	1447
ABCA6	0.641751	5043	1.100926	10780
ABCA7	0.433720	8321	1.269279	9266
ABCA8	0.887421	2981	1.828217	3469
ABCA9	0.835572	3317	0.887617	12226
ABCB1	1.183580	1621	1.781253	3869
ABCB10	0.200482	13276	0.740251	12867
ABCB11	0.000000	17171	0.000000	17234
ABCB4	0.257548	12285	0.406540	14050
ABCB5	0.029384	15576	0.029384	15704
ABCB6	0.279194	11694	0.617904	13382
ABCB7	0.468316	7694	1.717754	4480
ABCB8	0.423101	8524	1.475529	7112
ABCB9	0.811980	3483	1.281033	9149
ABCC1	0.275718	11767	1.456461	7327
ABCC10	0.833099	3330	1.244277	9526
ABCC11	0.017693	15689	0.017693	15795
ABCC12	0.307496	11119	0.307496	14336
ABCC2	0.000000	17170	0.000000	17233
ABCC3	0.609749	5450	1.422077	7699
ABCC4	0.367453	9741	0.895423	12185
ABCC5	0.980009	2461	1.968810	2396
ABCC6	-	19006	-	19006
ABCC8	1.621623	647	1.621623	5513
ABCC9	0.696162	4478	0.823474	12548
ABCD1	0.197211	13324	1.150434	10362
ABCD2	1.547698	748	1.709080	4548
ABCD3	0.255976	12324	1.420616	7736
ABCD4	0.649994	4947	1.806858	3636
ABCE1	0.256327	12312	1.775392	3918
ABCF1	0.252945	12371	2.102879	1670
ABCF2	0.304771	11176	1.689474	4765
ABCF3	0.287901	11531	1.762679	4058
ABCG1	0.451053	8005	1.583974	5907
ABCG2	1.227474	1479	1.342423	8582
ABCG4	0.962079	2543	0.977724	11647
ABCG5	0.000000	17169	0.000000	17232
ABCG8	0.037981	15400	0.037981	15553
ABHD1	0.368921	9700	0.428092	13919
ABHD10	0.574214	5946	1.657017	5124
ABHD11	0.263059	12050	1.184760	10087
ABHD12	0.374043	9593	1.892929	2929
ABHD12B	0.305580	11157	0.305580	14339
ABHD13	0.283541	11607	1.325721	8750
ABHD14A	0.721889	4204	1.594499	5803
ABHD14B	0.094494	14868	1.851952	3278
ABHD15	0.028772	15581	0.369336	14103
ABHD16A	0.354108	10032	1.570142	6053
ABHD16B	-	19005	-	19005
ABHD17A	0.352209	10060	1.275768	9181
ABHD17B	0.656222	4893	1.656864	5126
ABHD17C	0.368496	9709	1.254272	9424
ABHD18	0.829700	3355	1.143951	10457
ABHD2	0.421207	8568	2.120720	1583
ABHD3	0.339652	10375	1.290014	9063
ABHD4	0.484312	7359	1.727748	4376
ABHD5	0.424609	8487	1.621488	5517
ABHD6	0.835601	3316	1.527501	6497
ABHD8	0.583452	5813	1.493178	6918
ABI1	0.393951	9186	1.817433	3551
ABI2	0.872688	3072	1.904611	2857
ABI3	0.612751	5409	1.117899	10638
ABI3BP	0.146128	14424	0.910624	12099
ABL1	0.389790	9272	1.249319	9458
ABL2	0.733367	4102	1.429106	7647
ABLIM1	1.545723	752	2.435446	641
ABLIM2	1.289087	1314	1.557146	6202
ABLIM3	0.919545	2780	2.239925	1153
ABO	0.336552	10438	0.462398	13864
ABR	1.234770	1454	1.743796	4210
ABRA	0.307496	11118	0.307496	14335
ABRACL	0.241798	12580	1.538574	6409
ABT1	0.120167	14659	1.317033	8800
ABTB1	0.625316	5256	1.813172	3593
ABTB2	0.621377	5303	1.382197	8146
ACAA1	0.217941	13007	1.553962	6218
ACAA2	0.554216	6245	1.538574	6408
ACACA	0.502742	7034	1.281033	9148
ACACB	0.716153	4268	1.036299	11254
ACAD10	0.376658	9539	1.366236	8344
ACAD11	0.660489	4843	0.764431	12781
ACAD8	0.407619	8865	1.616370	5577
ACAD9	0.176434	13779	1.576572	5995
ACADL	0.385529	9373	0.406540	14049
ACADM	0.508435	6949	1.693565	4719
ACADS	0.146128	14423	0.988171	11607
ACADSB	0.479112	7498	1.488358	6977
ACADVL	0.489882	7243	2.214658	1232
ACAN	0.478913	7502	0.555094	13581
ACAP1	0.132233	14541	0.244335	14530
ACAP2	0.805610	3532	1.796227	3733
ACAP3	0.736091	4077	1.318751	8784
ACAT1	0.273631	11826	1.807603	3629
ACAT2	0.712674	4294	2.032538	2011
ACBD3	0.063932	15086	1.917873	2755
ACBD4	0.585795	5771	1.032769	11318
ACBD5	0.736333	4074	1.220892	9737
ACBD6	0.403131	8989	1.588384	5873
ACBD7	1.692560	542	1.929879	2661
ACCS	0.218841	12987	0.674355	13128
ACCSL	-	19004	-	19004
ACD	0.644177	5007	1.270880	9235
ACE	0.123213	14638	0.472756	13846
ACE2	0.015108	15741	0.015108	15841
ACER1	0.000000	17168	0.000000	17231
ACER2	0.443428	8143	0.759965	12795
ACER3	0.656579	4884	1.775173	3920
ACHE	1.517747	804	1.909556	2826
ACIN1	0.547485	6331	2.243807	1145
ACKR1	1.760422	463	1.760422	4073
ACKR2	0.469780	7668	0.702431	13075
ACKR3	0.392995	9208	1.719890	4450
ACKR4	0.165558	13917	0.270193	14392
ACLY	0.515577	6817	1.810276	3613
ACMSD	0.000000	17167	0.000000	17230
ACO1	-0.136202	17231	1.387740	8081
ACO2	0.404394	8970	2.165790	1395
ACOD1	0.000000	17166	0.000000	17229
ACOT1	0.181052	13719	0.232689	14553
ACOT11	0.977993	2467	1.069023	11055
ACOT12	0.065484	15081	0.065484	15330
ACOT13	0.337946	10414	1.650741	5173
ACOT2	0.070140	15037	1.038688	11244
ACOT4	0.246418	12484	0.385606	14075
ACOT6	-	19003	-	19003
ACOT7	0.945439	2622	1.975845	2353
ACOT8	0.294887	11370	1.695657	4703
ACOT9	0.055674	15188	1.439978	7512
ACOX1	0.406776	8884	1.484015	7038
ACOX2	0.577654	5906	0.627984	13315
ACOX3	0.407085	8878	1.074925	10978
ACOXL	0.000000	17165	0.000000	17228
ACP1	0.101903	14818	1.909235	2831
ACP2	0.249691	12433	1.740948	4250
ACP5	0.030525	15447	0.146128	15118
ACP6	0.407356	8873	0.929151	11981
ACP7	-	19002	-	19002
ACPP	0.257137	12292	0.437547	13899
ACPT	-	19001	-	19001
ACR	0.000000	17164	0.000000	17227
ACRBP	0.567900	6038	0.814482	12577
ACRC	0.017693	15688	0.017693	15794
ACRV1	0.000000	17163	0.000000	17226
ACSBG1	2.062991	214	2.062991	1873
ACSBG2	0.146128	14422	0.146128	15117
ACSF2	1.107359	1908	1.107359	10732
ACSF3	0.267882	11958	1.035666	11259
ACSL1	1.189771	1602	1.373647	8242
ACSL3	0.513841	6850	2.297061	957
ACSL4	0.424032	8496	1.803867	3664
ACSL5	0.680875	4605	1.528274	6495
