gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.000000	15596	0.776273	9953
A1CF	0.000000	15595	0.000000	17239
A2M	0.836118	1168	1.886420	1272
A2ML1	0.000000	15594	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.059373	16220	0.605052	11012
A4GNT	0.000000	15593	0.000000	17237
AAAS	0.681334	1698	1.284573	5542
AACS	0.110696	8904	0.970802	8457
AADAC	0.000000	15592	0.000000	17236
AADACL2	0.000000	15591	0.000000	17235
AADACL3	0.000000	15590	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.311806	4830	0.881418	9173
AAED1	-0.078294	16349	0.772283	9980
AAGAB	0.147736	8047	1.696438	2225
AAK1	1.032145	799	1.927481	1125
AAMDC	-0.017604	15790	0.885850	9139
AAMP	0.250092	5836	1.812256	1580
AANAT	2.596552	27	2.596552	130
AAR2	0.048933	10909	0.870939	9239
AARD	0.000000	15589	0.000000	17233
AARS	0.400255	3640	1.814168	1574
AARS2	-0.051625	16146	1.159192	6743
AARSD1	0.000000	15588	1.326489	5140
AASDH	0.536959	2462	1.617243	2734
AASDHPPT	0.267582	5557	1.784183	1720
AASS	0.391477	3742	1.384813	4604
AATF	-0.107534	16525	1.361327	4844
AATK	1.320543	458	1.338236	5052
ABAT	0.462508	3053	1.191672	6424
ABCA1	0.021972	11775	1.087180	7428
ABCA10	0.786403	1316	0.786403	9873
ABCA12	0.062507	10651	0.062507	14562
ABCA13	0.270518	5506	0.270518	12850
ABCA2	0.136347	8380	0.890568	9098
ABCA3	0.816985	1223	1.544939	3283
ABCA4	0.300404	5000	0.300404	12680
ABCA5	0.688925	1661	1.721361	2083
ABCA6	0.621262	1956	1.080436	7499
ABCA7	1.545931	284	2.189133	503
ABCA8	0.694383	1630	1.635179	2611
ABCA9	0.482149	2889	0.784024	9896
ABCB1	0.833086	1175	1.430759	4185
ABCB10	-0.001774	15623	0.631635	10853
ABCB11	0.000000	15587	0.000000	17232
ABCB4	0.313245	4805	0.462238	11829
ABCB5	0.042368	11329	0.042368	14795
ABCB6	0.053905	10815	0.296334	12700
ABCB7	0.054572	10804	1.304009	5351
ABCB8	0.116719	8798	1.288686	5496
ABCB9	0.233879	6158	0.702932	10441
ABCC1	0.138393	8323	1.056219	7695
ABCC10	0.357301	4170	1.024844	7969
ABCC11	0.000000	15586	0.000000	17231
ABCC12	0.000000	15585	0.000000	17230
ABCC2	0.000000	15584	0.000000	17229
ABCC3	0.000000	15583	0.170175	13491
ABCC4	0.025962	11682	0.573154	11206
ABCC5	0.399873	3643	1.388673	4568
ABCC6	-	19006	-	19006
ABCC8	1.662763	216	1.662763	2435
ABCC9	0.266181	5578	0.419993	12047
ABCD1	0.062507	10650	0.687957	10539
ABCD2	0.397778	3673	0.559160	11279
ABCD3	0.561502	2306	1.428347	4214
ABCD4	0.537262	2460	1.361879	4836
ABCE1	-0.451181	17158	1.067884	7605
ABCF1	0.152844	7911	2.002778	892
ABCF2	0.013856	11920	1.441098	4101
ABCF3	0.214806	6542	1.689584	2268
ABCG1	0.074478	9838	1.118358	7119
ABCG2	0.770604	1360	0.840092	9488
ABCG4	0.660204	1777	0.675849	10617
ABCG5	0.000000	15582	0.000000	17228
ABCG8	0.000000	15581	0.000000	17227
ABHD1	0.461405	3065	0.520576	11515
ABHD10	0.495854	2782	1.766532	1815
ABHD11	0.057839	10745	0.773867	9965
ABHD12	0.000000	15580	1.412832	4343
ABHD12B	0.136746	8374	0.136746	13716
ABHD13	0.304632	4947	1.331846	5107
ABHD14A	0.796201	1282	1.513213	3534
ABHD14B	0.023278	11744	1.780735	1734
ABHD15	0.000000	15579	0.136746	13715
ABHD16A	0.213914	6567	1.504616	3614
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	15578	0.786718	9872
ABHD17B	0.317639	4726	1.318281	5220
