gene	enrichment	rank(enr)	max	rank(max)
A1BG	1.079855	1974	1.851746	3578
A1CF	0.089905	15777	0.089905	15820
A2M	1.596265	626	2.579521	707
A2ML1	0.146128	15285	0.146128	15520
A3GALT2	-	19008	-	19008
A4GALT	1.039124	2169	1.703549	4869
A4GNT	0.000000	17239	0.000000	17239
AAAS	0.551794	6566	1.820039	3826
AACS	0.303873	12215	1.354537	8479
AADAC	0.741939	4242	0.741939	12968
AADACL2	0.387390	10044	0.387390	14343
AADACL3	0.000000	17238	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.362861	10692	0.932474	11956
AAED1	0.369624	10553	1.475526	7206
AAGAB	0.205522	14331	1.754223	4413
AAK1	0.895975	2998	1.356408	8471
AAMDC	0.501409	7471	1.685204	5034
AAMP	0.324415	11751	2.030316	2437
AANAT	0.000000	17237	0.000000	17237
AAR2	0.412821	9416	1.335884	8687
AARD	0.189667	14707	0.204120	15213
AARS	0.154911	15058	1.743957	4484
AARS2	0.266172	13095	1.476989	7197
AARSD1	0.861848	3243	1.577450	6162
AASDH	0.110608	15517	1.190892	10032
AASDHPPT	0.570556	6291	1.742424	4497
AASS	0.530638	6927	1.583765	6098
AATF	0.388894	9958	1.857755	3535
AATK	0.624772	5518	0.642465	13416
ABAT	0.665581	5034	0.966142	11720
ABCA1	0.768836	3974	2.162236	1839
ABCA10	1.213783	1450	1.213783	9827
ABCA12	0.045323	16115	0.045323	16121
ABCA13	1.460748	864	1.460748	7366
ABCA2	0.465135	8215	1.244030	9542
ABCA3	0.912124	2911	1.640079	5509
ABCA4	1.382427	1016	1.382427	8224
ABCA5	0.437345	8835	1.378580	8272
ABCA6	1.198932	1507	1.658107	5313
ABCA7	0.591927	5953	1.427486	7746
ABCA8	1.393400	994	2.251249	1512
ABCA9	1.305366	1200	1.607241	5875
ABCB1	0.525525	7026	1.123198	10609
ABCB10	0.390227	9926	1.149493	10380
ABCB11	0.079181	15998	0.079181	16029
ABCB4	0.737498	4278	0.886491	12228
ABCB5	0.089905	15776	0.089905	15819
ABCB6	0.412317	9422	0.741939	12967
ABCB7	0.284970	12706	1.534407	6601
ABCB8	0.295504	12480	1.450963	7461
ABCB9	0.429417	8992	0.892807	12181
ABCC1	0.397392	9759	1.654362	5349
ABCC10	0.409095	9498	0.879669	12267
ABCC11	0.000000	17236	0.000000	17236
ABCC12	0.107210	15612	0.107210	15678
ABCC2	0.089905	15775	0.089905	15818
ABCC3	0.504271	7401	1.316599	8870
ABCC4	0.855845	3301	1.558469	6372
ABCC5	0.347059	11046	1.335859	8690
ABCC6	-	19006	-	19006
ABCC8	0.332438	11494	0.332438	14579
ABCC9	1.195529	1518	1.558469	6371
ABCD1	0.562447	6398	1.515671	6787
ABCD2	0.892848	3019	1.054230	11137
ABCD3	0.746975	4173	1.323871	8809
ABCD4	0.411419	9439	1.352954	8526
ABCE1	0.435949	8862	1.955014	2888
ABCF1	0.322902	11786	2.172836	1801
ABCF2	0.479526	7905	1.897675	3249
ABCF3	0.158122	15032	1.632899	5582
ABCG1	0.690622	4760	1.823543	3791
ABCG2	0.332438	11493	0.417201	14198
ABCG4	0.141332	15323	0.156977	15356
ABCG5	0.057612	16072	0.057612	16087
ABCG8	0.000000	17235	0.000000	17235
ABHD1	0.389535	9943	0.448706	14121
ABHD10	0.201746	14490	1.413797	7892
ABHD11	0.310618	12075	1.280578	9225
ABHD12	0.179582	14803	1.698469	4903
ABHD12B	0.146128	15284	0.146128	15519
ABHD13	0.310774	12070	1.352954	8525
ABHD14A	0.356579	10845	1.412629	7915
ABHD14B	0.316371	11942	2.073828	2213
ABHD15	0.481604	7865	0.822168	12588
ABHD16A	0.143226	15309	1.433928	7659
ABHD16B	-	19005	-	19005
ABHD17A	0.311545	12045	1.238145	9603
ABHD17B	0.326201	11720	1.264093	9354
ABHD17C	0.441195	8743	1.482588	7156
ABHD18	0.550770	6588	1.207365	9872
ABHD2	0.583569	6071	2.114311	2036
ABHD3	0.358842	10791	1.309204	8934
ABHD4	0.291441	12585	1.614224	5792
ABHD5	0.257456	13308	1.379668	8253
ABHD6	0.334603	11426	0.949878	11828
ABHD8	0.370852	10520	1.280578	9224
ABI1	0.261331	13206	1.587037	6073
ABI2	0.378971	10284	1.830525	3733
ABI3	1.416858	950	1.613138	5804
ABI3BP	1.870276	331	2.546617	764
ABL1	0.939411	2737	1.678154	5102
ABL2	0.920963	2858	1.589030	6050
ABLIM1	1.915479	295	2.070555	2234
ABLIM2	0.604679	5752	0.872739	12303
ABLIM3	0.766767	3993	1.883150	3348
ABO	0.895975	2997	0.943000	11906
ABR	0.924480	2837	1.622421	5702
ABRA	1.765594	418	1.765594	4302
ABRACL	0.675468	4916	1.900867	3225
ABT1	0.237949	13712	1.434816	7650
ABTB1	0.343751	11170	1.531607	6642
ABTB2	0.743468	4223	1.366423	8392
ACAA1	0.238043	13711	1.664642	5247
ACAA2	0.633615	5413	1.926394	3055
ACACA	0.479094	7915	1.622421	5701
ACACB	2.023252	232	2.023252	2478
ACAD10	0.194830	14576	1.184407	10106
ACAD11	0.357563	10822	0.987219	11581
ACAD8	0.143431	15306	1.352183	8539
ACAD9	0.145017	15293	1.543057	6521
ACADL	1.026653	2217	1.047664	11189
ACADM	0.794490	3782	2.168586	1817
ACADS	0.482693	7842	1.370328	8353
ACADSB	0.513329	7203	1.522575	6715
ACADVL	0.831538	3470	2.505760	837
ACAN	1.685300	518	1.735599	4567
ACAP1	1.545719	723	1.657820	5317
ACAP2	0.601718	5802	1.684666	5046
ACAP3	0.244540	13597	0.943000	11905
ACAT1	0.822936	3538	2.495072	853
ACAT2	1.032877	2195	2.466027	914
ACBD3	0.149993	15104	2.003934	2583
ACBD4	0.467391	8176	1.095518	10851
ACBD5	0.549980	6599	1.017033	11379
ACBD6	0.502378	7453	1.465245	7317
ACBD7	0.482943	7838	0.720261	13070
ACCS	0.708351	4586	1.095169	10864
ACCSL	-	19004	-	19004
ACD	0.382399	10169	1.299216	9050
ACE	1.118818	1798	1.565336	6296
ACE2	0.546543	6641	0.546543	13757
ACER1	0.028452	16170	0.028452	16172
ACER2	0.926749	2820	1.243286	9563
ACER3	0.364708	10662	1.483302	7133
ACHE	0.704058	4632	1.095866	10841
ACIN1	0.328380	11654	2.153571	1870
ACKR1	2.235150	142	2.235150	1574
ACKR2	0.661813	5105	0.661813	13327
ACKR3	1.100899	1870	2.444997	965
ACKR4	1.188127	1548	1.292762	9112
ACLY	0.922809	2847	2.217508	1631
ACMSD	0.089905	15774	0.089905	15817
ACO1	0.562291	6401	2.086232	2159
ACO2	0.704032	4633	2.465427	916
ACOD1	0.393376	9844	0.393376	14297
ACOT1	0.283301	12751	0.283301	14792
ACOT11	1.363815	1052	1.454845	7412
ACOT12	0.089905	15773	0.089905	15816
ACOT13	0.600881	5826	1.763338	4321
ACOT2	0.554771	6522	1.594061	5992
ACOT4	0.277453	12872	0.416641	14230
ACOT6	-	19003	-	19003
ACOT7	1.228470	1408	1.811185	3901
ACOT8	0.188874	14718	1.589643	6044
ACOT9	0.435868	8864	1.984933	2703
ACOX1	0.498169	7551	1.575996	6174
ACOX2	1.016954	2268	1.111263	10723
ACOX3	0.382668	10161	1.360215	8449
ACOXL	0.079181	15997	0.079181	16028
ACP1	0.185310	14753	1.992642	2655
ACP2	0.485615	7788	1.853977	3557
ACP5	1.978495	252	2.004876	2577
ACP6	0.259535	13240	0.920645	12021
ACP7	-	19002	-	19002
ACPP	0.532760	6889	0.761928	12866
ACPT	-	19001	-	19001
ACR	0.000000	17234	0.000000	17234
ACRBP	0.561629	6412	0.808211	12652
ACRC	0.000000	17233	0.000000	17233
ACRV1	0.000000	17232	0.000000	17232
ACSBG1	0.303196	12270	0.303196	14716
ACSBG2	0.089905	15772	0.089905	15815
ACSF2	0.558300	6470	1.184407	10105
ACSF3	0.416641	9303	1.161068	10297
ACSL1	1.141903	1721	1.868468	3443
ACSL3	0.388291	9967	2.339903	1252
ACSL4	0.910673	2924	2.476600	891
ACSL5	0.966693	2568	1.844601	3634
ACSL6	0.582063	6103	0.582063	13626
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17231	0.000000	17231
ACSM2B	0.000000	17230	0.000000	17230
ACSM3	0.146128	15283	0.204120	15212
ACSM4	-	18999	-	18999
ACSM5	0.604226	5764	0.604226	13536
ACSM6	0.146128	15282	0.146128	15518
ACSS1	0.640395	5339	1.728191	4637
ACSS2	0.529909	6954	1.370328	8352
ACSS3	0.668491	4991	1.242541	9584
ACTA1	3.747750	5	3.747750	33
ACTA2	2.258504	131	3.632801	63
ACTB	0.790125	3810	4.244166	4
ACTBL2	0.686636	4801	0.686636	13209
ACTC1	3.658448	6	3.765953	30
ACTG1	0.729648	4364	4.174304	6
ACTG2	2.386483	99	3.116048	213
ACTL10	0.396159	9784	0.513218	13899
ACTL6A	0.384350	10123	1.841640	3653
ACTL6B	0.204120	14454	0.204120	15211
ACTL7A	0.000000	17229	0.000000	17229
ACTL7B	0.000000	17228	0.000000	17228
ACTL8	0.000000	17227	0.000000	17227
ACTL9	0.000000	17226	0.000000	17226
ACTN1	0.835374	3442	2.945015	315
ACTN2	2.876887	45	3.106490	220
ACTN3	1.088845	1939	1.088845	10906
ACTN4	0.751813	4123	2.282577	1419
ACTR10	0.315575	11951	1.827046	3761
ACTR1A	0.502163	7458	2.368617	1161
ACTR1B	0.252010	13460	1.542825	6530
ACTR2	0.343504	11178	2.056152	2313
ACTR3	0.473114	8057	2.642683	629
ACTR3B	0.192424	14650	1.120574	10647
ACTR3C	0.367366	10610	0.645422	13364
ACTR5	0.170801	14889	0.968068	11695
ACTR6	0.252533	13449	1.299890	9030
ACTR8	0.382884	10155	1.426023	7773
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17225	0.000000	17225
ACTRT3	-	18997	-	18997
ACVR1	0.422988	9129	1.497483	6986
ACVR1B	0.431286	8949	1.449015	7480
ACVR1C	0.589834	5979	0.625312	13455
ACVR2A	0.647625	5231	1.427902	7740
ACVR2B	0.379027	10281	0.780317	12795
ACVRL1	1.610803	603	1.976851	2753
ACY1	0.411647	9433	1.542825	6529
ACY3	0.257679	13301	0.257679	14873
ACYP1	0.474594	8033	1.341086	8628
ACYP2	0.592155	5949	1.637390	5534
ADA	0.947905	2691	1.622421	5700
ADAD1	0.000000	17224	0.000000	17224
ADAD2	0.000000	17223	0.000000	17223
ADAL	0.503537	7428	1.231470	9673
ADAM10	0.528018	6980	2.015108	2522
ADAM11	0.870404	3181	0.870404	12336
ADAM12	1.025677	2226	1.304173	8993
ADAM15	0.967466	2564	2.647302	625
ADAM17	0.584622	6060	1.503382	6925
ADAM18	0.020696	16200	0.020696	16200
ADAM19	1.415106	952	2.378138	1136
ADAM2	0.000000	17222	0.000000	17222
ADAM20	0.031141	16137	0.031141	16139
ADAM21	0.089905	15771	0.089905	15814
ADAM22	0.527214	6995	0.975432	11673
ADAM23	0.828404	3497	1.311330	8911
ADAM28	0.942008	2724	1.167022	10222
ADAM29	0.000000	17221	0.000000	17221
ADAM30	0.000000	17220	0.000000	17220
ADAM32	0.079181	15996	0.079181	16027
ADAM33	0.936425	2752	1.429752	7707
ADAM7	0.000000	17219	0.000000	17219
ADAM8	0.810545	3644	0.984527	11608
ADAM9	0.760546	4051	2.443233	972
ADAMDEC1	0.750508	4142	0.750508	12906
ADAMTS1	0.983911	2448	2.788682	445
ADAMTS10	0.737645	4276	1.436163	7630
ADAMTS12	1.472511	844	1.709298	4819
ADAMTS13	0.000000	17218	0.000000	17218
ADAMTS14	0.598752	5862	0.833619	12482
ADAMTS15	0.932645	2775	1.457125	7393
ADAMTS16	0.257679	13300	0.257679	14872
ADAMTS17	0.534026	6861	0.587711	13607
ADAMTS18	1.494430	817	1.494430	7013
ADAMTS19	0.264818	13146	0.264818	14830
ADAMTS2	0.725708	4407	1.466126	7309
ADAMTS20	0.094885	15637	0.094885	15686
ADAMTS3	0.268524	13055	0.545307	13768
ADAMTS4	2.166010	161	2.767416	473
ADAMTS5	0.640123	5341	1.339451	8652
ADAMTS6	0.936702	2751	1.179412	10137
ADAMTS7	1.049899	2120	1.640358	5505
ADAMTS8	0.746634	4191	0.746634	12930
ADAMTS9	2.334482	113	2.787198	450
ADAMTSL1	1.537942	740	2.034869	2411
ADAMTSL2	1.447583	889	1.483302	7132
ADAMTSL3	1.346444	1097	1.385785	8192
ADAMTSL4	0.563817	6381	1.444201	7527
ADAMTSL5	0.781037	3880	0.952792	11802
ADAP1	0.368100	10594	1.016375	11380
ADAP2	0.657493	5140	0.901458	12148
ADAR	0.392019	9875	1.722058	4696
ADARB1	0.879377	3118	1.847202	3613
ADARB2	0.255273	13397	0.255273	14929
ADAT1	0.337472	11345	1.043362	11243
ADAT2	0.271844	12982	1.147871	10401
ADAT3	0.336577	11370	2.009972	2550
ADCK1	0.289011	12628	0.750508	12905
ADCK2	0.114254	15502	1.157257	10314
ADCK5	0.320628	11831	1.117554	10670
ADCY1	0.251995	13463	0.332438	14578
ADCY10	0.027595	16174	0.027595	16176
ADCY2	0.888619	3045	0.943000	11904
ADCY3	0.730151	4357	1.493458	7044
ADCY4	1.405184	973	1.807332	3938
ADCY5	1.225203	1422	1.253822	9466
ADCY6	0.692963	4738	1.503382	6924
ADCY7	0.783727	3850	1.290480	9136
ADCY8	0.328380	11653	0.328380	14629
ADCY9	0.602860	5783	1.168792	10210
ADCYAP1	0.822168	3551	0.822168	12587
ADCYAP1R1	0.690196	4767	0.690196	13203
ADD1	0.515452	7172	1.921634	3092
ADD2	0.780317	3897	0.780317	12794
ADD3	0.856990	3286	1.897517	3251
ADGB	0.475671	8019	0.475671	14045
ADGRA1	0.079181	15995	0.079181	16026
ADGRA2	0.623365	5540	1.607991	5857
ADGRA3	0.304362	12201	1.031812	11304
ADGRB1	0.079181	15994	0.079181	16025
ADGRB2	0.386307	10070	0.903267	12123
ADGRB3	1.199309	1505	1.440279	7580
ADGRD1	1.754967	425	2.072985	2218
ADGRD2	-	18996	-	18996
ADGRE1	0.416641	9302	0.416641	14229
ADGRE2	1.063388	2045	1.892707	3284
ADGRE3	0.344392	11152	0.344392	14513
ADGRE5	1.073075	2003	2.168645	1816
ADGRF1	0.555094	6520	0.555094	13739
ADGRF2	0.065167	16051	0.065167	16073
ADGRF3	0.235528	13865	0.408773	14289
ADGRF4	0.558649	6460	0.558649	13717
ADGRF5	1.797750	393	1.857755	3534
ADGRG1	1.115504	1811	2.036752	2401
ADGRG2	0.725095	4425	0.725095	13064
ADGRG3	0.661813	5104	0.661813	13326
ADGRG4	0.028452	16169	0.028452	16171
ADGRG5	1.320769	1166	1.320769	8829
ADGRG6	1.118555	1799	1.774469	4210
ADGRG7	0.000000	17217	0.000000	17217
ADGRL1	0.189463	14711	0.428135	14188
ADGRL2	0.759668	4064	0.759668	12884
ADGRL3	0.927478	2810	0.980912	11646
ADGRL4	1.481718	832	2.384256	1121
ADGRV1	0.301030	12363	0.301030	14758
ADH1A	0.227887	14016	0.227887	15092
ADH1B	2.418372	97	2.665131	597
ADH1C	0.943000	2719	0.943000	11903
ADH4	0.413300	9410	0.413300	14280
ADH5	0.424032	9109	2.006936	2561
ADH6	0.146128	15281	0.146128	15517
ADH7	0.378398	10330	0.378398	14442
ADHFE1	0.928193	2804	1.670524	5174
ADI1	0.525176	7032	2.303736	1354
ADIG	0.000000	17216	0.000000	17216
ADIPOQ	2.520208	80	2.520208	811
ADIPOR1	0.352488	10926	1.889757	3307
ADIPOR2	0.528569	6976	2.012584	2538
ADIRF	1.369597	1042	3.139312	204
ADK	0.406563	9559	1.795090	4038
ADM	0.499450	7509	2.218409	1626
ADM2	0.606672	5732	0.863836	12355
ADM5	0.445604	8635	0.445604	14150
ADNP	0.380901	10233	1.850891	3582
ADNP2	0.321591	11813	1.143639	10438
ADO	0.383486	10141	1.186391	10085
ADORA1	0.752465	4120	0.955207	11780
ADORA2A	0.966142	2574	0.983456	11609
ADORA2B	1.328312	1147	1.762153	4332
ADORA3	0.582063	6102	0.582063	13625
ADPGK	0.263012	13178	1.508483	6869
ADPRH	0.523070	7064	0.780317	12793
ADPRHL1	1.915664	294	1.915664	3118
ADPRHL2	0.311820	12039	1.463555	7330
ADPRM	0.234420	13882	1.136086	10498
ADRA1A	0.451786	8466	0.451786	14093
ADRA1B	0.925537	2828	1.295127	9076
ADRA1D	0.868284	3198	0.952792	11801
ADRA2A	1.085826	1955	1.544316	6511
ADRA2B	0.831230	3473	0.831230	12506
ADRA2C	1.510163	791	1.554731	6409
ADRB1	1.650142	556	1.774079	4213
ADRB2	0.336551	11372	1.309204	8933
ADRB3	0.382017	10204	0.382017	14376
ADRM1	0.572998	6250	2.239797	1552
ADSL	0.521585	7090	1.678143	5103
ADSS	0.810611	3643	1.970570	2795
ADSSL1	1.418919	946	1.687261	5015
ADTRP	0.204120	14453	0.204120	15210
AEBP1	1.339111	1115	3.016319	269
AEBP2	0.688718	4781	1.821710	3817
AEN	0.502058	7461	1.363976	8413
AES	0.546447	6643	2.386820	1115
AFAP1	0.976634	2504	1.927742	3047
AFAP1L1	1.150901	1689	1.971337	2787
AFAP1L2	0.546042	6649	1.212188	9858
AFDN	0.642465	5313	1.428783	7733
AFF1	0.648347	5225	1.807332	3937
AFF2	0.513218	7223	0.513218	13898
AFF3	1.646110	558	1.646110	5443
AFF4	0.488022	7735	1.607241	5874
AFG3L2	0.707025	4603	1.934599	3006
AFM	0.235528	13864	0.235528	15068
AFMID	0.314695	11972	1.766174	4298
AFP	0.312388	12027	0.312388	14660
AFTPH	0.488847	7720	1.143639	10437
AGA	0.269393	13042	1.175073	10164
AGAP1	0.759776	4057	1.031812	11303
AGAP2	0.963132	2590	0.993877	11543
AGAP3	0.655442	5153	1.721236	4714
AGAP4	-	18995	-	18995
AGAP5	0.306309	12161	1.165541	10247
AGAP6	-	18994	-	18994
AGAP9	-	18993	-	18993
AGBL1	-	18992	-	18992
AGBL2	0.270866	13008	0.625312	13454
AGBL3	0.516398	7155	1.111263	10722
AGBL4	0.800029	3739	0.800029	12690
AGBL5	0.315448	11956	1.332001	8708
AGER	0.023961	16190	0.023961	16192
AGFG1	0.569571	6305	1.971322	2790
AGFG2	0.642133	5319	1.630293	5611
AGGF1	0.336250	11380	1.341039	8634
AGK	0.132247	15393	0.853444	12418
AGL	0.711760	4549	1.346939	8585
AGMAT	0.279906	12818	0.543023	13773
AGMO	0.696058	4703	0.745536	12933
AGO1	0.239955	13679	1.344785	8607
AGO2	0.573465	6246	1.848989	3599
AGO3	0.445999	8608	1.249443	9500
AGO4	0.378578	10292	0.989895	11566
AGPAT1	0.523514	7055	1.607991	5856
AGPAT2	0.614178	5639	1.372912	8319
AGPAT3	0.808211	3664	1.150962	10356
AGPAT4	0.318047	11893	1.071186	11002
AGPAT5	0.446025	8607	1.581404	6130
AGPS	0.371992	10488	2.075914	2200
AGR2	1.837210	357	1.837210	3688
AGR3	0.843855	3377	0.843855	12451
AGRN	0.603347	5779	1.820291	3823
AGRP	0.000000	17215	0.000000	17215
AGT	1.705221	481	2.227835	1595
AGTPBP1	0.325031	11743	1.373280	8303
AGTR1	-	18991	-	18991
AGTR2	0.469822	8134	0.469822	14070
AGTRAP	0.550998	6583	2.029997	2438
AGXT	0.164353	14985	0.164353	15350
AGXT2	0.107210	15611	0.107210	15677
AHCTF1	0.457266	8354	1.392521	8126
AHCY	0.583944	6066	2.354776	1207
AHCYL1	0.511566	7256	1.807332	3936
AHCYL2	0.164353	14984	1.070407	11038
AHDC1	0.565578	6359	1.551450	6442
AHI1	0.824130	3529	1.990827	2670
AHNAK	0.674947	4923	3.003633	278
AHNAK2	0.972162	2537	1.625715	5667
AHR	0.418195	9238	1.474071	7219
AHRR	0.790904	3805	1.127364	10574
AHSA1	1.016150	2273	2.429381	1009
AHSA2	0.317146	11920	1.413467	7898
AHSG	0.728354	4385	0.728354	13032
AHSP	0.387390	10043	0.387390	14342
AICDA	0.146128	15280	0.146128	15516
AIDA	0.291150	12590	1.552790	6425
AIF1	0.994034	2386	1.776483	4195
AIF1L	0.973955	2524	2.000651	2610
AIFM1	0.712558	4540	1.695307	4937
AIFM2	0.536512	6798	1.315460	8880
AIFM3	0.000000	17214	0.000000	17214
AIG1	0.421163	9169	1.976488	2756
AIM1	0.579178	6143	0.965295	11722
AIM1L	0.190106	14702	0.190106	15287
AIM2	1.262688	1310	1.262688	9374
AIMP1	0.476004	7999	1.831435	3723
AIMP2	0.370695	10525	1.733237	4598
AIP	0.236465	13734	1.542825	6528
AIPL1	0.000000	17213	0.000000	17213
AIRE	0.344392	11151	0.344392	14512
AJAP1	0.298215	12423	0.378398	14441
AJUBA	0.535109	6822	0.946726	11870
AK1	0.817649	3592	2.365900	1172
AK2	0.375748	10394	1.579555	6146
AK3	0.419725	9204	1.928754	3040
AK4	0.554028	6536	1.191730	10016
AK5	0.818402	3579	1.506234	6885
AK6	-	18990	-	18990
AK7	0.616710	5619	0.890421	12211
AK8	0.368976	10570	0.622214	13495
AK9	0.350290	10971	0.853698	12417
AKAIN1	0.235528	13863	0.235528	15067
AKAP1	0.880518	3107	1.498035	6979
AKAP10	0.201228	14500	1.617629	5757
AKAP11	0.460640	8297	1.087033	10919
AKAP12	1.299901	1210	2.261170	1479
AKAP13	1.159641	1654	1.712229	4789
AKAP14	0.445604	8634	0.445604	14149
AKAP17A	1.089905	1934	1.089905	10899
AKAP2	1.226381	1414	2.495919	850
AKAP3	0.168858	14907	0.326336	14653
AKAP4	0.000000	17212	0.000000	17212
AKAP5	0.304590	12194	0.378398	14440
AKAP6	1.625724	584	1.625724	5666
AKAP7	0.975432	2517	0.975432	11672
AKAP8	0.214948	14210	1.311657	8905
AKAP8L	0.239772	13683	1.644143	5466
AKAP9	0.485721	7785	1.683047	5058
