gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.014617	13597	0.622214	11302
A1CF	0.000000	16486	0.000000	17239
A2M	1.278607	574	2.328909	683
A2ML1	1.173349	696	1.173349	7513
A3GALT2	-	19008	-	19008
A4GALT	0.393395	4295	1.088845	8218
A4GNT	0.000000	16485	0.000000	17238
AAAS	0.473522	3369	1.867492	2118
AACS	0.323207	5357	1.373871	5730
AADAC	0.519828	2920	0.519828	11876
AADACL2	0.698101	1887	0.698101	10921
AADACL3	0.674861	1992	0.674861	11040
AADACL4	-	19007	-	19007
AADAT	0.258428	6584	0.828041	10133
AAED1	0.008307	13722	1.056142	8480
AAGAB	0.040369	12429	1.589070	3922
AAK1	0.316892	5462	1.160769	7625
AAMDC	0.191180	8125	1.271884	6680
AAMP	0.265897	6425	2.011307	1465
AANAT	0.000000	16484	0.000000	17237
AAR2	0.438348	3751	1.559584	4172
AARD	0.143910	9414	0.158362	13701
AARS	0.263135	6487	1.875212	2069
AARS2	0.117677	10226	1.328495	6166
AARSD1	0.272401	6301	1.685234	3235
AASDH	0.050371	12226	1.130655	7849
AASDHPPT	0.045488	12336	1.554610	4200
AASS	0.023419	13435	0.835691	10094
AATF	0.149606	9292	1.618466	3714
AATK	0.000000	16483	0.000000	17236
ABAT	0.311563	5580	1.040727	8604
ABCA1	0.360260	4752	1.753660	2770
ABCA10	0.071882	11711	0.071882	14460
ABCA12	0.495544	3144	0.495544	11984
ABCA13	0.255273	6694	0.255273	13137
ABCA2	0.102963	10751	0.507856	11927
ABCA3	0.119001	10187	0.846955	10011
ABCA4	0.158362	9086	0.158362	13700
ABCA5	0.296148	5861	1.328583	6164
ABCA6	0.009236	13696	0.232996	13251
ABCA7	0.176075	8583	0.855939	9939
ABCA8	0.192743	8087	1.133539	7835
ABCA9	0.000000	16482	0.130334	13928
ABCB1	0.603724	2346	1.201397	7270
ABCB10	0.150516	9263	0.970347	9160
ABCB11	0.000000	16481	0.000000	17235
ABCB4	0.000000	16480	0.037426	15080
ABCB5	0.130334	9929	0.130334	13927
ABCB6	0.584663	2447	0.963355	9208
ABCB7	0.002201	13822	1.251638	6847
ABCB8	0.479861	3301	1.462397	4935
ABCB9	0.187793	8206	0.651183	11135
ABCC1	0.000000	16479	0.907765	9596
ABCC10	0.314338	5500	0.981881	9055
ABCC11	0.000000	16478	0.000000	17234
ABCC12	0.000000	16477	0.000000	17233
