gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.651859	1017	1.642860	2911
A1CF	0.000000	16154	0.000000	17239
A2M	0.000000	16153	0.328380	11899
A2ML1	0.000000	16152	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.641141	1078	1.305566	5339
A4GNT	0.000000	16151	0.000000	17237
AAAS	0.281167	5117	1.675137	2735
AACS	0.301910	4659	1.122216	6839
AADAC	0.741939	751	0.741939	9720
AADACL2	0.000000	16150	0.000000	17236
AADACL3	0.000000	16149	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.160300	7687	0.514548	10571
AAED1	0.369624	3301	1.287354	5421
AAGAB	0.163864	7587	1.712566	2524
AAK1	0.288188	4975	0.949878	8245
AAMDC	0.480847	2020	1.664642	2796
AAMP	0.225551	6305	2.030316	1269
AANAT	0.000000	16148	0.000000	17234
AAR2	0.046967	9989	1.168203	6353
AARD	0.000000	16147	0.000000	17233
AARS	0.154911	7815	1.714749	2516
AARS2	0.043247	10522	1.254064	5760
AARSD1	0.206216	6690	1.503109	3805
AASDH	0.000000	16146	0.859739	8780
AASDHPPT	0.570556	1375	1.736715	2399
AASS	0.193436	6963	0.777427	9292
AATF	0.045023	10502	1.513883	3716
AATK	0.000000	16145	0.000000	17232
ABAT	0.000000	16144	0.328380	11898
ABCA1	0.366268	3351	1.759668	2282
ABCA10	0.161368	7668	0.161368	12245
ABCA12	0.045323	10496	0.045323	13110
ABCA13	0.000000	16143	0.000000	17231
ABCA2	0.436573	2453	0.741939	9719
ABCA3	0.000000	16142	0.513218	10986
ABCA4	0.000000	16141	0.000000	17230
ABCA5	0.000000	16140	0.352183	11272
ABCA6	0.572638	1365	1.031812	7534
ABCA7	0.000000	16139	0.741939	9718
ABCA8	0.410807	2777	1.351603	4988
ABCA9	0.893748	459	1.195623	6241
ABCB1	0.000000	16138	0.089905	12605
ABCB10	0.227265	6264	1.087426	7128
ABCB11	0.000000	16137	0.000000	17229
ABCB4	0.179387	7258	0.328380	11897
ABCB5	0.000000	16136	0.000000	17228
ABCB6	0.405449	2837	0.741939	9717
ABCB7	0.000000	16135	1.066699	7201
ABCB8	0.241174	5986	1.329194	5167
ABCB9	0.278549	5165	0.741939	9716
ABCC1	0.192045	6992	1.449015	4238
ABCC10	0.409095	2802	0.741939	9715
ABCC11	0.000000	16134	0.000000	17227
ABCC12	0.000000	16133	0.000000	17226
ABCC2	0.000000	16132	0.000000	17225
ABCC3	0.045323	10495	0.822822	9167
ABCC4	0.158821	7726	0.945961	8259
ABCC5	0.000000	16131	0.785330	9268
ABCC6	-	19006	-	19006
ABCC8	0.000000	16130	0.000000	17224
ABCC9	0.488652	1940	0.642465	10247
ABCD1	0.398380	2910	1.351603	4987
ABCD2	0.000000	16129	0.000000	17223
ABCD3	0.159231	7717	1.323871	5193
ABCD4	-0.033460	16465	1.089905	7111
ABCE1	0.435949	2461	1.955014	1516
ABCF1	0.099163	8908	1.642860	2910
ABCF2	0.268152	5385	1.695394	2628
ABCF3	0.068048	9616	1.542825	3548
ABCG1	0.000000	16128	0.838849	8847
ABCG2	0.213431	6556	0.328380	11896
ABCG4	0.029679	10748	0.045323	13109
ABCG5	0.000000	16127	0.000000	17222
ABCG8	0.000000	16126	0.000000	17221
ABHD1	0.000000	16125	0.000000	17220
ABHD10	0.186284	7112	1.197281	6096
ABHD11	0.310618	4506	1.280578	5547
ABHD12	0.156250	7784	1.675137	2734
ABHD12B	0.000000	16124	0.000000	17219
ABHD13	0.035368	10642	1.062582	7224
ABHD14A	0.356579	3464	1.412629	4517
ABHD14B	0.316371	4399	2.073828	1153
ABHD15	0.301901	4660	0.642465	10246
ABHD16A	0.000000	16123	1.195623	6240
ABHD16B	-	19005	-	19005
ABHD17A	0.163306	7598	1.089905	7110
ABHD17B	0.120917	8498	0.879669	8732
ABHD17C	0.441195	2406	1.482588	4009
ABHD18	0.107405	8746	0.642465	10245
ABHD2	0.193818	6956	1.792532	2123
ABHD3	-0.027637	16417	0.922725	8341
ABHD4	0.011114	11091	1.351603	4986
ABHD5	0.178504	7280	1.227372	5869
ABHD6	0.257977	5612	0.949878	8244
ABHD8	0.370852	3263	1.280578	5546
ABI1	-0.030781	16445	1.431203	4371
ABI2	0.281980	5096	1.607991	3119
ABI3	0.132099	8247	0.328380	11895
ABI3BP	1.116192	225	1.792532	2122
ABL1	0.545116	1524	1.513750	3767
ABL2	0.557759	1460	1.225826	5986
ABLIM1	0.162782	7617	0.978181	7941
ABLIM2	0.000000	16122	0.000000	17218
ABLIM3	0.337868	3733	1.513750	3766
ABO	0.000000	16121	0.000000	17217
ABR	0.642465	1072	1.466126	4133
ABRA	0.000000	16120	0.000000	17216
ABRACL	0.458701	2238	1.886491	1747
ABT1	0.100457	8870	1.297323	5386
ABTB1	0.092723	9027	1.280578	5545
ABTB2	0.189057	7045	0.949878	8243
ACAA1	0.182626	7186	1.664642	2795
ACAA2	0.342464	3662	1.634276	2943
ACACA	0.152645	7852	1.157759	6559
ACACB	0.000000	16119	0.045323	13108
ACAD10	-0.166756	17012	0.822822	9166
ACAD11	0.338435	3724	0.822822	9165
ACAD8	0.045313	10497	1.254064	5759
ACAD9	0.064203	9684	1.464340	4142
ACADL	0.000000	16118	0.000000	17215
ACADM	0.074765	9476	1.448861	4249
ACADS	0.045323	10494	0.741939	9714
ACADSB	0.000000	16117	0.696356	9832
ACADVL	0.685496	928	2.225955	820
ACAN	0.089905	9206	0.127105	12383
ACAP1	0.000000	16116	0.000000	17214
ACAP2	0.000000	16115	1.431203	4370
ACAP3	0.192520	6981	0.890980	8689
ACAT1	0.069960	9577	1.742096	2384
ACAT2	0.511925	1783	1.945074	1549
ACBD3	-0.082501	16760	1.771440	2206
ACBD4	0.241032	5990	0.949878	8242
ACBD5	0.215636	6515	0.642465	10244
ACBD6	0.502378	1840	1.163161	6539
ACBD7	0.091061	9049	0.328380	11894
ACCS	0.134728	8195	0.513218	10985
ACCSL	-	19004	-	19004
ACD	0.257824	5614	1.174641	6318
ACE	0.807547	606	1.254064	5758
ACE2	0.000000	16114	0.000000	17213
ACER1	0.000000	16113	0.000000	17212
ACER2	0.060262	9756	0.195900	12162
ACER3	0.028773	10763	1.147367	6594
ACHE	0.039555	10577	0.431364	11111
ACIN1	0.328380	4212	1.631545	2986
ACKR1	0.089905	9205	0.089905	12604
ACKR2	0.000000	16112	0.089905	12603
ACKR3	0.000000	16111	0.513218	10984
ACKR4	0.537830	1568	0.642465	10243
ACLY	0.483307	1999	1.778006	2168
ACMSD	0.000000	16110	0.000000	17211
ACO1	0.284134	5047	1.808076	2065
ACO2	0.000000	16109	1.705179	2564
ACOD1	0.000000	16108	0.000000	17210
ACOT1	0.000000	16107	0.000000	17209
ACOT11	0.277560	5190	0.513218	10983
ACOT12	0.000000	16106	0.000000	17208
ACOT13	0.361338	3421	1.583426	3241
ACOT2	0.137803	8139	1.128076	6815
ACOT4	-0.012083	16248	0.127105	12382
ACOT6	-	19003	-	19003
ACOT7	0.634382	1102	1.717338	2488
ACOT8	0.155895	7793	1.556664	3461
ACOT9	0.175046	7357	1.724112	2463
ACOX1	0.168828	7494	1.393224	4678
ACOX2	1.016954	300	1.048053	7476
ACOX3	0.155822	7797	1.071145	7184
ACOXL	0.000000	16105	0.000000	17207
ACP1	0.185310	7126	1.992642	1371
ACP2	0.485615	1973	1.695394	2627
ACP5	0.000000	16104	0.000000	17206
ACP6	0.259535	5576	0.642465	10242
ACP7	-	19002	-	19002
ACPP	0.089905	9204	0.089905	12602
ACPT	-	19001	-	19001
ACR	0.000000	16103	0.000000	17205
ACRBP	0.000000	16102	0.089905	12601
ACRC	0.000000	16101	0.000000	17204
ACRV1	0.000000	16100	0.000000	17203
ACSBG1	0.000000	16099	0.000000	17202
ACSBG2	0.000000	16098	0.000000	17201
ACSF2	0.016357	11005	0.642465	10241
ACSF3	0.035329	10643	0.696356	9831
ACSL1	0.045323	10493	0.998259	7867
ACSL3	0.280358	5131	2.012247	1309
ACSL4	0.045323	10492	1.582177	3290
ACSL5	0.328380	4211	0.513218	10982
ACSL6	0.000000	16097	0.000000	17200
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16096	0.000000	17199
ACSM2B	0.000000	16095	0.000000	17198
ACSM3	0.045323	10491	0.089905	12600
ACSM4	-	18999	-	18999
ACSM5	0.000000	16094	0.000000	17197
ACSM6	0.000000	16093	0.000000	17196
ACSS1	0.029629	10750	0.822822	9164
ACSS2	0.232531	6156	0.822822	9163
ACSS3	0.251729	5758	0.328380	11893
ACTA1	0.000000	16092	0.000000	17195
ACTA2	1.276244	142	2.650541	287
ACTB	0.516398	1701	3.896313	6
ACTBL2	0.686636	925	0.686636	9850
ACTC1	0.716621	822	0.824126	8910
ACTG1	0.637589	1089	3.909169	4
