gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.474713	6623	1.009876	10668
A1CF	0.000000	16937	0.000000	17239
A2M	0.903989	2605	1.954291	2035
A2ML1	0.652246	4377	0.652246	12741
A3GALT2	-	19008	-	19008
A4GALT	0.030313	14964	0.694738	12484
A4GNT	0.000000	16936	0.000000	17238
AAAS	0.537868	5671	1.547529	5473
AACS	0.589678	5021	1.579441	5166
AADAC	0.000000	16935	0.000000	17237
AADACL2	0.000000	16934	0.000000	17236
AADACL3	0.000000	16933	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.790791	3250	1.360404	7460
AAED1	0.147097	12836	0.936573	11152
AAGAB	0.130272	13549	1.678973	4191
AAK1	0.852551	2879	1.688331	4114
AAMDC	0.157576	12636	1.045714	10415
AAMP	0.292501	9979	1.937167	2142
AANAT	0.029384	15089	0.029384	15617
AAR2	0.406212	7718	1.119586	9812
AARD	0.475506	6615	0.489958	13404
AARS	0.579493	5139	2.005609	1777
AARS2	0.380915	8163	1.591732	5033
AARSD1	0.311754	9641	1.602711	4933
AASDH	0.483443	6500	1.563727	5312
AASDHPPT	0.877218	2726	2.171609	1099
AASS	0.249475	10815	1.311542	7973
AATF	-0.049896	17062	1.418964	6836
AATK	1.872215	389	1.872215	2564
ABAT	1.864926	395	1.864926	2609
ABCA1	0.191908	12084	1.476397	6230
ABCA10	0.209515	11727	0.209515	14475
ABCA12	0.000000	16932	0.000000	17234
ABCA13	0.032229	14950	0.032229	15516
ABCA2	1.553936	772	2.064720	1501
ABCA3	1.354795	1140	2.082749	1422
ABCA4	0.082785	14415	0.082785	15385
ABCA5	0.727123	3713	1.759558	3483
ABCA6	0.244338	10936	0.631444	12814
ABCA7	0.583560	5100	1.229743	8781
ABCA8	0.789222	3262	1.730019	3722
ABCA9	0.267499	10474	0.387390	13748
ABCB1	0.940904	2416	1.538577	5541
ABCB10	0.267242	10476	0.684845	12566
ABCB11	0.000000	16931	0.000000	17233
ABCB4	0.390084	8015	0.539076	13170
ABCB5	0.000000	16930	0.000000	17232
ABCB6	0.501547	6197	0.932474	11188
ABCB7	0.181283	12233	1.430720	6721
ABCB8	0.230630	11174	1.332687	7753
ABCB9	1.164017	1601	1.257439	8509
ABCC1	0.082393	14420	1.045323	10418
ABCC10	0.441360	7134	1.108903	9927
ABCC11	0.130334	13548	0.130334	15081
ABCC12	0.690196	4008	0.690196	12509
ABCC2	0.000000	16929	0.000000	17231
ABCC3	0.230449	11341	0.617000	12884
ABCC4	0.214043	11604	0.794488	11991
ABCC5	0.744492	3583	1.733292	3695
ABCC6	-	19006	-	19006
ABCC8	1.358886	1131	1.358886	7471
ABCC9	0.519126	5944	0.672939	12623
ABCD1	0.130334	13547	0.715167	12402
ABCD2	1.334717	1189	1.496099	6004
ABCD3	0.249665	10814	1.414305	6914
ABCD4	0.423177	7452	1.450557	6505
ABCE1	0.072223	14515	1.591287	5043
ABCF1	0.216966	11563	2.066900	1494
ABCF2	0.577379	5195	1.648360	4471
ABCF3	0.261300	10593	1.736078	3668
ABCG1	0.442498	7128	1.575419	5199
ABCG2	0.802031	3159	0.916980	11298
ABCG4	0.959328	2339	0.974972	10884
ABCG5	0.000000	16928	0.000000	17230
ABCG8	0.000000	16927	0.000000	17229
ABHD1	0.291076	10010	0.350248	13898
ABHD10	0.399011	7856	1.669689	4276
ABHD11	0.323061	9310	1.059185	10316
ABHD12	0.509726	6077	2.028612	1663
ABHD12B	0.457882	6888	0.457882	13489
ABHD13	0.317111	9434	1.359291	7464
ABHD14A	0.828221	3012	1.801952	3122
ABHD14B	-0.448680	17232	1.308778	8003
ABHD15	0.046826	14767	0.387390	13747
ABHD16A	0.576341	5217	1.547529	5472
ABHD16B	-	19005	-	19005
ABHD17A	0.477207	6588	1.403807	6996
ABHD17B	0.632185	4582	1.583539	5112
ABHD17C	0.960036	2337	1.304491	8042
ABHD18	0.674953	4148	0.980912	10873
ABHD2	0.370897	8431	1.981139	1903
ABHD3	0.323564	9301	1.273927	8355
ABHD4	0.031803	14955	1.257198	8515
ABHD5	0.258727	10658	1.455606	6454
ABHD6	0.918440	2541	1.610341	4863
ABHD8	0.851525	2884	1.761251	3465
ABI1	0.398799	7859	1.675852	4214
ABI2	1.283453	1291	2.368529	622
ABI3	0.523661	5883	1.028809	10515
ABI3BP	0.784558	3291	1.476397	6229
