gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.417376	9034	1.214443	10010
A1CF	0.016406	15910	0.016406	15979
A2M	1.065708	2231	2.116010	1650
A2ML1	1.090611	2120	1.090611	11115
A3GALT2	-	19008	-	19008
A4GALT	0.099735	15121	0.795185	12869
A4GNT	0.000000	17194	0.000000	17239
AAAS	0.483845	7746	1.855699	3329
AACS	0.190896	13795	1.206381	10064
AADAC	0.016406	15909	0.016406	15978
AADACL2	0.000000	17193	0.000000	17238
AADACL3	0.000000	17192	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.367824	10148	0.937437	12184
AAED1	-0.005305	17200	1.205519	10065
AAGAB	0.235774	13056	1.784475	3929
AAK1	0.720251	4487	1.615587	5742
AAMDC	0.209041	13509	1.260208	9546
AAMP	0.537415	6810	2.051736	1974
AANAT	0.146128	14672	0.146128	15227
AAR2	0.313471	11336	1.434707	7777
AARD	0.276077	12199	0.290530	14551
AARS	0.368329	10130	1.870053	3208
AARS2	0.523743	7057	1.734560	4420
AARSD1	0.257679	12675	1.563992	6280
AASDH	0.760261	4102	1.840545	3457
AASDHPPT	0.736352	4325	1.892929	3008
AASS	0.541294	6768	1.603361	5870
AATF	0.094858	15152	1.563718	6288
AATK	1.992995	269	1.992995	2287
ABAT	1.639851	661	1.925673	2768
ABCA1	0.256537	12697	1.649937	5314
ABCA10	0.743510	4249	0.743510	13098
ABCA12	0.037981	15624	0.037981	15736
ABCA13	0.134374	14751	0.134374	15252
ABCA2	1.720671	541	2.187844	1353
ABCA3	1.176491	1801	1.904445	2932
ABCA4	1.440250	1051	1.440250	7702
ABCA5	1.122049	2001	2.154485	1488
ABCA6	0.745869	4218	1.205044	10068
ABCA7	0.433720	8693	1.269279	9477
ABCA8	0.971728	2681	1.912524	2865
ABCA9	0.835572	3532	1.121231	10843
ABCB1	1.183580	1762	1.781253	3962
ABCB10	0.200482	13660	0.740251	13104
ABCB11	0.008435	16042	0.008435	16102
ABCB4	0.342369	10734	0.491362	13938
ABCB5	0.065300	15370	0.065300	15546
ABCB6	0.279194	12136	0.617904	13571
