gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.223442	10867	1.214443	8823
A1CF	0.000000	16976	0.000000	17239
A2M	0.523359	5042	1.465005	6334
A2ML1	0.307496	9036	0.307496	13708
A3GALT2	-	19008	-	19008
A4GALT	-0.001312	16982	0.663114	12355
A4GNT	0.000000	16975	0.000000	17238
AAAS	0.461729	5979	1.855699	2653
AACS	0.178224	12150	1.206381	8859
AADAC	0.000000	16974	0.000000	17237
AADACL2	0.000000	16973	0.000000	17236
AADACL3	0.000000	16972	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.255813	10168	0.825426	11575
AAED1	-0.012836	17014	1.205519	8862
AAGAB	-0.212284	17207	1.336417	7624
AAK1	0.720251	3005	1.615587	4812
AAMDC	0.209041	11137	1.260208	8353
AAMP	0.246970	10380	2.051736	1502
AANAT	0.000000	16971	0.000000	17234
AAR2	0.313471	8751	1.434707	6654
AARD	0.276077	9706	0.290530	13734
AARS	0.321101	8596	1.843793	2740
AARS2	0.523743	5040	1.734560	3647
AARSD1	0.151159	12622	1.563992	5327
AASDH	0.760261	2719	1.840545	2761
AASDHPPT	0.430232	6482	1.840545	2760
AASS	0.464143	5935	1.526210	5714
AATF	0.064530	13821	1.533390	5610
AATK	1.471102	606	1.488795	6109
ABAT	1.639851	424	1.925673	2161
ABCA1	0.177260	12168	1.570660	5257
ABCA10	0.181844	12091	0.181844	14350
ABCA12	0.016406	14619	0.016406	15140
ABCA13	0.134374	12911	0.134374	14448
ABCA2	1.142183	1190	1.671000	4242
ABCA3	1.077140	1360	1.805095	3025
ABCA4	0.026394	14495	0.026394	15074
ABCA5	1.122049	1241	2.154485	1108
ABCA6	0.153609	12575	0.612784	12560
ABCA7	0.433720	6416	1.269279	8303
ABCA8	0.664642	3465	1.394277	7074
ABCA9	0.835572	2285	0.887617	11204
ABCB1	0.822943	2365	1.420616	6806
ABCB10	0.200482	11315	0.740251	11989
ABCB11	0.000000	16970	0.000000	17233
ABCB4	0.257548	10130	0.406540	13353
ABCB5	0.000000	16969	0.000000	17232
ABCB6	0.279152	9637	0.617904	12461
ABCB7	0.468316	5870	1.717754	3803
ABCB8	0.423101	6589	1.475529	6233
ABCB9	0.811980	2428	1.281033	8182
ABCC1	0.199491	11331	1.456461	6424
ABCC10	0.833099	2294	1.244277	8536
ABCC11	0.000000	16968	0.000000	17231
ABCC12	0.307496	9035	0.307496	13707
ABCC2	0.000000	16967	0.000000	17230
ABCC3	0.609749	4016	1.422077	6761
ABCC4	0.313725	8745	0.825231	11577
ABCC5	0.980009	1666	1.968810	1906
ABCC6	-	19006	-	19006
ABCC8	1.621623	440	1.621623	4737
ABCC9	0.192155	11460	0.555094	12763
ABCD1	0.197211	11374	1.150434	9339
ABCD2	1.547698	506	1.709080	3871
ABCD3	0.255976	10165	1.420616	6805
ABCD4	0.649994	3585	1.806858	3014
ABCE1	0.011827	14776	1.530892	5656
ABCF1	0.210760	11104	1.868821	2562
ABCF2	0.262232	10036	1.689474	4065
ABCF3	0.287901	9441	1.762679	3399
ABCG1	0.451053	6135	1.583974	5115
ABCG2	0.554486	4670	0.588524	12615
ABCG4	0.949045	1762	0.964690	10788
ABCG5	0.000000	16966	0.000000	17229
ABCG8	0.037981	14332	0.037981	14983
ABHD1	0.049245	14019	0.108416	14519
ABHD10	0.574214	4405	1.657017	4368
ABHD11	0.214799	11035	1.184760	9087
ABHD12	0.244885	10422	1.763771	3383
ABHD12B	0.037981	14331	0.037981	14982
ABHD13	0.283541	9531	1.325721	7761
ABHD14A	0.721889	2989	1.594499	5014
ABHD14B	0.094494	13437	1.851952	2678
ABHD15	0.026394	14494	0.255587	13813
ABHD16A	0.342347	8174	1.570142	5261
ABHD16B	-	19005	-	19005
ABHD17A	0.349168	8035	1.275768	8215
ABHD17B	0.532626	4910	1.403292	6977
ABHD17C	0.232373	10673	1.254272	8439
ABHD18	0.829700	2311	1.143951	9439
ABHD2	0.421207	6623	2.120720	1218
ABHD3	0.288310	9429	1.238672	8574
ABHD4	0.387259	7285	1.727748	3699
ABHD5	0.360291	7820	1.429106	6719
ABHD6	0.683946	3292	1.375846	7264
ABHD8	0.583452	4306	1.493178	6051
ABI1	0.393951	7173	1.647872	4461
ABI2	0.872688	2106	1.904611	2306
ABI3	0.181844	12090	0.656204	12367
