gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.154789	10955	1.145789	8035
A1CF	0.000000	16309	0.000000	17239
A2M	0.754457	2312	1.741860	2628
A2ML1	0.885361	1716	0.885361	10265
A3GALT2	-	19008	-	19008
A4GALT	-0.155223	17002	0.509203	12658
A4GNT	0.000000	16308	0.000000	17238
AAAS	0.000000	16307	1.291369	6659
AACS	-0.041880	16587	0.962369	9700
AADAC	0.000000	16306	0.000000	17237
AADACL2	0.000000	16305	0.000000	17236
AADACL3	0.000000	16304	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.240549	9299	0.736397	11291
AAED1	-0.143594	16967	1.027350	9144
AAGAB	-0.012143	16392	1.536558	4226
AAK1	0.535706	4120	1.431042	5232
AAMDC	0.557695	3909	1.442837	5050
AAMP	0.265349	8207	1.921166	1612
AANAT	0.240549	9298	0.240549	14218
AAR2	0.068122	12465	1.109916	8435
AARD	0.000000	16303	0.000000	17234
AARS	0.448337	5310	2.060414	1049
AARS2	0.265580	8203	1.476397	4797
AARSD1	0.000000	16302	1.412448	5382
AASDH	0.399396	5905	1.479680	4724
AASDHPPT	0.534666	4126	1.815009	2164
AASS	0.759577	2284	1.821645	2134
AATF	0.007537	13686	1.476397	4796
AATK	2.287802	53	2.287802	533
ABAT	1.200029	807	1.925003	1588
ABCA1	0.442608	5373	1.836007	2055
ABCA10	0.841359	1899	0.841359	10573
ABCA12	0.000000	16301	0.000000	17233
ABCA13	0.000000	16300	0.000000	17232
ABCA2	1.701464	250	2.108493	921
ABCA3	0.858291	1807	1.586245	3833
ABCA4	0.240549	9297	0.240549	14217
ABCA5	0.736208	2452	1.434390	5137
ABCA6	0.860351	1796	1.319526	6345
ABCA7	0.417380	5692	1.252939	6995
ABCA8	1.025732	1217	1.966528	1429
ABCA9	0.833316	1935	1.109916	8434
ABCB1	1.209185	785	1.806858	2229
ABCB10	-0.048106	16620	0.736397	11290
ABCB11	0.000000	16299	0.000000	17231
ABCB4	0.245459	8525	0.394452	13305
ABCB5	0.240549	9296	0.240549	14216
ABCB6	0.284784	7861	0.509203	12657
ABCB7	0.041931	13012	1.291369	6658
ABCB8	0.313508	7398	1.485474	4694
ABCB9	0.204425	10007	0.580403	12167
ABCC1	0.521312	4267	1.157154	7989
ABCC10	0.359807	6679	1.027350	9143
ABCC11	0.018968	13567	0.018968	15134
ABCC12	0.078627	12311	0.078627	14629
ABCC2	0.000000	16298	0.000000	17230
ABCC3	0.018968	13566	0.152122	14376
ABCC4	0.343603	6935	0.925312	9971
ABCC5	0.476731	4957	1.465532	4882
ABCC6	-	19006	-	19006
ABCC8	0.736397	2451	0.736397	11289
ABCC9	0.519209	4285	0.673021	11697
ABCD1	0.000000	16297	0.736397	11288
ABCD2	0.723979	2505	0.885361	10264
ABCD3	0.394678	5949	1.256958	6979
ABCD4	0.297524	7651	1.454387	4988
ABCE1	-0.023591	16471	1.495474	4607
ABCF1	0.625084	3208	2.146089	818
ABCF2	0.020037	13314	1.323046	6331
ABCF3	0.237335	9333	1.712112	2828
ABCG1	0.695163	2669	1.828084	2090
ABCG2	0.792392	2137	0.792392	10912
ABCG4	0.493558	4736	0.509203	12656
ABCG5	0.000000	16296	0.000000	17229
ABCG8	0.000000	16295	0.000000	17228
ABHD1	0.295490	7681	0.354662	13340
ABHD10	0.392575	6217	1.663252	3211
ABHD11	0.208427	9919	0.962369	9699
ABHD12	0.110217	11746	1.629104	3472
ABHD12B	0.240549	9295	0.240549	14215
