gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.026945	13561	0.746634	11017
A1CF	0.000000	16575	0.000000	17239
A2M	1.163694	473	2.213996	568
A2ML1	0.000000	16574	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.316966	5343	1.012415	9082
A4GNT	0.000000	16573	0.000000	17237
AAAS	0.270082	6345	1.403292	5109
AACS	0.104248	11067	0.895975	10025
AADAC	0.025306	13959	0.025306	15285
AADACL2	0.000000	16572	0.000000	17236
AADACL3	0.000000	16571	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.459771	3215	1.029384	8914
AAED1	0.219554	7662	1.437909	4768
AAGAB	0.151483	9550	1.700184	2510
AAK1	0.984219	746	1.879555	1524
AAMDC	0.285033	6029	1.226600	7015
AAMP	0.121937	10593	1.926702	1317
AANAT	0.000000	16570	0.000000	17234
AAR2	0.027773	13540	1.072617	8511
AARD	0.192373	8458	0.206826	13756
AARS	0.181015	8727	1.793092	1930
AARS2	0.259005	6621	1.469822	4436
AARSD1	0.335380	4991	1.273927	6500
AASDH	0.112283	10878	1.192567	7329
AASDHPPT	0.052304	13078	1.505150	4103
AASS	0.192723	8449	1.254790	6717
AATF	0.097342	11225	1.566202	3564
AATK	0.818631	1137	0.836324	10461
ABAT	1.118265	531	1.296226	6262
ABCA1	0.045617	13241	1.439017	4759
ABCA10	0.666518	1689	0.666518	11480
ABCA12	0.000000	16569	0.000000	17233
ABCA13	0.257679	6730	0.257679	13482
ABCA2	0.912187	898	1.691081	2585
ABCA3	1.183555	449	1.717421	2375
ABCA4	0.344392	4838	0.344392	13051
ABCA5	0.311618	5436	1.270213	6518
ABCA6	0.473806	3078	0.932981	9713
ABCA7	0.268928	6374	1.104487	8214
ABCA8	0.664832	1703	1.605628	3254
ABCA9	0.653332	1745	0.955207	9525
ABCB1	0.214844	7789	0.710963	11217
ABCB10	0.152676	9522	1.012837	9067
ABCB11	0.000000	16568	0.000000	17232
ABCB4	0.025306	13958	0.146128	14155
ABCB5	0.000000	16567	0.000000	17231
ABCB6	0.336229	4976	0.767156	10893
ABCB7	0.085418	11568	1.334856	5838
ABCB8	0.036475	13394	1.208441	7206
ABCB9	0.096517	11308	0.559907	12028
ABCC1	0.463893	3175	1.455758	4569
ABCC10	0.322737	5202	0.958086	9516
ABCC11	0.000000	16566	0.000000	17230
ABCC12	0.000000	16565	0.000000	17229
ABCC2	0.000000	16564	0.000000	17228
ABCC3	0.251005	6888	1.063333	8576
ABCC4	0.203370	8185	1.029384	8913
ABCC5	0.164322	9211	1.111263	8156
ABCC6	-	19006	-	19006
ABCC8	0.767156	1296	0.767156	10892
ABCC9	1.178015	458	1.540955	3779
ABCD1	0.000000	16563	0.736397	11101
ABCD2	0.079181	12291	0.214844	13570
ABCD3	0.154211	9477	1.259594	6660
ABCD4	0.436011	3474	1.451633	4619
ABCE1	-0.093367	17028	1.425697	4891
ABCF1	-0.036554	16803	1.813381	1832
ABCF2	-0.014316	16680	1.311330	6080
ABCF3	0.022429	13997	1.497206	4175
ABCG1	0.084914	11576	1.131298	7985
ABCG2	0.444045	3388	0.541579	12067
ABCG4	0.081266	11651	0.096910	14317
ABCG5	0.000000	16562	0.000000	17227
ABCG8	0.000000	16561	0.000000	17226
ABHD1	0.285221	6025	0.344392	13050
ABHD10	0.314985	5382	1.538448	3800
ABHD11	0.478436	3036	1.448397	4647
ABHD12	0.382027	4185	1.900913	1430
ABHD12B	0.000000	16560	0.000000	17225
ABHD13	0.112350	10876	1.139564	7883
ABHD14A	0.597289	2074	1.651859	2905
ABHD14B	0.227520	7484	1.984977	1097
ABHD15	0.082682	11623	0.423246	12607
ABHD16A	0.326508	5135	1.617210	3169
ABHD16B	-	19005	-	19005
ABHD17A	0.085816	11555	1.012415	9081
ABHD17B	0.143432	10013	1.143639	7863
ABHD17C	0.322063	5214	1.197281	7307
ABHD18	0.378886	4282	1.053463	8706
ABHD2	0.052187	13082	1.728759	2302
ABHD3	0.279319	6126	1.229682	6999
ABHD4	0.179863	8765	1.520353	3955
ABHD5	0.412460	3770	1.330617	5886
ABHD6	0.202789	8196	0.802774	10651
ABHD8	0.183345	8678	1.093071	8317
ABI1	-0.020656	16724	1.457731	4562
ABI2	0.420074	3648	1.600101	3304
ABI3	0.555768	2353	0.752048	11006
ABI3BP	1.007936	695	1.964495	1166
ABL1	0.407745	3817	1.409257	5047
ABL2	0.242781	7099	0.938520	9684
ABLIM1	1.367019	304	2.256742	489
ABLIM2	0.605305	2032	0.665581	11494
ABLIM3	0.224992	7535	1.075912	8492
