gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.258677	11638	0.986772	11055
A1CF	0.167317	13447	0.167317	14753
A2M	2.021830	176	3.072132	169
A2ML1	0.572755	5314	0.572755	13257
A3GALT2	-	19008	-	19008
A4GALT	0.686027	3963	1.381476	7670
A4GNT	0.000000	17191	0.000000	17239
AAAS	0.591843	5014	1.985813	2359
AACS	0.429316	7691	1.479980	6654
AADAC	1.269746	1005	1.269746	8811
AADACL2	0.045323	15438	0.045323	15633
AADACL3	0.000000	17190	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.428647	7701	0.998259	10982
AAED1	0.229113	12256	1.447468	6994
AAGAB	0.013937	15556	1.562638	5830
AAK1	0.581785	5183	1.477121	6688
AAMDC	0.299078	10574	1.482874	6634
AAMP	0.351681	9352	2.156446	1559
AANAT	0.000000	17189	0.000000	17237
AAR2	0.361808	9097	1.413212	7327
AARD	0.466990	6964	0.481443	13660
AARS	0.263542	11428	1.875619	3097
AARS2	0.305916	10440	1.516733	6273
AARSD1	0.216920	12467	1.610259	5349
AASDH	0.400298	8299	1.480582	6652
AASDHPPT	0.231742	12212	1.748343	4113
AASS	0.698280	3833	1.760347	4022
AATF	0.089968	14734	1.558829	5862
AATK	0.634477	4528	0.634477	13020
ABAT	0.823474	2832	0.823474	12093
ABCA1	0.404006	8226	1.797406	3716
ABCA10	1.254790	1048	1.254790	8959
ABCA12	0.437354	7531	0.437354	13745
ABCA13	1.116276	1428	1.116276	10096
ABCA2	0.207878	12696	0.986772	11054
ABCA3	2.558637	53	2.558637	596
ABCA4	0.212188	12615	0.212188	14627
ABCA5	0.535766	5853	1.568202	5768
ABCA6	1.366057	801	1.825231	3475
ABCA7	0.356869	9215	1.192428	9503
ABCA8	1.052508	1654	1.993304	2325
ABCA9	0.637145	4485	0.939020	11381
ABCB1	0.802089	3012	1.117271	10087
ABCB10	0.358899	9160	1.219060	9260
ABCB11	0.000000	17188	0.000000	17236
ABCB4	0.113458	14511	0.262451	14476
ABCB5	0.082785	14833	0.082785	15277
ABCB6	0.573815	5304	0.952507	11259
ABCB7	0.068835	14928	1.318272	8321
ABCB8	0.461026	7075	1.463044	6833
ABCB9	0.344776	9562	0.808166	12149
ABCC1	0.420312	7890	1.503246	6399
ABCC10	0.497186	6443	1.051536	10609
ABCC11	0.000000	17187	0.000000	17235
ABCC12	0.000000	17186	0.000000	17234
ABCC2	0.000000	17185	0.000000	17233
ABCC3	0.670688	4128	1.483016	6620
ABCC4	0.951794	2093	1.412461	7349
ABCC5	0.473298	6866	1.462098	6849
ABCC6	-	19006	-	19006
ABCC8	0.354108	9297	0.354108	14050
ABCC9	0.947591	2127	1.128076	10016
ABCD1	0.161054	13548	1.114277	10141
ABCD2	0.364957	9032	0.526339	13486
ABCD3	0.439247	7498	1.291147	8602
ABCD4	0.405159	8206	1.340642	8077
ABCE1	-0.005847	17195	1.513218	6309
ABCF1	0.209477	12670	2.059412	1999
ABCF2	0.413557	8025	1.840799	3349
ABCF3	0.111576	14529	1.586354	5593
ABCG1	0.619204	4697	1.752125	4082
ABCG2	0.602987	4874	0.710963	12665
ABCG4	0.078789	14868	0.094434	15212
ABCG5	0.000000	17184	0.000000	17232
ABCG8	0.000000	17183	0.000000	17231
ABHD1	0.090047	14732	0.149219	15011
ABHD10	0.169470	13358	1.439491	7087
ABHD11	0.671499	4117	1.641460	5076
ABHD12	0.381328	8708	1.900214	2926
ABHD12B	0.155336	13660	0.155336	14814
ABHD13	0.289045	10804	1.331225	8179
ABHD14A	0.229446	12250	1.251910	8973
ABHD14B	0.165009	13479	1.922466	2788
ABHD15	0.473319	6864	0.813883	12112
ABHD16A	0.273016	11190	1.563718	5812
ABHD16B	-	19005	-	19005
ABHD17A	0.255383	11716	1.181983	9585
ABHD17B	0.286935	10879	1.287578	8632
ABHD17C	0.781102	3140	1.822495	3496
ABHD18	0.412948	8041	1.264818	8863
ABHD2	0.457149	7177	2.100715	1797
ABHD3	0.448098	7333	1.398461	7499
ABHD4	0.384878	8630	1.725367	4328
ABHD5	0.366839	9001	1.563718	5811
ABHD6	0.866817	2571	1.114277	10140
ABHD8	0.311736	10303	1.189746	9541
ABI1	0.547415	5657	2.062958	1984
ABI2	0.416444	7958	1.867998	3144
ABI3	0.793705	3058	1.298853	8501
ABI3BP	1.391687	745	2.348246	990
ABL1	0.491496	6532	1.282635	8686
ABL2	0.338488	9692	1.034227	10736
ABLIM1	1.364641	806	1.999479	2299
ABLIM2	0.416786	7952	0.684845	12754
ABLIM3	0.648317	4366	1.647285	5029
ABO	1.220898	1126	1.346744	8013
ABR	0.694657	3866	1.560947	5836
ABRA	0.252853	11788	0.252853	14509
ABRACL	0.516936	6135	2.013475	2211
ABT1	0.444542	7405	1.641408	5077
ABTB1	0.274243	11160	1.462098	6848
ABTB2	0.453524	7231	1.214345	9293
ACAA1	0.362193	9087	1.798933	3696
ACAA2	0.359086	9157	1.403939	7442
ACACA	0.378721	8758	1.522048	6212
ACACB	0.354715	9268	0.674861	12853
ACAD10	0.151558	13700	1.141136	9924
ACAD11	0.522031	6066	0.915400	11528
ACAD8	0.167460	13393	1.376212	7726
ACAD9	0.156462	13613	1.556600	5874
ACADL	1.458638	639	1.458638	6887
ACADM	0.217414	12448	1.591510	5546
ACADS	0.278795	11070	1.166430	9738
ACADSB	0.248379	11866	1.172603	9673
ACADVL	0.207630	12701	2.014004	2206
ACAN	0.773175	3220	0.823474	12092
ACAP1	0.799056	3028	0.911158	11537
ACAP2	0.584520	5140	1.820070	3520
ACAP3	0.193282	12953	0.885780	11710
ACAT1	0.105501	14578	1.739177	4207
ACAT2	0.558967	5489	1.992117	2329
ACBD3	0.298867	10578	2.152808	1569
ACBD4	0.239078	12052	0.947924	11319
ACBD5	0.319501	10115	0.805501	12195
ACBD6	0.257277	11670	1.371004	7763
ACBD7	0.542999	5717	0.780317	12294
ACCS	1.117466	1417	1.368659	7812
ACCSL	-	19004	-	19004
ACD	0.827108	2808	1.743925	4155
ACE	1.493750	567	1.940267	2664
ACE2	0.424882	7815	0.424882	13847
ACER1	0.000000	17182	0.000000	17230
ACER2	0.119576	14322	0.411384	13868
ACER3	0.358527	9168	1.477121	6687
ACHE	0.376829	8795	0.768638	12373
ACIN1	0.428197	7711	2.271772	1176
ACKR1	1.790004	288	1.790004	3780
ACKR2	0.905831	2365	0.905831	11565
ACKR3	0.736240	3518	2.080338	1891
ACKR4	1.014951	1789	1.119586	10061
ACLY	0.793323	3061	2.088022	1857
ACMSD	0.045323	15437	0.045323	15632
ACO1	0.019630	15538	1.543571	5998
ACO2	0.064458	15164	1.767749	3955
ACOD1	0.000000	17181	0.000000	17229
ACOT1	0.262451	11556	0.262451	14475
ACOT11	0.409933	8123	0.409933	13904
ACOT12	0.000000	17180	0.000000	17228
ACOT13	0.240509	12030	1.529885	6122
ACOT2	0.292151	10743	1.070776	10486
ACOT4	0.403638	8237	0.542825	13434
ACOT6	-	19003	-	19003
ACOT7	1.390955	748	1.824501	3481
ACOT8	0.367532	8984	1.768301	3947
ACOT9	0.318809	10134	1.867875	3145
ACOX1	0.367028	8994	1.656290	4945
ACOX2	0.355355	9252	0.833784	12009
ACOX3	0.277548	11091	1.255094	8926
ACOXL	1.244772	1073	1.244772	9043
ACP1	0.236539	12107	1.937919	2678
ACP2	0.322011	10064	1.874874	3103
ACP5	2.386349	76	2.412729	860
ACP6	0.298346	10586	0.942957	11352
ACP7	-	19002	-	19002
ACPP	0.932799	2206	1.161967	9766
ACPT	-	19001	-	19001
ACR	0.000000	17179	0.000000	17227
ACRBP	0.398840	8331	0.645422	12942
ACRC	0.000000	17178	0.000000	17226
ACRV1	0.000000	17177	0.000000	17225
ACSBG1	0.037981	15485	0.037981	15649
ACSBG2	0.000000	17176	0.000000	17224
ACSF2	0.746797	3432	1.372904	7753
ACSF3	0.325239	9983	1.190332	9539
ACSL1	1.074678	1570	1.857393	3214
ACSL3	0.274197	11162	2.141920	1616
ACSL4	0.533388	5886	1.907250	2878
ACSL5	0.939519	2171	1.724358	4336
ACSL6	0.780317	3148	0.780317	12293
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17175	0.000000	17223
ACSM2B	0.000000	17174	0.000000	17222
ACSM3	0.887538	2450	0.959995	11221
ACSM4	-	18999	-	18999
ACSM5	0.487138	6636	0.487138	13626
ACSM6	0.000000	17173	0.000000	17221
ACSS1	0.324664	9993	1.412461	7348
ACSS2	0.689653	3927	1.530072	6121
ACSS3	0.910961	2340	1.485011	6594
ACTA1	0.526339	6000	0.526339	13485
ACTA2	1.266939	1014	2.641236	490
ACTB	0.912078	2335	4.332664	2
ACTBL2	0.311573	10308	0.311573	14202
ACTC1	1.173073	1250	1.280578	8707
