gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.060107	8993	1.051107	7500
A1CF	0.000000	16178	0.000000	17239
A2M	0.000000	16177	0.718210	9781
A2ML1	0.000000	16176	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.062393	8920	0.757842	9548
A4GNT	0.000000	16175	0.000000	17237
AAAS	0.219393	4620	1.613363	2991
AACS	0.303873	3188	1.354537	5021
AADAC	0.000000	16174	0.000000	17236
AADACL2	0.000000	16173	0.000000	17235
AADACL3	0.000000	16172	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.205639	4860	0.577565	10460
AAED1	0.064099	8855	1.175650	6486
AAGAB	0.205522	4862	1.754223	2185
AAK1	0.239208	4208	1.063226	7415
AAMDC	0.235107	4291	1.418902	4449
AAMP	0.135362	6576	1.775788	2059
AANAT	0.000000	16171	0.000000	17233
AAR2	0.181636	5396	1.147173	6735
AARD	0.173031	5600	0.187484	12014
AARS	0.045873	9647	1.657950	2719
AARS2	0.061035	8964	1.271852	5696
AARSD1	0.055429	9166	1.468263	4051
AASDH	0.028452	10698	1.104030	7086
AASDHPPT	0.225823	4490	1.742424	2249
AASS	0.334983	2808	1.397050	4631
AATF	0.061749	8942	1.530609	3550
AATK	0.000000	16170	0.012475	13798
ABAT	0.069925	8674	0.799089	9288
ABCA1	0.000000	16169	1.344167	5135
ABCA10	0.000000	16168	0.000000	17232
ABCA12	0.012475	11715	0.012475	13797
ABCA13	0.000000	16167	0.000000	17231
ABCA2	0.023961	10889	0.570996	10498
ABCA3	0.598129	1117	1.326083	5256
ABCA4	0.062507	8913	0.062507	12766
ABCA5	0.094922	7779	1.075794	7315
ABCA6	0.548558	1317	1.007732	7856
ABCA7	0.040187	9899	0.611469	10302
ABCA8	0.356540	2555	1.297336	5483
ABCA9	0.012475	11714	0.023961	13407
ABCB1	0.394741	2204	0.394741	11229
ABCB10	0.289332	3408	1.149493	6719
ABCB11	0.000000	16166	0.000000	17230
ABCB4	0.000000	16165	0.015108	13692
ABCB5	0.000000	16164	0.000000	17229
ABCB6	0.090829	7912	0.421733	11135
ABCB7	0.070809	8649	1.320246	5305
ABCB8	0.053941	9288	1.225907	6082
ABCB9	0.162163	5854	0.625553	10234
ABCC1	0.228843	4429	1.485813	3910
ABCC10	0.122372	6924	0.720344	9767
ABCC11	0.000000	16163	0.000000	17228
ABCC12	0.000000	16162	0.000000	17227
ABCC2	0.039068	9977	0.039068	13082
ABCC3	0.142396	6367	0.891576	8695
ABCC4	0.355300	2576	1.246331	5885
ABCC5	0.239765	4203	0.959857	8213
ABCC6	-	19006	-	19006
ABCC8	0.000000	16161	0.000000	17226
ABCC9	0.000000	16160	0.000000	17225
ABCD1	0.000000	16159	0.733463	9681
ABCD2	0.000000	16158	0.157355	12122
ABCD3	0.071635	8601	1.236275	5980
ABCD4	0.231551	4366	1.172141	6511
ABCE1	0.293643	3331	1.812707	1907
ABCF1	0.093022	7844	1.942956	1415
ABCF2	0.169126	5691	1.596367	3097
ABCF3	-0.119333	17032	1.355444	5007
ABCG1	0.030605	10237	0.480277	10901
ABCG2	0.292249	3349	0.407198	11175
ABCG4	0.071230	8630	0.077750	12614
ABCG5	0.000000	16157	0.000000	17224
ABCG8	0.000000	16156	0.000000	17223
ABHD1	0.000000	16155	0.029968	13114
ABHD10	0.143120	6341	1.413797	4486
ABHD11	0.005079	11897	0.876328	8789
ABHD12	0.000000	16154	1.385954	4741
ABHD12B	0.000000	16153	0.000000	17222
ABHD13	-0.026471	16501	1.015709	7796
ABHD14A	0.228246	4437	1.089462	7215
ABHD14B	-0.048410	16694	1.709047	2410
ABHD15	0.000000	16152	0.314113	11548
ABHD16A	0.007037	11855	1.007817	7855
ABHD16B	-	19005	-	19005
ABHD17A	0.028787	10452	0.912669	8567
ABHD17B	0.063132	8891	0.937183	8367
ABHD17C	0.231377	4371	1.226520	6076
ABHD18	0.159746	5912	0.971504	8123
ABHD2	0.001458	11981	1.412855	4492
ABHD3	-0.299573	17192	0.650789	10108
ABHD4	0.185524	5302	1.526014	3584
ABHD5	0.015108	11510	1.131584	6869
ABHD6	0.028787	10451	0.495892	10834
ABHD8	-0.000145	16182	0.655112	10095
ABI1	-0.038761	16608	1.469729	4032
ABI2	0.283343	3487	1.602889	3060
ABI3	1.025103	323	1.221383	6126
ABI3BP	0.041262	9863	0.918108	8522
ABL1	0.073711	8541	0.999994	7909
ABL2	0.595276	1132	1.263343	5761
ABLIM1	0.736629	757	1.064673	7406
ABLIM2	0.022439	10935	0.290498	11637
ABLIM3	0.236462	4261	1.498211	3817
ABO	0.000000	16151	0.000000	17221
ABR	0.175681	5531	1.225348	6085
ABRA	0.000000	16150	0.000000	17220
ABRACL	0.675468	885	1.784499	2027
ABT1	0.078366	8349	1.275232	5670
ABTB1	0.000000	16149	0.642806	10149
ABTB2	0.012457	11717	0.761219	9532
ACAA1	-0.028152	16524	1.309747	5388
ACAA2	0.428383	1945	1.415941	4467
ACACA	0.385870	2286	1.529197	3558
ACACB	0.052747	9363	0.239709	11825
ACAD10	-0.072666	16838	0.916911	8531
ACAD11	0.189751	5213	0.855188	8944
ACAD8	-0.061632	16771	1.147120	6736
ACAD9	0.089666	7949	1.489803	3877
ACADL	0.000000	16148	0.000000	17219
ACADM	0.104110	7471	1.478206	3975
ACADS	0.015108	11509	0.719519	9773
ACADSB	0.019697	11232	1.009411	7841
ACADVL	0.010434	11764	1.805505	1941
ACAN	0.000000	16147	0.000000	17218
ACAP1	0.000000	16146	0.015108	13691
ACAP2	0.052241	9380	1.611775	3003
ACAP3	0.020696	11197	0.519234	10736
ACAT1	0.101149	7560	1.763277	2126
ACAT2	1.032877	318	2.466027	345
ACBD3	0.098761	7650	1.952702	1386
ACBD4	-0.014274	16376	0.694572	9889
ACBD5	0.004188	11918	0.649416	10120
ACBD6	0.243184	4142	1.465245	4076
ACBD7	0.482943	1597	0.720261	9769
ACCS	0.045586	9661	0.340283	11446
ACCSL	-	19004	-	19004
ACD	0.146437	6248	1.063254	7414
ACE	1.118818	217	1.565336	3321
ACE2	0.000000	16145	0.000000	17217
ACER1	0.028452	10697	0.028452	13364
ACER2	0.191555	5160	0.508092	10787
ACER3	0.125506	6848	1.244100	5904
ACHE	0.000000	16144	0.113943	12379
ACIN1	0.126802	6809	1.967778	1335
ACKR1	0.064375	8848	0.064375	12760
ACKR2	0.000000	16143	0.117259	12357
ACKR3	0.097367	7704	0.948706	8287
ACKR4	0.489641	1558	0.594275	10373
ACLY	0.922809	449	2.217508	699
ACMSD	0.000000	16142	0.000000	17216
ACO1	0.450777	1782	1.974719	1307
ACO2	0.012475	11713	1.694808	2495
ACOD1	0.000000	16141	0.000000	17215
ACOT1	0.142396	6366	0.190051	11997
ACOT11	0.075411	8488	0.321390	11516
ACOT12	0.028452	10696	0.028452	13363
ACOT13	0.338948	2763	1.763338	2125
ACOT2	0.312305	3088	1.111691	7030
ACOT4	-0.095294	16943	0.043894	12999
ACOT6	-	19003	-	19003
ACOT7	0.487192	1573	1.455257	4165
ACOT8	-0.125957	17046	1.274813	5675
ACOT9	0.150475	6136	1.699541	2471
ACOX1	0.001891	11968	1.363136	4938
ACOX2	0.087066	8032	0.322731	11513
ACOX3	-0.039751	16619	0.900416	8638
ACOXL	0.000000	16140	0.000000	17214
ACP1	0.169289	5683	1.958477	1371
ACP2	0.000000	16139	1.350777	5065
ACP5	0.652965	951	0.679345	9980
ACP6	0.074195	8526	0.713255	9800
ACP7	-	19002	-	19002
ACPP	0.028452	10695	0.055295	12865
ACPT	-	19001	-	19001
ACR	0.000000	16138	0.000000	17213
ACRBP	0.301651	3215	0.548233	10593
ACRC	0.000000	16137	0.000000	17212
ACRV1	0.000000	16136	0.000000	17211
ACSBG1	0.000000	16135	0.000000	17210
ACSBG2	0.000000	16134	0.000000	17209
ACSF2	0.125899	6835	0.908512	8594
ACSF3	0.016922	11301	0.882015	8747
ACSL1	0.012475	11712	1.017467	7776
ACSL3	0.329522	2880	2.339903	499
ACSL4	0.296887	3284	1.715441	2378
ACSL5	0.104521	7461	0.982430	8021
ACSL6	0.000000	16133	0.000000	17208
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16132	0.000000	17207
ACSM2B	0.000000	16131	0.000000	17206
ACSM3	0.000000	16130	0.055295	12864
ACSM4	-	18999	-	18999
ACSM5	0.049709	9464	0.049709	12905
ACSM6	0.000000	16129	0.000000	17205
ACSS1	0.039948	9913	0.768231	9487
ACSS2	0.311050	3101	1.151468	6702
ACSS3	0.041114	9867	0.496462	10833
ACTA1	0.028787	10450	0.028787	13190
ACTA2	0.921508	451	2.295805	564
ACTB	0.494883	1536	3.940520	1
ACTBL2	0.431447	1919	0.431447	11093
ACTC1	0.040828	9874	0.148333	12180
ACTG1	0.430926	1925	3.910350	2
ACTG2	0.995687	349	1.725252	2318
ACTL10	0.131641	6673	0.248700	11796
ACTL6A	0.325624	2929	1.841640	1786
ACTL6B	0.000000	16128	0.000000	17204
ACTL7A	0.000000	16127	0.000000	17203
ACTL7B	0.000000	16126	0.000000	17202
ACTL8	0.000000	16125	0.000000	17201
ACTL9	0.000000	16124	0.000000	17200
ACTN1	0.430397	1932	2.565367	278
ACTN2	0.000000	16123	0.049149	12980
ACTN3	0.000000	16122	0.000000	17199
ACTN4	0.389573	2249	1.920338	1498
ACTR10	0.093240	7839	1.715312	2379
ACTR1A	0.180043	5429	2.174451	777
ACTR1B	-0.068751	16815	1.222064	6119
ACTR2	0.343504	2705	2.056152	1061
ACTR3	0.376565	2365	2.546134	288
ACTR3B	0.078479	8343	0.971445	8126
ACTR3C	0.086722	8041	0.217666	11898
ACTR5	0.077123	8403	0.874390	8807
ACTR6	0.252533	3970	1.299890	5463
ACTR8	0.095710	7751	1.356175	5002
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16121	0.000000	17198
ACTRT3	-	18997	-	18997
ACVR1	0.083359	8171	1.060924	7428
ACVR1B	-0.004213	16248	1.013517	7810
ACVR1C	0.000000	16120	0.000000	17197
ACVR2A	0.647625	963	1.427902	4368
ACVR2B	0.093096	7841	0.494386	10841
ACVRL1	1.088984	254	1.474327	3992
ACY1	0.152010	6097	1.283188	5598
ACY3	0.000000	16119	0.000000	17196
ACYP1	0.272711	3636	1.341086	5159
ACYP2	-0.029822	16541	0.693862	9895
ADA	0.199055	5001	0.627604	10224
ADAD1	0.000000	16118	0.000000	17195
ADAD2	0.000000	16117	0.000000	17194
ADAL	-0.086775	16900	0.641158	10160
