gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.594965	960	1.441633	4024
A1CF	0.000000	16042	0.000000	17239
A2M	0.086610	8160	0.560746	10258
A2ML1	0.032650	10326	0.032650	13390
A3GALT2	-	19008	-	19008
A4GALT	-0.059326	16628	0.617208	9943
A4GNT	0.000000	16041	0.000000	17238
AAAS	0.343535	2582	1.737505	2230
AACS	0.177262	5536	1.227926	5692
AADAC	0.010116	11479	0.010116	13814
AADACL2	0.000000	16040	0.000000	17237
AADACL3	0.000000	16039	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.288904	3307	0.776704	9016
AAED1	0.240061	4126	1.458416	3904
AAGAB	0.042526	9842	1.591227	3044
AAK1	0.108721	7552	0.892747	8273
AAMDC	0.304927	3062	1.488723	3692
AAMP	0.125526	7056	1.911723	1502
AANAT	0.000000	16038	0.000000	17235
AAR2	0.251314	3923	1.372549	4573
AARD	0.057162	9294	0.071615	13062
AARS	0.179907	5477	1.769797	2082
AARS2	0.061650	9158	1.272468	5340
AARSD1	0.136193	6534	1.549026	3294
AASDH	0.014984	11110	0.985770	7595
AASDHPPT	0.176429	5554	1.591801	3041
AASS	0.031191	10375	1.048407	7120
AATF	0.095641	7904	1.564501	3208
AATK	0.000000	16037	0.000000	17234
ABAT	0.000000	16036	0.427260	10896
ABCA1	0.000000	16035	0.714162	9402
ABCA10	0.008203	11786	0.008203	13994
ABCA12	0.063272	9120	0.063272	13103
ABCA13	0.000000	16034	0.000000	17233
ABCA2	0.120495	7188	0.528690	10421
ABCA3	0.000000	16033	0.253919	11652
ABCA4	0.155623	6074	0.155623	12200
ABCA5	0.027748	10562	0.690221	9511
ABCA6	0.205715	4858	0.556440	10289
ABCA7	0.003883	11876	0.333963	11270
ABCA8	0.000000	16032	0.454321	10768
ABCA9	0.000000	16031	0.214610	11807
ABCB1	0.000000	16030	0.208437	11836
ABCB10	0.274194	3533	1.134355	6465
ABCB11	0.000000	16029	0.000000	17232
ABCB4	0.518567	1251	0.667559	9664
ABCB5	0.000000	16028	0.000000	17231
ABCB6	0.383345	2146	0.507830	10525
ABCB7	0.000000	16027	1.201670	5908
ABCB8	0.171776	5670	1.343743	4810
ABCB9	0.390010	2081	0.741994	9230
ABCC1	0.123055	7123	1.296280	5153
ABCC10	0.051500	9522	0.636026	9831
ABCC11	0.000000	16026	0.000000	17230
ABCC12	0.155623	6073	0.155623	12199
ABCC2	0.136080	6668	0.136080	12377
ABCC3	1.005462	222	1.817791	1874
ABCC4	0.266010	3657	1.157042	6273
ABCC5	0.028635	10496	0.739379	9248
ABCC6	-	19006	-	19006
ABCC8	0.000000	16025	0.000000	17229
ABCC9	0.029029	10474	0.198522	11932
ABCD1	0.306208	3047	1.259431	5427
ABCD2	0.000000	16024	0.027803	13450
ABCD3	-0.001673	16064	1.162966	6222
ABCD4	0.073775	8543	1.020545	7328
ABCE1	0.256977	3823	1.776042	2066
ABCF1	0.023209	10706	1.828869	1830
ABCF2	0.285501	3347	1.712743	2341
ABCF3	0.046861	9674	1.521639	3466
ABCG1	0.000000	16023	0.091707	12727
ABCG2	0.042134	9865	0.106118	12671
ABCG4	0.009484	11606	0.009484	13899
ABCG5	0.000000	16022	0.000000	17228
ABCG8	0.000000	16021	0.000000	17227
ABHD1	0.012443	11161	0.071615	13061
ABHD10	0.131279	6792	1.301530	5114
ABHD11	0.094796	7932	1.061813	7015
ABHD12	0.008455	11633	1.527341	3433
ABHD12B	0.000000	16020	0.000000	17226
ABHD13	-0.132036	16929	0.895178	8251
ABHD14A	0.187879	5273	1.210962	5829
ABHD14B	0.154969	6088	1.912426	1499
ABHD15	0.197140	5042	0.525598	10434
ABHD16A	0.244815	4036	1.535517	3368
ABHD16B	-	19005	-	19005
ABHD17A	0.285464	3350	1.212064	5823
ABHD17B	0.030122	10417	0.918320	8071
ABHD17C	0.111076	7486	1.152469	6317
ABHD18	0.027540	10564	0.757719	9131
ABHD2	0.213861	4640	1.632069	2768
ABHD3	-0.247097	17134	0.703266	9455
ABHD4	0.082934	8287	1.295546	5156
ABHD5	0.060661	9190	1.257540	5445
ABHD6	0.000000	16019	0.531808	10402
ABHD8	-0.026640	16358	0.882343	8358
ABI1	-0.028035	16377	1.396951	4368
ABI2	0.115122	7378	1.403221	4320
ABI3	0.146972	6282	0.343252	11243
ABI3BP	0.889937	340	1.566277	3194
ABL1	0.299646	3142	1.249405	5518
ABL2	0.674426	725	1.342493	4817
ABLIM1	0.071615	8881	0.191729	12036
ABLIM2	0.000000	16018	0.078783	12776
ABLIM3	0.711523	632	1.639222	2727
ABO	0.010116	11478	0.010116	13813
ABR	0.296695	3189	1.346361	4783
ABRA	0.000000	16017	0.000000	17225
ABRACL	0.217177	4560	1.713716	2336
ABT1	0.008832	11623	1.205698	5871
