gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.503791	5964	1.358125	7764
A1CF	0.982271	2228	0.982271	11411
A2M	1.513855	683	2.564157	526
A2ML1	0.173186	13409	0.173186	15084
A3GALT2	-	19008	-	19008
A4GALT	0.606448	4739	1.301898	8405
A4GNT	1.225309	1328	1.225309	9195
AAAS	0.335281	9102	1.548881	5682
AACS	0.274090	10673	1.305566	8377
AADAC	1.328787	1040	1.328787	8125
AADACL2	0.173186	13408	0.173186	15083
AADACL3	0.000000	17209	0.000000	17239
AADACL4	-	19007	-	19007
AADAT	0.264509	10987	0.751279	12871
AAED1	0.360628	8492	1.578983	5318
AAGAB	0.255643	11198	1.804344	3189
AAK1	1.016197	2074	1.016197	11169
AAMDC	0.242560	11709	1.295787	8498
AAMP	0.265349	10958	2.007833	1962
AANAT	0.000000	17208	0.000000	17238
AAR2	0.149792	13975	1.119915	10228
AARD	1.025358	2029	1.039811	10949
AARS	0.231592	11962	1.843669	2922
AARS2	0.185556	13130	1.396374	7338
AARSD1	0.533850	5558	1.643255	4656
AASDH	0.110328	14620	1.190612	9567
AASDHPPT	0.477012	6357	1.627571	4830
AASS	0.455920	6657	1.517987	6001
AATF	0.184159	13165	1.653019	4549
AATK	1.384224	919	1.401917	7289
ABAT	1.316902	1071	2.046066	1770
ABCA1	0.427655	7129	1.821055	3062
ABCA10	0.816241	3108	0.816241	12472
ABCA12	0.079181	15246	0.079181	15629
ABCA13	0.980912	2233	0.980912	11424
ABCA2	0.451810	6712	1.230704	9153
ABCA3	0.625569	4514	1.130334	10172
ABCA4	0.113943	14577	0.113943	15346
ABCA5	0.701083	3884	1.733518	3781
ABCA6	0.842723	2955	1.301898	8404
ABCA7	0.581747	4984	1.417306	7096
ABCA8	0.783398	3320	1.724194	3861
ABCA9	1.065295	1881	1.367169	7646
ABCB1	0.707893	3831	1.305566	8376
ABCB10	0.550616	5343	1.410777	7176
ABCB11	0.025306	15941	0.025306	16039
ABCB4	0.781447	3331	0.930440	11730
ABCB5	0.411620	7398	0.411620	14160
ABCB6	0.496947	6057	0.875640	12112
ABCB7	0.099062	14829	1.348500	7866
ABCB8	0.130424	14276	1.126456	10192
ABCB9	0.139830	14167	0.551450	13692
ABCC1	0.352731	8713	1.609701	5009
ABCC10	0.436944	6958	1.104487	10418
ABCC11	0.000000	17207	0.000000	17237
ABCC12	0.000000	17206	0.000000	17236
ABCC2	1.196729	1432	1.196729	9523
ABCC3	1.361877	968	2.174205	1282
ABCC4	0.612438	4680	1.262214	8811
ABCC5	0.416546	7303	1.405346	7219
ABCC6	-	19006	-	19006
ABCC8	1.312600	1086	1.312600	8292
ABCC9	0.698668	3896	1.015779	11174
ABCD1	0.408240	7544	1.140822	10030
ABCD2	0.633106	4435	0.794488	12617
ABCD3	0.313221	9675	1.400020	7305
ABCD4	0.434974	6984	1.416141	7104
ABCE1	0.308369	9782	1.827434	3017
ABCF1	0.175105	13354	1.898670	2558
ABCF2	0.081692	15178	1.508934	6086
ABCF3	-0.022224	17221	1.452553	6721
ABCG1	0.709751	3821	1.842672	2926
ABCG2	0.550035	5354	0.658011	13286
ABCG4	0.000000	17205	0.000000	17235
ABCG5	0.214844	12450	0.214844	14996
ABCG8	0.645422	4337	0.645422	13336
ABHD1	0.191248	13008	0.250420	14891
ABHD10	0.210343	12552	1.328380	8137
ABHD11	0.454711	6673	1.353339	7808
ABHD12	1.958421	263	1.958421	2233
ABHD12B	0.250420	11520	0.250420	14890
ABHD13	0.282308	10459	1.324488	8173
ABHD14A	0.297973	10068	1.415140	7136
ABHD14B	0.326582	9317	2.084040	1601
ABHD15	0.414549	7338	0.755112	12862
ABHD16A	0.312384	9689	1.475962	6481
ABHD16B	-	19005	-	19005
ABHD17A	0.302811	9927	1.140194	10048
ABHD17B	0.213005	12493	1.146748	10000
ABHD17C	0.347419	8817	1.388811	7409
ABHD18	0.534137	5551	1.344392	7937
ABHD2	0.932468	2478	2.201861	1192
ABHD3	0.359693	8523	1.310056	8325
ABHD4	0.213515	12482	1.554004	5611
ABHD5	0.202564	12730	1.333649	8037
ABHD6	1.003448	2130	1.250908	8953
ABHD8	0.245520	11623	1.133219	10094
ABI1	0.302798	9930	1.695482	4108
ABI2	0.268523	10824	1.720077	3904
ABI3	1.471660	752	1.976808	2129
ABI3BP	1.163521	1530	2.120080	1451
ABL1	0.456673	6652	1.458184	6657
ABL2	0.816802	3101	1.484869	6384
