gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.021415	12945	1.012415	9351
A1CF	0.000000	16474	0.000000	17239
A2M	1.754533	192	2.723004	238
A2ML1	0.000000	16473	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	1.039124	901	1.703549	3116
A4GNT	0.000000	16472	0.000000	17237
AAAS	0.346151	6461	1.390582	5868
AACS	0.193648	10381	1.120574	8319
AADAC	0.000000	16471	0.000000	17236
AADACL2	0.387390	5565	0.387390	12799
AADACL3	0.000000	16470	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.000000	16469	0.385606	13125
AAED1	0.231278	9579	1.449633	5305
AAGAB	-0.035617	16713	1.513084	4683
AAK1	0.587711	2929	1.291813	6776
AAMDC	0.437094	4719	1.605413	3936
AAMP	0.235528	9053	1.929368	1848
AANAT	0.000000	16468	0.000000	17234
AAR2	0.414160	5046	1.118926	8424
AARD	0.000000	16467	0.000000	17233
AARS	-0.008246	16539	1.566909	4211
AARS2	-0.024426	16620	1.186391	7715
AARSD1	1.176599	656	1.338855	6311
AASDH	0.000000	16466	1.014100	9223
AASDHPPT	0.234109	9077	1.501470	4806
AASS	0.389412	5421	1.451479	5247
AATF	0.388894	5431	1.857755	2206
AATK	0.705763	2090	0.723456	11340
ABAT	0.232996	9563	0.723456	11339
ABCA1	0.768836	1759	2.162236	1017
ABCA10	1.094820	779	1.094820	8678
ABCA12	0.000000	16465	0.000000	17232
ABCA13	0.659916	2413	0.659916	11688
ABCA2	0.479982	4152	1.258877	7080
ABCA3	0.299246	7388	1.012415	9350
ABCA4	0.000000	16464	0.000000	17231
ABCA5	0.291847	7547	1.324282	6438
ABCA6	1.198932	626	1.658107	3467
ABCA7	0.199556	10282	0.778151	11000
ABCA8	1.041787	891	1.981184	1612
ABCA9	1.305366	500	1.607241	3909
ABCB1	0.498889	3808	1.096562	8548
ABCB10	0.168455	10893	0.725095	11127
ABCB11	0.000000	16463	0.000000	17230
ABCB4	0.969933	1067	1.118926	8423
ABCB5	0.232996	9562	0.232996	14178
ABCB6	0.349572	6394	0.586587	12040
ABCB7	0.348148	6420	1.597586	3987
ABCB8	0.094885	12110	0.981366	9593
ABCB9	0.314761	7068	0.778151	10999
ABCC1	0.334651	6696	1.591621	4018
ABCC10	-0.047638	16787	0.587711	11835
ABCC11	0.000000	16462	0.000000	17229
ABCC12	0.232996	9561	0.232996	14177
ABCC2	0.000000	16461	0.000000	17228
ABCC3	0.000000	16460	0.587711	11834
ABCC4	0.855845	1395	1.558469	4289
ABCC5	0.303012	7314	1.291813	6775
ABCC6	-	19006	-	19006
ABCC8	0.496930	3961	0.496930	12534
ABCC9	1.385481	428	1.748421	2814
ABCD1	0.210534	9988	1.163758	8004
ABCD2	0.709607	2075	0.870989	10372
ABCD3	0.746975	1846	1.307496	6634
ABCD4	0.332052	6750	1.120574	8318
ABCE1	0.152478	11203	1.671543	3367
ABCF1	0.322902	6908	2.172836	991
ABCF2	0.270162	7935	1.697404	3161
ABCF3	-0.047778	16788	1.426999	5523
ABCG1	0.525186	3555	1.658107	3466
ABCG2	0.235528	9052	0.235528	13697
ABCG4	0.369962	5974	0.385606	13124
ABCG5	0.000000	16459	0.000000	17227
ABCG8	0.000000	16458	0.000000	17226
ABHD1	0.664284	2322	0.723456	11338
ABHD10	0.277220	7799	1.547898	4400
ABHD11	0.562217	3198	1.118926	8422
ABHD12	0.232996	9560	1.520615	4636
ABHD12B	0.000000	16457	0.000000	17225
ABHD13	0.310774	7148	1.352954	6184
ABHD14A	0.472559	4246	1.589726	4052
ABHD14B	-0.009037	16544	1.748421	2813
ABHD15	0.000000	16456	0.235528	13696
ABHD16A	0.000000	16455	1.277609	6840
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	16454	0.828660	10515
ABHD17B	0.196895	10320	0.947434	9846
ABHD17C	-0.344455	17213	0.659916	11687
ABHD18	0.605199	2769	0.911158	10097
ABHD2	0.498787	3811	2.039929	1379
ABHD3	0.358842	6200	1.309204	6572
ABHD4	0.182014	10627	1.415140	5643
ABHD5	0.338733	6605	1.379668	5925
ABHD6	0.255533	8211	0.947434	9845
ABHD8	0.072809	12391	0.947434	9844
ABI1	0.264920	8040	1.513084	4682
ABI2	0.450530	4520	1.684666	3272
ABI3	1.142574	708	1.338855	6310
ABI3BP	1.447805	379	2.124145	1115
