gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.692527	3061	1.607366	4695
A1CF	0.000000	17212	0.000000	17239
A2M	1.204303	969	2.169322	1391
A2ML1	1.402223	615	1.402223	6763
A3GALT2	-	19008	-	19008
A4GALT	0.502244	5117	1.166669	9057
A4GNT	0.000000	17211	0.000000	17238
AAAS	0.343535	8322	1.737505	3597
AACS	0.422088	6517	1.323806	7577
AADAC	0.834421	2222	0.834421	11680
AADACL2	1.427161	588	1.427161	6494
AADACL3	0.802089	2392	0.802089	11891
AADACL4	-	19007	-	19007
AADAT	0.373387	7645	0.943000	10954
AAED1	0.365583	7842	1.583938	4913
AAGAB	0.257779	10866	1.806480	3107
AAK1	0.390935	7264	1.178689	8998
AAMDC	0.324839	8793	1.508635	5643
AAMP	0.174008	13069	1.978774	2119
AANAT	0.000000	17210	0.000000	17237
AAR2	0.251314	11058	1.372549	7068
AARD	0.376482	7569	0.390935	13952
AARS	0.297154	9560	1.909231	2478
AARS2	0.282083	10194	1.492900	5817
AARSD1	0.458513	5873	1.603902	4731
AASDH	0.229984	11674	1.310268	7749
AASDHPPT	0.176429	13007	1.660763	4224
AASS	0.424080	6478	1.486147	5890
AATF	0.224030	11843	1.692890	3952
AATK	0.643453	3518	0.643453	12759
ABAT	0.313132	9109	0.942782	10957
ABCA1	0.350110	8180	1.743510	3545
ABCA10	1.266937	830	1.266937	8153
ABCA12	1.578754	411	1.578754	4961
ABCA13	0.294466	9918	0.294466	14420
ABCA2	0.222327	11887	0.834421	11679
ABCA3	0.135963	14340	0.863917	11504
ABCA4	0.155623	14003	0.155623	15187
ABCA5	0.390935	7263	1.330414	7528
ABCA6	0.924634	1829	1.383808	6961
ABCA7	0.558106	4368	1.032540	10182
ABCA8	0.907147	1902	1.847943	2854
ABCA9	0.698790	3008	1.000665	10467
ABCB1	0.173186	13667	0.390935	13951
ABCB10	0.280009	10250	1.134355	9397
ABCB11	0.000000	17209	0.000000	17236
ABCB4	0.580982	4119	0.729974	12299
ABCB5	0.173186	13666	0.173186	15174
