gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.503791	2658	0.900367	9823
A1CF	0.161368	8003	0.161368	13611
A2M	1.470328	279	2.501374	242
A2ML1	0.025306	13286	0.025306	15281
A3GALT2	-	19008	-	19008
A4GALT	0.355703	3962	1.051153	8556
A4GNT	0.000000	16211	0.000000	17239
AAAS	0.157937	8090	1.480007	4283
AACS	-0.004454	16263	0.893762	9885
AADAC	0.232996	6121	0.232996	13200
AADACL2	0.000000	16210	0.000000	17238
AADACL3	0.000000	16209	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.181666	7408	0.751279	10774
AAED1	0.165640	7849	1.383995	5249
AAGAB	-0.004385	16261	1.544316	3699
AAK1	0.147929	8321	0.953760	9379
AAMDC	0.050474	11812	0.950851	9397
AAMP	0.075547	10889	1.703291	2401
AANAT	0.000000	16208	0.000000	17236
AAR2	0.149792	8267	1.119915	7909
AARD	0.092757	10142	0.107210	13975
AARS	-0.025432	16454	1.364926	5454
AARS2	-0.035016	16539	1.175802	7379
AARSD1	0.140505	8578	1.257198	6547
AASDH	0.087624	10283	1.167908	7454
AASDHPPT	0.045053	11963	1.489818	4204
AASS	0.247074	5790	1.223496	6915
AATF	0.184159	7306	1.653019	2765
AATK	0.164151	7884	0.181844	13468
ABAT	0.181844	7402	0.802774	10467
ABCA1	0.427655	3222	1.821055	1685
ABCA10	0.232996	6120	0.232996	13199
ABCA12	0.000000	16207	0.000000	17235
ABCA13	0.980912	975	0.980912	9167
ABCA2	0.096746	10022	0.875640	10009
ABCA3	0.146636	8349	0.809560	10421
ABCA4	0.025306	13285	0.025306	15280
ABCA5	0.120574	9213	0.905796	9776
ABCA6	0.191917	7130	0.632457	11477
ABCA7	0.581747	2208	1.417306	4918
ABCA8	0.633929	1965	1.574726	3433
ABCA9	0.000000	16206	0.107210	13974
ABCB1	0.287122	5009	0.884795	9946
ABCB10	0.550616	2380	1.410777	4976
ABCB11	0.025306	13284	0.025306	15279
ABCB4	0.781447	1496	0.930440	9562
ABCB5	0.000000	16205	0.000000	17234
ABCB6	0.496947	2702	0.875640	10008
ABCB7	0.069252	11065	1.318689	5934
ABCB8	0.052481	11752	1.011993	8903
ABCB9	0.122406	9089	0.429752	12359
ABCC1	0.352731	4004	1.609701	3105
ABCC10	0.173153	7629	0.824126	10341
ABCC11	0.000000	16204	0.000000	17233
ABCC12	0.000000	16203	0.000000	17232
ABCC2	0.037426	12502	0.037426	14888
ABCC3	0.279901	5119	1.072250	8373
ABCC4	0.521465	2567	1.215109	7003
ABCC5	0.416546	3318	1.405346	5031
ABCC6	-	19006	-	19006
ABCC8	0.025306	13283	0.025306	15278
ABCC9	0.260310	5517	0.623249	11509
ABCD1	0.187599	7223	1.140822	7703
ABCD2	0.420681	3285	0.582063	11712
ABCD3	0.101212	9802	1.061829	8459
ABCD4	0.434974	3163	1.416141	4927
ABCE1	0.112582	9425	1.631647	2922
ABCF1	0.048736	11863	1.898670	1364
ABCF2	0.060749	11263	1.399847	5100
ABCF3	-0.023452	16436	1.451326	4551
ABCG1	0.709751	1721	1.842672	1583
ABCG2	0.550035	2386	0.658011	11341
ABCG4	0.000000	16202	0.000000	17231
ABCG5	0.037426	12501	0.037426	14887
ABCG8	0.000000	16201	0.000000	17230
ABHD1	0.048038	11881	0.107210	13973
ABHD10	0.057702	11341	1.328380	5837
ABHD11	0.098385	9978	0.868056	10060
ABHD12	0.075547	10888	1.385070	5242
ABHD12B	0.000000	16200	0.000000	17229
ABHD13	0.282308	5080	1.324488	5887
ABHD14A	0.036486	12529	0.863323	10086
ABHD14B	0.073900	10935	1.831358	1641
ABHD15	0.195995	7019	0.536558	11918
ABHD16A	0.103124	9744	1.375664	5328
ABHD16B	-	19005	-	19005
ABHD17A	0.120574	9212	0.963316	9301
ABHD17B	0.213005	6625	1.107210	8031
ABHD17C	0.029015	12695	1.070407	8391
ABHD18	0.304982	4721	1.156852	7547
ABHD2	0.220670	6386	1.869408	1487
ABHD3	0.357989	3936	1.308351	6023
ABHD4	0.213515	6615	1.554004	3603
ABHD5	0.136770	8729	1.333649	5787
ABHD6	1.003448	926	1.250908	6623
ABHD8	0.066947	11125	0.893762	9884
ABI1	0.234786	6063	1.695482	2445
ABI2	0.144823	8387	1.596377	3215
ABI3	1.471660	277	1.976808	1074
ABI3BP	0.086887	10306	0.904716	9787
ABL1	0.226444	6255	0.824126	10340
ABL2	0.381992	3677	1.077731	8323
ABLIM1	0.754000	1582	1.412964	4955
ABLIM2	1.037507	850	1.305566	6052
ABLIM3	0.037426	12500	1.266702	6441
ABO	0.445863	3071	0.571709	11756
