gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.200964	10534	0.718502	12314
A1CF	1.844601	312	1.844601	2107
A2M	1.155966	1092	2.136403	978
A2ML1	0.000000	16859	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.131455	12831	0.795880	11800
A4GNT	1.290480	844	1.290480	7207
AAAS	0.293288	8327	1.545307	4374
AACS	0.197590	10608	1.156852	8554
AADAC	2.029830	225	2.029830	1276
AADACL2	0.060698	14407	0.060698	15583
AADACL3	0.000000	16858	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.514964	4353	1.084576	9269
AAED1	0.041098	14659	1.136721	8815
AAGAB	0.065458	14273	1.614159	3744
AAK1	0.280522	8634	1.099681	9183
AAMDC	0.190477	10763	1.350636	6476
AAMP	0.107190	13330	1.911956	1750
AANAT	0.184691	11501	0.184691	15120
AAR2	0.099414	13472	1.198932	8183
AARD	0.128562	12894	0.143015	15228
AARS	-0.052858	17056	1.478566	5077
AARS2	0.318099	7550	1.528917	4550
AARSD1	0.515656	4346	1.493458	4919
AASDH	0.184691	11500	1.227115	7862
AASDHPPT	0.225509	9907	1.458789	5265
AASS	0.216458	10191	1.278525	7309
AATF	0.080388	14060	1.549249	4324
AATK	1.033424	1360	1.033424	9802
ABAT	1.119586	1171	1.421439	5704
ABCA1	0.232530	9735	1.625929	3641
ABCA10	0.999565	1454	0.999565	10145
ABCA12	0.000000	16857	0.000000	17237
ABCA13	0.184691	11499	0.184691	15119
ABCA2	0.578623	3673	0.866287	11274
ABCA3	0.294062	8308	1.022016	9960
ABCA4	0.184691	11498	0.184691	15118
ABCA5	0.742081	2526	1.774517	2553
ABCA6	0.306263	8043	0.761928	11900
ABCA7	0.089237	13678	0.924796	10816
ABCA8	0.562293	3895	1.354301	6454
ABCA9	0.564413	3782	0.866287	11273
ABCB1	1.689815	406	2.287488	665
ABCB10	0.489699	4736	1.349860	6479
ABCB11	0.158362	12187	0.158362	15208
ABCB4	0.214619	10229	0.363612	14043
ABCB5	0.143015	12559	0.143015	15227
ABCB6	0.293405	8326	0.672098	12618
ABCB7	0.189105	10784	1.438542	5508
ABCB8	-0.003175	16876	1.168792	8494
ABCB9	0.248417	9350	0.711807	12350
ABCC1	0.247041	9393	1.153205	8646
ABCC10	0.280381	8637	0.947924	10608
ABCC11	0.000000	16856	0.000000	17236
ABCC12	0.000000	16855	0.000000	17235
ABCC2	1.560504	510	1.560504	4240
ABCC3	1.172379	1047	1.984707	1433
ABCC4	0.291087	8370	1.119586	8989
ABCC5	0.195323	10665	1.184123	8329
ABCC6	-	19006	-	19006
ABCC8	1.301898	822	1.301898	7050
ABCC9	0.564689	3778	0.925828	10704
ABCD1	0.787297	2263	1.740521	2786
ABCD2	0.637268	3181	0.798651	11762
ABCD3	0.483886	4803	1.394627	6007
ABCD4	0.512725	4373	1.496653	4856
ABCE1	0.061062	14319	1.580126	4044
ABCF1	0.306384	8038	2.044226	1236
ABCF2	-0.039622	17022	1.213252	8016
ABCF3	-0.015988	16939	1.458789	5264
ABCG1	0.487735	4764	1.620656	3675
ABCG2	2.000115	243	2.108091	1050
ABCG4	0.074261	14160	0.089905	15295
ABCG5	1.518909	549	1.518909	4640
ABCG8	2.061792	213	2.061792	1191
ABHD1	0.099191	13480	0.158362	15207
ABHD10	0.000464	15219	1.266702	7387
ABHD11	0.574479	3705	1.544440	4379
ABHD12	0.798651	2217	1.638689	3549
ABHD12B	0.158362	12186	0.158362	15206
ABHD13	0.274684	8748	1.301898	7049
ABHD14A	0.194979	10673	1.290480	7206
ABHD14B	0.459394	5094	2.216852	792
ABHD15	0.525132	4247	0.865696	11310
ABHD16A	0.134506	12752	1.425208	5635
ABHD16B	-	19005	-	19005
ABHD17A	0.209515	10350	0.973590	10368
ABHD17B	0.404020	5923	1.404663	5860
ABHD17C	0.698812	2774	1.740205	2789
ABHD18	0.600224	3502	1.452093	5336
ABHD2	0.653100	3103	2.154667	918
ABHD3	0.841258	2013	1.791620	2446
ABHD4	0.215330	10213	1.555820	4264
ABHD5	0.427300	5457	1.624179	3656
ABHD6	0.890210	1800	1.179552	8361
ABHD8	0.024801	15022	0.824776	11577
ABI1	0.292614	8339	1.623869	3660
ABI2	0.267468	8933	1.454997	5312
ABI3	0.700327	2763	1.205475	8086
ABI3BP	1.019515	1406	1.976075	1470
ABL1	0.187082	10852	1.014521	9996
ABL2	0.326277	7359	1.022016	9959
ABLIM1	1.016949	1412	1.578525	4055
ABLIM2	0.413300	5775	0.562293	13194
ABLIM3	0.187421	10844	1.022016	9958
ABO	1.713443	383	1.839289	2136
ABR	0.580714	3652	1.221936	7908
ABRA	0.143015	12558	0.143015	15226
ABRACL	0.362299	6672	1.858838	2016
ABT1	0.004258	15190	1.201124	8104
ABTB1	0.078376	14093	1.266232	7431
ABTB2	0.833351	2066	1.594171	3902
ACAA1	0.394433	6091	1.876449	1921
ACAA2	0.825882	2094	2.118661	1029
ACACA	0.134609	12750	1.213252	8015
ACACB	0.478504	4868	0.798651	11761
ACAD10	0.265212	8990	1.254790	7502
ACAD11	0.936298	1635	1.601734	3841
