gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.268490	9450	1.259491	8016
A1CF	1.102434	1090	1.102434	9510
A2M	1.343150	648	2.393452	707
A2ML1	0.064458	14919	0.064458	15422
A3GALT2	-	19008	-	19008
A4GALT	0.775854	2259	1.442793	6131
A4GNT	0.033424	15477	0.033424	15723
AAAS	0.537771	4207	1.931741	2201
AACS	0.500850	4678	1.551514	4998
AADAC	0.082785	14524	0.082785	15275
AADACL2	0.000000	17148	0.000000	17239
AADACL3	0.000000	17147	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.362353	7096	0.931966	10838
AAED1	0.269834	9414	1.488189	5654
AAGAB	0.177619	12030	1.726320	3504
AAK1	0.215254	10917	1.110590	9443
AAMDC	0.350926	7372	1.534721	5161
AAMP	0.305879	8433	2.023220	1790
AANAT	0.000000	17146	0.000000	17237
AAR2	0.455966	5313	1.431177	6262
AARD	0.257389	9746	0.271842	14145
AARS	0.203605	11281	1.815682	2880
AARS2	0.229072	10536	1.439889	6174
AARSD1	0.281883	9077	1.528688	5215
AASDH	0.179310	12000	1.259594	8014
AASDHPPT	0.435619	5659	1.594393	4568
AASS	0.673943	2896	1.541704	5089
AATF	0.119208	13594	1.588069	4618
AATK	0.270109	9405	0.287802	14080
ABAT	0.830144	1982	1.559308	4904
ABCA1	0.132552	13283	1.525951	5243
ABCA10	0.167317	12376	0.167317	14657
ABCA12	0.332321	7798	0.332321	13895
ABCA13	0.311754	8295	0.311754	13983
ABCA2	0.333711	7751	1.112605	9420
ABCA3	0.967893	1457	1.695847	3750
ABCA4	0.273839	9290	0.273839	14123
ABCA5	0.313917	8240	1.346353	7149
ABCA6	0.260985	9656	0.720159	12129
ABCA7	0.246870	10043	1.082429	9678
ABCA8	0.143015	13019	0.974512	10540
ABCA9	0.358041	7182	0.659916	12427
ABCB1	1.260623	767	1.858297	2602
ABCB10	0.184838	11819	1.044999	9999
ABCB11	0.021189	15783	0.021189	15964
ABCB4	0.344124	7548	0.493117	13205
ABCB5	0.000000	17145	0.000000	17236
ABCB6	0.345583	7492	0.724276	12100
ABCB7	0.125311	13437	1.374748	6853
ABCB8	0.366739	7019	1.538706	5120
ABCB9	0.338489	7658	0.801880	11665
ABCC1	0.353474	7311	1.433290	6242
ABCC10	0.399310	6345	1.066852	9812
ABCC11	0.000000	17144	0.000000	17235
ABCC12	0.000000	17143	0.000000	17234
ABCC2	1.477121	452	1.477121	5771
ABCC3	0.918155	1609	1.730483	3468
ABCC4	0.759580	2354	1.380392	6791
ABCC5	0.376500	6795	1.365301	6931
ABCC6	-	19006	-	19006
ABCC8	0.181844	11918	0.181844	14568
ABCC9	0.467649	5146	0.830589	11481
ABCD1	0.279373	9145	1.232597	8261
ABCD2	0.274780	9270	0.436163	13453
ABCD3	0.465814	5175	1.426349	6304
ABCD4	0.616141	3377	1.418798	6375
ABCE1	0.007662	15876	1.526727	5236
ABCF1	0.114325	13726	1.964260	2055
ABCF2	0.313733	8246	1.740975	3403
ABCF3	0.073120	14674	1.547898	5033
ABCG1	0.219454	10812	1.352375	7086
ABCG2	0.321214	8083	0.436163	13452
ABCG4	0.350769	7374	0.366414	13750
ABCG5	0.000000	17142	0.000000	17233
