gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.000000	16316	0.780317	10819
A1CF	0.000000	16315	0.000000	17239
A2M	1.242530	522	2.292832	583
A2ML1	0.000000	16314	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	1.039124	826	1.703549	2814
A4GNT	0.000000	16313	0.000000	17237
AAAS	0.491931	3443	1.262925	6715
AACS	0.193648	9143	1.120574	8160
AADAC	0.107210	11645	0.107210	14518
AADACL2	0.387390	4854	0.387390	12714
AADACL3	0.000000	16312	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.266711	7058	0.836324	10349
AAED1	0.186650	9469	1.405005	5425
AAGAB	-0.035617	16567	1.513084	4398
AAK1	0.587711	2603	1.260787	6785
AAMDC	0.336295	5720	1.520090	4330
AAMP	0.235528	8262	1.929368	1540
AANAT	0.000000	16311	0.000000	17235
AAR2	0.063101	12420	0.931458	9725
AARD	0.000000	16310	0.000000	17234
AARS	0.010373	13102	1.566909	3927
AARS2	-0.012160	16402	1.198657	7375
AARSD1	0.532002	3046	1.393400	5498
AASDH	0.110608	11050	1.190892	7412
AASDHPPT	0.234109	8280	1.368101	5725
AASS	0.530638	3052	1.489677	4631
AATF	0.388894	4711	1.857755	1887
AATK	0.609594	2434	0.609594	11643
ABAT	0.665581	2110	0.715167	11147
ABCA1	0.768836	1606	2.162236	839
ABCA10	1.213783	557	1.213783	7214
ABCA12	0.000000	16309	0.000000	17233
ABCA13	0.235528	8261	0.235528	13738
ABCA2	0.379770	5009	1.158664	7787
ABCA3	0.404626	4474	1.132580	8018
ABCA4	0.000000	16308	0.000000	17232
ABCA5	0.437345	4061	1.324282	6197
ABCA6	1.198932	577	1.658107	3175
ABCA7	0.178017	9686	0.587711	11779
ABCA8	1.393400	377	2.251249	662
ABCA9	1.305366	458	1.607241	3603
ABCB1	0.498889	3336	1.096562	8384
ABCB10	0.168455	9891	0.886491	10037
ABCB11	0.000000	16307	0.000000	17231
ABCB4	0.737498	1745	0.886491	10036
ABCB5	0.000000	16306	0.000000	17230
ABCB6	0.143196	10436	0.428135	12482
ABCB7	0.089417	11967	1.338855	6054
ABCB8	0.094885	11868	0.886491	10035
ABCB9	0.146204	10368	0.609594	11642
ABCC1	0.334651	5765	1.591621	3724
