gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.225210	9466	0.935412	10320
A1CF	0.000000	16615	0.000000	17239
A2M	0.842196	2049	1.828263	2004
A2ML1	1.090611	1215	1.090611	8899
A3GALT2	-	19008	-	19008
A4GALT	0.071971	13193	0.736397	11800
A4GNT	0.000000	16614	0.000000	17238
AAAS	0.430398	5305	1.264346	7066
AACS	0.104248	12616	0.862633	10926
AADAC	0.000000	16613	0.000000	17237
AADACL2	0.000000	16612	0.000000	17236
AADACL3	0.000000	16611	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.271044	8277	0.840657	11078
AAED1	-0.044049	16848	1.003159	9699
AAGAB	0.156564	10994	1.705265	2821
AAK1	0.484566	4566	1.348186	6184
AAMDC	0.195479	10155	1.052418	9229
AAMP	0.537415	3950	1.875134	1752
AANAT	0.146128	11841	0.146128	14779
AAR2	0.035314	13940	1.156549	8219
AARD	0.131675	12089	0.146128	14778
AARS	0.368329	6342	1.868188	1781
AARS2	0.066151	13319	1.276968	6895
AARSD1	0.257679	8788	1.442166	5160
AASDH	0.404158	5792	1.484442	4746
AASDHPPT	0.567493	3682	1.863085	1813
AASS	0.491452	4494	1.553519	4052
AATF	-0.038332	16813	1.430528	5274
AATK	1.988911	124	1.988911	1287
ABAT	1.533391	431	1.857134	1845
ABCA1	0.256537	8814	1.649937	3232
ABCA10	0.144807	11860	0.144807	14782
ABCA12	0.037981	13887	0.037981	15160
ABCA13	0.066402	13312	0.066402	14994
ABCA2	1.720671	259	2.187844	707
ABCA3	0.982573	1523	1.710527	2787
ABCA4	0.257679	8787	0.257679	14085
ABCA5	0.471133	4794	1.503569	4546
ABCA6	0.641751	3100	1.100926	8764
ABCA7	0.310952	7519	1.112766	8634
ABCA8	0.887421	1848	1.828217	2005
ABCA9	0.178132	10528	0.480007	13135
ABCB1	1.183580	977	1.781253	2287
ABCB10	-0.031688	16787	0.561403	12717
ABCB11	0.000000	16610	0.000000	17234
ABCB4	0.108686	12528	0.257679	14084
ABCB5	0.000000	16609	0.000000	17233
ABCB6	0.279194	8122	0.608888	12474
ABCB7	0.229273	9335	1.478711	4809
ABCB8	0.355979	6546	1.338974	6264
ABCB9	0.369417	6328	0.834854	11094
ABCC1	0.275718	8195	0.929158	10351
ABCC10	0.228432	9372	0.895975	10696
ABCC11	0.017693	14440	0.017693	15452
ABCC12	0.017693	14439	0.017693	15451
ABCC2	0.000000	16608	0.000000	17232
ABCC3	0.017693	14438	0.480007	13134
ABCC4	0.367453	6353	0.801920	11308
ABCC5	0.526150	4119	1.514951	4426
ABCC6	-	19006	-	19006
ABCC8	1.038724	1368	1.038724	9372
ABCC9	0.696162	2773	0.823474	11227
ABCD1	0.146128	11840	0.767156	11599
ABCD2	1.139648	1077	1.301030	6687
ABCD3	0.185861	10353	1.350500	6172
ABCD4	0.287755	7957	1.437537	5191
ABCE1	0.256327	8819	1.775392	2325
ABCF1	0.252945	8869	2.102879	928
ABCF2	0.304771	7627	1.517724	4417
ABCF3	0.146711	11209	1.621488	3454
ABCG1	0.222290	9532	1.355211	6100
ABCG2	1.029384	1396	1.029384	9496
ABCG4	0.521151	4176	0.536796	12765
ABCG5	0.000000	16607	0.000000	17231
ABCG8	0.000000	16606	0.000000	17230
ABHD1	0.368921	6334	0.428092	13229
ABHD10	0.277332	8159	1.548009	4107
ABHD11	0.263059	8429	1.079831	8965
ABHD12	0.310904	7521	1.829790	1999
ABHD12B	0.305580	7618	0.305580	13778
ABHD13	0.003534	14551	1.045714	9335
ABHD14A	0.404782	5780	1.521950	4380
ABHD14B	-0.441519	17228	1.315938	6505
ABHD15	0.028772	14057	0.369336	13490
ABHD16A	0.354108	6573	1.480763	4766
ABHD16B	-	19005	-	19005
ABHD17A	0.352209	6600	1.037541	9382
ABHD17B	0.415910	5632	1.416553	5405
ABHD17C	0.368496	6340	1.174793	8002
ABHD18	0.511015	4277	1.061075	9191
ABHD2	0.359546	6493	1.844959	1917
ABHD3	0.339652	6956	1.290014	6777
ABHD4	0.484312	4567	1.680336	3007
ABHD5	0.424609	5394	1.621488	3453
ABHD6	0.614795	3298	1.306696	6613
ABHD8	0.439024	5200	1.348750	6181
ABI1	0.301891	7679	1.817433	2082
ABI2	0.745577	2468	1.830653	1996
ABI3	0.612751	3317	1.117899	8596
ABI3BP	0.146128	11839	0.866835	10910
ABL1	0.382658	6135	1.039810	9363
ABL2	0.476196	4732	1.144263	8344
ABLIM1	1.367617	637	1.929193	1524
ABLIM2	0.827016	2102	1.095076	8805
ABLIM3	0.359944	6485	1.668236	3092
ABO	0.257679	8786	0.366776	13497
ABR	1.234770	870	1.743796	2543
ABRA	0.174148	10618	0.174148	14239
ABRACL	0.241798	9059	1.538574	4206
ABT1	-0.078601	16966	1.118265	8595
ABTB1	0.146128	11838	1.225142	7419
ABTB2	0.618556	3277	1.124615	8506
ACAA1	0.152957	11084	1.507759	4489
ACAA2	0.554216	3807	1.538574	4205
ACACA	0.502742	4369	1.237816	7313
ACACB	0.716153	2630	1.036299	9390
ACAD10	0.075154	13136	1.064732	9104
ACAD11	0.329252	7161	0.764431	11608
ACAD8	0.233414	9242	1.442166	5159
ACAD9	0.090102	12866	1.490239	4684
ACADL	0.269598	8302	0.269598	13821
ACADM	0.473345	4769	1.608740	3563
ACADS	0.146128	11837	0.988171	9832
ACADSB	0.380073	6176	1.389319	5704
ACADVL	0.229974	9320	1.974926	1346
ACAN	0.429708	5320	0.480007	13133
ACAP1	0.132233	12077	0.244335	14107
ACAP2	0.418301	5597	1.705265	2820
ACAP3	0.205086	9918	0.887364	10731
ACAT1	0.273631	8225	1.709942	2791
ACAT2	0.407373	5747	1.498310	4599
ACBD3	-0.018187	16726	1.835754	1965
ACBD4	0.340378	6946	0.850832	10974
ACBD5	0.661467	2997	1.180560	7904
ACBD6	0.117592	12363	1.029384	9495
ACBD7	1.692560	282	1.929879	1522
ACCS	0.218841	9607	0.674355	12086
ACCSL	-	19004	-	19004
ACD	0.323928	7268	0.821850	11230
ACE	0.017693	14437	0.292914	13792
ACE2	0.000000	16605	0.000000	17229
ACER1	0.000000	16604	0.000000	17228
ACER2	0.443428	5142	0.759965	11625
ACER3	0.406952	5756	1.525546	4327
ACHE	1.441182	547	1.832991	1980
ACIN1	0.419094	5497	1.936011	1489
ACKR1	1.760422	234	1.760422	2441
ACKR2	0.469780	4810	0.702431	12019
ACKR3	0.392995	5954	1.691170	2924
ACKR4	0.165558	10792	0.270193	13820
ACLY	0.266281	8355	1.560980	3990
ACMSD	0.000000	16603	0.000000	17227
ACO1	-0.136202	17071	1.387740	5762
ACO2	0.404394	5790	2.165790	763
ACOD1	0.000000	16602	0.000000	17226
ACOT1	0.181052	10457	0.232689	14127
