gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.917621	5627	1.908622	5427
A1CF	0.161368	15174	0.161368	15433
A2M	1.578519	1874	2.628821	1272
A2ML1	2.254669	530	2.254669	2866
A3GALT2	-	19008	-	19008
A4GALT	0.537258	10508	1.201684	11328
A4GNT	0.000000	17228	0.000000	17239
AAAS	0.463685	11743	1.857655	5885
AACS	0.409212	12493	1.459875	9481
AADAC	0.517196	10882	0.517196	14293
AADACL2	0.896964	5822	0.896964	12910
AADACL3	0.025306	16514	0.025306	16533
AADACL4	-	19007	-	19007
AADAT	0.181666	14947	0.751279	13519
AAED1	0.837794	6406	2.056150	4198
AAGAB	0.226764	14610	1.775465	6646
AAK1	0.629901	9128	1.307328	10655
AAMDC	0.332701	13544	1.360826	10264
AAMP	0.276612	14156	2.081378	4028
AANAT	0.040191	16162	0.040191	16199
AAR2	0.401901	12591	1.523136	8958
AARD	0.793082	6907	0.807535	13264
AARS	0.356888	13260	1.968965	4880
AARS2	0.546655	10360	1.757472	6816
AARSD1	0.983147	5061	1.537441	8841
AASDH	0.251750	14397	1.332034	10485
AASDHPPT	0.544499	10398	1.764550	6750
AASS	0.579058	9846	1.380030	10155
AATF	0.474980	11567	1.943841	5097
AATK	0.419899	12344	0.437592	14489
ABAT	0.810521	6696	1.305566	10670
ABCA1	1.660715	1619	2.727002	1025
ABCA10	0.450249	11941	0.450249	14459
ABCA12	1.835819	1168	1.835819	6057
ABCA13	0.986324	5037	0.986324	12498
ABCA2	0.973348	5137	1.304491	10720
ABCA3	0.873073	6042	1.601027	8249
ABCA4	0.806178	6751	0.806178	13270
ABCA5	0.482339	11461	1.514775	9047
ABCA6	0.973649	5134	0.973649	12547
ABCA7	1.019233	4752	1.854792	5900
ABCA8	0.633929	9063	1.574726	8499
ABCA9	0.536974	10514	0.838849	13149
ABCB1	0.758619	7355	1.356292	10318
ABCB10	0.584352	9772	1.444513	9603
ABCB11	0.025306	16513	0.025306	16532
ABCB4	0.781447	7056	0.930440	12741
ABCB5	0.443669	12024	0.443669	14468
ABCB6	0.496947	11222	0.875640	12985
ABCB7	0.302500	13881	1.551938	8696
ABCB8	0.665014	8613	1.566193	8569
ABCB9	0.382171	12897	0.650308	13840
ABCC1	0.656883	8736	1.913853	5374
ABCC10	0.461561	11767	1.096910	11940
ABCC11	0.025306	16512	0.025306	16531
ABCC12	0.140517	15324	0.140517	15517
ABCC2	0.378333	12953	0.378333	14669
ABCC3	1.370024	2639	2.182352	3303
ABCC4	1.369468	2643	1.976759	4820
ABCC5	0.869883	6064	1.858683	5876
ABCC6	-	19006	-	19006
ABCC8	0.176091	15055	0.176091	15360
ABCC9	0.269518	14212	0.632457	13894
ABCD1	0.960387	5242	1.913611	5376
ABCD2	1.036880	4608	1.198262	11348
ABCD3	0.777075	7108	1.620760	8071
ABCD4	0.745279	7516	1.492900	9204
ABCE1	0.772304	7161	2.291369	2643
ABCF1	0.414216	12425	2.264151	2808
ABCF2	0.381679	12913	1.808921	6319
ABCF3	0.260950	14293	1.735727	7014
ABCG1	0.923022	5574	1.995739	4687
ABCG2	0.957230	5266	1.072179	12056
ABCG4	0.234776	14550	0.250420	15050
ABCG5	0.037426	16196	0.037426	16231
ABCG8	0.025306	16511	0.025306	16530
ABHD1	0.337028	13491	0.396199	14605
ABHD10	0.286479	14056	1.516435	9035
ABHD11	0.578503	9860	1.548464	8742
ABHD12	1.271608	3136	2.488810	1727
ABHD12B	0.357935	13248	0.357935	14763
ABHD13	0.592886	9653	1.620100	8084
ABHD14A	0.398530	12644	1.373096	10197
ABHD14B	0.603815	9490	2.361272	2278
ABHD15	0.993511	4966	1.334075	10475
ABHD16A	1.076001	4306	1.696856	7356
ABHD16B	-	19005	-	19005
ABHD17A	0.660921	8673	1.126245	11757
ABHD17B	0.946156	5366	1.782616	6565
ABHD17C	0.705538	8019	1.737590	7004
ABHD18	0.783212	7036	1.635081	7950
ABHD2	1.007567	4848	2.202778	3171
ABHD3	0.825237	6549	1.775600	6637
ABHD4	0.752628	7418	2.093117	3920
ABHD5	1.032417	4644	2.229296	3015
ABHD6	1.231904	3339	1.479364	9306
ABHD8	0.508640	11015	1.186674	11421
ABI1	0.848298	6287	2.082420	4017
ABI2	0.574935	9916	2.008259	4579
ABI3	1.802202	1256	2.307350	2542
ABI3BP	0.974064	5127	1.728110	7073
ABL1	0.643806	8926	1.534153	8890
ABL2	1.806979	1245	2.475046	1777
ABLIM1	1.225954	3366	2.115677	3746
ABLIM2	1.037507	4603	1.305566	10669
ABLIM3	1.342619	2795	2.157992	3477
ABO	1.077459	4297	1.203305	11320
ABR	1.081152	4274	1.594614	8327
ABRA	0.646404	8896	0.646404	13854
ABRACL	1.382877	2582	2.567050	1461
ABT1	0.441208	12051	1.638074	7896
ABTB1	1.293832	3032	2.481688	1751
ABTB2	1.048440	4526	1.809261	6317
ACAA1	0.606552	9440	2.088568	3963
ACAA2	0.825604	6545	2.118383	3730
ACACA	0.513418	10935	1.608526	8192
ACACB	1.143015	3867	1.212986	11278
ACAD10	0.454935	11866	1.444513	9602
ACAD11	0.865783	6101	1.177536	11493
ACAD8	0.226774	14609	1.435526	9690
ACAD9	0.921500	5596	1.837020	6053
ACADL	0.375189	12994	0.396199	14604
ACADM	0.792719	6913	2.166815	3402
ACADS	0.522710	10785	1.410345	9883
ACADSB	0.215287	14691	1.224533	11215
ACADVL	0.798783	6840	2.612561	1323
ACAN	0.452735	11900	0.528917	14250
ACAP1	1.788047	1282	1.900149	5491
ACAP2	1.244936	3271	2.353782	2313
ACAP3	0.485965	11397	1.096910	11939
ACAT1	0.163705	15149	1.835841	6056
ACAT2	0.752627	7419	2.185777	3279
ACBD3	1.004457	4876	2.858399	786
ACBD4	0.567157	10045	1.276002	10882
ACBD5	0.851124	6253	1.417671	9843
ACBD6	0.702698	8053	1.937468	5164
ACBD7	1.054051	4487	1.291369	10778
ACCS	0.856341	6206	1.122732	11777
ACCSL	-	19004	-	19004
ACD	0.471143	11642	1.262267	10964
ACE	1.718139	1466	2.164656	3413
ACE2	0.298853	13947	0.298853	14943
ACER1	0.222716	14648	0.222716	15125
ACER2	0.759555	7344	1.076092	12023
ACER3	1.178224	3621	2.296819	2608
ACHE	0.719117	7853	1.110926	11845
ACIN1	0.948413	5341	2.254761	2865
ACKR1	1.897077	1018	1.897077	5530
ACKR2	0.581673	9806	0.581673	14041
ACKR3	1.129287	3952	2.473385	1785
ACKR4	0.369581	13067	0.474216	14399
ACLY	0.700251	8093	1.994950	4693
ACMSD	0.025306	16510	0.025306	16529
ACO1	0.398641	12641	1.922582	5296
ACO2	0.341253	13435	1.978699	4808
ACOD1	3.823862	19	3.823862	71
ACOT1	0.311429	13778	0.363066	14698
ACOT11	1.318749	2895	1.500511	9160
ACOT12	0.075547	15837	0.075547	15894
ACOT13	0.855052	6215	2.103291	3836
ACOT2	0.356358	13265	1.395647	10016
ACOT4	0.445477	12006	0.584665	14028
ACOT6	-	19003	-	19003
ACOT7	1.955695	915	2.009129	4564
ACOT8	0.234312	14551	1.635081	7949
ACOT9	0.763887	7265	2.312952	2509
ACOX1	0.471162	11641	1.912247	5389
ACOX2	1.083338	4253	1.114436	11809
ACOX3	1.017027	4777	1.619946	8088
ACOXL	0.096910	15675	0.096910	15774
ACP1	0.857271	6184	1.978448	4809
ACP2	0.744531	7521	2.274468	2746
ACP5	2.987911	105	3.014291	563
ACP6	0.602515	9509	1.276002	10881
ACP7	-	19002	-	19002
ACPP	1.694111	1523	1.874521	5739
ACPT	-	19001	-	19001
ACR	0.000000	17227	0.000000	17238
ACRBP	1.218231	3411	1.464813	9419
