gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.164211	12076	0.969847	10557
A1CF	0.000000	16867	0.000000	17239
A2M	0.951029	1669	1.976946	1451
A2ML1	1.089198	1188	1.089198	9467
A3GALT2	-	19008	-	19008
A4GALT	0.031707	14814	0.696133	12470
A4GNT	0.000000	16866	0.000000	17238
AAAS	0.432987	5785	1.413970	5900
AACS	0.319195	8118	1.149219	8859
AADAC	0.152288	12830	0.152288	15190
AADACL2	0.267172	9547	0.267172	14509
AADACL3	0.000000	16865	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.343671	7601	0.913284	11074
AAED1	0.029747	14827	0.998203	10281
AAGAB	0.031197	14818	1.579898	4139
AAK1	0.568479	4022	1.328176	6849
AAMDC	0.317507	8145	1.362660	6424
AAMP	0.402899	6359	1.889302	1853
AANAT	0.152288	12829	0.152288	15189
AAR2	0.268482	9279	1.089198	9466
AARD	0.267172	9546	0.267172	14508
AARS	0.379093	6786	1.858378	1995
AARS2	0.188683	11519	1.399501	6057
AARSD1	0.309389	8362	1.331225	6797
AASDH	0.559700	4097	1.639984	3604
AASDHPPT	0.579190	3910	1.788451	2451
AASS	0.749508	2638	1.811575	2303
AATF	0.245134	10071	1.713994	2989
AATK	2.015821	116	2.015821	1312
ABAT	1.221153	878	1.929981	1667
ABCA1	0.455213	5420	1.848613	2051
ABCA10	0.681241	3086	0.681241	12646
ABCA12	0.000000	16864	0.000000	17236
ABCA13	0.267172	9545	0.267172	14507
ABCA2	1.533030	424	1.942851	1608
ABCA3	0.967615	1584	1.695569	3166
ABCA4	0.152288	12828	0.152288	15188
ABCA5	0.466623	5256	1.499059	4934
ABCA6	1.142021	1044	1.601196	3937
ABCA7	0.198137	11303	0.885830	11299
ABCA8	1.135982	1063	2.076778	1101
ABCA9	0.834446	2185	1.089198	9465
ABCB1	1.199456	926	1.797129	2396
ABCB10	0.095527	13957	0.955688	10719
ABCB11	0.000000	16863	0.000000	17235
ABCB4	0.233024	10383	0.382017	13889
ABCB5	0.288473	8814	0.288473	14252
ABCB6	0.321122	8079	0.752048	12236
ABCB7	0.361542	7135	1.610979	3843
ABCB8	0.253808	9870	1.378648	6253
ABCB9	0.295102	8685	0.752048	12235
ABCC1	0.289200	8800	1.030195	10053
ABCC10	0.238253	10232	0.905796	11126
ABCC11	0.000000	16862	0.000000	17234
ABCC12	0.152288	12827	0.152288	15187
ABCC2	0.000000	16861	0.000000	17233
ABCC3	0.355640	7386	0.769178	12117
ABCC4	0.466309	5259	1.022016	10111
ABCC5	0.775376	2500	1.764176	2616
ABCC6	-	19006	-	19006
ABCC8	1.122544	1094	1.122544	9146
ABCC9	0.730832	2746	1.093772	9423
ABCD1	0.152288	12826	0.681241	12645
ABCD2	1.056365	1272	1.217747	8115
ABCD3	0.313843	8274	1.434569	5659
ABCD4	0.410135	6257	1.445311	5532
ABCE1	0.182935	11664	1.701999	3110
ABCF1	0.217131	10844	1.988563	1409
ABCF2	0.002300	15101	1.429542	5697
ABCF3	0.132463	13165	1.607241	3883
ABCG1	0.194789	11371	1.189190	8358
ABCG2	0.959518	1625	1.049993	9791
ABCG4	0.425265	6000	0.440909	13613
ABCG5	0.000000	16860	0.000000	17232
ABCG8	0.000000	16859	0.000000	17231
ABHD1	0.462664	5313	0.521836	13319
ABHD10	0.369705	6961	1.640382	3594
ABHD11	0.308029	8401	0.878017	11316
ABHD12	0.320218	8098	1.820136	2246
ABHD12B	0.152288	12825	0.152288	15186
ABHD13	0.055591	14520	1.082805	9484
ABHD14A	0.547662	4265	1.664830	3387
ABHD14B	-0.278026	17229	1.479431	5189
ABHD15	0.377938	6808	0.718502	12450
ABHD16A	0.286445	8861	1.577147	4167
ABHD16B	-	19005	-	19005
ABHD17A	0.230449	10538	1.136086	9008
ABHD17B	0.692116	2970	1.692759	3183
ABHD17C	0.545407	4284	1.136086	9007
ABHD18	0.559737	4096	0.905796	11125
ABHD2	0.257076	9782	1.833784	2143
ABHD3	0.281617	8973	1.231979	7962
ABHD4	0.216190	10861	1.554973	4380
