gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.095661	12179	0.665581	11859
A1CF	0.684845	2007	0.684845	11763
A2M	1.237880	527	2.288182	692
A2ML1	0.000000	16621	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.455160	3917	1.119586	8324
A4GNT	1.225309	546	1.225309	7262
AAAS	0.426069	4354	1.820039	2165
AACS	0.274090	7240	1.305566	6425
AADAC	0.684845	2006	0.684845	11762
AADACL2	0.000000	16620	0.000000	17238
AADACL3	0.000000	16619	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.095968	12171	0.665581	11858
AAED1	0.068094	13210	1.286449	6622
AAGAB	-0.134229	17121	1.414472	5293
AAK1	0.134431	11260	1.029767	9139
AAMDC	0.242560	8048	1.399370	5477
AAMP	0.182115	9825	1.986880	1461
AANAT	0.000000	16618	0.000000	17236
AAR2	0.412821	4533	1.335884	6087
AARD	0.068333	13205	0.082785	14981
AARS	0.135905	11218	1.743957	2584
AARS2	0.266172	7525	1.476989	4703
AARSD1	0.349562	5622	1.423975	5196
AASDH	0.082785	12966	1.007748	9363
AASDHPPT	-0.020711	16729	1.281942	6674
AASS	0.311397	6385	1.373464	5735
AATF	0.074463	13101	1.543323	4119
AATK	0.495544	3467	0.495544	12734
ABAT	0.360419	5382	1.059185	8895
ABCA1	0.287480	6932	1.680879	3028
ABCA10	0.816241	1400	0.816241	10896
ABCA12	0.000000	16617	0.000000	17235
ABCA13	0.082785	12965	0.082785	14980
ABCA2	0.451810	3964	1.230704	7195
ABCA3	0.620680	2397	1.348634	5957
ABCA4	0.190106	9641	0.190106	14149
ABCA5	0.291023	6840	1.323458	6233
ABCA6	0.575053	2742	1.034227	9126
ABCA7	0.215594	8741	1.051153	8982
ABCA8	0.525045	3185	1.428621	5167
ABCA9	0.567357	2783	0.869232	10518
ABCB1	0.707893	1867	1.305566	6424
ABCB10	0.173483	10036	0.950954	9819
ABCB11	0.000000	16616	0.000000	17234
ABCB4	0.065851	13250	0.214844	14018
ABCB5	0.214844	8915	0.214844	14017
ABCB6	0.209498	9043	0.588190	12256
ABCB7	0.000000	16615	1.202488	7512
ABCB8	0.147659	10947	1.319626	6246
ABCB9	0.216959	8704	0.607069	12133
ABCC1	0.273427	7259	1.522523	4273
ABCC10	0.394065	4861	0.816241	10895
ABCC11	0.000000	16614	0.000000	17233
ABCC12	0.000000	16613	0.000000	17232
ABCC2	1.196729	574	1.196729	7564
ABCC3	1.361877	391	2.174205	937
ABCC4	0.371182	5204	1.262214	6881
ABCC5	0.135900	11219	0.998695	9457
ABCC6	-	19006	-	19006
ABCC8	0.214844	8914	0.214844	14016
ABCC9	0.602063	2510	0.905256	10238
ABCD1	0.190106	9640	1.105169	8471
ABCD2	0.334162	5883	0.495544	12733
ABCD3	0.313221	6356	1.400020	5465
ABCD4	0.220443	8608	1.377306	5686
ABCE1	-0.218035	17209	1.301030	6468
ABCF1	0.042454	13650	1.892389	1831
ABCF2	0.341506	5766	1.768748	2442
ABCF3	-0.066136	16956	1.408641	5341
ABCG1	0.129293	11359	1.262214	6880
ABCG2	0.443474	4064	0.551450	12474
ABCG4	0.120275	11674	0.120275	14493
ABCG5	0.214844	8913	0.214844	14015
ABCG8	0.645422	2229	0.645422	11985
ABHD1	0.023614	13883	0.082785	14979
ABHD10	0.002567	14107	1.214049	7388
ABHD11	0.383378	5016	1.353339	5916
ABHD12	0.576341	2727	1.644820	3283
ABHD12B	0.000000	16612	0.000000	17231
ABHD13	0.157477	10451	1.184691	7693
ABHD14A	0.253528	7804	1.277151	6721
ABHD14B	0.252800	7819	2.010258	1367
ABHD15	0.344282	5724	0.684845	11761
ABHD16A	0.150651	10886	1.385070	5613
ABHD16B	-	19005	-	19005
ABHD17A	0.213594	8940	1.140194	8128
ABHD17B	0.308141	6476	1.227473	7200
ABHD17C	0.347419	5663	1.388811	5560
ABHD18	0.314264	6336	1.166134	7879
ABHD2	0.932468	1076	2.201861	884
ABHD3	0.359693	5394	1.310056	6372
ABHD4	0.142796	11055	1.483285	4647
ABHD5	0.075017	13095	1.153205	7994
ABHD6	0.214162	8925	0.855357	10608
ABHD8	0.223493	8520	1.133219	8195
