gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.417376	6773	0.939608	11071
A1CF	0.016406	15374	0.016406	15855
A2M	1.065708	1693	2.116010	1093
A2ML1	1.090611	1614	1.090611	9799
A3GALT2	-	19008	-	19008
A4GALT	0.099735	13982	0.795185	12122
A4GNT	0.000000	16923	0.000000	17239
AAAS	0.483845	5691	1.393575	6583
AACS	0.190896	11842	1.178113	8891
AADAC	0.016406	15373	0.016406	15854
AADACL2	0.000000	16922	0.000000	17238
AADACL3	0.000000	16921	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.367824	7740	0.937437	11155
AAED1	-0.005305	16941	1.082068	9870
AAGAB	0.235774	10749	1.784475	2745
AAK1	0.484566	5685	1.348186	7101
AAMDC	0.195479	11739	1.184630	8829
AAMP	0.537415	4944	1.875134	2159
AANAT	0.146128	13092	0.146128	15023
AAR2	0.105028	13896	1.223236	8403
AARD	0.170262	12264	0.170262	14683
AARS	0.368329	7727	1.870053	2188
AARS2	0.261061	10079	1.471878	5715
AARSD1	0.257679	10300	1.508799	5292
AASDH	0.404158	7020	1.484442	5572
AASDHPPT	0.736352	3212	1.892929	2063
AASS	0.541294	4916	1.603361	4331
AATF	0.094858	14055	1.563718	4706
AATK	1.992995	185	1.992995	1545
ABAT	1.533391	597	1.857134	2269
ABCA1	0.256537	10321	1.649937	3859
ABCA10	0.743510	3160	0.743510	12381
ABCA12	0.037981	14892	0.037981	15563
ABCA13	0.066402	14452	0.066402	15364
ABCA2	1.720671	368	2.187844	889
ABCA3	1.176491	1344	1.904445	2003
ABCA4	1.440250	764	1.440250	6049
ABCA5	0.701163	3453	1.733598	3129
ABCA6	0.745869	3134	1.205044	8556
ABCA7	0.310952	9040	1.112766	9566
ABCA8	0.971728	2037	1.912524	1950
ABCA9	0.819357	2726	1.121231	9489
ABCB1	1.183580	1324	1.781253	2772
ABCB10	0.039510	14817	0.680411	12718
ABCB11	0.008435	15559	0.008435	15994
ABCB4	0.342369	8338	0.491362	13528
ABCB5	0.065300	14497	0.065300	15396
ABCB6	0.279194	9703	0.608888	13043
ABCB7	0.247354	10489	1.496791	5441
ABCB8	0.355979	7979	1.338974	7196
ABCB9	0.505458	5394	0.974512	10854
ABCC1	0.275718	9765	1.175222	8936
ABCC10	0.303989	9204	0.895975	11449
ABCC11	0.017693	15331	0.017693	15822
ABCC12	0.079181	14292	0.079181	15331
ABCC2	0.023543	15206	0.023543	15747
ABCC3	0.118087	13693	0.483934	13539
ABCC4	0.458140	6070	1.109916	9607
ABCC5	0.684681	3575	1.673482	3630
ABCC6	-	19006	-	19006
ABCC8	1.261501	1128	1.261501	8012
ABCC9	0.696162	3492	0.823474	11933
ABCD1	0.146128	13091	0.862728	11684
ABCD2	1.327732	969	1.489114	5517
ABCD3	0.208938	11418	1.350500	7065
ABCD4	0.376426	7574	1.437537	6071
ABCE1	0.256327	10327	1.775392	2805
ABCF1	0.252945	10381	2.102879	1146
ABCF2	0.304771	9182	1.517724	5190
ABCF3	0.185993	11938	1.660771	3751
ABCG1	0.231102	10843	1.364023	6904
ABCG2	1.227474	1219	1.342423	7158
ABCG4	0.962079	2074	0.977724	10806
ABCG5	0.000000	16920	0.000000	17236
ABCG8	0.000000	16919	0.000000	17235
ABHD1	0.411126	6883	0.470297	13624
ABHD10	0.321055	8780	1.591732	4443
ABHD11	0.263059	10039	1.079831	9880
ABHD12	0.374043	7613	1.892929	2062
ABHD12B	0.305580	9158	0.305580	14230
ABHD13	0.047018	14733	1.089198	9808
ABHD14A	0.436621	6426	1.521950	5148
ABHD14B	-0.336939	17228	1.420518	6274
ABHD15	0.130334	13506	0.439333	13730
ABHD16A	0.354108	8010	1.480763	5603
ABHD16B	-	19005	-	19005
ABHD17A	0.352209	8043	1.037541	10306
ABHD17B	0.656222	3780	1.656864	3796
ABHD17C	0.368496	7720	1.274389	7853
ABHD18	0.593314	4326	1.061075	10085
ABHD2	0.481930	5721	2.001081	1516
ABHD3	0.339652	8402	1.290014	7701
ABHD4	0.484312	5687	1.680336	3570
ABHD5	0.472903	5866	1.669782	3672
ABHD6	0.835601	2642	1.527501	5089
ABHD8	0.439024	6381	1.348750	7082
ABI1	0.325319	8694	1.817433	2538
ABI2	0.745577	3135	1.886039	2099
ABI3	0.756789	3070	1.261937	8007
ABI3BP	0.253791	10370	1.210351	8524
ABL1	0.382658	7432	1.115835	9546
ABL2	0.476196	5822	1.144263	9267
ABLIM1	1.367617	885	1.929193	1862
ABLIM2	1.289087	1067	1.557146	4781
ABLIM3	0.378014	7545	1.698394	3418
ABO	0.336552	8479	0.462398	13647
ABR	1.520221	617	1.743796	3052
ABRA	0.174148	12193	0.174148	14664
ABRACL	0.241798	10603	1.538574	4981
ABT1	0.035367	14924	1.232234	8318
ABTB1	0.230449	10961	1.372360	6810
ABTB2	0.731215	3243	1.382197	6697
ACAA1	0.217941	11235	1.653309	3838
ACAA2	0.554216	4758	1.538574	4980
ACACA	0.502742	5424	1.255031	8066
ACACB	0.716153	3328	1.036299	10308
ACAD10	0.096248	14034	1.085826	9825
ACAD11	0.550974	4795	1.031324	10365
ACAD8	0.233414	10804	1.442166	6036
ACAD9	0.230449	10960	1.538197	4989
ACADL	0.449860	6198	0.449860	13667
ACADM	0.508435	5353	1.686458	3518
ACADS	0.146128	13090	0.988171	10713
ACADSB	0.404816	7005	1.409426	6389
ACADVL	0.385062	7388	2.211414	835
ACAN	0.608664	4176	0.684845	12708
ACAP1	0.281573	9664	0.393675	13890
ACAP2	0.617000	4109	1.705265	3361
ACAP3	0.303486	9212	0.905052	11354
ACAT1	0.300326	9269	1.945059	1762
ACAT2	0.712674	3362	2.032538	1384
ACBD3	0.063932	14511	1.917873	1922
ACBD4	0.340378	8384	0.850832	11730
ACBD5	0.753882	3087	1.220892	8422
ACBD6	0.117592	13700	1.185259	8827
ACBD7	1.692560	400	1.929879	1858
ACCS	0.384988	7390	0.703942	12574
ACCSL	-	19004	-	19004
ACD	0.323928	8721	0.910624	11333
ACE	0.031514	14990	0.472756	13623
ACE2	0.040290	14809	0.040290	15515
ACER1	0.000000	16918	0.000000	17234
ACER2	0.443428	6286	0.759965	12290
ACER3	0.656579	3775	1.775173	2806
ACHE	1.517747	618	1.909556	1968
ACIN1	0.419094	6701	1.973415	1638
ACKR1	1.760422	334	1.760422	2932
ACKR2	0.518380	5225	0.751031	12314
ACKR3	0.392995	7230	1.730298	3162
ACKR4	0.165558	12337	0.270193	14276
ACLY	0.266281	9964	1.560980	4736
ACMSD	0.000000	16917	0.000000	17233
ACO1	-0.027216	17009	1.496725	5442
ACO2	0.404394	7017	2.165790	953
ACOD1	0.000000	16916	0.000000	17232
ACOT1	0.181052	12024	0.232689	14458
ACOT11	1.033144	1812	1.124173	9442
ACOT12	0.017693	15330	0.017693	15821
ACOT13	0.337946	8448	1.650741	3851
ACOT2	0.009529	15432	1.004562	10591
ACOT4	0.246418	10512	0.385606	13903
ACOT6	-	19003	-	19003
ACOT7	0.945439	2135	1.975845	1626
ACOT8	0.222996	11132	1.623766	4123
ACOT9	0.055674	14642	1.368287	6848
ACOX1	0.360527	7888	1.546913	4896
ACOX2	0.348988	8109	0.697141	12638
ACOX3	0.191285	11833	0.985050	10770
ACOXL	0.016406	15372	0.016406	15853
ACP1	0.101903	13947	1.909235	1969
ACP2	0.133185	13259	1.605251	4305
ACP5	0.104860	13900	0.201770	14592
ACP6	0.283589	9612	0.862728	11683
ACP7	-	19002	-	19002
ACPP	0.589705	4360	0.770115	12230
ACPT	-	19001	-	19001
ACR	0.000000	16915	0.000000	17231
ACRBP	0.323961	8719	0.570543	13217
ACRC	0.017693	15329	0.017693	15820
ACRV1	0.000000	16914	0.000000	17230
ACSBG1	2.062991	151	2.062991	1290
ACSBG2	0.146128	13089	0.146128	15022
ACSF2	0.088626	14149	0.795185	12121
ACSF3	0.123020	13610	0.988113	10752
ACSL1	1.189771	1306	1.403861	6450
ACSL3	0.513841	5284	2.297061	641
ACSL4	0.424032	6620	1.803867	2619
ACSL5	0.680875	3600	1.528274	5086
ACSL6	1.451172	736	1.451172	5930
