gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.635509	8195	1.415025	8989
A1CF	0.982271	4507	0.982271	13213
A2M	1.513855	1506	2.564157	810
A2ML1	0.227925	15407	0.227925	16169
A3GALT2	-	19008	-	19008
A4GALT	1.046369	3990	1.710794	5421
A4GNT	1.225309	2797	1.225309	11116
AAAS	0.546596	9542	1.641965	6258
AACS	0.437459	11457	1.328787	10007
AADAC	1.328787	2242	1.328787	10006
AADACL2	0.173186	15961	0.173186	16264
AADACL3	0.000000	17238	0.000000	17239
AADACL4	-	19007	-	19007
AADAT	0.330139	13617	0.758912	14473
AAED1	0.360628	13031	1.578983	6975
AAGAB	0.255643	14886	1.804344	4464
AAK1	1.016197	4220	1.636889	6322
AAMDC	0.405560	12206	1.589355	6845
AAMP	0.403651	12244	2.007833	2841
AANAT	0.000000	17237	0.000000	17238
AAR2	0.273614	14598	1.394850	9238
AARD	1.533265	1443	1.547717	7374
AARS	0.231592	15360	1.843669	4091
AARS2	0.240816	15260	1.451633	8550
AARSD1	1.462565	1690	1.824434	4274
AASDH	0.110328	16378	1.190612	11462
AASDHPPT	0.477012	10747	1.677151	5820
AASS	0.469667	10874	1.531734	7559
AATF	0.184159	15866	1.653019	6124
AATK	1.384224	2006	1.401917	9152
ABAT	1.316902	2298	2.046066	2597
ABCA1	0.427655	11656	1.821055	4304
ABCA10	0.955688	4748	0.955688	13411
ABCA12	0.100343	16421	0.100343	16482
ABCA13	0.980912	4514	0.980912	13221
ABCA2	0.451810	11195	1.230704	11081
ABCA3	0.625569	8335	1.249886	10888
ABCA4	0.255273	15007	0.255273	16102
ABCA5	0.701083	7342	1.733518	5189
ABCA6	0.974915	4562	1.434090	8743
ABCA7	0.581747	9004	1.417306	8962
ABCA8	1.133398	3399	2.074195	2414
ABCA9	1.124311	3463	1.426186	8875
ABCB1	0.707893	7270	1.305566	10272
ABCB10	0.550616	9456	1.410777	9056
ABCB11	0.613913	8555	0.613913	15062
ABCB4	0.781447	6428	0.930440	13558
ABCB5	0.411620	12064	0.411620	15679
ABCB6	0.769217	6536	1.100371	12308
ABCB7	0.270391	14642	1.519828	7719
ABCB8	0.167534	15999	1.232234	11061
ABCB9	0.306051	14072	0.691620	14724
ABCC1	0.557456	9347	1.609701	6611
ABCC10	0.436944	11468	1.104487	12287
ABCC11	0.033424	16763	0.033424	16774
ABCC12	0.632177	8239	0.632177	14930
ABCC2	1.196729	2980	1.196729	11420
ABCC3	1.361877	2114	2.174205	1910
ABCC4	0.612438	8573	1.271377	10638
ABCC5	0.416546	11968	1.405346	9103
ABCC6	-	19006	-	19006
ABCC8	1.312600	2317	1.312600	10158
ABCC9	1.394305	1955	1.757244	4954
ABCD1	0.648935	8027	1.481521	8160
ABCD2	1.177137	3118	1.338519	9896
ABCD3	0.533074	9754	1.442009	8626
ABCD4	0.434974	11506	1.416141	8970
ABCE1	0.308369	14031	1.827434	4229
ABCF1	0.258323	14847	2.026583	2714
ABCF2	0.180360	15910	1.597256	6756
ABCF3	0.357092	13128	1.831870	4199
ABCG1	0.709751	7253	1.842672	4101
ABCG2	1.793755	805	1.901731	3590
ABCG4	0.622462	8425	0.638107	14919
ABCG5	0.214844	15555	0.214844	16205
ABCG8	0.645422	8076	0.645422	14887
ABHD1	1.707973	961	1.767144	4848
ABHD10	0.343187	13395	1.417887	8955
ABHD11	0.454711	11141	1.421604	8924
ABHD12	1.958421	582	1.958421	3183
ABHD12B	0.250420	15116	0.250420	16150
ABHD13	0.334891	13532	1.362105	9596
ABHD14A	0.467644	10912	1.415140	8988
ABHD14B	0.326582	13690	2.084040	2368
ABHD15	0.416560	11967	0.757124	14479
ABHD16A	0.312384	13962	1.475962	8239
ABHD16B	-	19005	-	19005
ABHD17A	0.302811	14136	1.140194	11979
ABHD17B	0.376779	12749	1.188928	11517
ABHD17C	0.347419	13327	1.388811	9282
ABHD18	0.534137	9738	1.344392	9804
ABHD2	0.932468	4945	2.201861	1782
ABHD3	0.359693	13056	1.310056	10199
ABHD4	1.062004	3875	2.402493	1126
ABHD5	0.411512	12068	1.532828	7542
ABHD6	1.003448	4334	1.250908	10884
ABHD8	1.198418	2970	1.361138	9607
ABI1	0.302798	14139	1.695482	5565
ABI2	0.581248	9012	1.790778	4619
ABI3	1.471660	1660	1.976808	3052
ABI3BP	2.026039	508	2.702379	610
ABL1	0.474450	10797	1.475962	8238
ABL2	0.816802	6058	1.484869	8138
ABLIM1	1.253791	2626	2.143514	2035
ABLIM2	1.115278	3508	1.305566	10271
ABLIM3	1.008763	4286	1.569608	7098
ABO	1.227493	2785	1.353339	9710
ABR	0.641411	8124	1.425045	8885
ABRA	2.002252	543	2.002252	2882
ABRACL	0.553553	9408	1.693727	5593
ABT1	0.185511	15846	1.382377	9377
ABTB1	0.397718	12343	1.585574	6897
ABTB2	1.255707	2617	1.582745	6923
ACAA1	0.540385	9646	1.763802	4878
ACAA2	0.814682	6083	2.107461	2226
ACACA	0.591873	8861	1.735200	5171
ACACB	1.855423	705	1.855423	3993
ACAD10	0.262060	14797	1.251638	10878
ACAD11	0.793956	6312	1.459392	8418
ACAD8	0.266774	14742	1.475526	8255
ACAD9	0.152288	16157	1.508664	7863
ACADL	1.077004	3770	1.077004	12538
ACADM	0.729708	7025	2.103804	2255
ACADS	0.910325	5149	1.797960	4545
ACADSB	0.518553	10047	1.487138	8111
ACADVL	0.549276	9484	2.400365	1129
ACAN	0.909691	5160	0.959990	13315
ACAP1	1.368337	2084	1.480438	8170
ACAP2	0.511796	10174	1.928088	3369
ACAP3	0.328074	13660	1.026533	12897
ACAT1	1.513704	1508	2.559859	824
ACAT2	0.634033	8215	2.067182	2458
ACBD3	0.244087	15196	2.098028	2293
ACBD4	0.512047	10170	1.220892	11188
ACBD5	0.524969	9915	1.013259	12998
ACBD6	0.492190	10484	1.515266	7764
ACBD7	0.757878	6696	0.995196	13103
ACCS	0.676752	7663	1.051153	12695
ACCSL	-	19004	-	19004
ACD	0.352039	13238	1.099681	12312
ACE	1.868347	685	1.868347	3875
ACE2	1.364815	2102	1.364815	9568
ACER1	0.000000	17236	0.000000	17237
ACER2	0.879362	5453	1.195900	11427
ACER3	0.307592	14044	1.426186	8874
ACHE	1.522323	1477	1.914132	3487
ACIN1	0.416641	11965	2.096284	2308
ACKR1	1.906389	635	1.906389	3549
ACKR2	0.874688	5488	0.874688	13861
ACKR3	1.129287	3433	2.473385	977
ACKR4	2.214242	341	2.318877	1373
ACLY	0.761165	6659	2.055864	2539
ACMSD	0.495544	10407	0.495544	15408
ACO1	0.498322	10367	2.022263	2744
ACO2	0.899157	5272	2.660552	666
ACOD1	0.037426	16739	0.037426	16752
ACOT1	0.657013	7916	0.657013	14848
ACOT11	1.050107	3958	1.141136	11962
ACOT12	0.100343	16420	0.100343	16481
ACOT13	0.589337	8895	1.875806	3816
ACOT2	1.028725	4103	1.615787	6528
ACOT4	0.293781	14281	0.432969	15528
ACOT6	-	19003	-	19003
ACOT7	0.902182	5245	1.297761	10331
ACOT8	0.117664	16340	1.518433	7736
ACOT9	0.416641	11964	1.850156	4045
ACOX1	0.690878	7507	1.880985	3783
ACOX2	0.478425	10727	0.946088	13456
ACOX3	0.329521	13632	1.307068	10238
ACOXL	0.338456	13467	0.338456	15845
ACP1	0.303848	14113	1.990827	2947
ACP2	0.382594	12648	1.935457	3312
ACP5	1.247274	2663	1.419625	8935
ACP6	0.521786	10003	1.031004	12822
ACP7	-	19002	-	19002
ACPP	1.496172	1573	1.725340	5281
ACPT	-	19001	-	19001
ACR	2.245813	319	2.245813	1626
ACRBP	2.447696	214	2.694278	620
