gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.575768	3342	1.566768	4352
A1CF	0.000000	16986	0.000000	17239
A2M	1.155335	731	2.205637	1078
A2ML1	1.104828	833	1.104828	8950
A3GALT2	-	19008	-	19008
A4GALT	0.409379	6630	1.104828	8949
A4GNT	0.000000	16985	0.000000	17238
AAAS	0.429532	6288	1.823502	2520
AACS	0.495704	5070	1.357966	6228
AADAC	0.525045	4683	0.525045	13455
AADACL2	0.000000	16984	0.000000	17237
AADACL3	0.000000	16983	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.335643	8023	0.905256	10676
AAED1	0.323837	8236	1.428297	5686
AAGAB	0.185575	11074	1.734276	3052
AAK1	1.016616	1048	1.464788	5353
AAMDC	0.532290	3758	1.428297	5685
AAMP	0.395942	6869	2.063216	1489
AANAT	0.046880	13757	0.046880	14523
AAR2	0.249892	9728	1.371127	6161
AARD	0.534073	3747	0.548526	12280
AARS	0.309723	8516	1.921800	2036
AARS2	0.242480	9871	1.453297	5400
AARSD1	0.708475	2407	1.673210	3495
AASDH	0.000000	16982	1.042187	9159
AASDHPPT	0.211742	10561	1.601082	4062
AASS	0.505430	4910	1.567497	4346
AATF	0.054681	13487	1.523542	4766
AATK	0.525045	4682	0.525045	13454
ABAT	0.385981	7054	1.016616	9762
ABCA1	0.306612	8579	1.700011	3325
ABCA10	0.755112	2135	0.755112	11852
ABCA12	0.525045	4681	0.525045	13453
ABCA13	0.000000	16981	0.000000	17235
ABCA2	0.615233	3032	1.016616	9761
ABCA3	0.324142	8232	0.861664	10778
ABCA4	0.000000	16980	0.000000	17234
ABCA5	0.163598	11564	1.178401	8227
ABCA6	0.446082	5964	0.905256	10675
ABCA7	0.156842	11717	0.735675	11894
ABCA8	0.525045	4680	1.464788	5352
ABCA9	0.703067	2435	0.755112	11851
ABCB1	0.000000	16979	0.525045	13452
ABCB10	0.435846	6169	1.296007	7019
ABCB11	0.000000	16978	0.000000	17233
ABCB4	0.525045	4679	0.525045	13451
ABCB5	0.000000	16977	0.000000	17232
ABCB6	0.518097	4760	0.755112	11850
ABCB7	0.100371	12850	1.178401	8226
ABCB8	0.262287	9460	1.230673	7685
ABCB9	0.259843	9508	0.728897	11911
ABCC1	0.242933	9863	1.499903	4887
ABCC10	0.220450	10334	0.880242	10732
ABCC11	0.000000	16976	0.000000	17231
ABCC12	0.000000	16975	0.000000	17230
ABCC2	0.000000	16974	0.000000	17229
ABCC3	0.742024	2198	1.554352	4521
ABCC4	0.610494	3067	1.373280	6155
ABCC5	0.399656	6801	1.388456	6069
ABCC6	-	19006	-	19006
ABCC8	0.755112	2134	0.755112	11849
ABCC9	0.815462	1720	1.178401	8225
ABCD1	0.157759	11682	1.110983	8523
ABCD2	0.855233	1593	1.016616	9760
ABCD3	0.224478	10258	1.178401	8224
ABCD4	0.187921	11026	1.344785	6530
ABCE1	0.196354	10842	1.715418	3205
ABCF1	0.658376	2709	1.926783	2014
ABCF2	0.220501	10331	1.647743	3686
ABCF3	0.226532	10206	1.701309	3316
ABCG1	0.017419	14087	1.104828	8948
ABCG2	0.640163	2841	0.755112	11848
ABCG4	0.150575	11835	0.166219	14063
ABCG5	0.000000	16973	0.000000	17228
ABCG8	0.000000	16972	0.000000	17227
ABHD1	0.465873	5595	0.525045	13450
ABHD10	0.211641	10563	1.296007	7018
ABHD11	0.276828	9160	1.246789	7295
ABHD12	0.289662	8912	1.808549	2601
ABHD12B	0.000000	16971	0.000000	17226
ABHD13	0.157775	11679	1.184989	7878
ABHD14A	0.515745	4780	1.498311	5011
ABHD14B	0.469020	5520	2.226477	1032
ABHD15	0.023657	14038	0.364221	13667
ABHD16A	0.121619	12418	1.412321	5747
ABHD16B	-	19005	-	19005
ABHD17A	0.156172	11726	1.082772	9024
ABHD17B	0.296644	8754	1.049606	9136
ABHD17C	0.410657	6614	0.984977	9868
ABHD18	0.340493	7921	0.756304	11107
ABHD2	0.456609	5770	1.740126	3024
ABHD3	0.477934	5365	1.428297	5684
ABHD4	0.612897	3048	1.953386	1888
ABHD5	0.152142	11804	1.197879	7823
ABHD6	0.525045	4678	0.755112	11847
ABHD8	0.424674	6390	1.241048	7632
ABI1	0.404359	6715	1.529559	4734
ABI2	0.227149	10198	1.368490	6173
ABI3	0.525045	4677	0.755112	11846
ABI3BP	1.461994	386	2.138334	1242
ABL1	0.386945	7037	1.388456	6068
ABL2	0.797018	1762	1.465085	5199
ABLIM1	1.503699	338	1.658774	3635
ABLIM2	0.637197	2868	0.905256	10674
ABLIM3	0.484479	5267	1.388456	6067
ABO	0.000000	16970	0.000000	17225
ABR	0.525045	4676	1.373373	6150
ABRA	0.755112	2133	0.755112	11845
ABRACL	0.169025	11415	1.638502	3726
ABT1	0.221853	10303	1.418719	5720
ABTB1	0.312347	8462	1.223403	7708
ABTB2	0.255795	9593	1.016616	9759
ACAA1	0.468107	5544	1.611617	4011
