gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.651859	3938	1.642860	4983
A1CF	0.089905	15184	0.089905	15411
A2M	1.242530	1021	2.292832	1215
A2ML1	1.158523	1203	1.158523	9599
A3GALT2	-	19008	-	19008
A4GALT	1.039124	1558	1.703549	4409
A4GNT	0.000000	17230	0.000000	17239
AAAS	0.551794	5136	1.919053	2817
AACS	0.439001	7168	1.479664	6575
AADAC	0.741939	3187	0.741939	12329
AADACL2	0.387390	8444	0.387390	13743
AADACL3	0.000000	17229	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.362861	9030	0.932474	11266
AAED1	0.369624	8885	1.512131	6262
AAGAB	0.163864	14011	1.712566	4321
AAK1	0.895975	2166	1.339451	7943
AAMDC	0.501409	5943	1.685204	4566
AAMP	0.284975	11107	2.089741	1932
AANAT	0.000000	17228	0.000000	17237
AAR2	0.313243	10428	1.434478	6990
AARD	0.202288	13209	0.216741	14592
AARS	0.556924	5085	2.169000	1624
AARS2	0.254555	11903	1.465372	6699
AARSD1	0.861848	2344	1.575300	5619
AASDH	0.110608	14584	1.190892	9308
AASDHPPT	0.570556	4898	1.736715	4121
AASS	0.530638	5455	1.583765	5536
AATF	0.388894	8331	1.857755	3213
AATK	0.609594	4395	0.609594	12876
ABAT	0.665581	3822	0.715720	12451
ABCA1	0.768836	2959	2.162236	1654
ABCA10	1.213783	1069	1.213783	9085
ABCA12	0.280348	11269	0.280348	14169
ABCA13	0.235528	12561	0.235528	14510
ABCA2	0.436573	7226	1.158664	9598
ABCA3	0.404626	7970	1.132580	9804
ABCA4	0.000000	17227	0.000000	17236
ABCA5	0.437345	7203	1.370328	7647
ABCA6	1.198932	1112	1.658107	4815
ABCA7	0.178017	13748	0.972629	11012
ABCA8	1.393400	745	2.251249	1340
ABCA9	1.305366	897	1.607241	5355
ABCB1	0.498889	5977	1.096562	10096
ABCB10	0.227265	12758	1.087426	10205
ABCB11	0.000000	17226	0.000000	17235
ABCB4	0.737498	3214	0.886491	11560
ABCB5	0.089905	15183	0.089905	15410
ABCB6	0.470038	6540	0.848731	11761
ABCB7	0.284970	11108	1.534407	6026
ABCB8	0.241174	12188	1.388272	7458
ABCB9	0.393061	8215	0.862115	11694
ABCC1	0.334651	9722	1.591621	5478
ABCC10	0.409095	7875	0.836260	11810
ABCC11	0.000000	17225	0.000000	17234
ABCC12	0.107210	14852	0.107210	15180
ABCC2	0.089905	15182	0.089905	15409
ABCC3	0.719535	3366	1.531864	6037
ABCC4	0.855845	2385	1.558469	5796
ABCC5	0.347059	9407	1.335859	7981
ABCC6	-	19006	-	19006
ABCC8	0.332438	9821	0.332438	13914
ABCC9	1.195529	1127	1.558469	5795
ABCD1	0.398380	8090	1.351603	7854
ABCD2	0.892848	2180	1.054230	10422
