gene	enrichment	rank(enr)	max	rank(max)
A1BG	3.183790	85	3.183790	241
A1CF	2.101919	440	2.101919	2300
A2M	2.206353	373	3.256655	213
A2ML1	1.440274	1240	1.440274	7625
A3GALT2	-	19008	-	19008
A4GALT	0.563975	6587	1.228400	9743
A4GNT	0.060698	15877	0.060698	15960
AAAS	0.442890	8704	1.820039	3989
AACS	0.712914	4778	1.763578	4449
AADAC	1.956168	533	1.956168	3070
AADACL2	0.334228	11309	0.334228	14810
AADACL3	0.000000	17229	0.000000	17239
AADACL4	-	19007	-	19007
AADAT	1.013472	2640	1.226084	9798
AAED1	0.243595	13361	1.360398	8494
AAGAB	0.193470	14261	1.742171	4635
AAK1	0.332551	11342	1.227887	9783
AAMDC	0.357779	10762	1.541575	6622
AAMP	0.238253	13463	2.001647	2832
AANAT	0.000000	17228	0.000000	17238
AAR2	0.431217	8961	1.552452	6485
AARD	0.466745	8246	0.481198	14206
AARS	0.341782	11137	1.953859	3080
AARS2	0.266172	12959	1.476989	7257
AARSD1	0.248554	13289	1.572296	6291
AASDH	0.136937	15240	1.217221	9872
AASDHPPT	0.383872	9923	1.641818	5589
AASS	0.857829	3554	1.850956	3770
AATF	0.214360	13920	1.683220	5208
AATK	0.416876	9250	0.434569	14368
ABAT	1.966422	529	2.695586	655
ABCA1	1.417970	1292	2.290881	1567
ABCA10	0.919601	3161	0.919601	12140
ABCA12	1.140384	2112	1.140384	10542
ABCA13	0.951823	2949	0.951823	11940
ABCA2	0.361883	10655	1.140778	10538
ABCA3	0.620680	5831	1.348634	8583
ABCA4	0.190106	14423	0.190106	15383
ABCA5	1.222196	1835	1.787704	4246
ABCA6	1.258738	1716	1.717912	4879
ABCA7	0.730053	4638	1.565612	6370
ABCA8	0.731487	4623	1.672283	5318
ABCA9	0.594652	6164	0.896526	12274
ABCB1	1.320513	1535	1.918186	3295
ABCB10	1.141486	2105	2.001647	2831
ABCB11	1.753506	707	1.753506	4538
ABCB4	2.095754	443	2.244747	1713
ABCB5	0.000000	17227	0.000000	17237
ABCB6	1.217134	1857	1.595827	6067
ABCB7	0.316174	11747	1.565612	6369
ABCB8	0.448495	8603	1.502154	7016
ABCB9	0.416279	9274	0.879669	12383
ABCC1	0.410576	9384	1.667546	5353
ABCC10	0.394065	9709	0.947601	11959
ABCC11	0.000000	17226	0.000000	17236
ABCC12	0.000000	17225	0.000000	17235
ABCC2	1.933487	555	1.933487	3201
ABCC3	1.402242	1331	2.214571	1825
ABCC4	0.849526	3609	1.127680	10634
ABCC5	0.367356	10535	1.126781	10662
ABCC6	-	19006	-	19006
