gene	enrichment	rank(enr)	max	rank(max)
A1BG	3.183790	62	3.183790	225
A1CF	2.101919	441	2.101919	2439
A2M	2.206353	369	3.256655	192
A2ML1	0.673942	6686	0.673942	14235
A3GALT2	-	19008	-	19008
A4GALT	0.316966	13484	1.012415	12584
A4GNT	0.060698	16310	0.060698	16329
AAAS	0.681334	6589	1.820039	4598
AACS	0.521760	9152	1.572424	7263
AADAC	1.956168	574	1.956168	3399
AADACL2	0.117271	15906	0.117271	15996
AADACL3	0.025306	16572	0.025306	16578
AADACL4	-	19007	-	19007
AADAT	1.013472	3475	1.226084	10981
AAED1	0.219554	15011	1.437909	8816
AAGAB	0.314875	13531	1.863576	4192
AAK1	1.032145	3362	1.927481	3606
AAMDC	0.357779	12635	1.541575	7607
AAMP	0.250092	14628	2.001647	3079
AANAT	2.596552	185	2.596552	770
AAR2	0.431217	10941	1.552452	7475
AARD	0.192373	15340	0.206826	15693
AARS	0.400255	11593	1.953859	3411
AARS2	0.266172	14403	1.476989	8362
AARSD1	0.335380	13121	1.572296	7266
AASDH	0.536959	8893	1.617243	6754
AASDHPPT	0.267582	14387	1.784183	4920
AASS	0.857829	4656	1.850956	4318
AATF	0.311385	13595	1.780245	4959
AATK	1.320543	1988	1.338236	9911
ABAT	1.966422	568	2.695586	615
ABCA1	1.417970	1658	2.290881	1587
ABCA10	0.791715	5313	0.791715	13767
ABCA12	0.283755	14129	0.283755	15492
ABCA13	0.951823	3882	0.951823	12969
ABCA2	0.912187	4198	1.691081	5908
ABCA3	1.183555	2568	1.717421	5617
ABCA4	0.344392	12930	0.344392	15334
ABCA5	1.222196	2385	2.097047	2469
ABCA6	1.258738	2244	1.717912	5608
ABCA7	1.545931	1290	2.189133	1997
ABCA8	0.731487	5977	1.672283	6120
ABCA9	0.653332	6955	0.955207	12916
ABCB1	1.320513	1989	1.918186	3698
ABCB10	1.141486	2749	2.001647	3078
ABCB11	1.753506	858	1.753506	5234
ABCB4	2.095754	445	2.244747	1772
ABCB5	0.042368	16397	0.042368	16408
ABCB6	1.217134	2411	1.595827	6988
ABCB7	0.316174	13507	1.565612	7358
ABCB8	0.448495	10604	1.502154	8057
ABCB9	0.382171	11967	0.721234	14037
ABCC1	0.463893	10270	1.684486	5974
ABCC10	0.394065	11722	1.024844	12505
ABCC11	0.054784	16319	0.054784	16337
