gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.196520	7658	1.187521	6975
A1CF	0.000000	16050	0.000000	17239
A2M	0.711192	1580	1.701482	2292
A2ML1	0.673942	1733	0.673942	10801
A3GALT2	-	19008	-	19008
A4GALT	-0.161423	16940	0.534026	11542
A4GNT	0.000000	16049	0.000000	17238
AAAS	0.285094	5941	1.679064	2471
AACS	0.164830	8425	1.076640	7977
AADAC	0.025306	13618	0.025306	15762
AADACL2	0.117271	9687	0.117271	14089
AADACL3	0.025306	13617	0.025306	15761
AADACL4	-	19007	-	19007
AADAT	0.000000	16048	0.492760	11775
AAED1	-0.046684	16474	0.890421	9409
AAGAB	0.125701	9360	1.674402	2505
AAK1	0.506214	2892	1.235528	6482
AAMDC	0.177249	8110	0.957607	8941
AAMP	0.121317	9454	1.624076	2891
AANAT	0.000000	16047	0.000000	17237
AAR2	0.106326	9875	1.217484	6654
AARD	0.000000	16046	0.000000	17236
AARS	-0.262758	17103	1.270213	6146
AARS2	0.041064	12232	1.251881	6328
AARSD1	0.090083	10397	1.158664	7263
AASDH	0.251750	6542	1.332034	5549
AASDHPPT	0.116010	9705	1.517328	3777
AASS	0.112595	9776	0.850033	9678
AATF	0.311385	5477	1.780245	1812
AATK	0.031525	12422	0.049218	15049
ABAT	0.263509	6330	0.910624	9280
ABCA1	0.528287	2690	1.921686	1167
ABCA10	0.361728	4663	0.361728	12487
ABCA12	0.117271	9686	0.117271	14088
ABCA13	0.879669	1015	0.879669	9487
ABCA2	0.161368	8520	0.722634	10501
ABCA3	0.604734	2118	1.327972	5581
ABCA4	0.025306	13616	0.025306	15760
ABCA5	0.271192	6212	1.303628	5839
ABCA6	0.307238	5553	0.766413	10222
ABCA7	1.019233	741	1.854792	1446
ABCA8	0.096910	10273	0.876218	9508
ABCA9	0.536974	2611	0.838849	9753
ABCB1	0.216575	7243	0.814248	9907
ABCB10	0.125588	9362	0.893762	9391
ABCB11	0.000000	16045	0.000000	17235
ABCB4	0.122849	9417	0.271842	12969
ABCB5	0.000000	16044	0.000000	17234
ABCB6	0.000000	16043	0.338456	12603
ABCB7	0.257879	6416	1.507316	3888
ABCB8	0.195594	7676	1.087781	7891
ABCB9	0.382171	4344	0.492760	11774
ABCC1	0.427516	3758	1.684486	2419
ABCC10	0.221279	7144	0.854306	9651
ABCC11	0.025306	13615	0.025306	15759
ABCC12	0.000000	16042	0.000000	17233
ABCC2	0.000000	16041	0.000000	17232
ABCC3	0.053078	11658	0.534026	11541
ABCC4	0.159817	8551	0.784617	10103
ABCC5	0.462218	3352	1.451018	4423
ABCC6	-	19006	-	19006
ABCC8	0.155336	8710	0.155336	13742
ABCC9	0.269518	6232	0.632457	11053
ABCD1	0.212910	7306	1.166134	7186
ABCD2	0.400911	4080	0.562293	11398
ABCD3	0.777075	1320	1.620760	2926
ABCD4	0.513809	2806	1.492900	4023
ABCE1	0.141990	8979	1.661055	2601
ABCF1	0.029677	12454	1.879612	1326
ABCF2	0.115714	9717	1.333246	5543
ABCF3	-0.136321	16868	1.338456	5496
ABCG1	0.502060	2935	1.634981	2805
ABCG2	0.068115	11153	0.176091	13596
ABCG4	0.234776	6855	0.250420	13073
ABCG5	0.000000	16040	0.000000	17231
ABCG8	0.025306	13614	0.025306	15758
ABHD1	0.000000	16039	0.025306	15757
ABHD10	0.184168	7949	1.454845	4399
ABHD11	0.177218	8111	1.076640	7976
ABHD12	0.075547	11009	1.396199	4938
ABHD12B	0.075547	11008	0.075547	14635
ABHD13	0.365659	4587	1.392873	4964
ABHD14A	0.036486	12316	0.993436	8669
ABHD14B	0.052035	11677	1.809492	1679
ABHD15	0.000000	16038	0.225309	13243
ABHD16A	0.092215	10359	1.382917	5074
ABHD16B	-	19005	-	19005
ABHD17A	0.271842	6198	0.939020	9069
ABHD17B	0.946156	858	1.782616	1803
ABHD17C	-0.104879	16772	0.936514	9088
ABHD18	0.639510	1926	1.318063	5672
ABHD2	0.073376	11054	1.576917	3309
ABHD3	0.649521	1876	1.599883	3096
ABHD4	-0.025676	16305	1.171434	7136
ABHD5	0.213223	7296	1.410102	4816
ABHD6	0.078876	10612	0.662758	10878
ABHD8	0.098448	10097	1.008174	8553
ABI1	0.507353	2882	1.787248	1782
ABI2	0.253111	6524	1.704665	2268
ABI3	0.809141	1206	1.314289	5724
ABI3BP	0.069565	11122	1.026125	8418
ABL1	0.177458	8106	0.761928	10254
ABL2	0.417536	3861	1.113275	7659
ABLIM1	1.203322	494	1.905904	1222
ABLIM2	0.554762	2481	0.822822	9860
ABLIM3	0.084584	10500	0.696356	10681
ABO	0.280694	6018	0.406540	12250
ABR	0.201241	7552	1.250908	6338
ABRA	0.075547	11007	0.075547	14634
ABRACL	0.613603	2059	1.722634	2140
ABT1	0.133750	9202	1.330617	5563
ABTB1	0.494380	2997	1.682235	2440
ABTB2	0.679616	1701	1.440437	4526
ACAA1	0.307543	5534	1.387390	5028
ACAA2	0.188145	7871	1.215902	6669
ACACA	-0.009788	16158	1.133539	7490
ACACB	0.578639	2293	0.793092	10055
ACAD10	0.265936	6284	1.255514	6294
ACAD11	0.525075	2715	0.861534	9624
ACAD8	0.226774	7011	1.435526	4582
ACAD9	0.217484	7228	1.419295	4728
ACADL	0.375189	4442	0.396199	12300
ACADM	0.160057	8541	1.534153	3641
ACADS	0.025306	13613	0.868644	9553
ACADSB	0.215287	7262	1.224533	6593
ACADVL	0.345619	4913	1.878981	1330
ACAN	0.049218	12066	0.096910	14315
ACAP1	1.788047	118	1.900149	1249
ACAP2	1.244936	458	1.552668	3494
ACAP3	0.151574	8776	0.850033	9677
ACAT1	0.000000	16037	1.089905	7871
ACAT2	0.111668	9791	1.427648	4648
ACBD3	-0.094349	16725	1.759592	1929
ACBD4	0.174309	8241	0.696356	10680
ACBD5	0.152962	8758	0.829304	9814
ACBD6	0.094852	10312	1.131619	7507
ACBD7	1.054051	679	1.291369	5947
ACCS	0.234063	6861	0.698970	10653
ACCSL	-	19004	-	19004
ACD	0.314143	5415	1.230960	6527
ACE	0.025306	13612	0.326336	12667
ACE2	0.000000	16036	0.000000	17230
ACER1	0.000000	16035	0.000000	17229
ACER2	0.650074	1874	0.966611	8866
ACER3	-0.011724	16177	1.106871	7718
ACHE	0.662421	1804	1.054230	8181
ACIN1	0.301745	5639	2.145321	597
ACKR1	1.145196	552	1.145196	7391
ACKR2	0.251649	6543	0.484300	11834
ACKR3	0.063803	11242	1.407901	4838
ACKR4	0.153044	8754	0.257679	13049
ACLY	0.135957	9161	1.478999	4155
ACMSD	0.000000	16034	0.000000	17228
ACO1	-0.189287	17004	1.334655	5530
ACO2	0.025306	13611	1.667173	2549
ACOD1	0.025306	13610	0.025306	15756
ACOT1	0.025306	13609	0.025306	15755
ACOT11	0.036743	12314	0.155336	13741
ACOT12	0.000000	16033	0.000000	17227
ACOT13	0.279834	6033	1.399501	4908
ACOT2	0.000000	16032	0.902003	9327
ACOT4	0.016148	13743	0.155336	13740
ACOT6	-	19003	-	19003
