gene	enrichment	rank(enr)	max	rank(max)
A1BG	1.079855	1830	1.851746	3840
A1CF	0.000000	17239	0.000000	17239
A2M	1.427194	886	2.475104	1054
A2ML1	0.000000	17238	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.641141	5154	1.305566	8846
A4GNT	0.000000	17237	0.000000	17237
AAAS	0.547094	6563	1.941064	3227
AACS	0.572172	6161	1.622835	5770
AADAC	0.921208	2631	0.921208	11688
AADACL2	0.000000	17236	0.000000	17236
AADACL3	0.000000	17235	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.360874	10888	0.930487	11651
AAED1	0.507684	7466	1.623973	5763
AAGAB	0.205522	14436	1.754223	4615
AAK1	0.492563	7783	1.251638	9334
AAMDC	0.650498	5015	1.717254	4924
AAMP	0.622176	5432	2.094716	2350
AANAT	0.217484	14283	0.217484	15045
AAR2	0.348711	11174	1.459392	7327
AARD	1.232784	1289	1.247237	9372
AARS	0.408196	9796	2.020273	2745
AARS2	0.328886	11873	1.539703	6512
AARSD1	1.594142	653	1.647383	5539
AASDH	0.149142	15031	1.229426	9538
AASDHPPT	0.438577	9034	1.742424	4711
AASS	0.553477	6472	1.448196	7418
AATF	0.249060	13689	1.717920	4914
AATK	0.994300	2221	1.011993	11159
ABAT	0.334454	11746	1.008499	11180
ABCA1	0.586058	5948	1.979457	2989
ABCA10	0.955688	2439	0.955688	11544
ABCA12	0.052667	15640	0.052667	15649
ABCA13	0.255273	13586	0.255273	14869
ABCA2	0.436573	9079	1.087781	10646
ABCA3	0.894482	2810	1.264818	9253
ABCA4	0.255273	13585	0.255273	14868
ABCA5	1.277811	1160	2.310247	1498
ABCA6	1.068962	1876	1.528136	6617
ABCA7	0.301013	12498	0.959995	11486
ABCA8	0.899435	2774	1.840232	3934
ABCA9	1.124311	1668	1.426186	7627
ABCB1	0.416641	9624	0.981366	11355
ABCB10	0.390227	10235	1.165541	10070
ABCB11	0.000000	17234	0.000000	17234
ABCB4	0.671865	4743	0.820858	12352
ABCB5	0.305965	12398	0.305965	14560
ABCB6	0.469986	8302	0.900913	11862
ABCB7	0.422383	9393	1.671821	5342
ABCB8	0.402875	9941	1.574841	6198
ABCB9	0.437697	9051	0.906751	11795
ABCC1	0.568001	6243	1.824971	4039
ABCC10	0.409095	9775	0.955688	11543
ABCC11	0.000000	17233	0.000000	17233
ABCC12	0.334454	11745	0.334454	14492
ABCC2	0.176076	14768	0.176076	15123
ABCC3	0.921708	2630	1.734036	4781
ABCC4	1.045754	1980	1.528304	6616
