gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.917621	5040	1.908622	4913
A1CF	0.161368	14400	0.161368	15088
A2M	1.578519	1651	2.628821	1123
A2ML1	0.694057	7410	0.694057	13152
A3GALT2	-	19008	-	19008
A4GALT	0.355703	12206	1.051153	11613
A4GNT	0.000000	17183	0.000000	17239
AAAS	0.408994	11427	1.679064	6987
AACS	0.255713	13406	1.177536	10947
AADAC	0.232996	13657	0.232996	14714
AADACL2	0.896964	5220	0.896964	12385
AADACL3	0.025306	16336	0.025306	16460
AADACL4	-	19007	-	19007
AADAT	0.181666	14152	0.751279	12995
AAED1	0.837794	5761	2.056150	3763
AAGAB	0.226764	13705	1.775465	6092
AAK1	0.629901	8288	1.307328	10084
AAMDC	0.332701	12505	1.277072	10281
AAMP	0.229903	13685	2.034669	3934
AANAT	0.040191	15863	0.040191	16061
AAR2	0.332629	12506	1.412728	9320
AARD	0.793082	6206	0.807535	12719
AARS	0.104391	15003	1.716468	6623
AARS2	0.546655	9411	1.757472	6258
AARSD1	0.983147	4527	1.537441	8262
AASDH	0.251750	13447	1.332034	9918
AASDHPPT	0.544499	9444	1.764550	6192
AASS	0.579058	8926	1.380030	9609
AATF	0.474980	10556	1.943841	4604
AATK	0.419899	11280	0.437592	13996
ABAT	0.810521	6029	1.305566	10095
ABCA1	1.660715	1425	2.727002	900
ABCA10	0.361728	12082	0.361728	14221
ABCA12	1.835819	1012	1.835819	5527
ABCA13	0.980912	4541	0.980912	11984
ABCA2	0.973348	4600	1.304491	10154
ABCA3	0.604734	8598	1.327972	9976
ABCA4	0.041284	15840	0.041284	16040
ABCA5	0.482339	10455	1.514775	8468
ABCA6	0.973649	4597	0.973649	12021
ABCA7	1.019233	4249	1.854792	5368
ABCA8	0.633929	8226	1.574726	7943
ABCA9	0.536974	9552	0.838849	12617
ABCB1	0.758619	6638	1.356292	9765
ABCB10	0.584352	8860	1.444513	9045
ABCB11	0.025306	16335	0.025306	16459
ABCB4	0.781447	6344	0.930440	12226
ABCB5	0.443669	10979	0.443669	13972
ABCB6	0.496947	10217	0.875640	12452
ABCB7	0.302500	12875	1.551938	8126
ABCB8	0.665014	7826	1.566193	8015
ABCB9	0.382171	11808	0.611244	13415
ABCC1	0.656883	7933	1.913853	4863
ABCC10	0.461561	10747	1.096910	11406
ABCC11	0.025306	16334	0.025306	16458
ABCC12	0.000000	17182	0.000000	17238
ABCC2	0.378333	11871	0.378333	14173
ABCC3	1.370024	2357	2.182352	2933
ABCC4	1.369468	2360	1.976759	4344
ABCC5	0.869883	5437	1.858683	5352
ABCC6	-	19006	-	19006
ABCC8	0.155336	14460	0.155336	15118
ABCC9	0.269518	13236	0.632457	13355
ABCD1	0.960387	4699	1.913611	4865
ABCD2	1.036880	4122	1.198262	10798
ABCD3	0.777075	6399	1.620760	7520
ABCD4	0.745279	6794	1.492900	8630
ABCE1	0.772304	6449	2.291369	2337
ABCF1	0.414216	11361	2.264151	2484
ABCF2	0.361984	12074	1.421523	9259
ABCF3	0.260950	13334	1.735727	6445
ABCG1	0.923022	4995	1.995739	4219
ABCG2	0.957230	4720	1.072179	11516
ABCG4	0.234776	13636	0.250420	14640
ABCG5	0.037426	15938	0.037426	16115
ABCG8	0.025306	16333	0.025306	16457
ABHD1	0.163322	14368	0.222493	14743
ABHD10	0.245758	13512	1.516435	8460
ABHD11	0.578503	8939	1.548464	8169
ABHD12	1.271608	2797	2.488810	1514
ABHD12B	0.357935	12178	0.357935	14304
ABHD13	0.592886	8758	1.620100	7536
ABHD14A	0.383102	11796	1.373096	9649
ABHD14B	0.177748	14187	1.935205	4683
ABHD15	0.993511	4433	1.334075	9910
