gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.917621	5649	1.908622	5380
A1CF	0.542825	10559	0.542825	14352
A2M	1.578519	1825	2.628821	1226
A2ML1	2.254669	488	2.254669	2802
A3GALT2	-	19008	-	19008
A4GALT	0.537258	10650	1.201684	11433
A4GNT	0.000000	17239	0.000000	17239
AAAS	0.463685	11859	1.857655	5840
AACS	0.409212	12694	1.459875	9529
AADAC	0.517196	10968	0.517196	14430
AADACL2	0.896964	5853	0.896964	13082
AADACL3	0.025306	16579	0.025306	16583
AADACL4	-	19007	-	19007
AADAT	0.181666	15326	0.751279	13696
AAED1	0.837794	6459	2.056150	4163
AAGAB	0.226764	14956	1.775465	6624
AAK1	0.506214	11145	1.235528	11246
AAMDC	0.327546	13847	1.385991	10132
AAMP	0.276612	14457	2.081378	3992
AANAT	0.040191	16309	0.040191	16317
AAR2	0.401901	12800	1.523136	8977
AARD	0.793082	6978	0.807535	13444
AARS	0.356888	13509	1.968965	4843
AARS2	0.546655	10491	1.757472	6782
AARSD1	0.736089	7704	1.589104	8381
AASDH	0.251750	14757	1.332034	10559
AASDHPPT	0.544499	10525	1.764550	6722
AASS	0.579058	9986	1.380030	10208
AATF	0.474980	11662	1.943841	5055
AATK	0.419899	12534	0.437592	14667
ABAT	0.810521	6766	1.305566	10748
ABCA1	1.660715	1543	2.727002	979
ABCA10	0.575188	10055	0.575188	14262
ABCA12	1.835819	1115	1.835819	6027
ABCA13	0.986324	5057	0.986324	12673
ABCA2	0.973348	5162	1.304491	10780
ABCA3	0.873073	6083	1.601027	8251
ABCA4	0.806178	6824	0.806178	13451
ABCA5	0.482339	11555	1.514775	9066
ABCA6	0.973649	5159	0.973649	12735
ABCA7	1.019233	4765	1.854792	5856
ABCA8	0.633929	9176	1.574726	8507
ABCA9	0.580650	9960	0.882525	13135
ABCB1	0.653965	8901	1.251638	11124
ABCB10	0.584352	9912	1.444513	9645
ABCB11	0.025306	16578	0.025306	16582
ABCB4	0.844003	6402	0.992995	12644
ABCB5	0.443669	12153	0.443669	14644
ABCB6	0.496947	11307	0.875640	13157
ABCB7	0.302500	14178	1.551938	8705
ABCB8	0.665014	8705	1.566193	8563
ABCB9	0.382171	13091	0.803012	13458
ABCC1	0.656883	8842	1.913853	5325
ABCC10	0.461561	11891	1.096910	12087
ABCC11	0.025306	16577	0.025306	16581
ABCC12	0.140517	15626	0.140517	15711
ABCC2	0.378333	13150	0.378333	14852
ABCC3	1.370024	2588	2.182352	3261
ABCC4	1.369468	2592	1.976759	4788
ABCC5	0.869883	6108	1.858683	5831
ABCC6	-	19006	-	19006
ABCC8	0.176091	15404	0.176091	15596
ABCC9	0.348024	13598	0.710963	13824
ABCD1	0.960387	5268	1.913611	5327
ABCD2	0.888611	5937	1.049993	12337
ABCD3	0.777075	7182	1.620760	8079
ABCD4	0.745279	7596	1.492900	9230
ABCE1	0.772304	7245	2.291369	2583
ABCF1	0.414216	12617	2.264151	2748
ABCF2	0.381679	13108	1.808921	6293
ABCF3	0.260950	14644	1.735727	6980
ABCG1	0.923022	5597	1.995739	4645
ABCG2	0.957230	5291	1.072179	12209
ABCG4	0.234776	14897	0.250420	15297
ABCG5	0.037426	16328	0.037426	16335
ABCG8	0.025306	16576	0.025306	16580
ABHD1	0.337028	13739	0.396199	14791
ABHD10	0.286479	14351	1.516435	9054
ABHD11	0.578503	10001	1.548464	8753
ABHD12	1.271608	3091	2.488810	1669
ABHD12B	0.357935	13496	0.357935	14966
ABHD13	0.592886	9794	1.620100	8082
ABHD14A	0.398530	12848	1.373096	10261
ABHD14B	0.603815	9625	2.361272	2204
ABHD15	0.993511	4981	1.334075	10549
ABHD16A	1.076001	4304	1.696856	7311
ABHD16B	-	19005	-	19005
ABHD17A	0.452172	12041	1.126245	11899
ABHD17B	0.946156	5398	1.782616	6540
ABHD17C	0.705538	8108	1.737590	6967
ABHD18	0.783212	7106	1.635081	7943
ABHD2	1.007567	4861	2.202778	3114
ABHD3	0.825237	6608	1.775600	6616
ABHD4	0.752628	7497	2.093117	3886
ABHD5	1.032417	4645	2.229296	2952
ABHD6	1.231904	3310	1.479364	9347
ABHD8	0.508640	11096	1.159103	11699
ABI1	0.848298	6347	2.082420	3984
ABI2	0.574935	10061	2.008259	4544
