gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.384489	6130	0.750508	11558
A1CF	0.000000	16536	0.000000	17239
A2M	0.618409	3379	1.668711	3187
A2ML1	1.077368	1361	1.077368	8985
A3GALT2	-	19008	-	19008
A4GALT	-0.267315	17160	0.428135	13232
A4GNT	0.000000	16535	0.000000	17238
AAAS	0.185443	10208	1.092370	8826
AACS	0.367830	6377	1.230449	7420
AADAC	0.000000	16534	0.000000	17237
AADACL2	0.000000	16533	0.000000	17236
AADACL3	0.000000	16532	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.428135	5524	0.750508	11557
AAED1	-0.081516	16916	0.974051	9917
AAGAB	0.010441	14187	1.559142	4120
AAK1	0.689980	2845	1.540079	4315
AAMDC	0.095919	12648	0.891524	10518
AAMP	0.152288	11503	1.901190	1696
AANAT	0.152288	11502	0.152288	14752
AAR2	0.126982	12003	1.061452	9148
AARD	0.250365	8885	0.264818	14022
AARS	0.378589	6212	1.925661	1579
AARS2	0.329262	7163	1.540079	4314
AARSD1	0.152288	11501	1.489818	4822
AASDH	0.271623	8218	1.351908	6100
AASDHPPT	0.802746	2294	1.941014	1506
AASS	0.386473	6099	1.261501	7079
AATF	-0.167541	17083	1.301319	6623
AATK	1.659471	424	1.659471	3243
ABAT	1.690107	401	1.773157	2435
ABCA1	0.100022	12568	1.412293	5576
ABCA10	0.049740	13487	0.049740	15070
ABCA12	0.075103	13041	0.075103	14958
ABCA13	0.262071	8649	0.262071	14024
ABCA2	1.226235	1031	1.718718	2805
ABCA3	1.150050	1186	1.878004	1817
ABCA4	0.272742	8194	0.272742	13735
ABCA5	0.526780	4199	1.490700	4782
ABCA6	0.163899	10633	0.454449	13017
ABCA7	0.235052	9210	1.070611	9015
ABCA8	0.750508	2554	1.471012	5010
ABCA9	0.212773	9647	0.461172	13000
ABCB1	0.909102	1876	1.506776	4622
ABCB10	0.042101	13569	0.544852	12715
ABCB11	0.000000	16531	0.000000	17234
ABCB4	0.152288	11500	0.152288	14751
ABCB5	0.000000	16530	0.000000	17233
ABCB6	0.646441	3150	1.077368	8984
ABCB7	0.018968	14119	1.056715	9161
ABCB8	0.371092	6322	1.330163	6337
ABCB9	0.818268	2222	1.241048	7311
ABCC1	0.085462	12812	1.092370	8825
ABCC10	0.540898	4080	1.208441	7651
ABCC11	0.000000	16529	0.000000	17232
ABCC12	0.526569	4201	0.526569	12748
ABCC2	0.000000	16528	0.000000	17231
ABCC3	0.000000	16527	0.018968	15315
ABCC4	0.231896	9281	0.863917	10818
ABCC5	0.614885	3408	1.603686	3733
ABCC6	-	19006	-	19006
ABCC8	1.299725	898	1.299725	6675
ABCC9	0.536347	4115	0.690159	11832
ABCD1	0.264818	8597	0.838219	11013
ABCD2	1.182572	1117	1.343954	6197
ABCD3	0.221851	9476	1.257188	7099
ABCD4	0.256801	8758	1.343409	6230
ABCE1	0.031408	13759	1.550473	4203
ABCF1	0.111666	12326	1.961601	1415
ABCF2	0.112667	12308	1.485737	4844
ABCF3	0.178315	10365	1.653092	3307
ABCG1	0.229158	9337	1.283808	6796
ABCG2	0.707251	2763	0.707251	11781
ABCG4	0.795260	2319	0.810904	11203
ABCG5	0.000000	16526	0.000000	17230
ABCG8	0.000000	16525	0.000000	17229
ABHD1	0.294937	7787	0.354108	13587
ABHD10	0.376865	6235	1.647542	3348
ABHD11	0.223534	9439	1.147676	8293
ABHD12	0.336815	7026	1.855701	1931
ABHD12B	0.261259	8665	0.261259	14027
ABHD13	0.173117	10461	1.215297	7548
ABHD14A	0.541136	4077	1.460301	5092
ABHD14B	-0.503008	17229	1.254449	7120
ABHD15	0.087571	12779	0.428135	13231
ABHD16A	0.088095	12772	1.359646	6067
ABHD16B	-	19005	-	19005
ABHD17A	0.313904	7466	1.240504	7316
ABHD17B	0.368591	6362	1.295706	6693
ABHD17C	0.840520	2131	1.251395	7191
ABHD18	0.398913	5933	0.772342	11402
ABHD2	0.338670	6998	2.038183	1134
ABHD3	0.376178	6245	1.326541	6411
ABHD4	0.055486	13401	1.284280	6794
