gene	enrichment	rank(enr)	max	rank(max)
A1BG	3.183790	56	3.183790	200
A1CF	2.101919	296	2.101919	1934
A2M	2.206353	251	3.256655	174
A2ML1	0.000000	17154	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.455160	6972	1.119586	9898
A4GNT	1.225309	1395	1.225309	9000
AAAS	0.426069	7527	1.820039	3440
AACS	0.521760	5985	1.572424	5535
AADAC	1.956168	379	1.956168	2590
AADACL2	0.000000	17153	0.000000	17238
AADACL3	0.000000	17152	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	1.013472	2045	1.226084	8968
AAED1	0.142043	13900	1.360398	7613
AAGAB	0.023754	15535	1.572455	5534
AAK1	0.332551	9688	1.227887	8950
AAMDC	0.357779	9131	1.541575	5837
AAMP	0.238253	11859	2.001647	2380
AANAT	0.000000	17151	0.000000	17236
AAR2	0.431217	7434	1.552452	5716
AARD	0.115583	14295	0.130036	15119
AARS	0.341782	9501	1.953859	2597
AARS2	0.266172	11293	1.476989	6440
AARSD1	0.349562	9314	1.572296	5537
AASDH	0.082785	14941	1.123667	9863
AASDHPPT	0.212778	12427	1.567943	5578
AASS	0.857829	2784	1.850956	3235
AATF	0.074463	15051	1.543323	5829
AATK	0.495544	6367	0.495544	13690
ABAT	1.966422	375	2.695586	546
ABCA1	1.417970	981	2.290881	1315
ABCA10	0.816241	3035	0.816241	12056
ABCA12	0.000000	17150	0.000000	17235
ABCA13	0.951823	2297	0.951823	11243
ABCA2	0.451810	7035	1.230704	8882
ABCA3	0.620680	4692	1.348634	7705
ABCA4	0.190106	12952	0.190106	14888
ABCA5	1.222196	1406	1.787704	3669
ABCA6	1.258738	1311	1.717912	4237
ABCA7	0.730053	3660	1.565612	5629
ABCA8	0.731487	3646	1.672283	4637
ABCA9	0.567357	5283	0.869232	11814
ABCB1	1.320513	1169	1.918186	2790
ABCB10	1.141486	1623	2.001647	2379
ABCB11	1.753506	532	1.753506	3927
ABCB4	2.095754	301	2.244747	1447
ABCB5	0.214844	12394	0.214844	14770
ABCB6	1.217134	1420	1.595827	5319
ABCB7	0.316174	10042	1.565612	5628
ABCB8	0.448495	7097	1.502154	6189
ABCB9	0.256766	11462	0.721234	12614
ABCC1	0.336044	9618	1.593014	5344
ABCC10	0.394065	8171	0.947601	11289
ABCC11	0.000000	17149	0.000000	17234
ABCC12	0.000000	17148	0.000000	17233
ABCC2	1.933487	398	1.933487	2700
ABCC3	1.402242	1008	2.214571	1530
ABCC4	0.849526	2842	1.262214	8595
ABCC5	0.367356	8916	1.064458	10388
ABCC6	-	19006	-	19006
ABCC8	0.214844	12393	0.214844	14769
ABCC9	0.854874	2806	1.154820	9584
ABCD1	0.562293	5423	1.296117	8249
ABCD2	0.334162	9665	0.495544	13689
ABCD3	0.815718	3039	1.617525	5130
ABCD4	0.531209	5839	1.377306	7439
ABCE1	0.179471	13149	1.698535	4419
ABCF1	0.123470	14157	1.973405	2507
ABCF2	0.341506	9513	1.768748	3822
ABCF3	0.147333	13822	1.622110	5091
ABCG1	0.213432	12414	1.346353	7751
ABCG2	0.594393	4995	0.697229	12817
ABCG4	0.255314	11501	0.270958	14548
ABCG5	1.401056	1009	1.401056	7201
ABCG8	2.011613	348	2.011613	2323
ABHD1	0.371188	8599	0.430360	13882
ABHD10	0.168655	13320	1.439333	6827
ABHD11	0.401054	8009	1.353339	7668
ABHD12	0.576341	5192	1.713702	4277
ABHD12B	0.189791	12959	0.189791	14890
ABHD13	0.258241	11429	1.285455	8398
ABHD14A	0.454022	6998	1.356736	7643
ABHD14B	0.519073	6015	2.276531	1357
ABHD15	0.675634	4124	1.016197	10709
ABHD16A	0.396827	8092	1.687529	4512
ABHD16B	-	19005	-	19005
ABHD17A	0.253526	11537	1.180126	9414
ABHD17B	0.308141	10280	1.227473	8954
ABHD17C	0.347419	9372	1.388811	7344
ABHD18	0.467861	6770	1.319730	8036
ABHD2	1.469279	907	2.392802	1042
ABHD3	0.812916	3059	1.763278	3871
ABHD4	0.438018	7299	1.778507	3741
ABHD5	0.513662	6094	1.710540	4313
ABHD6	0.938931	2362	1.364176	7575
ABHD8	0.557440	5489	1.279439	8436
ABI1	0.061856	15270	1.543323	5828
ABI2	0.285721	10796	1.558948	5684
ABI3	0.909168	2514	1.131871	9817
ABI3BP	1.163521	1565	2.120080	1863
ABL1	0.391009	8236	1.392521	7309
ABL2	0.345843	9407	1.013910	10720
ABLIM1	1.237292	1355	1.480582	6393
