gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.297458	9484	1.171086	8832
A1CF	0.000000	16871	0.000000	17239
A2M	0.965574	2055	1.993172	1694
A2ML1	1.267641	1147	1.267641	7883
A3GALT2	-	19008	-	19008
A4GALT	-0.158480	17129	0.536969	13091
A4GNT	0.000000	16870	0.000000	17238
AAAS	0.378775	7954	1.212986	8437
AACS	0.392373	7551	1.208441	8479
AADAC	0.426511	6967	0.426511	13502
AADACL2	0.000000	16869	0.000000	17237
AADACL3	0.000000	16868	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.467415	6275	1.037028	10062
AAED1	0.036838	14631	1.031232	10103
AAGAB	0.142999	12933	1.691700	3725
AAK1	0.906829	2313	1.304059	7451
AAMDC	0.083846	13894	1.267641	7882
AAMP	0.555515	5063	1.837157	2566
AANAT	0.000000	16867	0.000000	17235
AAR2	0.331363	8872	1.212986	8436
AARD	0.489338	5928	0.503791	13303
AARS	0.364595	8238	1.913019	2134
AARS2	0.111576	13392	1.322394	7282
AARSD1	0.730782	3376	1.671913	3902
AASDH	0.493631	5871	1.573915	4766
AASDHPPT	0.945577	2133	2.089481	1286
AASS	0.438307	6758	1.500374	5483
AATF	0.045688	14418	1.514548	5335
AATK	1.816970	357	1.816970	2719
ABAT	1.751818	411	1.936715	1987
ABCA1	0.284295	9761	1.677694	3851
ABCA10	0.667453	3890	0.667453	12592
ABCA12	0.000000	16866	0.000000	17234
ABCA13	0.238046	11114	0.238046	14549
ABCA2	1.479840	748	1.932727	2013
ABCA3	1.089876	1612	1.817830	2718
ABCA4	0.092154	13704	0.092154	15003
ABCA5	0.582567	4745	1.615003	4360
ABCA6	0.292819	9596	0.559907	13024
ABCA7	0.697342	3603	1.023235	10164
ABCA8	1.231979	1225	1.660522	3994
ABCA9	0.360883	8313	0.662758	12606
ABCB1	1.275706	1120	1.873379	2344
ABCB10	0.230602	11255	0.648360	12654
ABCB11	0.043445	14591	0.043445	15410
ABCB4	0.134119	13059	0.283111	14080
ABCB5	0.000000	16865	0.000000	17233
ABCB6	0.379306	7944	0.810233	11781
ABCB7	0.332853	8838	1.582291	4676
ABCB8	0.293215	9583	1.399328	6523
ABCB9	0.790807	2933	1.036629	10077
ABCC1	0.324109	9002	0.941483	10851
ABCC10	0.211553	11655	0.879096	11357
ABCC11	0.000000	16864	0.000000	17232
ABCC12	0.536558	5292	0.536558	13101
ABCC2	0.000000	16863	0.000000	17231
ABCC3	0.000000	16862	0.238046	14548
ABCC4	0.261449	10197	0.745075	12111
ABCC5	0.853809	2570	1.842609	2540
ABCC6	-	19006	-	19006
ABCC8	1.094471	1598	1.094471	9544
ABCC9	0.751784	3202	0.879096	11356
ABCD1	0.000000	16861	0.667453	12591
ABCD2	1.437189	815	1.598572	4538
ABCD3	0.184651	12237	1.324407	7277
ABCD4	0.277922	9922	1.423757	6264
ABCE1	0.409996	7260	1.929061	2032
ABCF1	0.294199	9560	2.131266	1162
ABCF2	0.155637	12710	1.565376	4852
ABCF3	0.190334	12133	1.665112	3957
ABCG1	0.542766	5215	1.675687	3860
ABCG2	1.077368	1659	1.143327	9078
ABCG4	0.782315	3014	0.797960	11827
ABCG5	0.000000	16860	0.000000	17230
ABCG8	0.000000	16859	0.000000	17229
ABHD1	0.387986	7807	0.447158	13467
ABHD10	0.454744	6481	1.725422	3434
ABHD11	0.093121	13643	0.921686	10956
ABHD12	0.359463	8336	1.878349	2311
ABHD12B	1.176381	1365	1.176381	8752
ABHD13	0.247204	10494	1.289384	7627
ABHD14A	0.570985	4866	1.688153	3741
ABHD14B	-0.450175	17228	1.307282	7429
ABHD15	0.000000	16858	0.292256	14050
ABHD16A	0.238728	10628	1.529430	5203
ABHD16B	-	19005	-	19005
ABHD17A	0.469425	6248	1.396025	6557
ABHD17B	0.498632	5813	1.499275	5493
ABHD17C	0.775131	3069	1.153069	8967
ABHD18	0.695430	3619	1.001389	10333
ABHD2	0.539912	5245	2.010512	1620
ABHD3	0.212220	11638	1.162582	8890
ABHD4	0.339953	8684	1.621903	4335
ABHD5	0.227022	11344	1.423901	6262
ABHD6	0.734448	3323	1.426349	6211
ABHD8	0.629224	4251	1.538951	5070
ABI1	0.472600	6209	1.881784	2297
ABI2	0.889574	2395	2.262759	812
ABI3	0.522744	5440	1.027892	10121
ABI3BP	0.484878	6010	1.176091	8760
ABL1	0.253114	10365	0.952782	10799
ABL2	0.728413	3399	1.228216	8281
ABLIM1	1.106251	1557	1.667826	3934
ABLIM2	1.653446	528	1.653446	4045
ABLIM3	0.384028	7871	1.704408	3612
ABO	0.357935	8365	0.436163	13485
