gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.503791	6875	1.369813	8157
A1CF	0.542825	6254	0.542825	13762
A2M	1.470328	884	2.501374	702
A2ML1	2.254669	146	2.254669	1278
A3GALT2	-	19008	-	19008
A4GALT	0.537258	6348	1.201684	9826
A4GNT	0.000000	17203	0.000000	17239
AAAS	0.463685	7595	1.857655	3331
AACS	0.409212	8741	1.459875	7143
AADAC	0.517196	6635	0.517196	13860
AADACL2	0.117271	14947	0.117271	15503
AADACL3	0.025306	16269	0.025306	16351
AADACL4	-	19007	-	19007
AADAT	0.181666	13906	0.751279	12881
AAED1	0.280607	11740	1.498962	6713
AAGAB	0.222312	13082	1.771013	4002
AAK1	0.506214	6839	1.235528	9517
AAMDC	0.177249	13963	1.360826	8245
AAMP	0.276612	11820	2.081378	1968
AANAT	0.000000	17202	0.000000	17238
AAR2	0.401901	8894	1.523136	6443
AARD	0.452415	7837	0.466868	14084
AARS	0.356888	9951	1.968965	2543
AARS2	0.215531	13210	1.426349	7533
AARSD1	0.148993	14458	1.510525	6586
AASDH	0.251750	12431	1.332034	8558
AASDHPPT	0.155380	14378	1.537133	6318
AASS	0.247074	12550	1.265054	9238
AATF	0.311385	11023	1.780245	3929
AATK	0.324282	10739	0.324282	14599
ABAT	0.471169	7443	1.058426	10998
ABCA1	0.646649	4877	2.040048	2170
ABCA10	0.575188	5770	0.575188	13662
ABCA12	0.583199	5648	0.583199	13605
ABCA13	0.986324	2426	0.986324	11488
ABCA2	0.319554	10845	0.926342	11878
ABCA3	0.873073	3024	1.601027	5606
ABCA4	0.806178	3475	0.806178	12580
ABCA5	0.382371	9330	1.414806	7650
ABCA6	0.368008	9727	0.766413	12796
ABCA7	1.019233	2266	1.854792	3350
ABCA8	0.633929	5019	1.574726	5903
ABCA9	0.580650	5685	0.882525	12135
ABCB1	0.653965	4803	1.251638	9388
ABCB10	0.550616	6126	1.410777	7688
ABCB11	0.025306	16268	0.025306	16350
ABCB4	0.844003	3229	0.992995	11459
ABCB5	0.262451	12188	0.262451	14846
ABCB6	0.496947	6998	0.875640	12164
ABCB7	0.257879	12284	1.507316	6628
ABCB8	0.274252	11869	1.446219	7286
ABCB9	0.382171	9335	0.650308	13374
ABCC1	0.427516	8320	1.684486	4775
ABCC10	0.384097	9283	0.854306	12288
ABCC11	0.025306	16267	0.025306	16349
ABCC12	0.140517	14614	0.140517	15396
ABCC2	0.140517	14613	0.140517	15395
ABCC3	1.153292	1757	1.965621	2559
ABCC4	0.521465	6574	1.258398	9321
ABCC5	0.462218	7623	1.451018	7239
ABCC6	-	19006	-	19006
ABCC8	0.176091	14087	0.176091	15285
ABCC9	0.348024	10130	0.710963	13083
ABCD1	0.261584	12208	1.214808	9712
ABCD2	0.888611	2942	1.049993	11052
ABCD3	0.777075	3685	1.620760	5422
ABCD4	0.513809	6677	1.492900	6774
ABCE1	0.249084	12498	1.768149	4025
ABCF1	0.169407	14175	2.019342	2270
ABCF2	0.381679	9362	1.808921	3717
