gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.586288	4634	1.046495	9614
A1CF	0.000000	16588	0.000000	17239
A2M	0.655768	3881	1.706070	3298
A2ML1	0.854306	2464	0.854306	11080
A3GALT2	-	19008	-	19008
A4GALT	-0.116651	16985	0.547775	12835
A4GNT	0.000000	16587	0.000000	17238
AAAS	0.657359	3864	1.260598	7561
AACS	0.477151	5992	1.437751	5792
AADAC	0.000000	16586	0.000000	17237
AADACL2	0.000000	16585	0.000000	17236
AADACL3	0.000000	16584	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.547775	5111	1.005993	9916
AAED1	0.034320	13925	0.876493	10855
AAGAB	0.187434	11245	1.736135	3092
AAK1	1.185340	1274	2.003485	1498
AAMDC	0.185516	11277	1.017033	9882
AAMP	0.109410	12878	1.914176	1927
AANAT	0.000000	16583	0.000000	17234
AAR2	0.147719	11773	1.032216	9749
AARD	0.486607	5878	0.501059	13055
AARS	0.457693	6254	1.923814	1881
AARS2	0.280825	9494	1.491642	5234
AARSD1	0.327229	8527	1.578525	4434
AASDH	0.595031	4498	1.675315	3510
AASDHPPT	0.998482	1857	2.081779	1179
AASS	0.364500	7878	1.426567	5876
AATF	0.000066	14465	1.468927	5462
AATK	1.538146	643	1.538146	4777
ABAT	1.798305	369	1.798305	2661
ABCA1	0.098242	13068	1.491642	5233
ABCA10	0.235528	10474	0.235528	14321
ABCA12	0.035374	13916	0.035374	15198
ABCA13	0.018968	14183	0.018968	15313
ABCA2	0.903234	2237	1.647853	3784
ABCA3	1.020079	1771	1.748033	3021
ABCA4	0.018968	14182	0.018968	15312
ABCA5	0.727713	3248	1.760149	2916
ABCA6	0.292852	9288	0.752026	11724
ABCA7	0.663789	3803	0.831870	11245
ABCA8	0.962419	1992	1.903215	2001
ABCA9	0.299467	9181	0.351512	13639
ABCB1	1.157246	1355	1.754919	2965
ABCB10	0.168455	11483	0.589950	12636
ABCB11	0.000000	16582	0.000000	17233
ABCB4	0.171154	11447	0.320146	13905
ABCB5	0.000000	16581	0.000000	17232
ABCB6	0.324948	8568	0.755875	11717
ABCB7	0.161900	11582	1.411337	6056
ABCB8	0.382814	7595	1.473216	5402
ABCB9	1.053326	1648	1.157759	8635
ABCC1	0.037853	13815	1.017033	9881
ABCC10	0.456309	6270	1.123852	8947
ABCC11	0.000000	16580	0.000000	17231
ABCC12	0.728422	3244	0.728422	11772
ABCC2	0.000000	16579	0.000000	17230
ABCC3	0.000000	16578	0.448706	13328
ABCC4	0.414478	6992	0.804802	11415
ABCC5	0.842295	2520	1.831095	2424
ABCC6	-	19006	-	19006
ABCC8	1.032216	1733	1.032216	9748
ABCC9	0.605725	4378	0.759537	11605
ABCD1	0.389166	7504	0.895975	10801
ABCD2	1.385001	885	1.546384	4684
ABCD3	0.295823	9230	1.460463	5538
ABCD4	0.298194	9201	1.223383	7934
ABCE1	0.335643	8374	1.854708	2278
ABCF1	0.432406	6723	2.282340	643
ABCF2	0.349544	8162	1.574837	4453
ABCF3	0.154530	11703	1.629308	3972
ABCG1	0.363732	7891	1.496653	5190
ABCG2	0.854819	2445	0.947598	10376
ABCG4	0.792566	2814	0.808211	11407
ABCG5	0.000000	16577	0.000000	17229
ABCG8	0.000000	16576	0.000000	17228
ABHD1	0.176357	11396	0.235528	14320
ABHD10	0.470473	6094	1.741151	3063
ABHD11	0.293912	9265	1.263873	7546
ABHD12	0.133539	12611	1.650890	3769
ABHD12B	0.235528	10473	0.235528	14319
ABHD13	0.230126	10566	1.272306	7457
ABHD14A	0.698525	3479	1.535041	4820
ABHD14B	-0.340742	17183	1.416716	5992
ABHD15	0.048602	13728	0.389166	13593
ABHD16A	0.104974	12968	1.395676	6217
ABHD16B	-	19005	-	19005
ABHD17A	0.308959	9032	1.135451	8841
ABHD17B	0.560008	4909	1.352648	6642
ABHD17C	0.802293	2761	1.146748	8741
ABHD18	0.646349	3959	0.985875	10120
ABHD2	0.553087	4995	2.032216	1369
ABHD3	0.228902	10584	1.179264	8419
ABHD4	0.055118	13620	1.093958	9198
ABHD5	0.289693	9346	1.486572	5284
ABHD6	0.687038	3595	1.111934	9067
ABHD8	0.685108	3611	1.594834	4272
ABI1	0.592389	4523	1.828239	2437
ABI2	1.242022	1150	2.317834	577
ABI3	0.449181	6368	0.954329	10272
ABI3BP	0.397378	7247	1.123852	8946
ABL1	0.138489	11895	0.808211	11406
ABL2	0.487077	5868	1.074184	9327
ABLIM1	0.684923	3612	1.246499	7744
ABLIM2	1.118541	1450	1.386600	6310
ABLIM3	0.232531	10523	1.552911	4642
ABO	0.654606	3900	0.654606	12261
ABR	1.199481	1247	1.990916	1543
ABRA	0.629410	4174	0.629410	12430
ABRACL	0.189658	11211	1.382917	6348
