gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.039122	13437	0.627776	11501
A1CF	0.000000	16727	0.000000	17239
A2M	1.278607	636	2.328909	742
A2ML1	1.173349	782	1.173349	7827
A3GALT2	-	19008	-	19008
A4GALT	0.498350	3470	1.193800	7668
A4GNT	0.000000	16726	0.000000	17238
AAAS	0.473522	3781	1.867492	2287
AACS	0.323207	5934	1.373871	6058
AADAC	0.519828	3260	0.519828	12079
AADACL2	0.698101	2113	0.698101	11153
AADACL3	0.919867	1287	0.919867	9781
AADACL4	-	19007	-	19007
AADAT	0.258428	7269	0.828041	10384
AAED1	0.008307	14491	1.082325	8572
AAGAB	0.040369	13280	1.589070	4136
AAK1	0.316892	6050	1.160769	7920
AAMDC	0.191180	8906	1.278882	6941
AAMP	0.265897	7108	2.011307	1603
AANAT	0.000000	16725	0.000000	17237
AAR2	0.438348	4201	1.559584	4391
AARD	0.143910	10292	0.158362	13910
AARS	0.263135	7167	1.875212	2240
AARS2	0.117677	11107	1.328495	6482
AARSD1	0.272401	6976	1.685234	3417
AASDH	0.050371	13096	1.130655	8151
AASDHPPT	0.098136	11753	1.566194	4326
AASS	0.076596	12220	1.103232	8376
AATF	0.149606	10139	1.618466	3912
AATK	0.000000	16724	0.012475	15346
ABAT	0.311563	6169	1.040727	8874
ABCA1	0.558897	2917	1.952297	1852
ABCA10	0.071882	12536	0.071882	14630
ABCA12	0.495544	3508	0.495544	12192
ABCA13	0.255273	7381	0.255273	13320
ABCA2	0.102963	11613	0.731336	10971
ABCA3	0.119001	11061	0.846955	10266
ABCA4	0.209939	8401	0.209939	13511
ABCA5	0.296148	6477	1.328583	6480
ABCA6	0.058500	12909	0.266178	13230
ABCA7	0.188974	8958	0.855939	10194
ABCA8	0.192743	8860	1.133539	8133
ABCA9	0.034646	13969	0.130334	14126
ABCB1	0.603724	2620	1.201397	7589
ABCB10	0.150516	10108	0.970347	9427
ABCB11	0.000000	16723	0.000000	17236
ABCB4	0.000000	16722	0.061564	14731
ABCB5	0.130334	10781	0.130334	14125
ABCB6	0.584663	2732	0.963355	9475
ABCB7	0.002201	14556	1.251638	7150
ABCB8	0.479861	3704	1.462397	5207
ABCB9	0.187793	8982	0.651183	11368
ABCC1	0.000000	16721	0.907765	9865
ABCC10	0.314338	6096	0.981881	9331
ABCC11	0.000000	16720	0.000000	17235
ABCC12	0.000000	16719	0.000000	17234
ABCC2	0.209515	8465	0.209515	13597
ABCC3	0.184691	9123	0.953276	9566
ABCC4	-0.005275	16762	0.574031	11779
ABCC5	0.037426	13930	0.740006	10924
ABCC6	-	19006	-	19006
ABCC8	0.000000	16718	0.000000	17233
ABCC9	0.037426	13929	0.350248	12879
ABCD1	0.472148	3792	1.425371	5559
