gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.373964	6939	1.364964	6783
A1CF	0.056905	15292	0.056905	15690
A2M	1.452043	564	2.502345	548
A2ML1	1.475671	534	1.475671	5607
A3GALT2	-	19008	-	19008
A4GALT	0.809429	2327	1.504878	5283
A4GNT	0.000000	17168	0.000000	17239
AAAS	0.464138	5369	1.858108	2450
AACS	0.337752	7741	1.388416	6516
AADAC	0.099329	14542	0.099329	15499
AADACL2	0.029384	15727	0.029384	15919
AADACL3	0.000000	17167	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.314049	8232	0.883661	11438
AAED1	0.244523	10215	1.462879	5705
AAGAB	0.101412	14481	1.650113	3954
AAK1	0.316852	8170	1.212188	8486
AAMDC	0.215071	11248	1.398866	6400
AAMP	0.223762	10819	2.028527	1658
AANAT	0.000000	17166	0.000000	17237
AAR2	0.304694	8431	1.187428	8700
AARD	0.352903	7421	0.367356	14192
AARS	0.215020	11250	1.827097	2624
AARS2	0.067021	15068	1.277838	7724
AARSD1	0.475807	5225	1.556562	4789
AASDH	0.131904	13497	1.212188	8485
AASDHPPT	0.135778	13363	1.530584	5025
AASS	0.311213	8297	1.373280	6699
AATF	0.115923	14144	1.584783	4534
AATK	0.725912	2836	0.725912	12477
ABAT	0.222716	11006	0.694343	12643
ABCA1	0.353935	7398	1.747334	3174
ABCA10	1.145196	1106	1.145196	9136
ABCA12	0.809560	2322	0.809560	11919
ABCA13	2.091913	159	2.091913	1448
ABCA2	0.355920	7362	1.134814	9241
ABCA3	0.271176	9435	0.999131	10490
ABCA4	0.217484	11182	0.217484	14850
ABCA5	0.402931	6396	1.435367	6017
ABCA6	0.821176	2267	1.280351	7681
ABCA7	0.354493	7388	1.190051	8679
ABCA8	1.155640	1075	1.945272	2021
ABCA9	0.961998	1679	1.263873	7876
ABCB1	0.307043	8383	0.904716	11233
ABCB10	0.274653	9343	1.134814	9240
ABCB11	0.029384	15726	0.029384	15918
ABCB4	0.218363	11135	0.367356	14191
ABCB5	0.110590	14277	0.110590	15431
ABCB6	0.381435	6798	0.800717	12005
ABCB7	0.170188	12531	1.419625	6167
ABCB8	0.199012	11683	1.370979	6721
ABCB9	0.368653	7047	0.807440	11928
ABCC1	0.500994	4885	1.757964	3094
ABCC10	0.197923	11705	0.833272	11761
ABCC11	0.000000	17165	0.000000	17236
ABCC12	0.000000	17164	0.000000	17235
ABCC2	0.507856	4805	0.507856	13568
