gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.247547	12371	1.238548	9204
A1CF	0.000000	17216	0.000000	17239
A2M	1.588496	539	2.618853	507
A2ML1	1.970765	229	1.970765	2326
A3GALT2	-	19008	-	19008
A4GALT	0.787361	3041	1.451786	7017
A4GNT	0.000000	17215	0.000000	17238
AAAS	0.473522	6858	1.867492	3025
AACS	0.323207	10389	1.373871	7790
AADAC	0.519828	5986	0.519828	13696
AADACL2	0.698101	3738	0.698101	12938
AADACL3	0.674861	3968	0.674861	13017
AADACL4	-	19007	-	19007
AADAT	0.492593	6455	1.062206	10701
AAED1	0.126626	14885	1.344981	8107
AAGAB	0.053576	15541	1.602277	5405
AAK1	0.426393	7791	1.278296	8824
AAMDC	0.304755	10897	1.488551	6579
AAMP	0.366441	9263	2.011307	2100
AANAT	0.000000	17214	0.000000	17237
AAR2	0.438348	7572	1.559584	5851
AARD	0.830025	2754	0.844477	12194
AARS	0.307568	10832	1.875212	2974
AARS2	0.136903	14684	1.347720	8094
AARSD1	0.371961	9045	1.685234	4581
AASDH	0.276888	11612	1.357172	7974
AASDHPPT	0.116160	14967	1.632761	5099
AASS	0.634377	4402	1.696444	4478
AATF	0.281340	11512	1.750200	3985
AATK	0.432969	7687	0.432969	14040
ABAT	0.311563	10723	1.040727	10874
ABCA1	0.507295	6204	1.900695	2769
ABCA10	1.022428	1735	1.022428	10981
ABCA12	0.691965	3783	0.691965	12942
ABCA13	0.267172	11875	0.267172	14632
ABCA2	0.355665	9539	0.984527	11249
ABCA3	0.351227	9652	1.079181	10572
ABCA4	0.158362	14380	0.158362	15142
ABCA5	0.437092	7604	1.469527	6800
ABCA6	0.974915	1943	1.434090	7182
ABCA7	0.178121	14034	1.013680	11047
ABCA8	1.133398	1382	2.074195	1801
ABCA9	1.088884	1524	1.390759	7641
ABCB1	0.982567	1902	1.580241	5618
ABCB10	0.155643	14420	1.002166	11124
ABCB11	0.000000	17213	0.000000	17236
ABCB4	0.218363	13227	0.367356	14331
ABCB5	0.296665	11127	0.296665	14557
ABCB6	0.584663	4995	0.963355	11360
ABCB7	0.058273	15529	1.307710	8527
ABCB8	0.479861	6694	1.462397	6866
ABCB9	0.187793	13831	0.651183	13100
ABCC1	0.184411	13928	1.441381	7120
ABCC10	0.314338	10620	0.981881	11257
ABCC11	0.033424	15979	0.033424	16033
ABCC12	0.000000	17212	0.000000	17235
ABCC2	0.209515	13432	0.209515	14975
ABCC3	0.551450	5474	1.066326	10668
ABCC4	0.483169	6625	1.321598	8362
ABCC5	0.384847	8746	1.373647	7812
ABCC6	-	19006	-	19006
ABCC8	0.580925	5060	0.580925	13442
ABCC9	0.987324	1875	1.257918	9013
ABCD1	0.472148	6890	1.425371	7279
ABCD2	1.080911	1547	1.242293	9176
ABCD3	0.120549	14920	1.212454	9429
ABCD4	0.405993	8240	1.437751	7149
ABCE1	0.247868	12361	1.766933	3840
ABCF1	0.226160	12886	2.076094	1792
ABCF2	0.193374	13729	1.601475	5415
