gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.328585	11938	1.253822	9418
A1CF	0.311754	12306	0.311754	15427
A2M	1.238763	1850	2.185712	1263
A2ML1	0.775246	4808	0.775246	13498
A3GALT2	-	19008	-	19008
A4GALT	1.046369	2791	1.710794	4135
A4GNT	0.000000	17185	0.000000	17239
AAAS	0.555727	7506	1.641965	4860
AACS	0.437459	9561	1.328787	8524
AADAC	0.416641	10083	0.416641	15117
AADACL2	0.696356	5678	0.696356	13931
AADACL3	0.396199	10576	0.396199	15268
AADACL4	-	19007	-	19007
AADAT	0.506664	8289	1.076276	11333
AAED1	0.252605	13509	1.411788	7518
AAGAB	0.143352	15340	1.692053	4347
AAK1	0.741553	5188	1.636889	4904
AAMDC	0.369238	11133	1.553033	5820
AAMP	0.446085	9394	1.941561	2349
AANAT	0.000000	17184	0.000000	17238
AAR2	0.273614	13072	1.394850	7719
AARD	1.533265	953	1.547717	5864
AARS	0.135312	15459	1.635685	4915
AARS2	0.129428	15567	1.340246	8394
AARSD1	0.904700	3719	1.824434	3152
AASDH	0.283328	12902	1.363612	8094
AASDHPPT	0.055857	16229	1.475962	6700
AASS	0.522151	8058	1.584218	5437
AATF	0.086185	15908	1.555045	5793
AATK	0.810233	4520	0.810233	13331
ABAT	0.776170	4791	1.216799	9829
ABCA1	0.246587	13603	1.627468	5036
ABCA10	0.929930	3544	0.929930	12492
ABCA12	0.996949	3096	0.996949	11975
ABCA13	0.265292	13286	0.265292	15617
ABCA2	0.375834	11010	1.154728	10504
ABCA3	0.555032	7516	1.249886	9453
ABCA4	0.271842	13119	0.271842	15572
ABCA5	0.723668	5385	1.756103	3744
ABCA6	0.632844	6449	1.092018	11126
ABCA7	0.258912	13383	1.094471	11085
ABCA8	0.800277	4603	1.741073	3873
ABCA9	0.926012	3577	1.227887	9707
ABCB1	0.710891	5512	1.308564	8727
ABCB10	0.227975	13917	1.088136	11208
ABCB11	0.613913	6708	0.613913	14325
ABCB4	0.661240	6068	0.810233	13330
ABCB5	1.584218	853	1.584218	5436
ABCB6	0.718672	5427	1.100371	11035
ABCB7	0.176091	14892	1.362105	8119
ABCB8	0.060267	16210	1.232234	9688
ABCB9	0.306051	12396	0.696356	13930
ABCC1	0.557456	7488	1.538339	6006
ABCC10	0.312518	12267	0.935507	12468
ABCC11	0.491362	8556	0.491362	14752
ABCC12	0.632177	6466	0.632177	14219
ABCC2	0.181844	14606	0.181844	15814
ABCC3	0.997299	3085	1.809627	3272
ABCC4	0.380345	10905	1.271377	9256
ABCC5	0.461911	9124	1.450711	7027
ABCC6	-	19006	-	19006
ABCC8	1.282169	1694	1.282169	9066
ABCC9	0.864433	4073	1.227372	9744
ABCD1	0.648935	6260	1.481521	6603
ABCD2	0.932389	3532	1.093772	11117
ABCD3	0.533074	7879	1.543199	5905
ABCD4	0.327421	11966	1.362105	8118
ABCE1	0.078192	15968	1.597256	5315
ABCF1	0.258323	13393	2.026583	1885
ABCF2	0.180360	14636	1.597256	5314
ABCF3	0.399066	10443	1.873844	2795
ABCG1	0.216162	14084	1.349083	8250
ABCG2	1.793755	521	1.901731	2583
ABCG4	0.622462	6601	0.638107	14186
ABCG5	0.068186	16178	0.068186	16413
ABCG8	0.068186	16177	0.068186	16412
ABHD1	1.707973	627	1.767144	3643
ABHD10	0.343187	11653	1.551450	5841
ABHD11	0.451643	9308	1.421604	7399
ABHD12	1.511215	1010	1.665581	4601
ABHD12B	0.298853	12620	0.298853	15537
ABHD13	0.334891	11816	1.362105	8117
ABHD14A	0.467644	9004	1.334856	8454
ABHD14B	0.257315	13404	2.014772	1947
ABHD15	0.201016	14292	0.541579	14616
ABHD16A	0.111898	15728	1.302114	8847
ABHD16B	-	19005	-	19005
ABHD17A	0.248924	13568	1.044917	11526
ABHD17B	0.376779	10999	1.176993	10277
ABHD17C	0.265675	13276	1.307068	8814
ABHD18	0.432028	9650	1.232742	9613
ABHD2	1.293056	1658	2.142577	1407
ABHD3	-0.049995	17222	0.900367	12717
ABHD4	0.464694	9072	1.805184	3292
ABHD5	0.411512	10205	1.358506	8161
ABHD6	0.688047	5760	1.243286	9507
ABHD8	1.198418	2029	1.361138	8124
ABI1	0.353530	11431	1.593397	5362
ABI2	0.581248	7159	1.677242	4510
ABI3	0.578966	7205	0.830589	13190
ABI3BP	2.026039	322	2.702379	343
ABL1	0.474450	8837	1.475962	6699
ABL2	0.473383	8903	1.141450	10691
ABLIM1	1.057666	2740	1.750832	3783
ABLIM2	1.239800	1843	1.239800	9561
ABLIM3	0.363512	11241	1.544936	5893
ABO	0.912376	3669	1.038223	11584
ABR	0.867190	4051	1.201124	10003
ABRA	1.865992	448	1.865992	2847
ABRACL	0.553553	7539	1.723374	4024
ABT1	0.074464	15990	1.271330	9258
ABTB1	0.224773	13959	1.412629	7493
ABTB2	1.255707	1785	1.582745	5447
ACAA1	0.540385	7758	1.678063	4453
ACAA2	0.491671	8537	1.677607	4502
ACACA	0.591873	7001	1.735200	3917
ACACB	1.741073	588	1.741073	3872
ACAD10	0.260110	13367	1.249687	9458
ACAD11	0.566960	7354	0.892651	12743
ACAD8	0.229632	13886	1.438384	7171
ACAD9	0.152774	15159	1.552911	5836
ACADL	0.652246	6192	0.652246	14087
ACADM	0.549511	7586	1.923607	2461
ACADS	0.556410	7500	1.444045	7102
ACADSB	0.394155	10619	1.385249	7851
ACADVL	0.660839	6077	2.068594	1664
ACAN	0.734051	5273	0.810233	13329
ACAP1	0.327231	11974	0.439333	14954
ACAP2	0.511796	8211	1.729165	3980
ACAP3	0.269557	13169	0.968016	12189
ACAT1	1.513704	1002	2.133443	1434
ACAT2	0.013536	16499	1.316809	8634
ACBD3	0.127605	15593	1.981547	2119
ACBD4	0.517141	8123	1.187521	10182
ACBD5	0.524969	8007	1.013259	11857
ACBD6	0.316791	12182	1.515266	6262
ACBD7	0.757878	5002	0.995196	12006
ACCS	0.916264	3637	1.320562	8581
ACCSL	-	19004	-	19004
ACD	0.352039	11456	0.979803	12087
ACE	1.868347	445	2.129561	1444
ACE2	1.364815	1411	1.364815	8077
ACER1	0.298853	12619	0.298853	15536
ACER2	0.678659	5867	0.995196	12005
ACER3	0.262470	13329	1.381065	7875
ACHE	1.173212	2157	1.565021	5664
ACIN1	0.416641	10082	2.030478	1865
ACKR1	1.967548	360	1.967548	2200
ACKR2	0.795185	4643	0.795185	13382
ACKR3	0.830166	4329	2.174263	1299
ACKR4	1.135165	2345	1.239800	9560
ACLY	0.509236	8246	1.803935	3317
ACMSD	0.068186	16176	0.068186	16411
ACO1	0.478743	8746	2.002684	2004
ACO2	0.422842	9840	2.184237	1267
ACOD1	0.068186	16175	0.068186	16410
ACOT1	0.328574	11940	0.380211	15294
ACOT11	0.975296	3222	1.066326	11388
ACOT12	0.000000	17183	0.000000	17237
ACOT13	0.589337	7031	1.875806	2771
ACOT2	0.411620	10204	1.367915	8065
ACOT4	0.290564	12765	0.429752	15002
ACOT6	-	19003	-	19003
ACOT7	0.902182	3734	1.141450	10690
ACOT8	0.069025	16020	1.469795	6762
ACOT9	0.416641	10081	1.662663	4660
ACOX1	0.504172	8330	1.559068	5763
ACOX2	0.537500	7817	1.019947	11772
ACOX3	0.329521	11921	1.307068	8813
ACOXL	1.313234	1575	1.313234	8667
ACP1	0.303848	12442	1.927165	2437
ACP2	0.179048	14652	1.731911	3962
ACP5	0.710625	5515	0.807535	13347
ACP6	0.504125	8333	1.031004	11644
ACP7	-	19002	-	19002
ACPP	1.983712	345	2.212880	1184
ACPT	-	19001	-	19001
ACR	2.245813	188	2.245813	1101
ACRBP	2.447696	125	2.694278	349
ACRC	0.731723	5304	0.731723	13752
ACRV1	1.563558	891	1.563558	5671
ACSBG1	0.790897	4680	0.790897	13388
ACSBG2	2.029415	319	2.029415	1876
ACSF2	0.993508	3125	1.619615	5084
ACSF3	0.282137	12914	1.047664	11515
ACSL1	1.212411	1969	1.737113	3901
ACSL3	0.289421	12796	2.086680	1607
ACSL4	0.265292	13285	1.719497	4073
ACSL5	1.544936	922	1.544936	5892
ACSL6	1.503927	1023	1.503927	6373
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17182	0.000000	17236
ACSM2B	0.000000	17181	0.000000	17235
ACSM3	0.817964	4425	0.890421	12768
ACSM4	-	18999	-	18999
ACSM5	0.541579	7740	0.541579	14615
ACSM6	0.000000	17180	0.000000	17234
ACSS1	0.596070	6962	1.683867	4424
ACSS2	0.488776	8594	1.329194	8513
ACSS3	0.757175	5012	1.331225	8480
ACTA1	4.382624	3	4.382624	3
ACTA2	2.045238	304	3.419534	65
ACTB	1.081335	2608	3.925189	10
ACTBL2	0.030349	16383	0.030349	16498
ACTC1	2.368036	149	2.475540	616
ACTG1	0.526383	7988	3.762832	17
ACTG2	2.823791	67	3.553356	43
ACTL10	1.522268	978	1.522268	6159
ACTL6A	0.408138	10279	1.924154	2457
ACTL6B	0.293417	12722	0.293417	15542
ACTL7A	2.104495	263	2.104495	1539
ACTL7B	1.802863	509	1.802863	3336
ACTL8	0.933567	3524	0.933567	12474
ACTL9	1.739952	589	1.739952	3877
ACTN1	0.447371	9373	2.566991	494
ACTN2	2.587955	91	2.817559	271
ACTN3	2.350829	152	2.350829	834
ACTN4	0.564329	7389	2.112437	1509
ACTR10	0.390874	10690	1.769746	3628
ACTR1A	0.133790	15471	2.163221	1334
ACTR1B	0.137320	15439	1.428135	7289
ACTR2	0.756509	5017	1.910304	2549
ACTR3	0.538386	7797	2.474610	618
ACTR3B	0.490980	8561	1.419129	7439
ACTR3C	0.762528	4952	1.108903	10992
ACTR5	0.221017	14008	1.018284	11827
ACTR6	0.403483	10365	1.141450	10689
ACTR8	0.518416	8102	1.382529	7863
ACTRT1	-	18998	-	18998
ACTRT2	1.803044	507	1.803044	3328
ACTRT3	-	18997	-	18997
ACVR1	0.223485	13977	1.297979	8906
ACVR1B	0.671046	5946	1.688776	4377
ACVR1C	0.614829	6691	0.650308	14154
ACVR2A	0.264755	13298	1.108565	11005
ACVR2B	0.519841	8087	0.921131	12577
ACVRL1	0.898062	3780	1.264109	9330
ACY1	0.475362	8818	1.328787	8523
ACY3	0.684845	5804	0.684845	13986
ACYP1	0.573145	7277	1.254548	9395
ACYP2	0.743923	5150	1.789157	3456
ADA	0.436410	9578	1.110926	10965
ADAD1	1.793587	522	1.793587	3391
ADAD2	1.657695	715	1.657695	4694
ADAL	0.240725	13702	0.968658	12173
ADAM10	0.656518	6137	2.143608	1403
ADAM11	0.138713	15427	0.138713	16154
ADAM12	0.929854	3545	1.189209	10167
ADAM15	0.238561	13736	1.918397	2501
ADAM17	0.336458	11785	1.391801	7763
ADAM18	1.453249	1152	1.453249	6934
ADAM19	0.643934	6321	1.579326	5523
ADAM2	1.707507	628	1.707507	4163
ADAM20	0.913708	3653	0.913708	12610
ADAM21	0.867160	4053	0.867160	12964
ADAM22	0.890040	3854	1.338257	8425
ADAM23	0.410289	10220	0.893215	12733
ADAM28	1.376612	1367	1.601625	5246
ADAM29	1.245081	1819	1.245081	9479
ADAM30	1.224140	1920	1.224140	9769
ADAM32	1.597435	833	1.597435	5284
ADAM33	0.984427	3174	1.461499	6851
ADAM7	2.880122	62	2.880122	235
ADAM8	0.276084	13021	0.396199	15267
ADAM9	0.882405	3921	2.565092	495
ADAMDEC1	0.130334	15555	0.130334	16203
ADAMTS1	0.523812	8038	2.328583	887
ADAMTS10	0.442932	9448	1.141450	10688
ADAMTS12	1.034590	2852	1.271377	9255
ADAMTS13	0.000000	17179	0.000000	17233
ADAMTS14	0.017987	16406	0.252853	15652
ADAMTS15	0.815766	4442	1.340246	8393
ADAMTS16	0.830589	4327	0.830589	13189
ADAMTS17	0.856831	4135	0.856831	13018
ADAMTS18	0.181844	14605	0.181844	15813
ADAMTS19	0.176091	14891	0.176091	15990
ADAMTS2	0.391396	10667	1.088136	11207
ADAMTS20	0.000000	17178	0.000000	17232
ADAMTS3	0.438384	9543	0.715167	13841
ADAMTS4	0.409742	10251	1.011147	11866
ADAMTS5	0.902046	3736	1.622110	5070
ADAMTS6	0.712977	5493	0.955688	12333
ADAMTS7	0.497677	8428	1.088136	11206
ADAMTS8	0.181844	14604	0.181844	15812
ADAMTS9	0.903310	3724	1.356026	8193
ADAMTSL1	1.338700	1494	1.835627	3070
ADAMTSL2	0.505860	8300	0.541579	14614
ADAMTSL3	0.698647	5625	0.737987	13747
ADAMTSL4	0.634960	6426	1.515344	6260
ADAMTSL5	0.509481	8243	0.870989	12956
ADAP1	0.840733	4250	0.840733	13142
ADAP2	0.597395	6951	0.841359	13129
ADAR	0.330720	11896	1.663512	4624
ADARB1	0.689631	5747	1.349083	8249
ADARB2	1.182129	2111	1.182129	10243
ADAT1	0.517811	8112	1.481011	6624
ADAT2	0.217745	14056	1.093772	11116
ADAT3	0.267172	13250	1.865163	2874
ADCK1	0.147341	15302	0.787460	13418
ADCK2	0.160846	15077	1.203848	9965
ADCK5	0.143015	15392	0.925309	12551
ADCY1	0.488352	8601	0.568796	14495
ADCY10	1.465073	1119	1.465073	6817
ADCY2	1.132858	2362	1.187239	10208
ADCY3	0.533956	7867	1.331225	8479
ADCY4	1.064423	2709	1.466571	6811
ADCY5	0.746627	5127	0.775246	13497
ADCY6	0.324077	12051	1.134496	10753
ADCY7	0.399082	10442	0.599883	14406
ADCY8	1.175512	2148	1.175512	10292
ADCY9	0.329277	11927	0.686862	13962
ADCYAP1	0.659520	6097	0.659520	14052
ADCYAP1R1	0.684845	5803	0.684845	13985
ADD1	0.516596	8128	1.767601	3641
ADD2	0.277061	12998	0.474216	14857
ADD3	0.887488	3867	1.883775	2727
ADGB	1.088080	2575	1.088080	11211
ADGRA1	0.030349	16382	0.030349	16497
ADGRA2	0.608771	6751	1.593397	5361
ADGRA3	0.354552	11414	1.136721	10736
ADGRB1	0.152288	15247	0.152288	16081
ADGRB2	0.343380	11651	0.660940	14049
ADGRB3	0.984363	3175	1.225334	9748
ADGRD1	1.361980	1423	1.855519	2944
ADGRD2	-	18996	-	18996
ADGRE1	0.181844	14603	0.181844	15811
ADGRE2	0.446223	9389	1.275542	9134
ADGRE3	0.176091	14890	0.176091	15989
ADGRE5	0.647649	6273	1.559068	5762
ADGRF1	0.810233	4519	0.810233	13328
ADGRF2	0.176091	14889	0.176091	15988
ADGRF3	0.211611	14142	0.420661	15012
ADGRF4	0.416641	10080	0.416641	15116
ADGRF5	1.286089	1683	1.420121	7421
ADGRG1	1.491222	1050	1.813218	3239
ADGRG2	2.414589	131	2.414589	714
ADGRG3	0.439333	9519	0.439333	14953
ADGRG4	0.000000	17177	0.000000	17231
ADGRG5	0.267172	13249	0.267172	15613
ADGRG6	0.663192	6046	1.319106	8619
ADGRG7	0.000000	17176	0.000000	17230
ADGRL1	0.499315	8408	0.737987	13746
ADGRL2	0.870989	4030	0.870989	12955
ADGRL3	0.788551	4699	0.841985	13115
ADGRL4	0.814383	4452	1.716921	4101
ADGRV1	0.840733	4249	0.840733	13141
ADH1A	0.093760	15873	0.093760	16252
ADH1B	2.148760	237	2.395519	748
ADH1C	0.900367	3759	0.900367	12716
ADH4	0.252853	13500	0.252853	15651
ADH5	0.440101	9492	2.023005	1911
ADH6	0.346353	11602	0.346353	15370
ADH7	0.396199	10575	0.396199	15266
ADHFE1	0.789403	4690	1.531734	6090
ADI1	0.510379	8230	2.188900	1254
ADIG	1.084974	2589	1.084974	11225
ADIPOQ	2.177132	219	2.177132	1293
ADIPOR1	0.349881	11502	1.735368	3909
ADIPOR2	0.465526	9034	1.890030	2676
ADIRF	1.179778	2129	2.949492	203
ADK	0.327671	11965	1.340246	8392
ADM	0.793700	4655	2.512658	570
ADM2	0.922247	3598	1.026942	11720
ADM5	0.439333	9518	0.439333	14952
ADNP	0.526924	7978	1.923555	2462
ADNP2	0.464646	9074	1.129949	10774
ADO	1.017304	2961	1.889924	2677
ADORA1	1.135784	2344	1.338525	8416
ADORA2A	0.216083	14089	0.396199	15265
