gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.076378	12585	1.067379	8526
A1CF	1.498311	351	1.498311	4597
A2M	0.049218	13417	0.903633	9794
A2ML1	1.417254	407	1.417254	5362
A3GALT2	-	19008	-	19008
A4GALT	0.306780	6349	1.002229	9029
A4GNT	0.000000	16741	0.000000	17239
AAAS	0.245018	7718	1.638988	3501
AACS	0.378404	5030	1.429068	5230
AADAC	0.831230	1499	0.831230	10250
AADACL2	0.000000	16740	0.000000	17238
AADACL3	0.000000	16739	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.320249	6072	0.889862	9886
AAED1	0.185098	9261	1.403453	5481
AAGAB	0.376175	5060	1.924876	1883
AAK1	0.134368	10807	0.807331	10380
AAMDC	0.237986	7895	1.421781	5314
AAMP	0.225624	8247	2.030390	1459
AANAT	0.000000	16738	0.000000	17236
AAR2	0.350936	5467	1.472171	4845
AARD	0.000000	16737	0.000000	17235
AARS	0.319285	6092	1.931362	1859
AARS2	-0.109318	17099	1.101499	8223
AARSD1	0.060604	12919	1.456967	4970
AASDH	0.117272	11205	1.197556	7416
AASDHPPT	0.395771	4749	1.775756	2617
AASS	0.013793	14259	0.965129	9360
AATF	0.146507	10443	1.615367	3649
AATK	0.772322	1721	0.772322	10614
ABAT	0.565082	2920	1.294246	6509
ABCA1	0.693727	2079	1.988185	1626
ABCA10	0.125489	11004	0.125489	14089
ABCA12	1.241181	602	1.241181	7000
ABCA13	0.175124	9643	0.175124	13802
ABCA2	0.100670	11888	0.569374	11716
ABCA3	0.219970	8390	0.947924	9489
ABCA4	0.049218	13416	0.049218	14957
ABCA5	0.269513	7179	0.959995	9404
ABCA6	0.000000	16736	0.000000	17234
ABCA7	0.348305	5526	1.022307	8881
ABCA8	0.000000	16735	0.348305	12728
ABCA9	0.000000	16734	0.000000	17233
ABCB1	1.321562	508	1.919235	1911
ABCB10	0.275607	6982	1.135769	7939
ABCB11	0.000000	16733	0.000000	17232
ABCB4	0.057833	12983	0.206826	13549
ABCB5	0.000000	16732	0.000000	17231
ABCB6	0.693925	2071	1.072617	8485
ABCB7	0.177074	9461	1.426511	5261
ABCB8	0.444697	4061	1.325327	6218
ABCB9	0.213693	8515	0.510876	11970
ABCC1	0.197908	8967	1.454878	4985
ABCC10	0.369647	5166	0.956241	9422
ABCC11	0.000000	16731	0.000000	17230
ABCC12	0.000000	16730	0.000000	17229
ABCC2	1.756484	214	1.756484	2737
ABCC3	1.487986	360	1.805161	2455
ABCC4	0.456241	3927	1.320562	6268
ABCC5	0.241393	7778	1.230193	7113
ABCC6	-	19006	-	19006
ABCC8	0.049218	13415	0.049218	14956
ABCC9	0.096910	12123	0.434569	12345
ABCD1	0.209042	8641	1.162266	7741
ABCD2	0.000000	16729	0.000000	17228
ABCD3	0.300595	6454	1.270960	6708
ABCD4	0.279664	6882	1.068186	8522
ABCE1	0.315952	6164	1.835017	2306
ABCF1	0.074448	12629	1.924383	1889
ABCF2	0.151036	10329	1.575251	3943
ABCF3	0.016901	14223	1.491678	4656
ABCG1	0.307736	6314	1.440657	5116
ABCG2	1.462100	377	1.570076	3994
ABCG4	0.025182	13967	0.025182	15149
ABCG5	0.000000	16728	0.000000	17227
ABCG8	0.000000	16727	0.000000	17226
ABHD1	0.000000	16726	0.049218	14955
ABHD10	0.176555	9476	1.391112	5596
ABHD11	0.511052	3386	1.481012	4759
ABHD12	0.959995	1113	1.589726	3833
ABHD12B	0.000000	16725	0.000000	17225
ABHD13	0.279487	6886	1.306701	6396
ABHD14A	0.142242	10541	0.959995	9403
ABHD14B	0.061692	12900	1.819149	2369
ABHD15	0.490666	3553	0.831230	10249
ABHD16A	0.024848	13972	1.315551	6317
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	16724	0.910091	9751
ABHD17B	0.088124	12333	0.979132	9235
ABHD17C	0.439025	4121	1.480417	4764
ABHD18	0.267526	7226	1.030195	8837
ABHD2	0.499277	3497	1.770336	2645
ABHD3	0.416247	4464	1.366610	5833
ABHD4	0.143872	10506	1.482731	4747
ABHD5	0.277463	6924	1.474342	4817
ABHD6	0.375789	5068	0.929419	9610
ABHD8	0.140179	10593	0.977939	9239
ABI1	0.272272	7047	1.703964	3071
ABI2	0.076605	12576	1.223755	7183
ABI3	0.000000	16723	0.306921	12917
ABI3BP	0.016491	14230	0.583199	11654
ABL1	0.114800	11259	0.833876	10223
ABL2	0.797049	1631	1.465115	4899
ABLIM1	0.998837	1024	1.888560	2040
ABLIM2	0.190189	9151	0.458249	12217
ABLIM3	0.049218	13414	1.236049	7058
ABO	0.098150	11942	0.223996	13436
ABR	0.312433	6230	1.362099	5863
ABRA	0.000000	16722	0.000000	17224
ABRACL	0.661285	2280	2.157823	1051
ABT1	0.236980	7916	1.433846	5197
ABTB1	0.049218	13413	0.976894	9274
ABTB2	0.199174	8942	0.959995	9402
ACAA1	0.337513	5713	1.800923	2475
ACAA2	0.758617	1780	2.023417	1489
ACACA	0.534371	3180	1.677698	3233
ACACB	0.276451	6956	0.596597	11581
ACAD10	0.105243	11461	1.094820	8294
ACAD11	0.961109	1106	1.626546	3571
ACAD8	0.188841	9179	1.397592	5529
ACAD9	0.175356	9502	1.373464	5763
ACADL	0.000000	16721	0.018968	15261
ACADM	0.290296	6678	1.664392	3323
ACADS	0.022456	14082	0.910091	9750
ACADSB	0.184991	9265	1.194237	7443
ACADVL	0.217148	8452	1.985652	1634
ACAN	0.054459	13052	0.104758	14472
ACAP1	0.039727	13598	0.151828	13924
ACAP2	0.308241	6303	1.576339	3932
ACAP3	0.077665	12548	0.664694	11213
ACAT1	0.383930	4938	2.056066	1353
ACAT2	1.073534	852	2.506684	417
ACBD3	0.159744	10103	2.013685	1528
ACBD4	0.372862	5102	1.081707	8424
ACBD5	0.900172	1261	1.466719	4891
ACBD6	0.285923	6754	1.412293	5412
ACBD7	0.609637	2575	0.846955	10151
ACCS	0.274677	6995	0.569374	11715
ACCSL	-	19004	-	19004
ACD	0.155800	10195	1.072617	8484
ACE	0.049218	13412	0.240549	13290
ACE2	0.489958	3575	0.489958	12089
ACER1	0.026539	13907	0.026539	15116
ACER2	0.437096	4144	0.753633	10707
ACER3	0.635340	2428	1.753934	2759
ACHE	0.648002	2355	1.039811	8765
ACIN1	0.136079	10769	1.802619	2463
ACKR1	0.000000	16720	0.000000	17223
ACKR2	1.044932	924	1.044932	8720
ACKR3	0.659385	2300	2.003482	1562
ACKR4	0.010385	14300	0.115020	14111
ACLY	0.759087	1778	2.053786	1365
ACMSD	0.096910	12122	0.096910	14616
ACO1	0.199475	8935	1.723416	2929
ACO2	0.232168	8022	1.993564	1610
ACOD1	0.000000	16719	0.000000	17222
ACOT1	0.454868	3940	0.506505	12020
ACOT11	0.156277	10186	0.358806	12665
