gene	enrichment	rank(enr)	max	rank(max)
A1BG	1.079855	293	1.851746	1996
A1CF	0.000000	16330	0.000000	17239
A2M	0.050763	10597	0.328380	11978
A2ML1	0.000000	16329	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.641141	1247	1.305566	5520
A4GNT	0.000000	16328	0.000000	17237
AAAS	0.283089	5491	1.677059	2859
AACS	0.301910	5085	1.348252	5189
AADAC	0.741939	873	0.741939	9839
AADACL2	0.000000	16327	0.000000	17236
AADACL3	0.000000	16326	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.160300	8178	0.514548	10744
AAED1	0.369624	3686	1.287354	5617
AAGAB	0.163864	8082	1.712566	2671
AAK1	0.288188	5395	0.949878	8375
AAMDC	0.480847	2304	1.664642	2958
AAMP	0.225551	6754	2.030316	1360
AANAT	0.000000	16325	0.000000	17234
AAR2	0.066405	10244	1.168203	6540
AARD	0.000000	16324	0.000000	17233
AARS	0.154911	8304	1.714749	2660
AARS2	0.043247	11112	1.254064	5941
AARSD1	0.206216	7150	1.577450	3482
AASDH	0.026394	11508	0.859739	8928
AASDHPPT	0.570556	1595	1.736715	2540
AASS	0.193436	7428	0.777427	9427
AATF	0.045023	11090	1.513883	3885
AATK	0.000000	16323	0.000000	17232
ABAT	0.000000	16322	0.450303	11186
ABCA1	0.366268	3741	1.759668	2424
ABCA10	0.161368	8157	0.161368	12399
ABCA12	0.045323	11084	0.045323	13321
ABCA13	0.050763	10596	0.050763	12920
ABCA2	0.436573	2785	0.741939	9838
ABCA3	0.000000	16321	0.670895	10019
ABCA4	0.000000	16320	0.000000	17231
ABCA5	0.000000	16319	0.352183	11442
ABCA6	0.572638	1580	1.031812	7685
ABCA7	0.000000	16318	0.741939	9837
ABCA8	0.410807	3118	1.351603	5165
ABCA9	0.893748	524	1.195623	6411
ABCB1	0.000000	16317	0.275654	12064
ABCB10	0.227265	6715	1.087426	7286
ABCB11	0.000000	16316	0.000000	17230
ABCB4	0.179387	7737	0.328380	11977
ABCB5	0.000000	16315	0.000000	17229
ABCB6	0.405449	3182	0.741939	9836
ABCB7	0.000000	16314	1.066699	7376
ABCB8	0.241174	6420	1.336394	5241
ABCB9	0.278549	5588	0.741939	9835
ABCC1	0.192045	7457	1.449015	4408
ABCC10	0.409095	3144	0.741939	9834
ABCC11	0.000000	16313	0.000000	17228
ABCC12	0.000000	16312	0.000000	17227
ABCC2	0.000000	16311	0.000000	17226
ABCC3	0.110171	9256	0.822822	9275
ABCC4	0.158821	8216	0.945961	8391
ABCC5	0.000000	16310	0.785330	9399
ABCC6	-	19006	-	19006
ABCC8	0.000000	16309	0.000000	17225
ABCC9	0.488652	2218	0.642465	10364
ABCD1	0.398380	3264	1.351603	5164
ABCD2	0.000000	16308	0.000000	17224
ABCD3	0.159231	8207	1.323871	5372
ABCD4	-0.033460	16594	1.089905	7267
ABCE1	0.435949	2795	1.955014	1630
ABCF1	0.099163	9490	1.813885	2160
ABCF2	0.479526	2316	1.854664	1988
ABCF3	0.116334	9129	1.591112	3398
ABCG1	0.015103	11695	1.133262	6828
ABCG2	0.213431	7004	0.328380	11976
ABCG4	0.035118	11210	0.050763	12919
ABCG5	0.000000	16307	0.000000	17223
ABCG8	0.000000	16306	0.000000	17222
ABHD1	0.000000	16305	0.000000	17221
ABHD10	0.186284	7590	1.197281	6296
ABHD11	0.310618	4926	1.280578	5716
ABHD12	0.156250	8271	1.675137	2891
ABHD12B	0.000000	16304	0.000000	17220
ABHD13	0.035368	11207	1.062582	7399
ABHD14A	0.356579	3870	1.412629	4697
ABHD14B	0.316371	4818	2.073828	1237
ABHD15	0.301901	5086	0.642465	10363
ABHD16A	0.053618	10449	1.344320	5207
ABHD16B	-	19005	-	19005
ABHD17A	0.163306	8093	1.089905	7266
ABHD17B	0.152873	8343	0.879669	8864
ABHD17C	0.441195	2732	1.482588	4175
ABHD18	0.107405	9321	0.642465	10362
ABHD2	0.193818	7420	1.792532	2257
ABHD3	-0.027637	16552	0.922725	8484
ABHD4	0.096839	9534	1.437328	4461
ABHD5	0.178504	7763	1.227372	6075
ABHD6	0.257977	6033	0.949878	8374
ABHD8	0.370852	3655	1.280578	5715
ABI1	-0.006020	16374	1.431203	4541
ABI2	0.281980	5521	1.607991	3304
ABI3	0.132099	8807	0.328380	11975
ABI3BP	1.116192	255	1.792532	2256
ABL1	0.563646	1637	1.513750	3925
ABL2	0.557759	1683	1.225826	6164
ABLIM1	0.162782	8110	0.978181	8086
ABLIM2	0.000000	16303	0.026394	13475
ABLIM3	0.498824	2133	1.513750	3924
ABO	0.000000	16302	0.000000	17219
ABR	0.642465	1241	1.466126	4299
ABRA	0.000000	16301	0.000000	17218
ABRACL	0.458701	2535	1.900867	1818
ABT1	0.100457	9449	1.297323	5574
ABTB1	0.137767	8697	1.280578	5714
ABTB2	0.232568	6593	0.993389	8025
ACAA1	0.238043	6490	1.664642	2957
ACAA2	0.342464	4074	1.634276	3128
ACACA	0.152645	8350	1.157759	6724
ACACB	0.000000	16300	0.077157	12815
ACAD10	-0.139318	17005	0.850260	8948
ACAD11	0.338435	4141	0.822822	9274
ACAD8	0.045313	11085	1.254064	5940
ACAD9	0.098255	9506	1.498392	4042
ACADL	0.000000	16299	0.000000	17217
ACADM	0.074765	10070	1.448861	4416
ACADS	0.045323	11083	0.891830	8612
ACADSB	0.032037	11266	0.696356	9970
ACADVL	0.685496	1078	2.244946	844
ACAN	0.089905	9756	0.127105	12572
ACAP1	0.000000	16298	0.000000	17216
ACAP2	0.000000	16297	1.431203	4540
ACAP3	0.192520	7447	0.890980	8822
ACAT1	0.069960	10174	1.742096	2516
ACAT2	0.511925	2044	1.945074	1670
ACBD3	-0.082501	16830	1.771440	2337
ACBD4	0.241032	6424	0.949878	8373
ACBD5	0.215636	6952	0.642465	10361
ACBD6	0.502378	2109	1.163161	6699
ACBD7	0.091061	9623	0.328380	11974
ACCS	0.134728	8755	0.513218	11088
ACCSL	-	19004	-	19004
ACD	0.257824	6036	1.174641	6505
ACE	0.807547	690	1.254064	5939
ACE2	0.000000	16296	0.000000	17215
ACER1	0.000000	16295	0.000000	17214
ACER2	0.060262	10349	0.195900	12285
ACER3	0.028773	11319	1.147367	6763
ACHE	0.050763	10595	0.431364	11247
ACIN1	0.328380	4609	1.631545	3163
ACKR1	0.089905	9755	0.089905	12772
ACKR2	0.000000	16294	0.114666	12595
ACKR3	0.000000	16293	0.623206	10398
ACKR4	0.537830	1807	0.642465	10360
ACLY	0.780200	744	2.074899	1230
ACMSD	0.000000	16292	0.000000	17213
ACO1	0.543165	1768	2.067107	1250
ACO2	0.026394	11507	1.754783	2442
ACOD1	0.000000	16291	0.000000	17212
ACOT1	0.136982	8712	0.157215	12402
ACOT11	0.277560	5615	0.513218	11087
ACOT12	0.000000	16290	0.000000	17211
ACOT13	0.361338	3822	1.583426	3432
ACOT2	0.137803	8646	1.128076	6969
ACOT4	-0.012083	16420	0.127105	12571
ACOT6	-	19003	-	19003
ACOT7	1.007760	358	1.811185	2172
ACOT8	0.188874	7520	1.589643	3409
ACOT9	0.218435	6899	1.767501	2369
ACOX1	0.168828	7967	1.575551	3489
ACOX2	1.016954	349	1.048053	7621
ACOX3	0.295824	5225	1.092078	7130
ACOXL	0.000000	16289	0.000000	17210
ACP1	0.185310	7603	1.992642	1481
ACP2	0.485615	2248	1.695394	2768
ACP5	0.000000	16288	0.048709	12957
ACP6	0.259535	5996	0.703377	9942
ACP7	-	19002	-	19002
ACPP	0.151828	8371	0.296468	12014
ACPT	-	19001	-	19001
ACR	0.000000	16287	0.000000	17209
ACRBP	0.000000	16286	0.089905	12771
ACRC	0.000000	16285	0.000000	17208
ACRV1	0.000000	16284	0.000000	17207
ACSBG1	0.000000	16283	0.000000	17206
ACSBG2	0.000000	16282	0.000000	17205
ACSF2	0.016357	11679	0.657436	10060
ACSF3	0.035329	11208	0.894686	8589
ACSL1	0.045323	11082	1.098304	7110
ACSL3	0.280358	5553	2.012247	1408
ACSL4	0.104320	9379	1.584432	3428
ACSL5	0.328380	4608	0.513218	11086
ACSL6	0.000000	16281	0.000000	17204
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16280	0.000000	17203
ACSM2B	0.000000	16279	0.000000	17202
ACSM3	0.045323	11081	0.089905	12770
ACSM4	-	18999	-	18999
ACSM5	0.026394	11506	0.026394	13474
ACSM6	0.000000	16278	0.000000	17201
ACSS1	0.029629	11309	0.822822	9273
ACSS2	0.232531	6595	0.900315	8563
ACSS3	0.251729	6186	0.328380	11973
ACTA1	0.000000	16277	0.000000	17200
ACTA2	1.276244	161	2.650541	316
ACTB	0.716544	953	4.089744	2
ACTBL2	0.686636	1074	0.686636	9992
ACTC1	0.716621	952	0.824126	9054
ACTG1	0.637589	1260	3.948611	5
ACTG2	0.365953	3746	1.095518	7124
ACTL10	0.396159	3290	0.513218	11085
ACTL6A	0.317403	4798	1.790215	2263
ACTL6B	0.000000	16276	0.000000	17199
ACTL7A	0.000000	16275	0.000000	17198
ACTL7B	0.000000	16274	0.000000	17197
ACTL8	0.000000	16273	0.000000	17196
ACTL9	0.000000	16272	0.000000	17195
ACTN1	0.521188	1922	2.649029	318
ACTN2	0.000000	16271	0.206712	12223
ACTN3	0.000000	16270	0.000000	17194
ACTN4	0.382653	3480	2.132720	1092
ACTR10	0.315575	4830	1.742961	2494
ACTR1A	0.389457	3387	2.368617	634
ACTR1B	0.252010	6178	1.542825	3707
ACTR2	0.296250	5214	2.008898	1418
ACTR3	0.408107	3154	2.577676	381
ACTR3B	0.034357	11218	0.949878	8372
ACTR3C	0.000000	16269	0.077157	12814
ACTR5	-0.055328	16722	0.741939	9833
ACTR6	0.089363	9769	1.136721	6822
ACTR8	0.382884	3475	1.280578	5713
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16268	0.000000	17193
ACTRT3	-	18997	-	18997
ACVR1	0.147591	8455	1.048053	7620
ACVR1B	0.431286	2861	1.449015	4407
ACVR1C	0.292902	5285	0.328380	11972
ACVR2A	0.215925	6946	1.089905	7265
ACVR2B	-0.045586	16673	0.225309	12196
ACVRL1	1.100079	265	1.466126	4298
ACY1	0.411647	3103	1.542825	3706
ACY3	0.000000	16267	0.000000	17192
ACYP1	0.030960	11283	1.099335	7107
ACYP2	0.095827	9551	0.885635	8846
ADA	0.263153	5915	0.879669	8863
ADAD1	0.000000	16266	0.000000	17191
ADAD2	0.000000	16265	0.000000	17190
ADAL	-0.198795	17087	0.529138	10652
ADAM10	0.528018	1880	2.015108	1401
ADAM11	0.089905	9754	0.089905	12769
ADAM12	0.837555	631	1.116050	7025
ADAM15	0.327100	4631	2.006936	1425
ADAM17	0.222829	6808	1.079181	7323
ADAM18	0.000000	16264	0.000000	17189
ADAM19	0.857494	588	1.867891	1937
ADAM2	0.000000	16263	0.000000	17188
ADAM20	0.000000	16262	0.000000	17187
ADAM21	0.000000	16261	0.000000	17186
ADAM22	0.000000	16260	0.161368	12398
ADAM23	0.645151	1209	1.128076	6968
ADAM28	0.000000	16259	0.099472	12607
ADAM29	0.000000	16258	0.000000	17185
ADAM30	0.000000	16257	0.000000	17184
ADAM32	0.000000	16256	0.000000	17183
ADAM33	0.397652	3271	0.890980	8821
ADAM7	0.000000	16255	0.000000	17182
ADAM8	0.000000	16254	0.000000	17181
ADAM9	0.679766	1095	2.338456	675
ADAMDEC1	0.000000	16253	0.000000	17180
ADAMTS1	0.935765	448	2.740536	248
ADAMTS10	0.328380	4607	0.741939	9832
ADAMTS12	1.193536	200	1.430324	4549
ADAMTS13	0.000000	16252	0.000000	17179
ADAMTS14	0.286987	5421	0.356868	11401
ADAMTS15	0.443068	2704	0.967548	8125
ADAMTS16	0.000000	16251	0.000000	17178
ADAMTS17	0.026900	11354	0.136656	12466
ADAMTS18	0.822822	662	0.822822	9272
ADAMTS19	0.161368	8156	0.161368	12397
ADAMTS2	0.725708	918	1.466126	4297
ADAMTS20	0.000000	16250	0.000000	17177
ADAMTS3	0.236434	6520	0.513218	11084
ADAMTS4	0.313159	4871	0.914564	8516
ADAMTS5	0.050763	10594	0.601101	10462
ADAMTS6	0.509906	2055	0.752617	9500
ADAMTS7	0.328380	4606	0.916980	8509
ADAMTS8	0.000000	16249	0.000000	17176
ADAMTS9	0.012561	11728	0.431364	11246
ADAMTSL1	1.537942	70	2.034869	1345
ADAMTSL2	0.217134	6923	0.252853	12130
ADAMTSL3	0.005982	11832	0.045323	13320
ADAMTSL4	0.550819	1720	1.431203	4539
ADAMTSL5	0.376269	3568	0.737777	9841
ADAP1	0.036191	11199	0.670296	10020
ADAP2	0.000000	16248	0.050763	12918
ADAR	0.304752	5022	1.570076	3544
ADARB1	0.271262	5755	0.845718	8972
ADARB2	0.000000	16247	0.000000	17175
ADAT1	0.006279	11825	0.966159	8129
ADAT2	0.125707	8958	1.001734	7987
ADAT3	0.287599	5410	1.960994	1604
ADCK1	0.289011	5379	0.642465	10359
ADCK2	0.037632	11180	1.080634	7310
ADCK5	0.094053	9588	0.890980	8820
ADCY1	0.046661	10684	0.127105	12570
ADCY10	0.000000	16246	0.000000	17174
ADCY2	0.000000	16245	0.000000	17173
ADCY3	0.456410	2559	1.280578	5712
ADCY4	0.272535	5731	0.328380	11971
ADCY5	0.016703	11672	0.045323	13319
ADCY6	0.415407	3063	1.225826	6163
ADCY7	0.392167	3349	0.958088	8148
ADCY8	0.328380	4605	0.328380	11970
ADCY9	0.555101	1699	0.890980	8819
ADCYAP1	0.000000	16244	0.000000	17172
ADCYAP1R1	0.000000	16243	0.000000	17171
ADD1	0.234067	6567	1.881228	1884
ADD2	0.122601	9021	0.328380	11969
ADD3	0.816021	674	1.897517	1832
ADGB	0.000000	16242	0.000000	17170
ADGRA1	0.000000	16241	0.000000	17169
ADGRA2	0.623365	1332	1.607991	3303
ADGRA3	0.115541	9143	0.822822	9271
ADGRB1	0.000000	16240	0.000000	17168
ADGRB2	0.368383	3702	0.890980	8818
ADGRB3	0.045323	11080	0.089905	12768
ADGRD1	0.397440	3275	0.890980	8817
ADGRD2	-	18996	-	18996
ADGRE1	0.000000	16239	0.000000	17167
ADGRE2	0.361573	3816	1.190892	6438
ADGRE3	0.000000	16238	0.000000	17166
ADGRE5	0.358626	3848	1.454196	4346
ADGRF1	0.000000	16237	0.000000	17165
ADGRF2	0.000000	16236	0.000000	17164
ADGRF3	0.000000	16235	0.099472	12606
ADGRF4	0.333539	4226	0.333539	11461
ADGRF5	0.074248	10078	0.127105	12569
ADGRG1	0.361762	3810	1.048053	7619
ADGRG2	0.006505	11820	0.026394	13473
ADGRG3	0.000000	16234	0.000000	17163
ADGRG4	0.000000	16233	0.000000	17162
ADGRG5	0.000000	16232	0.000000	17161
ADGRG6	0.255244	6093	0.911158	8542
ADGRG7	0.000000	16231	0.000000	17160
ADGRL1	0.013892	11709	0.252564	12131
ADGRL2	0.191497	7471	0.328380	11968
ADGRL3	0.133778	8769	0.161368	12396
ADGRL4	0.861760	583	1.722963	2613
ADGRV1	0.000000	16230	0.000000	17159
ADH1A	0.000000	16229	0.000000	17158
ADH1B	0.576063	1559	0.822822	9270
ADH1C	0.000000	16228	0.000000	17157
ADH4	0.186978	7568	0.186978	12304
ADH5	0.424032	2958	2.006936	1424
ADH6	0.000000	16227	0.000000	17156
ADH7	0.000000	16226	0.000000	17155
ADHFE1	0.328380	4604	0.328380	11967
ADI1	0.395570	3298	2.016365	1399
ADIG	0.000000	16225	0.000000	17154
ADIPOQ	0.000000	16224	0.000000	17153
ADIPOR1	0.307526	4976	1.882148	1880
ADIPOR2	0.252326	6170	1.449015	4406
ADIRF	1.067217	304	2.836931	199
ADK	0.371771	3639	1.760299	2409
ADM	0.292655	5289	2.011613	1413
ADM2	0.479777	2312	0.741939	9831
ADM5	0.000000	16223	0.000000	17152
ADNP	0.147654	8454	1.412629	4696
ADNP2	0.190039	7492	0.675778	10013
ADO	0.383486	3469	1.089905	7264
ADORA1	0.125638	8959	0.328380	11966
ADORA2A	0.377021	3558	0.515694	10701
ADORA2B	1.328312	131	1.762153	2400
ADORA3	0.000000	16222	0.000000	17151
ADPGK	0.262673	5924	1.508144	3941
ADPRH	0.071133	10150	0.328380	11965
ADPRHL1	0.000000	16221	0.000000	17150
ADPRHL2	0.279468	5565	1.431203	4538
ADPRM	-0.078844	16814	0.822822	9269
ADRA1A	0.000000	16220	0.000000	17149
ADRA1B	0.666639	1133	1.036230	7663
ADRA1D	0.076859	10035	0.161368	12395
ADRA2A	0.364332	3775	0.822822	9268
ADRA2B	0.000000	16219	0.000000	17148
ADRA2C	0.000755	11904	0.045323	13318
ADRB1	0.000000	16218	0.045323	13317
ADRB2	0.026394	11505	0.371910	11384
ADRB3	0.000000	16217	0.000000	17147
ADRM1	0.463708	2478	2.130506	1099
ADSL	0.349676	3955	1.506234	3952
ADSS	0.226897	6722	1.651084	3024
ADSSL1	0.105335	9359	0.328380	11964
ADTRP	0.000000	16216	0.000000	17146
AEBP1	0.438346	2757	2.120870	1125
AEBP2	0.210609	7050	1.001734	7986
AEN	0.349955	3953	1.255160	5850
AES	0.470312	2406	2.308095	733
AFAP1	0.869170	574	1.837588	2059
AFAP1L1	0.059233	10361	0.879669	8862
AFAP1L2	0.000000	16215	0.161368	12394
AFDN	0.134225	8766	0.760422	9489
AFF1	0.189909	7497	1.001734	7985
AFF2	0.513218	2029	0.513218	11083
AFF3	0.000000	16214	0.045323	13316
AFF4	0.136378	8723	1.351603	5163
AFG3L2	0.162906	8107	1.570076	3543
AFM	0.000000	16213	0.000000	17145
AFMID	0.105426	9356	1.556905	3601
AFP	0.161368	8155	0.161368	12393
AFTPH	0.000000	16212	0.440452	11212
AGA	0.132559	8797	1.089905	7263
AGAP1	0.288017	5399	1.001734	7984
AGAP2	0.000000	16211	0.000000	17144
AGAP3	0.127105	8935	1.277859	5726
AGAP4	-	18995	-	18995
AGAP5	-0.346015	17195	0.513218	11082
AGAP6	-	18994	-	18994
AGAP9	-	18993	-	18993
AGBL1	-	18992	-	18992
AGBL2	-0.202619	17093	0.151828	12405
AGBL3	-0.225797	17123	0.369068	11389
AGBL4	0.000000	16210	0.000000	17143
AGBL5	0.075151	10063	1.091704	7131
AGER	0.000000	16209	0.000000	17142
AGFG1	0.425815	2938	1.751048	2460
AGFG2	0.159779	8191	1.053846	7443
AGGF1	0.277240	5622	1.252853	5951
AGK	0.020742	11605	0.741939	9830
AGL	0.045323	11079	0.890980	8816
AGMAT	0.178336	7770	0.441454	11211
AGMO	0.077626	10006	0.127105	12568
