gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.519623	2012	1.266599	5705
A1CF	0.000000	16164	0.000000	17239
A2M	0.330623	4142	1.380925	4786
A2ML1	0.000000	16163	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.485712	2294	1.150137	6632
A4GNT	0.000000	16162	0.000000	17237
AAAS	0.426069	2856	1.820039	2132
AACS	0.212069	6403	1.262733	5736
AADAC	0.643449	1346	0.643449	10142
AADACL2	0.000000	16161	0.000000	17236
AADACL3	0.000000	16160	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.070034	10219	0.555645	10626
AAED1	0.115049	9084	1.286449	5558
AAGAB	0.152297	8036	1.700998	2724
AAK1	0.134431	8450	1.029767	7600
AAMDC	0.431752	2800	1.615547	3227
AAMP	0.203644	6631	1.986880	1492
AANAT	0.000000	16159	0.000000	17234
AAR2	0.412821	3003	1.335884	5141
AARD	0.000000	16158	0.000000	17233
AARS	0.135905	8419	1.743957	2491
AARS2	0.266172	5320	1.476989	4105
AARSD1	0.248554	5654	1.470730	4142
AASDH	0.000000	16157	0.714732	9719
AASDHPPT	0.237983	5904	1.408995	4590
AASS	-0.104889	16789	0.741327	9598
AATF	-0.091377	16738	1.377483	4806
AATK	0.000000	16156	0.000000	17232
ABAT	0.000000	16155	0.373418	11513
ABCA1	0.540045	1868	1.933444	1678
ABCA10	0.264280	5355	0.264280	12036
ABCA12	0.000000	16154	0.000000	17231
ABCA13	0.052787	10780	0.052787	13423
ABCA2	0.198693	6736	0.835045	8997
ABCA3	0.620680	1449	1.348634	5030
ABCA4	0.190106	7092	0.190106	12590
ABCA5	0.000000	16153	0.243527	12141
ABCA6	0.512043	2071	0.897582	8545
ABCA7	0.089012	9687	0.656717	10068
ABCA8	0.172603	7491	1.113399	6955
ABCA9	0.478203	2360	0.780078	9336
ABCB1	0.052787	10779	0.566264	10556
ABCB10	0.390227	3297	0.950954	8172
ABCB11	0.000000	16152	0.000000	17230
ABCB4	0.000000	16151	0.107406	13053
ABCB5	0.000000	16150	0.000000	17229
ABCB6	0.412317	3010	0.649333	10103
ABCB7	0.052787	10778	1.094218	7093
ABCB8	0.295504	4738	1.424502	4472
ABCB9	0.307250	4518	0.770640	9410
ABCC1	0.397392	3195	1.654362	2987
ABCC10	0.394065	3238	0.815412	9151
ABCC11	0.000000	16149	0.000000	17228
ABCC12	0.000000	16148	0.000000	17227
ABCC2	0.000000	16147	0.000000	17226
ABCC3	0.073369	10137	0.754461	9492
ABCC4	0.067893	10266	0.885142	8639
ABCC5	0.000000	16146	0.928377	8321
ABCC6	-	19006	-	19006
ABCC8	0.000000	16145	0.000000	17225
ABCC9	0.090705	9654	0.307725	11820
ABCD1	0.562447	1714	1.515671	3860
ABCD2	0.000000	16144	0.000000	17224
ABCD3	-0.112985	16808	0.973405	8011
ABCD4	0.147413	8132	1.099118	7061
ABCE1	-0.054468	16565	1.464596	4193
ABCF1	0.042454	11128	1.892389	1814
ABCF2	0.341506	3962	1.768748	2364
ABCF3	0.102798	9374	1.577575	3459
ABCG1	0.078627	9945	1.211548	6162
ABCG2	0.190323	6934	0.298299	11882
ABCG4	0.120275	8939	0.120275	12990
ABCG5	0.000000	16143	0.000000	17223
ABCG8	0.000000	16142	0.000000	17222
