gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.586288	8248	1.171086	11245
A1CF	0.000000	17211	0.000000	17239
A2M	0.970432	3668	2.020734	2632
A2ML1	1.322012	1879	1.322012	9831
A3GALT2	-	19008	-	19008
A4GALT	0.239554	14434	0.935003	12800
A4GNT	0.000000	17210	0.000000	17238
AAAS	0.657359	7046	1.665581	5974
AACS	0.589678	8177	1.579441	6949
AADAC	0.426511	11299	0.426511	14662
AADACL2	0.000000	17209	0.000000	17237
AADACL3	0.133539	15868	0.133539	16086
AADACL4	-	19007	-	19007
AADAT	0.848025	4725	1.417638	8793
AAED1	0.229318	14729	1.104146	11747
AAGAB	0.224207	14872	1.772908	4809
AAK1	1.185340	2418	2.003485	2774
AAMDC	0.557695	8754	1.442837	8505
AAMP	0.555515	8789	2.092721	2193
AANAT	0.240549	14424	0.240549	15313
AAR2	0.406212	11672	1.350829	9523
AARD	0.489338	10069	0.503791	14437
AARS	0.579493	8362	2.060414	2375
AARS2	0.418286	11454	1.629104	6396
AARSD1	0.730782	6059	1.671913	5915
AASDH	0.595031	8049	1.675315	5873
AASDHPPT	1.102112	2845	2.171609	1783
AASS	0.759577	5693	1.821645	4341
AATF	0.055189	16304	1.524049	7574
AATK	2.287802	217	2.287802	1336
ABAT	1.864926	621	1.957176	3121
ABCA1	0.485721	10157	1.836007	4190
ABCA10	0.841359	4784	0.841359	13260
ABCA12	0.127105	15983	0.127105	16170
ABCA13	0.262071	14102	0.262071	15173
ABCA2	1.928502	533	2.386877	992
ABCA3	1.354795	1770	2.082749	2244
ABCA4	0.472756	10417	0.472756	14545
ABCA5	0.736208	5990	1.760149	4944
ABCA6	0.860351	4587	1.319526	9858
ABCA7	0.797789	5245	1.252939	10501
ABCA8	1.231979	2217	2.044882	2481
ABCA9	0.833316	4879	1.109916	11704
ABCB1	1.275706	2017	1.873379	3839
ABCB10	0.267242	14024	1.071034	12011
ABCB11	0.043445	16344	0.043445	16401
ABCB4	0.390084	12024	0.539076	14308
ABCB5	0.240549	14423	0.240549	15312
ABCB6	0.646441	7211	1.077368	11962
ABCB7	0.332853	13128	1.582291	6923
ABCB8	0.382814	12210	1.485474	8011
ABCB9	1.164017	2532	1.257439	10435
ABCC1	0.521312	9408	1.177825	11195
ABCC10	0.545177	8982	1.212720	10869
ABCC11	0.130334	15917	0.130334	16122
ABCC12	0.831870	4893	0.831870	13307
ABCC2	0.127105	15982	0.127105	16169
ABCC3	0.509639	9622	1.280641	10223
ABCC4	0.456254	10682	1.202792	10954
ABCC5	0.853809	4658	1.842609	4113
ABCC6	-	19006	-	19006
ABCC8	1.358886	1755	1.358886	9438
ABCC9	0.751784	5803	0.879096	13102
ABCD1	0.389166	12106	0.895975	13031
ABCD2	1.437189	1513	1.598572	6728
ABCD3	0.394678	11874	1.502304	7812
ABCD4	0.449506	10810	1.536180	7431
ABCE1	0.409996	11604	1.929061	3360
ABCF1	0.625084	7580	2.282340	1348
ABCF2	0.665386	6918	1.648360	6178
ABCF3	0.291487	13791	1.766264	4885
ABCG1	0.695163	6523	1.828084	4275
ABCG2	1.077368	2989	1.143327	11445
ABCG4	0.959328	3769	0.974972	12574
ABCG5	0.133539	15867	0.133539	16085
ABCG8	0.133539	15866	0.133539	16084
ABHD1	0.404557	11705	0.463729	14552
ABHD10	0.492301	10002	1.762978	4913
ABHD11	0.323061	13260	1.263873	10381
ABHD12	0.511592	9590	2.030478	2580
ABHD12B	1.176381	2470	1.176381	11204
ABHD13	0.317111	13420	1.359291	9435
ABHD14A	0.837488	4829	1.801952	4529
ABHD14B	-0.340742	17239	1.416716	8798
ABHD15	0.224184	14873	0.564747	14247
ABHD16A	0.576341	8413	1.547529	7290
ABHD16B	-	19005	-	19005
ABHD17A	0.507704	9698	1.403807	8922
ABHD17B	0.643303	7278	1.643946	6224
ABHD17C	0.960036	3764	1.304491	9998
ABHD18	0.771045	5554	1.077004	11969
ABHD2	0.965202	3716	2.060358	2376
ABHD3	0.514872	9533	1.465234	8242
ABHD4	0.484312	10187	1.680336	5812
ABHD5	0.582357	8319	1.779236	4747
ABHD6	0.972124	3656	1.610341	6607
ABHD8	0.851525	4678	1.761251	4937
ABI1	0.611708	7767	1.908270	3535
ABI2	1.312743	1905	2.397818	970
ABI3	0.693359	6537	1.198507	10997
ABI3BP	0.784558	5395	1.476397	8123
ABL1	0.388373	12123	1.241875	10609
ABL2	0.728413	6088	1.369772	9319
ABLIM1	1.367617	1718	1.929193	3357
ABLIM2	1.653446	981	1.752279	5033
ABLIM3	0.798701	5235	1.986682	2898
ABO	0.654606	7092	0.654606	13958
ABR	2.011232	444	2.291058	1324
ABRA	0.629410	7506	0.629410	14048
ABRACL	0.433061	11168	1.722221	5363
ABT1	0.047163	16329	1.244030	10594
ABTB1	0.831870	4892	1.740126	5158
ABTB2	0.769178	5583	1.380392	9189
ACAA1	0.282263	13885	1.646796	6189
ACAA2	0.638638	7365	1.538574	7394
ACACA	1.063604	3061	1.487704	7980
ACACB	0.960710	3757	1.174594	11212
ACAD10	0.251221	14212	1.240799	10628
ACAD11	0.622547	7610	0.953691	12708
ACAD8	0.477616	10320	1.686368	5730
ACAD9	0.225309	14863	1.545925	7306
ACADL	0.574031	8460	0.574031	14214
ACADM	0.818469	5028	1.773071	4806
ACADS	0.252239	14206	1.139874	11470
ACADSB	0.641683	7315	1.612503	6576
ACADVL	0.507761	9697	2.181014	1739
ACAN	1.379120	1690	1.455302	8352
ACAP1	0.224547	14868	0.336649	14956
ACAP2	0.733935	6009	1.717837	5406
ACAP3	0.786539	5370	1.442793	8517
ACAT1	0.368953	12496	1.857995	3985
ACAT2	0.909955	4155	2.311399	1249
ACBD3	0.112871	16110	1.966813	3050
ACBD4	0.685543	6627	1.097821	11799
ACBD5	0.900599	4225	1.377656	9214
ACBD6	0.413081	11543	1.494850	7911
ACBD7	1.939206	519	2.176524	1763
ACCS	0.437792	11081	0.846337	13237
ACCSL	-	19004	-	19004
ACD	0.981269	3599	1.313656	9919
ACE	0.840612	4797	1.287130	10160
ACE2	0.053078	16320	0.053078	16387
ACER1	0.000000	17208	0.000000	17236
ACER2	0.955769	3796	1.272306	10302
ACER3	0.734040	6007	1.852634	4036
ACHE	1.441182	1498	1.832991	4220
ACIN1	0.641675	7316	2.155336	1862
ACKR1	1.819610	703	1.819610	4359
ACKR2	0.578254	8382	0.810904	13386
ACKR3	1.022064	3306	2.366161	1065
ACKR4	0.413879	11525	0.518514	14365
ACLY	0.489544	10066	1.784243	4694
ACMSD	0.000000	17207	0.000000	17235
ACO1	-0.033851	17219	1.490090	7964
ACO2	0.851971	4672	2.613366	521
ACOD1	0.000000	17206	0.000000	17234
ACOT1	0.369967	12484	0.421604	14672
ACOT11	0.977993	3621	1.069023	12014
ACOT12	0.318063	13412	0.318063	15072
ACOT13	0.337946	13023	1.683612	5776
ACOT2	0.727541	6123	1.246499	10574
ACOT4	0.603537	7898	0.742725	13642
ACOT6	-	19003	-	19003
ACOT7	1.114769	2778	1.945419	3217
ACOT8	0.406292	11671	1.807061	4478
ACOT9	0.130334	15916	1.579667	6947
ACOX1	0.586805	8238	1.590507	6828
ACOX2	1.125318	2716	1.156417	11372
ACOX3	0.475716	10354	1.141858	11457
ACOXL	0.230449	14713	0.230449	15498
ACP1	0.244438	14291	2.051770	2439
ACP2	0.284060	13857	1.752586	5031
ACP5	0.143639	15610	0.283301	15133
ACP6	0.892905	4307	1.275834	10275
ACP7	-	19002	-	19002
ACPP	0.744902	5875	0.925312	12873
ACPT	-	19001	-	19001
ACR	0.130334	15915	0.130334	16121
ACRBP	0.245107	14282	0.491689	14478
ACRC	0.320146	13372	0.320146	15048
ACRV1	0.000000	17205	0.000000	17233
ACSBG1	2.143846	321	2.143846	1930
ACSBG2	0.201397	15106	0.201397	15655
ACSF2	0.129709	15921	0.912322	12943
ACSF3	0.371592	12463	1.091315	11843
ACSL1	1.366472	1727	1.453795	8376
ACSL3	0.778328	5471	2.507788	713
ACSL4	0.873947	4467	2.110825	2092
ACSL5	0.680875	6705	1.528274	7527
ACSL6	1.630631	1030	1.630631	6368
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17204	0.000000	17232
ACSM2B	0.000000	17203	0.000000	17231
ACSM3	0.240549	14422	0.240549	15311
ACSM4	-	18999	-	18999
ACSM5	0.509203	9667	0.509203	14412
ACSM6	0.000000	17202	0.000000	17230
ACSS1	0.785011	5392	1.872807	3842
ACSS2	0.413404	11533	1.256958	10443
ACSS3	0.646398	7222	1.220448	10804
ACTA1	1.598462	1091	1.598462	6731
ACTA2	0.569445	8542	1.943742	3235
ACTB	0.566896	8600	3.802923	10
ACTBL2	0.390935	12013	0.390935	14784
ACTC1	0.643003	7283	0.750508	13625
ACTG1	0.633109	7447	3.850839	6
ACTG2	1.096963	2869	1.826528	4298
