gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.568479	2761	1.368059	6185
A1CF	0.000000	17021	0.000000	17239
A2M	0.000000	17020	0.252853	12842
A2ML1	1.417254	356	1.417254	5704
A3GALT2	-	19008	-	19008
A4GALT	0.446191	3924	1.141640	8176
A4GNT	0.000000	17019	0.000000	17238
AAAS	0.311777	6065	1.705747	3394
AACS	0.292234	6475	1.342898	6405
AADAC	0.025182	13979	0.025182	14556
AADACL2	0.000000	17018	0.000000	17237
AADACL3	0.000000	17017	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.337799	5544	0.907411	9960
AAED1	0.492698	3456	1.711054	3356
AAGAB	0.231976	8102	1.780677	2880
AAK1	0.171144	9897	0.996074	9323
AAMDC	0.090091	12303	1.151982	8097
AAMP	0.045574	13379	1.753361	3060
AANAT	0.000000	17016	0.000000	17235
AAR2	0.231509	8120	1.173656	7904
AARD	0.038626	13476	0.053078	14098
AARS	0.270106	7036	1.882183	2281
AARS2	0.034962	13673	1.245779	7315
AARSD1	0.166148	10114	1.456214	5367
AASDH	0.199611	9043	1.279895	7015
AASDHPPT	0.294499	6424	1.776629	2907
AASS	0.172665	9856	1.234732	7412
AATF	0.112407	11579	1.581267	4331
AATK	0.000000	17015	0.015174	14688
ABAT	0.183410	9534	0.912574	9914
ABCA1	0.594786	2591	1.988185	1786
ABCA10	0.125489	11266	0.125489	13431
ABCA12	0.789735	1558	0.789735	10652
ABCA13	0.302572	6265	0.302572	12663
ABCA2	0.174804	9804	0.934498	9754
ABCA3	0.033915	13726	0.406816	12298
ABCA4	0.000000	17014	0.000000	17234
ABCA5	0.058435	12976	0.883236	10092
ABCA6	0.660101	2185	1.119275	8361
ABCA7	0.301640	6290	1.022307	9132
ABCA8	0.228057	8211	1.168853	7953
ABCA9	0.000000	17013	0.096537	13706
ABCB1	0.095174	12123	0.692847	11173
ABCB10	0.293916	6443	1.154077	8081
ABCB11	0.000000	17012	0.000000	17233
ABCB4	0.153077	10500	0.302070	12665
ABCB5	0.015174	14187	0.015174	14687
ABCB6	0.347068	5384	0.698724	11138
ABCB7	0.230138	8157	1.479575	5153
ABCB8	0.313826	6012	1.352488	6311
ABCB9	0.211008	8721	0.680062	11240
ABCC1	0.410268	4383	1.667238	3662
ABCC10	0.369647	4984	0.956241	9599
ABCC11	0.000000	17011	0.000000	17232
ABCC12	0.000000	17010	0.000000	17231
ABCC2	0.092346	12252	0.092346	13774
ABCC3	0.731933	1824	1.544262	4621
ABCC4	0.773009	1628	1.328133	6553
ABCC5	0.198728	9071	1.187528	7780
ABCC6	-	19006	-	19006
ABCC8	0.000000	17009	0.000000	17230
ABCC9	0.255109	7439	0.618048	11520
ABCD1	0.221101	8433	1.174325	7901
ABCD2	0.000000	17008	0.079943	13824
ABCD3	0.155922	10422	1.320562	6638
ABCD4	0.022585	14002	1.056779	8866
ABCE1	0.460256	3761	1.979321	1822
ABCF1	0.156703	10396	2.006637	1717
ABCF2	0.248180	7650	1.600973	4194
ABCF3	0.047667	13349	1.522444	4813
ABCG1	0.226162	8255	1.359083	6260
ABCG2	0.491174	3470	0.491174	12004
ABCG4	0.105154	11766	0.120798	13456
ABCG5	0.000000	17007	0.000000	17229
ABCG8	0.000000	17006	0.000000	17228
ABHD1	0.044632	13389	0.103804	13572
ABHD10	0.134133	11081	1.353532	6304
ABHD11	0.213394	8657	1.183355	7812
ABHD12	0.230349	8152	1.749235	3095
ABHD12B	0.048420	13329	0.048420	14157
ABHD13	0.092556	12172	1.119770	8358
ABHD14A	0.100177	12007	1.151388	8100
ABHD14B	0.251994	7538	2.009451	1706
ABHD15	0.313586	6018	0.654150	11365
ABHD16A	0.081886	12485	1.346379	6372
ABHD16B	-	19005	-	19005
ABHD17A	0.270992	7004	1.170854	7941
ABHD17B	0.174726	9807	0.979132	9443
ABHD17C	0.753026	1713	1.794418	2793
ABHD18	0.154971	10444	1.006841	9245
ABHD2	0.324057	5823	1.750308	3087
ABHD3	0.109596	11639	1.059959	8829
ABHD4	0.167695	10076	1.476564	5176
ABHD5	0.462847	3728	1.659726	3714
ABHD6	0.131777	11128	0.710807	11095
ABHD8	0.137495	10973	1.047222	8945
ABI1	0.272272	6971	1.703964	3409
ABI2	0.324942	5801	1.672601	3627
ABI3	0.080637	12514	0.276917	12726
ABI3BP	1.838871	125	2.515211	505
ABL1	0.420644	4250	1.422155	5662
ABL2	0.797049	1524	1.465115	5286
ABLIM1	0.660128	2184	1.475526	5187
ABLIM2	0.190189	9331	0.458249	12091
ABLIM3	0.687446	2027	1.662142	3699
ABO	0.098150	12052	0.223996	12908
ABR	0.332046	5651	1.393416	5938
ABRA	0.092346	12251	0.092346	13773
ABRACL	0.410407	4380	1.906946	2161
ABT1	0.136581	11013	1.333447	6501
ABTB1	0.053078	13197	1.097951	8540
ABTB2	0.145443	10734	0.570106	11700
ACAA1	0.204580	8907	1.686595	3538
