gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.449083	2250	1.440083	3923
A1CF	0.000000	15445	0.000000	17239
A2M	0.000000	15444	0.088046	13158
A2ML1	0.000000	15443	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.629618	1059	1.325067	4594
A4GNT	0.000000	15442	0.000000	17237
AAAS	0.534829	1544	1.928799	1501
AACS	0.500850	1789	1.551514	3202
AADAC	0.000000	15441	0.000000	17236
AADACL2	0.000000	15440	0.000000	17235
AADACL3	0.000000	15439	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.051902	9534	0.614262	9786
AAED1	0.293776	4273	1.512131	3450
AAGAB	-0.296790	16897	1.251911	5097
AAK1	0.184154	6105	0.918044	7581
AAMDC	0.186992	6069	1.258582	5053
AAMP	0.301572	4146	2.058162	1143
AANAT	0.000000	15438	0.000000	17233
AAR2	0.313243	3950	1.434478	3952
AARD	0.202288	5822	0.216741	12113
AARS	0.556924	1410	2.169000	874
AARS2	0.254555	4911	1.465372	3774
AARSD1	0.093310	8123	1.483335	3645
AASDH	0.000000	15437	0.728862	8987
AASDHPPT	-0.020711	15700	1.063285	6450
AASS	-0.052987	16021	0.820779	8307
AATF	-0.026175	15773	1.442685	3909
AATK	0.000000	15436	0.000000	17232
ABAT	0.170483	6399	0.860699	8006
ABCA1	0.000000	15435	1.016364	6809
ABCA10	0.000000	15434	0.000000	17231
ABCA12	0.000000	15433	0.000000	17230
ABCA13	0.000000	15432	0.000000	17229
ABCA2	0.106801	7833	0.885696	7818
ABCA3	0.691592	874	1.419546	4035
ABCA4	0.000000	15431	0.000000	17228
ABCA5	0.051902	9533	0.279354	11748
ABCA6	0.000000	15430	0.364793	11276
ABCA7	0.246870	5059	1.082429	6301
ABCA8	0.000000	15429	0.353017	11371
ABCA9	0.000000	15428	0.061926	13315
ABCB1	0.327000	3755	0.924673	7540
ABCB10	0.041668	9747	0.862041	7999
ABCB11	0.000000	15427	0.000000	17227
ABCB4	0.179684	6218	0.328676	11487
ABCB5	0.000000	15426	0.000000	17226
ABCB6	0.155275	6648	0.586202	9978
ABCB7	0.000000	15425	0.771223	8676
ABCB8	0.366739	3199	1.538706	3288
ABCB9	0.393061	2886	0.862115	7996
ABCC1	0.353474	3387	1.436789	3938
ABCC10	0.399310	2805	1.066852	6426
ABCC11	0.000000	15424	0.000000	17225
ABCC12	0.000000	15423	0.000000	17224
ABCC2	0.000000	15422	0.000000	17223
ABCC3	0.918155	383	1.730483	2315
ABCC4	0.325073	3778	1.095509	6218
ABCC5	0.064205	8895	0.842426	8157
ABCC6	-	19006	-	19006
ABCC8	0.000000	15421	0.000000	17222
ABCC9	0.000000	15420	0.061926	13314
ABCD1	0.279373	4507	1.232597	5233
ABCD2	0.000000	15419	0.000000	17221
ABCD3	-0.171766	16627	0.730856	8965
