gene	enrichment	rank(enr)	max	rank(max)
A1BG	3.183790	63	3.183790	214
A1CF	2.101919	356	2.101919	2137
A2M	2.206353	303	3.256655	186
A2ML1	1.417254	1186	1.417254	7681
A3GALT2	-	19008	-	19008
A4GALT	0.455160	8020	1.119586	10505
A4GNT	1.225309	1686	1.225309	9624
AAAS	0.426069	8632	1.820039	3793
AACS	0.521760	6947	1.572424	6032
AADAC	1.956168	460	1.956168	2893
AADACL2	0.000000	17225	0.000000	17239
AADACL3	0.000000	17224	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	1.013472	2443	1.226084	9605
AAED1	0.185098	14098	1.403453	7820
AAGAB	0.263878	12519	1.812579	3844
AAK1	0.332551	10861	1.227887	9580
AAMDC	0.357779	10292	1.541575	6360
AAMP	0.238253	13054	2.001647	2645
AANAT	0.000000	17223	0.000000	17237
AAR2	0.431217	8537	1.552452	6227
AARD	0.115583	15073	0.130036	15410
AARS	0.341782	10667	1.953859	2899
AARS2	0.266172	12475	1.476989	7044
AARSD1	0.349562	10473	1.572296	6034
AASDH	0.117272	15055	1.197556	9850
AASDHPPT	0.395771	9268	1.775756	4145
AASS	0.857829	3294	1.850956	3568
AATF	0.074463	15628	1.543323	6346
AATK	0.772322	3960	0.772322	12820
ABAT	1.966422	454	2.695586	598
ABCA1	1.417970	1183	2.290881	1453
ABCA10	0.816241	3584	0.816241	12570
ABCA12	0.789735	3827	0.789735	12746
ABCA13	0.951823	2733	0.951823	11788
ABCA2	0.451810	8091	1.230704	9522
ABCA3	0.620680	5515	1.348634	8342
ABCA4	0.190106	14033	0.190106	15179
ABCA5	1.222196	1698	1.787704	4046
ABCA6	1.258738	1586	1.717912	4674
ABCA7	0.730053	4344	1.565612	6128
ABCA8	0.731487	4329	1.672283	5090
ABCA9	0.567357	6179	0.869232	12324
ABCB1	1.321562	1411	1.919235	3102
ABCB10	1.141486	1943	2.001647	2644
ABCB11	1.753506	646	1.753506	4342
ABCB4	2.095754	362	2.244747	1603
ABCB5	0.214844	13543	0.214844	15064
ABCB6	1.217134	1712	1.595827	5812
ABCB7	0.316174	11233	1.565612	6127
ABCB8	0.448495	8168	1.502154	6770
ABCB9	0.256766	12656	0.721234	13091
ABCC1	0.336044	10785	1.593014	5837
ABCC10	0.394065	9300	0.956241	11708
ABCC11	0.000000	17222	0.000000	17236
ABCC12	0.000000	17221	0.000000	17235
ABCC2	1.933487	482	1.933487	3013
ABCC3	1.487986	1059	2.214571	1690
ABCC4	0.849526	3353	1.320562	8647
ABCC5	0.367356	10068	1.230193	9526
ABCC6	-	19006	-	19006
ABCC8	0.214844	13542	0.214844	15063
ABCC9	0.854874	3314	1.154820	10199
ABCD1	0.562293	6318	1.296117	8897
ABCD2	0.334162	10829	0.495544	14062
ABCD3	0.815718	3589	1.617525	5619
ABCD4	0.531209	6781	1.377306	8077
ABCE1	0.182949	14140	1.702013	4837
ABCF1	0.123470	14993	1.973405	2784
ABCF2	0.341506	10675	1.768748	4218
ABCF3	0.147333	14745	1.622110	5572
ABCG1	0.226162	13288	1.359083	8252
ABCG2	1.462100	1104	1.570076	6062
ABCG4	0.255314	12697	0.270958	14858
ABCG5	1.401056	1215	1.401056	7835
ABCG8	2.011613	420	2.011613	2585
ABHD1	0.371188	9773	0.430360	14257
ABHD10	0.176555	14229	1.439333	7437
ABHD11	0.511052	7110	1.481012	6997
ABHD12	0.959995	2674	1.713702	4718
ABHD12B	0.189791	14039	0.189791	15181
ABHD13	0.258241	12625	1.285455	9046
ABHD14A	0.454022	8044	1.356736	8272
ABHD14B	0.519073	6984	2.276531	1502
ABHD15	0.675634	4880	1.016197	11284
ABHD16A	0.396827	9221	1.687529	4969
ABHD16B	-	19005	-	19005
ABHD17A	0.253526	12735	1.180126	10030
ABHD17B	0.308141	11450	1.227473	9585
ABHD17C	0.401917	9122	1.443309	7373
ABHD18	0.467861	7814	1.319730	8684
ABHD2	1.469279	1093	2.392802	1156
ABHD3	0.812916	3613	1.763278	4274
ABHD4	0.438018	8388	1.778507	4131
ABHD5	0.513662	7071	1.710540	4751
ABHD6	0.938931	2799	1.364176	8210
ABHD8	0.557440	6394	1.279439	9089
ABI1	0.272272	12283	1.703964	4818
ABI2	0.285721	11991	1.558948	6184
ABI3	0.909168	2970	1.131871	10409
ABI3BP	1.163521	1871	2.120080	2051
ABL1	0.391009	9379	1.392521	7930
ABL2	0.797049	3780	1.465115	7138
ABLIM1	1.237292	1642	1.480582	7005
ABLIM2	0.283390	12049	0.551450	13912
ABLIM3	1.103116	2077	1.914644	3126
ABO	1.227493	1679	1.353339	8305
ABR	0.641411	5244	1.425045	7581
ABRA	0.155336	14639	0.155336	15355
ABRACL	0.528695	6819	1.981456	2748
ABT1	0.229909	13215	1.426776	7563
ABTB1	0.304905	11525	1.492760	6881
ABTB2	0.611981	5607	1.372801	8109
ACAA1	0.991442	2534	2.473458	974
ACAA2	1.734856	673	3.027635	290
ACACA	0.618384	5542	1.761711	4285
ACACB	2.291944	274	2.291944	1444
ACAD10	0.372121	9753	1.361698	8224
ACAD11	1.302451	1458	1.967887	2826
ACAD8	0.383381	9508	1.592133	5847
ACAD9	0.270958	12320	1.575494	6003
ACADL	1.079508	2156	1.100519	10683
ACADM	1.045678	2295	2.419774	1089
ACADS	1.308074	1444	2.195709	1745
ACADSB	1.601201	884	2.610447	724
ACADVL	0.746495	4198	2.623465	698
ACAN	0.490907	7443	0.567089	13747
ACAP1	0.609709	5632	0.721811	13087
ACAP2	0.266597	12465	1.620864	5586
ACAP3	0.413139	8904	1.111599	10609
ACAT1	1.536497	985	3.058912	272
ACAT2	0.819595	3559	2.252745	1583
ACBD3	0.159744	14468	2.013685	2568
ACBD4	0.959354	2680	1.668199	5133
ACBD5	1.014150	2438	1.580697	5965
ACBD6	0.351430	10428	1.412293	7722
ACBD7	0.609637	5633	0.846955	12423
ACCS	0.848107	3361	1.313014	8749
ACCSL	-	19004	-	19004
ACD	0.281904	12081	1.198721	9838
ACE	1.094388	2110	1.540906	6364
ACE2	1.246745	1615	1.246745	9407
ACER1	0.044513	15911	0.044513	15981
ACER2	0.625923	5432	0.942460	11837
ACER3	0.586622	5937	1.705216	4808
ACHE	1.141327	1944	1.533136	6446
ACIN1	0.310380	11401	2.011147	2586
ACKR1	1.810300	582	1.810300	3857
ACKR2	1.044932	2300	1.044932	11104
ACKR3	0.706788	4521	2.050885	2365
ACKR4	0.911981	2957	1.016616	11279
ACLY	0.893230	3060	2.187929	1775
ACMSD	1.582291	910	1.582291	5928
ACO1	0.797035	3781	2.320977	1364
ACO2	0.367356	10067	2.121166	2045
ACOD1	0.110590	15153	0.110590	15491
ACOT1	0.799341	3754	0.799341	12715
ACOT11	0.680558	4826	0.771587	12856
ACOT12	1.527372	997	1.527372	6495
ACOT13	0.681647	4814	1.976121	2775
ACOT2	0.982110	2591	1.854245	3535
ACOT4	0.637513	5291	0.776701	12803
ACOT6	-	19003	-	19003
ACOT7	1.749891	653	1.749891	4376
ACOT8	0.226880	13273	1.627649	5508
ACOT9	0.328520	10948	1.877586	3381
ACOX1	0.903718	3000	2.345491	1285
ACOX2	1.466936	1098	1.612890	5654
ACOX3	0.373367	9724	1.267139	9203
ACOXL	0.371068	9783	0.371068	14412
ACP1	0.503789	7212	2.052771	2359
ACP2	0.705319	4536	2.258182	1560
ACP5	1.978495	444	2.004876	2621
ACP6	0.707329	4516	1.090258	10766
ACP7	-	19002	-	19002
ACPP	0.516819	7017	0.697229	13246
ACPT	-	19001	-	19001
ACR	0.000000	17220	0.000000	17234
ACRBP	0.622650	5490	0.869232	12323
ACRC	0.000000	17219	0.000000	17233
ACRV1	0.000000	17218	0.000000	17232
ACSBG1	1.011993	2454	1.011993	11360
ACSBG2	0.000000	17217	0.000000	17231
ACSF2	1.306468	1448	1.932575	3020
ACSF3	0.395694	9269	1.260787	9287
ACSL1	2.356472	243	2.824464	449
ACSL3	0.460282	7946	2.493695	927
ACSL4	1.873639	526	3.026823	292
ACSL5	2.047859	389	2.047859	2381
ACSL6	1.153815	1908	1.153815	10259
ACSM1	-	19000	-	19000
ACSM2A	0.953760	2711	0.953760	11724
ACSM2B	0.603355	5708	0.603355	13605
ACSM3	1.696477	730	1.768934	4217
ACSM4	-	18999	-	18999
ACSM5	1.736611	670	1.736611	4480
ACSM6	0.000000	17216	0.000000	17230
ACSS1	0.417134	8815	1.498035	6834
ACSS2	1.230025	1667	2.070444	2280
ACSS3	1.228100	1675	1.802150	3914
ACTA1	1.119597	2015	1.119597	10491
ACTA2	1.952422	464	3.326719	150
ACTB	0.715643	4456	4.107557	22
ACTBL2	0.600220	5760	0.600220	13651
ACTC1	1.734726	676	1.842231	3639
ACTG1	0.772866	3951	4.252290	16
ACTG2	2.614790	161	3.344355	143
ACTL10	0.357935	10288	0.472756	14119
ACTL6A	0.351074	10436	1.791550	4016
ACTL6B	0.082785	15550	0.082785	15750
ACTL7A	0.000000	17215	0.000000	17229
ACTL7B	0.000000	17214	0.000000	17228
ACTL8	0.296665	11757	0.296665	14805
ACTL9	0.000000	17213	0.000000	17227
ACTN1	0.671454	4915	2.729013	564
ACTN2	0.567150	6183	0.796754	12728
ACTN3	0.129444	14945	0.129444	15411
ACTN4	0.486132	7526	2.141100	1958
ACTR10	0.154858	14647	1.773220	4163
ACTR1A	0.472713	7748	2.340977	1303
ACTR1B	0.317937	11185	1.608752	5701
ACTR2	0.242603	12957	1.955252	2896
ACTR3	0.378650	9614	2.548218	809
ACTR3B	0.371996	9757	1.300145	8864
ACTR3C	1.196962	1772	1.421727	7610
ACTR5	0.429848	8555	1.227115	9595
ACTR6	0.262911	12536	1.310268	8765
ACTR8	0.138008	14836	1.388294	7973
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17212	0.000000	17226
ACTRT3	-	18997	-	18997
ACVR1	0.357475	10301	1.395326	7906
ACVR1B	0.659969	5035	1.677698	5039
ACVR1C	0.367356	10066	0.396199	14358
ACVR2A	0.431586	8529	1.305566	8824
ACVR2B	0.351055	10437	0.659916	13407
ACVRL1	1.233241	1654	1.599289	5767
ACY1	1.020161	2412	2.151339	1923
ACY3	1.777499	616	1.777499	4140
ACYP1	0.326801	10988	1.192567	9938
ACYP2	0.558477	6373	1.338656	8457
ADA	0.809789	3641	1.484306	6962
ADAD1	0.000000	17211	0.000000	17225
ADAD2	0.000000	17210	0.000000	17224
ADAL	0.243343	12942	0.971276	11623
ADAM10	0.436166	8429	1.735588	4487
ADAM11	0.160481	14454	0.160481	15240
ADAM12	0.689403	4720	0.967899	11647
ADAM15	0.967466	2643	2.647302	660
ADAM17	0.337824	10754	1.506679	6725
ADAM18	0.049218	15894	0.049218	15971
ADAM19	0.835391	3448	1.687510	4971
ADAM2	0.000000	17209	0.000000	17223
ADAM20	0.000000	17208	0.000000	17222
ADAM21	0.000000	17207	0.000000	17221
ADAM22	0.517454	7009	0.965672	11660
ADAM23	0.572855	6113	0.910091	12017
ADAM28	1.279457	1521	1.504471	6755
ADAM29	0.000000	17206	0.000000	17220
ADAM30	0.000000	17205	0.000000	17219
ADAM32	0.000000	17204	0.000000	17218
ADAM33	0.934194	2833	1.393535	7910
ADAM7	0.000000	17203	0.000000	17217
ADAM8	1.384929	1259	1.558912	6185
ADAM9	0.606027	5673	2.288714	1466
ADAMDEC1	0.155336	14638	0.155336	15354
ADAMTS1	1.004547	2478	2.809318	463
ADAMTS10	0.454271	8039	1.152789	10275
ADAMTS12	1.544667	970	1.781455	4105
ADAMTS13	1.190612	1804	1.190612	9958
ADAMTS14	0.449979	8138	0.684845	13305
ADAMTS15	0.710737	4496	1.235216	9488
ADAMTS16	0.214844	13541	0.214844	15062
ADAMTS17	0.957931	2687	1.067686	10908
ADAMTS18	1.306318	1449	1.306318	8807
ADAMTS19	0.255019	12706	0.255019	14936
ADAMTS2	1.550434	959	2.221232	1675
ADAMTS20	0.018968	16028	0.018968	16060
ADAMTS3	0.115914	15067	0.392697	14374
ADAMTS4	0.726566	4367	1.327972	8584
ADAMTS5	0.714084	4469	1.434148	7487
ADAMTS6	0.436064	8431	0.611671	13581
ADAMTS7	1.049899	2279	1.640358	5382
ADAMTS8	0.665581	4989	0.665581	13386
ADAMTS9	0.883744	3118	1.336460	8483
ADAMTSL1	0.469540	7788	0.966468	11653
ADAMTSL2	1.308673	1442	1.344392	8410
ADAMTSL3	0.934992	2828	0.974333	11610
ADAMTSL4	0.667406	4955	1.547790	6302
ADAMTSL5	0.342643	10645	0.704151	13163
ADAP1	1.072617	2181	1.313023	8748
ADAP2	0.707858	4510	0.951823	11787
ADAR	0.391725	9367	1.754654	4333
ADARB1	0.929839	2865	1.897665	3233
ADARB2	0.112819	15114	0.112819	15464
ADAT1	0.380043	9580	1.146993	10292
ADAT2	0.338537	10740	1.214563	9710
ADAT3	0.376411	9668	2.049806	2375
ADCK1	0.183764	14124	0.802089	12660
ADCK2	0.149565	14703	1.192567	9937
ADCK5	0.252568	12758	1.049495	11086
ADCY1	0.286912	11969	0.367356	14598
ADCY10	0.920645	2920	0.920645	11961
ADCY2	0.212792	13572	0.267172	14923
ADCY3	0.515544	7039	1.496015	6848
ADCY4	0.833885	3455	1.236033	9487
ADCY5	0.773470	3946	0.802089	12659
ADCY6	0.403630	9099	1.214049	9733
ADCY7	0.361492	10193	0.786751	12780
ADCY8	0.067132	15743	0.067132	15871
ADCY9	0.393319	9320	0.959251	11702
ADCYAP1	1.286905	1501	1.286905	9032
ADCYAP1R1	0.465383	7871	0.465383	14163
ADD1	0.547473	6546	1.840673	3647
ADD2	1.710540	708	1.710540	4750
ADD3	1.347915	1352	1.551206	6247
ADGB	0.000000	17202	0.000000	17216
ADGRA1	0.297748	11724	0.297748	14789
ADGRA2	0.971799	2628	1.956425	2891
ADGRA3	1.737660	669	1.737660	4467
ADGRB1	0.067132	15742	0.067132	15870
ADGRB2	0.393116	9328	0.820181	12533
ADGRB3	0.871299	3199	1.112270	10563
ADGRD1	1.419971	1179	1.869232	3433
ADGRD2	-	18996	-	18996
ADGRE1	0.697229	4658	0.697229	13245
ADGRE2	0.605013	5688	1.434332	7486
ADGRE3	0.110590	15152	0.110590	15490
ADGRE5	0.534043	6735	1.629613	5489
ADGRF1	1.516104	1018	1.516104	6602
ADGRF2	0.000000	17201	0.000000	17215
ADGRF3	0.280908	12102	0.489958	14082
ADGRF4	1.253151	1599	1.253151	9349
ADGRF5	1.243040	1623	1.377072	8078
ADGRG1	1.644513	798	1.976945	2771
ADGRG2	0.357935	10287	0.357935	14655
