gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.247547	10282	1.238548	8222
A1CF	0.000000	17124	0.000000	17239
A2M	1.588496	257	2.618853	367
A2ML1	1.970765	108	1.970765	1758
A3GALT2	-	19008	-	19008
A4GALT	0.787361	1979	1.451786	6013
A4GNT	0.000000	17123	0.000000	17238
AAAS	0.415590	6067	1.809560	2700
AACS	0.084469	14442	1.135133	9214
AADAC	0.000000	17122	0.000000	17237
AADACL2	0.222716	11324	0.222716	14506
AADACL3	0.000000	17121	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.492593	4707	1.062206	9847
AAED1	0.095934	14165	1.314289	7396
AAGAB	0.053576	14777	1.602277	4431
AAK1	0.426393	5858	1.278296	7805
AAMDC	0.304755	8701	1.488551	5576
AAMP	0.366441	7153	1.834039	2556
AANAT	0.000000	17120	0.000000	17235
AAR2	0.178708	12475	1.299943	7550
AARD	0.830025	1762	0.844477	11455
AARS	0.307568	8629	1.769599	2999
AARS2	0.136903	13380	1.347720	7080
AARSD1	0.371961	6929	1.483587	5620
AASDH	0.276888	9451	1.357172	6949
AASDHPPT	0.116160	13911	1.632761	4125
AASS	0.634377	3029	1.696444	3575
AATF	0.281340	9346	1.750200	3139
AATK	0.432969	5742	0.432969	13420
ABAT	0.169019	12740	0.698970	12204
ABCA1	0.507295	4494	1.900695	2116
ABCA10	1.022428	1026	1.022428	10128
ABCA12	0.691965	2548	0.691965	12287
ABCA13	0.267172	9759	0.267172	14099
ABCA2	0.355665	7409	0.984527	10444
ABCA3	0.351227	7510	1.079181	9714
ABCA4	0.000000	17119	0.000000	17234
ABCA5	0.437092	5668	1.469527	5770
ABCA6	0.889520	1480	1.348694	7004
ABCA7	0.178121	12486	1.013680	10206
ABCA8	1.008008	1072	1.948804	1860
ABCA9	1.088884	868	1.390759	6606
ABCB1	0.982567	1150	1.580241	4632
ABCB10	0.155643	12999	1.002166	10291
ABCB11	0.000000	17118	0.000000	17233
ABCB4	0.218363	11435	0.367356	13766
ABCB5	0.296665	8932	0.296665	14008
ABCB6	0.195413	12072	0.626340	12615
ABCB7	0.058273	14748	1.307710	7492
ABCB8	0.283149	9299	1.452093	5977
ABCB9	0.152122	13069	0.621176	12646
ABCC1	0.184411	12354	1.441381	6101
ABCC10	0.311456	8531	0.926857	10812
ABCC11	0.000000	17117	0.000000	17232
ABCC12	0.000000	17116	0.000000	17231
ABCC2	0.000000	17115	0.000000	17230
ABCC3	0.253998	10074	1.066326	9798
ABCC4	0.483169	4856	1.321598	7346
ABCC5	0.384847	6665	1.373647	6796
ABCC6	-	19006	-	19006
ABCC8	0.580925	3534	0.580925	12789
ABCC9	0.987324	1125	1.257918	8021
ABCD1	0.181909	12405	1.135133	9213
ABCD2	1.080911	888	1.242293	8196
ABCD3	0.050290	14804	1.212454	8465
ABCD4	0.405993	6244	1.437751	6129
ABCE1	0.247868	10272	1.766933	3016
ABCF1	0.125980	13717	1.955255	1828
ABCF2	0.193374	12119	1.544812	4975
ABCF3	0.050527	14803	1.525304	5197
ABCG1	0.410526	6163	1.543447	5015
ABCG2	1.128089	794	1.243038	8190
ABCG4	0.060698	14730	0.060698	15205
ABCG5	0.000000	17114	0.000000	17229
ABCG8	0.000000	17113	0.000000	17228
ABHD1	0.049218	15079	0.093422	15069
ABHD10	0.388164	6604	1.412124	6377
ABHD11	0.417607	6019	1.387568	6631
ABHD12	0.117271	13899	1.582631	4623
ABHD12B	0.049218	15078	0.049218	15459
ABHD13	0.355239	7416	1.397419	6544
ABHD14A	0.126663	13709	1.202216	8528
